index,date,ALTITUDE,GROUND_SPEED,FIX
0,1780263079307,65076,0,0
1,1780263079307,65078,0,0
2,1780263079307,65084,0,0
3,1780263079324,65088,0,0
4,1780263079324,65081,0,0
5,1780263079324,65082,0,0
6,1780263079358,65074,0,0
7,1780263079425,65084,0,0
8,1780263079741,65089,0,0
9,1780263079875,65093,0,0
10,1780263080241,65086,0,0
11,1780263080325,65083,0,0
12,1780263081042,65088,0,0
13,1780263081157,65097,0,0
14,1780263081824,65091,0,0
15,1780263083541,65082,0,0
16,1780263084057,65084,0,0
17,1780263085358,65086,0,0
18,1780263085690,65088,0,0
19,1780263086790,65076,0,0
20,1780263087225,0,0,0
21,1780263088440,65079,0,0
22,1780263089525,65078,0,0
23,1780263090326,65082,0,0
