index,date,CELL_1,CELL_2,CELL_3,CELL_4
0,1780263789668,3.3,3.3,0,0
1,1780263836199,0.03,0.03,0.03,0.03
2,1780263836532,3.31,3.31,3.31,3.31
3,1780263839365,3.31,3.31,3.31,3.31
4,1780263844315,3.31,3.31,3.31,3.31
5,1780263846264,3.31,3.31,3.31,3.31
6,1780263851131,3.31,3.31,3.31,3.31
7,1780263858713,3.31,3.31,3.29,3.3
8,1780263861748,3.31,3.31,3.31,3.31
9,1780263862514,3.31,3.31,3.31,3.31
10,1780263865598,3.31,3.31,3.31,3.31
11,1780263866213,3.31,3.31,3.31,3.31
12,1780263874529,3.31,3.31,3.31,3.31
13,1780263877164,3.31,3.31,3.31,3.31
14,1780263879479,3.31,3.31,3.31,3.31
15,1780263880313,0.03,0.03,0.03,0.03
16,1780263880763,3.31,3.31,3.31,3.31
17,1780263886612,3.31,3.31,3.31,3.31
18,1780263888562,3.31,3.31,3.31,3.31
19,1780263898961,3.31,3.31,3.31,3.31
20,1780263899578,3.31,3.31,3.31,3.31
21,1780263903045,0.03,0.03,0.03,0.03
22,1780263904978,3.31,3.31,3.31,3.31
23,1780263906496,3.31,3.31,3.31,3.31
24,1780263908228,0.03,0.03,0.03,0.03
25,1780263908644,3.31,3.31,3.31,3.31
26,1780263910177,3.31,3.31,3.31,3.31
27,1780263915077,3.31,3.31,3.31,3.31
28,1780263917643,3.31,3.31,3.31,3.31
29,1780263921194,3.31,3.31,3.31,3.31
30,1780263923376,3.31,3.31,3.31,3.31
31,1780263925059,3.31,3.31,3.31,3.31
32,1780263925427,3.31,3.31,3.31,3.31
33,1780263926460,3.31,3.31,3.31,3.31
34,1780263928026,3.31,3.31,3.31,3.31
35,1780263929676,3.31,3.31,3.31,3.31
36,1780263929977,3.31,3.31,3.31,3.31
37,1780263930510,3.31,3.31,3.31,3.31
38,1780263933643,3.31,3.31,3.31,3.31
39,1780263934510,3.31,3.31,3.31,3.31
40,1780263935659,3.31,3.31,3.31,3.31
41,1780263936609,3.31,3.31,3.31,3.31
42,1780263938227,3.31,3.31,3.31,3.31
43,1780263939625,3.31,3.31,3.31,3.31
44,1780263942843,3.31,3.31,3.31,3.31
45,1780263943992,3.31,3.31,3.31,3.31
46,1780263944577,3.31,3.31,3.31,3.31
47,1780263951125,0.03,0.03,0.03,0.03
48,1780263952941,3.31,3.31,3.31,3.31
49,1780263955908,3.31,3.31,3.31,3.31
50,1780263956407,3.31,3.31,3.31,3.31
51,1780263962058,3.31,3.31,3.31,3.31
52,1780263962558,3.31,3.31,3.31,3.31
53,1780263964209,3.31,3.31,3.31,3.31
54,1780263964292,3.31,3.31,3.31,3.31
55,1780263968124,3.31,3.31,3.31,3.31
56,1780263968541,3.31,3.31,3.31,3.31
57,1780263973325,3.31,3.31,3.31,3.31
58,1780263976324,3.31,3.31,3.31,3.31
59,1780263984324,3.31,3.31,3.31,3.31
60,1780263987757,3.31,3.31,3.31,3.31
61,1780263989523,3.31,3.31,3.31,3.31
62,1780263996089,3.31,3.31,3.31,3.31
63,1780264000090,3.31,3.31,3.31,3.31
64,1780264003222,3.31,3.31,3.31,3.31
65,1780264005155,3.31,3.31,3.31,3.31
66,1780264008339,3.31,3.31,3.31,3.31
67,1780264009688,3.31,3.31,3.31,3.31
68,1780264009822,3.31,3.31,3.31,3.31
69,1780264012255,3.31,3.31,3.31,3.31
70,1780264016905,3.31,3.31,3.31,3.31
71,1780264020455,3.31,3.31,3.31,3.31
72,1780264023221,3.31,3.31,3.31,3.31
73,1780264024087,0.03,0.03,0.03,0.03
74,1780264028538,3.31,3.31,3.31,3.31
75,1780264031103,3.31,3.31,3.31,3.31
76,1780264033370,3.31,3.31,3.31,3.31
77,1780264035186,3.31,3.31,3.31,3.31
78,1780264036420,3.31,3.31,3.31,3.31
79,1780264040053,3.31,3.31,3.31,3.31
80,1780264041987,3.31,3.31,3.31,3.31
81,1780264045738,3.31,3.31,3.31,3.31
82,1780264052069,3.31,3.31,3.31,3.31
83,1780264052954,3.31,3.31,3.31,3.31
84,1780264055586,3.31,3.31,3.31,3.31
85,1780264056336,3.31,3.31,3.31,3.31
86,1780264057452,3.31,3.31,3.31,3.31
87,1780264106499,3.31,3.31,3.31,3.31
88,1780264113832,3.31,3.31,3.31,3.31
89,1780264114216,3.31,3.31,3.31,3.31
90,1780264118383,3.31,3.31,3.31,3.31
91,1780264119867,0.03,0.03,0.03,0.03
92,1780264120933,3.31,3.31,3.31,3.31
93,1780264123318,3.31,3.31,3.31,3.31
94,1780264125182,0.03,0.03,0.03,0.03
95,1780264126782,3.31,3.31,3.31,3.31
96,1780264132350,3.31,3.31,3.31,3.31
97,1780264138499,0.03,0.03,0.03,0.03
98,1780264138832,3.31,3.31,3.31,3.31
99,1780264142248,3.31,3.31,3.31,3.31
100,1780264142949,3.31,3.31,3.31,3.31
101,1780264143864,3.31,3.31,3.31,3.31
102,1780264144365,3.31,3.31,3.31,3.31
103,1780264145014,3.31,3.31,3.31,3.31
104,1780264149064,0.03,0.03,0.03,0.03
105,1780264149597,3.31,3.31,3.31,3.31
106,1780264152930,3.31,3.31,0,0
107,1780264153847,0.03,0.03,0.03,0.03
108,1780264154498,3.31,3.31,3.31,3.31
109,1780264155380,3.31,3.31,3.31,3.31
110,1780264155915,3.31,3.31,3.31,3.31
111,1780264160980,0.03,0.03,0.03,0.03
112,1780264161097,3.31,3.31,3.31,3.31
113,1780264162713,3.31,3.31,3.31,3.31
114,1780264164897,3.31,3.31,3.31,3.31
