index,date,GYRO_X,GYRO_Y,GYRO_Z
0,1780264173885,-281,-4913,6752
1,1780264174796,6719,0,110
2,1780264174846,-278,-4910,6730
3,1780264175329,-277,-4907,6731
4,1780264176663,-272,-4908,6725
5,1780264177396,-276,-4903,6719
6,1780264179328,-262,-4905,6730
7,1780264179996,-275,-4917,6733
8,1780264180046,-278,-4905,6706
9,1780264180661,-298,-4923,6727
10,1780264181540,-286,-4899,6719
11,1780264181561,-280,-4910,6732
12,1780264182229,-269,-4902,6734
13,1780264182878,-288,-4904,6718
14,1780264183045,-283,-4906,6720
15,1780264183095,-291,-4899,6743
16,1780264183880,-288,-4889,6748
17,1780264183912,-305,-4892,6779
18,1780264184329,-262,-4914,6715
19,1780264184411,-289,-4897,6719
20,1780264185279,-289,-4902,6721
21,1780264185845,-275,-4901,6708
22,1780264186878,-289,-4908,6732
23,1780264187914,-290,-4900,6744
24,1780264188361,-274,-4901,6712
25,1780264188445,-286,-4902,6726
26,1780264188813,6726,0,0
27,1780264189528,-283,-4910,6726
28,1780264189697,-283,-4909,6746
29,1780264190095,-290,-4896,6726
30,1780264190428,-277,-4912,6725
31,1780264191096,-277,-4917,6730
32,1780264191495,-300,-4928,6662
33,1780264191662,-258,-4900,6664
34,1780264193161,-289,-4866,6751
35,1780264194728,-2776,-3976,7662
36,1780264194928,-3004,-4595,6153
37,1780264195346,-216,-3767,6537
38,1780264195428,-1250,-4988,6111
39,1780264195827,-1150,-5347,7231
40,1780264197278,-1166,-3348,5266
41,1780264197977,-2869,-4852,5618
42,1780264198427,-4780,-10478,7171
43,1780264198477,-1814,-2323,8818
44,1780264198713,-1152,-2017,7598
45,1780264199294,-2676,-11621,6290
46,1780264200528,-2325,-6406,7489
47,1780264200777,-2664,-5238,5582
48,1780264200944,-482,-5996,8308
49,1780264201161,-151,1628,7323
50,1780264201361,226,-808,4966
51,1780264202561,5076,-12524,3455
52,1780264204994,-3078,-5096,7492
53,1780264205312,-16,-5378,6312
54,1780264206143,-658,-5272,6430
55,1780264207093,-597,-5298,6394
56,1780264207128,-580,-5303,6411
57,1780264207593,-596,-5281,6400
58,1780264207793,-590,-5285,6422
59,1780264208376,-595,-5276,6398
60,1780264208861,-590,-5268,6400
61,1780264209111,-587,-5292,6427
62,1780264209811,-596,-5285,6415
63,1780264210345,-586,-5286,6402
64,1780264211260,-602,-5284,6404
65,1780264211960,-586,-5284,6377
66,1780264212159,-609,-5270,6404
67,1780264212377,-598,-5278,6404
68,1780264213610,-579,-5280,6397
69,1780264214843,-635,-5278,6420
70,1780264216127,-595,-5289,6413
71,1780264216210,-604,-5280,6415
72,1780264216410,-586,-5274,6412
73,1780264216493,-604,-5291,6426
74,1780264216577,-601,-5274,6404
75,1780264217527,-600,-5282,6417
76,1780264217577,-596,-5302,6419
77,1780264219059,-570,-5230,6413
78,1780264219593,-584,-5275,6412
79,1780264219709,-609,-5311,6407
80,1780264220459,-609,-5297,6431
81,1780264222526,-600,-5292,6393
82,1780264223426,-598,-5274,6434
83,1780264223676,-554,-5311,6436
84,1780264224376,-605,-5282,6399
85,1780264224576,-596,-5268,6402
86,1780264225492,-584,-5291,6372
87,1780264225826,-603,-5288,6415
88,1780264225975,-613,-5315,6152
89,1780264226842,-593,-5306,6432
90,1780264227009,-594,-5291,6393
91,1780264227875,-604,-5312,6469
92,1780264228343,-570,-5261,6427
93,1780264228959,-573,-5306,6418
94,1780264229192,-572,-5296,6388
95,1780264229742,-585,-5262,6419
96,1780264230109,-601,-5273,6448
97,1780264231959,-588,-5265,6396
98,1780264232093,-594,-5287,6409
99,1780264232425,-603,-5286,6427
100,1780264232458,-602,-5305,6404
101,1780264234809,-598,-5301,6405
102,1780264236825,-592,-5292,6403
103,1780264237241,-602,-5286,6411
104,1780264237409,-596,-5274,6423
105,1780264238358,-592,-5297,6422
106,1780264240376,-624,-5270,6400
107,1780264241442,-564,-5271,6436
108,1780264242609,-698,-5276,6375
109,1780264242776,-498,-5253,6420
110,1780264243309,-660,-5325,6327
111,1780264243959,-624,-5276,6435
112,1780264244908,-598,-5288,6452
113,1780264245124,-588,-5280,6408
114,1780264246108,-616,-5281,6359
115,1780264246608,-612,-5243,6324
116,1780264247425,-572,-5192,6380
117,1780264247675,-584,-5262,6382
118,1780264248174,-556,-5304,6404
119,1780264248624,-592,-5317,6413
120,1780264249408,-563,-5246,6395
121,1780264249491,-610,-5196,6460
122,1780264249575,-582,-5304,6386
123,1780264250158,-601,-5276,6432
124,1780264251141,-580,-5294,6417
125,1780264251675,-584,-5291,6406
126,1780264252208,-574,-5299,6423
127,1780264252425,-623,-5285,6440
128,1780264253375,-585,-5301,6396
129,1780264253541,-598,-5277,6417
130,1780264254774,-582,-5288,6396
131,1780264255141,-596,-5286,6406
132,1780264255641,-601,-5295,6460
133,1780264256008,-596,-5272,6391
134,1780264256208,-604,-5321,6452
135,1780264258440,-740,-5359,6366
136,1780264261457,-572,-5320,6301
137,1780264261490,-618,-5328,6447
138,1780264261824,-548,-5311,6361
139,1780264261941,-586,-5354,6432
140,1780264262324,-595,-5270,6397
141,1780264262607,-591,-5309,6399
142,1780264263475,-607,-5294,6407
143,1780264265124,-516,-5342,6065
144,1780264268340,-578,-5277,6408
145,1780264268925,-597,-5300,6409
146,1780264269041,-619,-5297,6389
147,1780264269241,-588,-5285,6396
148,1780264269625,-592,-5294,6403
149,1780264270107,-584,-5307,6429
150,1780264270190,-588,-5279,6396
151,1780264270740,-611,-5251,6410
152,1780264270974,-588,-5312,6392
153,1780264271524,-601,-5286,6403
154,1780264271840,-586,-5299,6407
155,1780264272590,-596,-5292,6391
156,1780264272957,-596,-5296,6409
157,1780264273125,-592,-5298,6405
158,1780264273491,-578,-5304,6408
159,1780264273790,-584,-5286,6408
160,1780264274740,-592,-5286,6416
161,1780264274774,-578,-5306,6382
162,1780264274858,-607,-5295,6409
163,1780264274990,-595,-5288,6402
164,1780264275106,-586,-5300,6407
165,1780264277207,-572,-5301,6420
166,1780264279073,-576,-5290,6408
167,1780264280139,-606,-5293,6410
168,1780264280339,-562,-5279,6411
169,1780264280389,-601,-5282,6411
170,1780264280589,-560,-5286,6387
171,1780264281539,-602,-5282,6411
172,1780264282607,-606,-5287,6380
173,1780264282991,-638,-5292,6430
174,1780264283524,-538,-5347,6306
175,1780264283974,-739,-5191,6360
176,1780264286740,-596,-5295,6396
177,1780264287155,-588,-5326,6405
178,1780264287555,-593,-5262,6394
179,1780264287806,-570,-5262,6398
180,1780264288056,-594,-5301,6436
181,1780264288305,-612,-5253,6394
182,1780264288505,-616,-5310,6344
183,1780264288756,-576,-5301,6421
184,1780264288889,-597,-5270,6386
