index,date,FRONT_LEFT,FRONT_RIGHT,REAR_LEFT,REAR_RIGHT
0,1780264173885,0,0,0,4
1,1780264173885,0,0,0,4
2,1780264173929,0,0,0,4
3,1780264174962,0,0,0,4
4,1780264175463,0,0,0,4
5,1780264175535,0,0,0,4
6,1780264176445,0,0,0,4
7,1780264177563,0,0,0,4
8,1780264177645,0,0,0,4
9,1780264178214,0,0,0,4
10,1780264178595,0,0,0,4
11,1780264181145,0,0,0,4
12,1780264182395,0,0,0,4
13,1780264182595,0,0,0,4
14,1780264184444,0,0,2,5
15,1780264184895,0,0,0,5
16,1780264186462,0,0,0,5
17,1780264187378,0,0,0,5
18,1780264189144,0,0,0,5
19,1780264194311,0,0,2,5
20,1780264194562,0,0,2,5
21,1780264195211,0,0,2,5
22,1780264196979,0,0,2,5
23,1780264197229,0,0,2,5
24,1780264200861,0,0,2,5
25,1780264203544,0,0,0,5
26,1780264204377,0,0,0,5
27,1780264204577,0,0,0,5
