index,date,ALTITUDE,GROUND_SPEED,FIX
0,1780264173885,65027,0,0
1,1780264173885,65022,0,0
2,1780264173885,65029,0,0
3,1780264173885,65035,0,0
4,1780264173979,65039,0,0
5,1780264174628,65033,0,0
6,1780264175245,65025,0,0
7,1780264175745,65039,0,0
8,1780264177729,65031,0,0
9,1780264177845,65043,0,0
10,1780264178095,65035,0,0
11,1780264179046,65033,0,0
12,1780264180745,65047,0,0
13,1780264181446,65031,0,0
14,1780264181728,65039,0,0
15,1780264183128,65039,0,0
16,1780264184945,65035,0,0
17,1780264185196,65037,0,0
18,1780264186062,65041,0,0
19,1780264187212,65045,0,0
20,1780264187295,65050,0,0
21,1780264187745,65049,0,0
22,1780264187995,65037,0,0
23,1780264188195,65044,0,0
24,1780264188861,65026,0,0
25,1780264189061,65035,0,0
26,1780264190062,65045,0,0
27,1780264190346,65043,0,0
28,1780264191628,65046,0,0
29,1780264192128,65044,0,0
30,1780264192861,65055,0,0
31,1780264193195,65037,0,0
32,1780264193445,65047,0,0
33,1780264193763,65049,0,0
34,1780264197028,65037,0,0
35,1780264197062,65037,0,0
36,1780264198011,65037,0,0
37,1780264198177,65045,0,0
38,1780264198394,65045,0,0
39,1780264200494,65050,0,0
40,1780264200828,65037,0,0
41,1780264201111,65039,0,0
42,1780264201863,65035,0,0
43,1780264203377,65045,0,0
44,1780264204461,65033,0,0
45,1780264205027,65049,0,0
