index,date,CELL_1,CELL_2,CELL_3,CELL_4
0,1780264173885,3.32,3.33,3.32,3.32
1,1780264175162,3.32,3.33,3.32,3.32
2,1780264176778,3.32,3.33,3.32,3.32
3,1780264176979,3.32,3.33,3.32,3.32
4,1780264177195,3.32,3.33,3.32,3.32
5,1780264183329,3.32,3.32,3.31,3.31
6,1780264185812,3.32,3.33,3.32,3.32
7,1780264188896,3.32,3.33,3.32,3.32
8,1780264192814,3.32,3.33,3.32,3.32
9,1780264192979,3.32,3.33,3.32,3.32
10,1780264194095,3.32,3.33,3.32,3.32
11,1780264195544,0.03,0.03,0.03,0.03
12,1780264197561,3.12,3.27,2.55,3.15
13,1780264197727,3.09,3.25,2.46,3.11
14,1780264199095,3.07,3.21,2.45,3.09
15,1780264200077,3.13,3.28,2.65,3.21
16,1780264201978,3.18,3.29,2.84,3.24
17,1780264203294,3.28,3.32,3.21,3.29
18,1780264204777,3.28,3.32,3.22,3.3
19,1780264205277,3.28,3.32,3.23,3.3
