index,date,ACCEL_X,ACCEL_Y,ACCEL_Z
0,1780264173885,7,-12,-2
1,1780264173885,5,-10,-1
2,1780264175712,6,-10,-2
3,1780264176078,7,-11,0
4,1780264176162,6,-11,-2
5,1780264178512,5,-11,-1
6,1780264180278,4,-9,-1
7,1780264181112,7,-9,0
8,1780264181978,4,-11,-2
9,1780264182511,8,-10,0
10,1780264182712,7,-11,-1
11,1780264183295,6,-9,-2
12,1780264183495,8,-10,-1
13,1780264184362,7,-12,-2
14,1780264184979,5,-11,-2
15,1780264185979,6,-10,-1
16,1780264186095,6,-11,-2
17,1780264186230,8,-9,-1
18,1780264186428,6,-11,0
19,1780264188129,8,-10,-1
20,1780264188579,5,-10,0
21,1780264188779,5,-10,-1
22,1780264188945,6,-9,-1
23,1780264191378,3,-7,1
24,1780264192328,7,-10,-1
25,1780264193846,8,-12,-2
26,1780264194261,68,-40,-1
27,1780264194878,-229,-24,-62
28,1780264196945,67,99,-13
29,1780264197361,-31,-111,-208
30,1780264198227,305,-174,174
31,1780264199345,-247,106,122
32,1780264199878,-122,84,-101
33,1780264200748,-128,-67,141
34,1780264201694,255,-64,114
35,1780264202061,36,51,-58
36,1780264202261,-321,-366,-55
37,1780264202595,-195,-62,249
38,1780264202812,-317,578,-68
39,1780264203512,-137,-158,79
40,1780264203961,2,206,-252
41,1780264203993,-5,242,-157
42,1780264204160,109,-95,-136
43,1780264205777,7,-18,2
44,1780264206893,5,-11,-1
45,1780264206978,7,-9,0
46,1780264207460,6,-10,-1
47,1780264207676,5,-9,-2
48,1780264207827,5,-11,-1
49,1780264208911,6,-9,0
50,1780264209277,9,-10,-1
51,1780264209410,6,-10,0
52,1780264210644,6,-11,-2
53,1780264213110,5,-11,-1
54,1780264213860,5,-10,1
55,1780264214344,7,-11,-1
56,1780264214727,7,-11,-1
57,1780264215426,6,-10,-3
58,1780264215544,8,-11,-2
59,1780264215710,5,-10,-2
60,1780264216043,6,-9,-1
61,1780264216660,4,-10,0
62,1780264218476,6,-10,-2
63,1780264219959,6,-10,0
64,1780264221443,5,-8,-2
65,1780264221692,6,-10,-2
66,1780264221977,7,-9,-1
67,1780264223309,6,-10,-1
68,1780264223876,4,-8,0
69,1780264225192,5,-11,-2
70,1780264225526,6,-10,-1
71,1780264225692,6,-10,-1
72,1780264226892,7,-9,-1
73,1780264227092,6,-11,-3
74,1780264227311,8,-11,-1
75,1780264228542,7,-10,-1
76,1780264229776,9,-10,-1
77,1780264230726,4,-12,0
78,1780264230842,7,-9,-2
79,1780264231875,6,-10,-1
80,1780264232342,6,-11,0
81,1780264233359,7,-9,-1
82,1780264233942,5,-11,-1
83,1780264234476,8,-9,-1
84,1780264234892,4,-9,-1
85,1780264235925,7,-11,-2
86,1780264236259,7,-11,-1
87,1780264236708,6,-10,-1
88,1780264237492,7,-11,-1
89,1780264238610,6,-13,1
90,1780264239508,10,-8,255
91,1780264240625,6,-9,-1
92,1780264241978,6,-8,-2
93,1780264243009,4,-9,0
94,1780264244009,3,-9,-1
95,1780264244758,8,-9,-1
96,1780264245043,6,-11,-2
97,1780264245941,8,-10,-2
98,1780264247508,6,-7,-1
99,1780264248675,4,-9,1
100,1780264248824,3,-9,-2
101,1780264249208,6,-6,-1
102,1780264252625,6,-10,-1
103,1780264252792,7,-11,-1
104,1780264252991,11,-11,0
105,1780264254158,5,-9,0
106,1780264254692,5,-11,-1
107,1780264254808,5,-10,-1
108,1780264256043,7,-9,0
109,1780264256258,7,-9,-1
110,1780264256841,4,-10,0
111,1780264257208,6,-11,-1
112,1780264257375,5,-11,-1
113,1780264257907,8,-8,2
114,1780264258774,1,-9,0
115,1780264259058,3,-5,-1
116,1780264259808,7,-9,0
117,1780264260057,5,-9,0
118,1780264261574,2,-8,-1
119,1780264262408,7,-10,-1
120,1780264263190,5,-10,-2
121,1780264263307,6,-8,-1
122,1780264263507,6,-11,-1
123,1780264265541,-7,-2,-5
124,1780264267190,6,-10,-1
125,1780264267344,7,-10,0
126,1780264267974,6,-11,-1
127,1780264268507,7,-10,-1
128,1780264269457,7,-11,-2
129,1780264269542,7,-11,-1
130,1780264270156,6,-10,-1
131,1780264270324,6,-11,0
132,1780264270440,13,-9,0
133,1780264270607,6,-8,0
134,1780264270773,5,-10,-2
135,1780264271473,7,-10,0
136,1780264275307,6,-11,-1
137,1780264276173,6,-9,-1
138,1780264277573,6,-11,0
139,1780264278040,8,-11,255
140,1780264279524,8,-10,-1
141,1780264280506,8,-10,-1
142,1780264282041,7,-9,0
143,1780264282239,5,-11,-1
144,1780264282439,6,-12,-1
145,1780264282856,5,-8,-1
146,1780264283606,2,-16,4
147,1780264283689,8,-7,1
148,1780264284172,4,-9,-1
149,1780264284922,3,-11,-2
150,1780264286206,5,-10,-1
151,1780264287355,7,-11,-1
152,1780264288089,4,-9,0
153,1780264288589,9,-12,-1
154,1780264288724,8,-10,-1
155,1780264289822,7,-11,-1
156,1780264290072,6,-11,-3
157,1780264291189,5,-10,-1
158,1780264291606,5,-11,-1
159,1780264291889,6,-10,-1
160,1780264292389,5,-10,-1
161,1780264292792,6,-11,-1
162,1780264293672,6,-9,-1
163,1780264296388,6,-13,0
164,1780264296672,5,-10,-2
165,1780264297041,5,-10,-1
166,1780264297122,5,-10,-3
167,1780264300839,5,-10,-1
168,1780264301255,7,-10,0
169,1780264301539,5,-11,-1
170,1780264301622,7,-10,-1
171,1780264302405,6,-9,0
172,1780264303155,5,-9,0
173,1780264304755,5,-8,-1
174,1780264305171,0,0,336
175,1780264305289,6,-11,-1
176,1780264305907,7,-10,0
177,1780264305955,7,-12,-1
178,1780264306322,6,-10,-1
179,1780264306488,5,-9,-2
180,1780264307022,5,-9,-1
181,1780264307156,6,-11,-1
182,1780264307439,6,-11,-1
183,1780264308838,6,-11,0
184,1780264309671,7,-9,-1
185,1780264310205,7,-9,-1
186,1780264310655,6,-9,-1
187,1780264311188,5,-10,-1
188,1780264311355,7,-10,-2
189,1780264312839,5,-10,0
190,1780264313588,6,-11,0
191,1780264313756,6,-12,-2
192,1780264314205,6,-11,0
193,1780264315271,5,-10,-1
194,1780264315438,5,-10,-1
195,1780264316138,5,-10,-256
196,1780264317139,5,-11,-1
197,1780264317755,6,-10,0
198,1780264318204,5,-11,-1
199,1780264318871,6,-12,-1
200,1780264319153,8,-9,0
201,1780264320055,7,-10,-1
202,1780264320637,6,-9,-1
203,1780264321303,6,-13,-1
204,1780264321753,6,-8,-3
