index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
0,1764700956526,6,-8,-1,0,0,0,0,0
1,1764700956776,5,-8,0,0,0,0,0,0
2,1764700956976,7,-9,0,0,0,0,0,0
3,1764700957093,5,-9,0,0,0,0,0,0
4,1764700957260,5,-7,-1,0,0,0,0,0
5,1764700957359,4,-10,-1,0,0,0,0,0
6,1764700957542,5,-8,0,0,0,0,0,0
7,1764700957693,4,-9,0,0,0,0,0,0
8,1764700957859,4,-9,0,0,0,0,0,0
9,1764700957960,5,-10,-2,0,0,0,0,0
10,1764700958176,3,-9,-1,0,0,0,0,0
11,1764700958276,4,-10,-2,0,0,0,0,0
12,1764700958459,7,-9,1,0,0,0,0,0
13,1764700958526,5,-9,-1,0,0,0,0,0
14,1764700958859,7,-10,-2,0,0,0,0,0
15,1764700958942,7,-8,0,0,0,0,0,0
16,1764700959109,5,-8,-1,0,0,0,0,0
17,1764700959242,6,-9,-1,0,0,0,0,0
18,1764700959426,5,-9,-1,0,0,0,0,0
19,1764700959676,4,-8,0,0,0,0,0,0
20,1764700959809,4,-9,0,0,0,0,0,0
21,1764700960009,4,-9,0,0,0,0,0,0
22,1764700960109,5,-10,0,0,0,0,0,0
23,1764700960276,5,-9,-1,0,0,0,0,0
24,1764700960359,5,-9,0,0,0,0,0,0
25,1764700960659,4,-8,-1,0,0,0,0,0
26,1764700960908,3,-9,-1,0,0,0,0,0
27,1764700960992,6,-9,0,0,0,0,0,0
28,1764700961225,3,-9,1,0,0,0,0,0
29,1764700961459,5,-10,0,0,0,0,0,0
30,1764700961542,7,-10,-1,0,0,0,0,0
31,1764700961792,7,-8,-1,0,0,0,0,0
32,1764700961876,4,-10,-1,0,0,0,0,0
33,1764700962076,4,-9,-1,0,0,0,0,0
34,1764700962176,5,-10,0,0,0,0,0,0
35,1764700962392,5,-8,1,0,0,0,0,0
36,1764700962642,5,-9,-1,0,0,0,0,0
37,1764700962810,6,-9,0,0,0,0,0,0
38,1764700963026,6,-8,-2,0,0,0,0,0
39,1764700963076,5,-8,0,0,0,0,0,0
40,1764700963292,5,-9,-1,0,0,0,0,0
41,1764700963360,6,-9,0,0,0,0,0,0
42,1764700963592,5,-8,0,0,0,0,0,0
43,1764700963875,4,-9,1,0,0,0,0,0
44,1764700963975,5,-10,-1,0,0,0,0,0
45,1764700964192,4,-9,-1,0,0,0,0,0
46,1764700964259,5,-8,0,0,0,0,0,0
47,1764700964460,5,-8,0,0,0,0,0,0
48,1764700964559,4,-9,-2,0,0,0,0,0
49,1764700964961,5,-8,0,0,0,0,0,0
50,1764700965092,6,-8,0,0,0,0,0,0
51,1764700965242,6,-9,0,0,0,0,0,0
52,1764700965410,5,-9,0,0,0,0,0,0
53,1764700965509,5,-9,-1,0,0,0,0,0
54,1764700965661,5,-11,-1,0,0,0,0,0
55,1764700965859,5,-10,0,0,0,0,0,0
56,1764700966093,5,-8,-1,0,0,0,0,0
57,1764700966259,5,-8,0,0,0,0,0,0
58,1764700966392,6,-8,0,0,0,0,0,0
59,1764700966592,6,-9,0,0,0,0,0,0
60,1764700966842,4,-9,0,0,0,0,0,0
61,1764700966992,4,-8,-2,0,0,0,0,0
62,1764700967142,4,-9,0,0,0,0,0,0
63,1764700967276,6,-9,0,0,0,0,0,0
64,1764700967459,5,-9,-1,0,0,0,0,0
65,1764700967575,4,-8,0,0,0,0,0,0
66,1764700967875,5,-8,-1,0,0,0,0,0
67,1764700968043,5,-9,0,0,0,0,0,0
68,1764700968176,5,-9,-1,0,0,0,0,0
69,1764700968358,5,-9,0,0,0,0,0,0
70,1764700968442,5,-9,-1,0,0,0,0,0
71,1764700968625,4,-9,-1,0,0,0,0,0
72,1764700968875,4,-10,-1,0,0,0,0,0
73,1764700969125,5,-9,0,0,0,0,0,0
74,1764700969258,4,-9,0,0,0,0,0,0
75,1764700969442,6,-8,-1,0,0,0,0,0
76,1764700969642,6,-8,-1,0,0,0,0,0
77,1764700969810,6,-9,-1,0,0,0,0,0
78,1764700969975,6,-8,-1,0,0,0,0,0
79,1764700970092,5,-9,-1,0,0,0,0,0
80,1764700970208,4,-10,0,0,0,0,0,0
81,1764700970392,5,-9,0,0,0,0,0,0
82,1764700970526,5,-9,0,0,0,0,0,0
83,1764700970743,5,-10,0,0,0,0,0,0
84,1764700971027,5,-8,0,0,0,0,0,0
85,1764700971142,5,-8,0,0,0,0,0,0
86,1764700971292,5,-9,0,0,0,0,0,0
87,1764700971409,6,-9,-1,0,0,0,0,0
88,1764700971593,4,-10,-1,0,0,0,0,0
89,1764700971676,3,-8,-2,0,0,0,0,0
90,1764700971909,4,-8,-1,0,0,0,0,0
91,1764700972160,3,-8,-1,0,0,0,0,0
92,1764700972226,5,-8,-1,0,0,0,0,0
93,1764700972492,3,-9,0,0,0,0,0,0
94,1764700972692,6,-9,-1,0,0,0,0,0
95,1764700972825,5,-9,-1,0,0,0,0,0
96,1764700973092,4,-8,0,0,0,0,0,0
97,1764700973276,6,-9,0,0,0,0,0,0
98,1764700973426,6,-8,0,0,0,0,0,0
99,1764700973577,4,-8,0,0,0,0,0,0
100,1764700973676,6,-9,-1,0,0,0,0,0
101,1764700973760,4,-9,0,0,0,0,0,0
102,1764700973975,5,-9,0,0,0,0,0,0
103,1764700974076,6,-8,-2,0,0,0,0,0
104,1764700974309,5,-8,0,0,0,0,0,0
105,1764700974476,6,-9,0,0,0,0,0,0
106,1764700974609,6,-10,1,0,0,0,0,0
107,1764700974742,5,-10,-1,0,0,0,0,0
108,1764700974809,3,-10,-1,0,0,0,0,0
109,1764700974909,5,-9,-1,0,0,0,0,0
110,1764700975158,7,-9,0,0,0,0,0,0
111,1764700975292,6,-9,-1,0,0,0,0,0
112,1764700975475,5,-9,0,0,0,0,0,0
113,1764700975592,5,-8,-1,0,0,0,0,0
114,1764700975742,6,-9,-1,0,0,0,0,0
115,1764700975892,5,-8,0,0,0,0,0,0
116,1764700976076,5,-9,0,0,0,0,0,0
117,1764700976192,6,-9,-1,0,0,0,0,0
118,1764700976392,4,-8,0,0,0,0,0,0
119,1764700976542,5,-9,-1,0,0,0,0,0
120,1764700976742,5,-9,0,0,0,0,0,0
121,1764700976825,5,-10,0,0,0,0,0,0
122,1764700977009,5,-9,-1,0,0,0,0,0
123,1764700977043,5,-7,-1,0,0,0,0,0
124,1764700977108,5,-10,0,0,0,0,0,0
125,1764700977309,7,-9,-1,0,0,0,0,0
126,1764700977492,7,-9,0,0,0,0,0,0
127,1764700977725,6,-8,-2,0,0,0,0,0
128,1764700977842,5,-8,-1,0,0,0,0,0
129,1764700978026,6,-9,-1,0,0,0,0,0
130,1764700978125,4,-9,-1,0,0,0,0,0
131,1764700978325,5,-9,1,0,0,0,0,0
132,1764700978442,5,-10,0,0,0,0,0,0
133,1764700978659,5,-9,0,0,0,0,0,0
134,1764700978726,5,-10,0,0,0,0,0,0
135,1764700978759,4,-9,0,0,0,0,0,0
136,1764700978925,6,-8,0,0,0,0,0,0
