index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1764700956676,3.32,3.32,3.32,3.32,0,0,0,0
1,1764700958342,3.32,3.32,3.32,3.32,0,0,0,0
2,1764700958543,3.32,3.32,3.32,3.32,0,0,0,0
3,1764700960525,3.32,3.32,3.32,3.32,0,0,0,0
4,1764700960725,3.32,3.32,3.32,3.32,0,0,0,0
5,1764700962442,3.32,3.32,3.32,3.32,0,0,0,0
6,1764700962676,3.32,3.32,3.32,3.32,0,0,0,0
7,1764700964609,3.32,3.32,3.32,3.32,0,0,0,0
8,1764700966559,3.32,3.32,3.32,3.32,0,0,0,0
9,1764700966826,3.32,3.32,3.32,3.32,0,0,0,0
10,1764700968659,3.32,3.32,3.32,3.32,0,0,0,0
11,1764700970659,3.32,3.32,3.32,3.32,0,0,0,0
12,1764700970859,3.32,3.32,3.32,3.32,0,0,0,0
13,1764700972792,3.32,3.32,3.32,3.32,0,0,0,0
14,1764700975009,3.32,3.32,3.32,3.32,0,0,0,0
15,1764700977342,3.32,3.32,3.32,3.32,0,0,0,0
16,1764700979309,3.32,3.32,3.32,3.32,0,0,0,0
17,1764700979559,3.32,3.32,3.32,3.32,0,0,0,0
18,1764700981826,3.32,3.32,3.32,3.32,0,0,0,0
19,1764700983875,3.32,3.32,3.32,3.32,0,0,0,0
20,1764700984075,3.32,3.32,3.32,3.32,0,0,0,0
21,1764700985959,3.32,3.32,3.32,3.32,0,0,0,0
22,1764700987942,3.32,3.32,3.32,3.32,0,0,0,0
23,1764700988125,3.32,3.32,3.32,3.32,0,0,0,0
24,1764700990109,3.32,3.32,3.32,3.32,0,0,0,0
25,1764700991991,3.32,3.32,3.32,3.32,0,0,0,0
26,1764700994192,3.32,3.32,3.32,3.32,0,0,0,0
27,1764700996091,3.32,3.32,3.32,3.32,0,0,0,0
28,1764700996325,3.32,3.32,3.32,3.32,0,0,0,0
29,1764700998275,3.32,3.32,3.32,3.32,0,0,0,0
30,1764701000208,3.32,3.32,3.32,3.32,0,0,0,0
31,1764701000441,3.32,3.32,3.32,3.32,0,0,0,0
32,1764701002109,3.3,3.27,3.2,3.26,0,0,0,0
33,1764701002292,3.3,3.27,3.2,3.26,0,0,0,0
34,1764701004292,3.29,3.26,3.17,3.25,0,0,0,0
35,1764701006175,3.28,3.26,3.16,3.25,0,0,0,0
36,1764701006408,3.29,3.27,3.19,3.26,0,0,0,0
37,1764701008426,3.31,3.31,3.31,3.31,0,0,0,0
38,1764701008624,3.31,3.31,3.31,3.31,0,0,0,0
39,1764701357756,3.29,3.27,3.2,3.26,0,0,0,0
40,1764701360056,3.29,3.26,3.18,3.26,0,0,0,0
41,1764701361955,3.29,3.27,3.21,3.26,0,0,0,0
42,1764701362171,3.29,3.27,3.19,3.26,0,0,0,0
43,1764701364121,3.31,3.31,3.31,3.31,0,0,0,0
44,1764701366070,3.31,3.31,3.31,3.31,0,0,0,0
45,1764701366304,3.31,3.31,3.31,3.31,0,0,0,0
46,1764701368186,3.31,3.31,3.31,3.31,0,0,0,0
47,1764701370204,3.31,3.31,3.29,3.3,0,0,0,0
48,1764701370371,3.31,3.3,3.29,5.83,0,0,0,0
49,1764701372287,3.29,3.27,3.19,3.27,0,0,0,0
50,1764701374254,3.29,3.27,3.19,3.26,0,0,0,0
51,1764701374454,3.28,3.26,3.19,3.26,0,0,0,0
52,1764701376438,3.3,3.31,3.3,3.3,0,0,0,0
53,1764701378320,3.3,3.31,3.31,3.3,0,0,0,0
54,1764701378537,3.3,3.31,3.31,3.3,0,0,0,0
55,1764701380538,3.3,3.31,3.31,3.31,0,0,0,0
