index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1764700956959,0,0,0,0,0,0,0,0
1,1764700957209,0,0,0,0,0,0,0,0
2,1764700957525,0,0,0,0,0,0,0,0
3,1764700957793,0,0,0,0,0,0,0,0
4,1764700958109,0,0,0,0,0,0,0,0
5,1764700958360,0,0,0,0,0,0,0,0
6,1764700958742,0,0,0,0,0,0,0,0
7,1764700958993,0,0,0,0,0,0,0,0
8,1764700959309,0,0,0,0,0,0,0,0
9,1764700959575,0,0,0,0,0,0,0,0
10,1764700959909,0,0,0,0,0,0,0,0
11,1764700960175,0,0,0,0,0,0,0,0
12,1764700960493,0,0,0,0,0,0,0,0
13,1764700960742,0,0,0,0,0,0,0,0
14,1764700961126,0,0,0,0,0,0,0,0
15,1764700961375,0,0,0,0,0,0,0,0
16,1764700961709,0,0,0,0,0,0,0,0
17,1764700961976,0,0,0,0,0,0,0,0
18,1764700962276,0,0,0,0,0,0,0,0
19,1764700962542,0,0,0,0,0,0,0,0
20,1764700962926,0,0,0,0,0,0,0,0
21,1764700963176,0,0,0,0,0,0,0,0
22,1764700963493,0,0,0,0,0,0,0,0
23,1764700963742,0,0,0,0,0,0,0,0
24,1764700964076,0,0,0,0,0,0,0,0
25,1764700964342,0,0,0,0,0,0,0,0
26,1764700964692,0,0,0,0,0,0,0,0
27,1764700964961,0,0,0,0,0,0,0,0
28,1764700965276,0,0,0,0,0,0,0,0
29,1764700965543,0,0,0,0,0,0,0,0
30,1764700965875,0,0,0,0,0,0,0,0
31,1764700966126,0,0,0,0,0,0,0,0
32,1764700966460,0,0,0,0,0,0,0,0
33,1764700966709,0,0,0,0,0,0,0,0
34,1764700967092,0,0,0,0,0,0,0,0
35,1764700967342,0,0,0,0,0,0,0,0
36,1764700967659,0,0,0,0,0,0,0,0
37,1764700967909,0,0,0,0,0,0,0,0
38,1764700968242,0,0,0,0,0,0,0,0
39,1764700968509,0,0,0,0,0,0,0,0
40,1764700968859,0,0,0,0,0,0,0,0
41,1764700969109,0,0,0,0,0,0,0,0
42,1764700969426,0,0,0,0,0,0,0,0
43,1764700969692,0,0,0,0,0,0,0,0
44,1764700970025,0,0,0,0,0,0,0,0
45,1764700970292,0,0,0,0,0,0,0,0
46,1764700970609,0,0,0,0,0,0,0,0
47,1764700970875,0,0,0,0,0,0,0,0
48,1764700971243,0,0,0,0,0,0,0,0
49,1764700971493,0,0,0,0,0,0,0,0
50,1764700972075,0,0,0,0,0,0,0,0
51,1764700972409,0,0,0,0,0,0,0,0
52,1764700972643,0,0,0,0,0,0,0,0
53,1764700973025,0,0,0,0,0,0,0,0
54,1764700973309,0,0,0,0,0,0,0,0
55,1764700973875,0,0,0,0,0,0,0,0
56,1764700974492,0,0,0,0,0,0,0,0
57,1764700974776,0,0,0,0,0,0,0,0
58,1764700975158,0,0,0,0,0,0,0,0
59,1764700975442,0,0,0,0,0,0,0,0
60,1764700975776,0,0,0,0,0,0,0,0
61,1764700976042,0,0,0,0,0,0,0,0
62,1764700976392,0,0,0,0,0,0,0,0
63,1764700976659,0,0,0,0,0,0,0,0
64,1764700976992,0,0,0,0,0,0,0,0
65,1764700977276,0,0,0,0,0,0,0,0
66,1764700977942,0,0,0,0,0,0,0,0
67,1764700978192,0,0,0,0,0,0,0,0
68,1764700978542,0,0,0,0,0,0,0,0
69,1764700978826,0,0,0,0,0,0,0,0
70,1764700979142,0,0,0,0,0,0,0,0
71,1764700979425,0,0,0,0,0,0,0,0
72,1764700979810,0,0,0,0,0,0,0,0
73,1764700980091,0,0,0,0,0,0,0,0
74,1764700980425,0,0,0,0,0,0,0,0
75,1764700980709,0,0,0,0,0,0,0,0
76,1764700981342,0,0,0,0,0,0,0,0
77,1764700981626,0,0,0,0,0,0,0,0
78,1764700982009,0,0,0,0,0,0,0,0
79,1764700982259,0,0,0,0,0,0,0,0
80,1764700982575,0,0,0,0,0,0,0,0
81,1764700982858,0,0,0,0,0,0,0,0
82,1764700983192,0,0,0,0,0,0,0,0
83,1764700983459,0,0,0,0,0,0,0,0
84,1764700983775,0,0,0,0,0,0,0,0
85,1764700984025,0,0,0,0,0,0,0,0
86,1764700984392,0,0,0,0,0,0,0,0
87,1764700984642,0,0,0,0,0,0,0,0
88,1764700984975,0,0,0,0,0,0,0,0
89,1764700985242,0,0,0,0,0,0,0,0
90,1764700985559,0,0,0,0,0,0,0,0
91,1764700985809,0,0,0,0,0,0,0,0
92,1764700986175,0,0,0,0,0,0,0,0
