index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1765820037905,3.34,3.34,3.34,3.33,0,0,0,0
1,1765820038171,3.34,3.34,3.34,3.33,0,0,0,0
2,1765820039038,3.34,3.34,3.34,3.33,0,0,0,0
3,1765820039339,3.34,3.34,3.34,3.33,0,0,0,0
4,1765820040289,3.34,3.34,3.34,3.33,0,0,0,0
5,1765820040523,3.34,3.34,3.34,3.33,0,0,0,0
6,1765820041455,3.34,3.34,3.34,3.33,0,0,0,0
7,1765820041755,3.34,3.34,3.34,3.33,0,0,0,0
8,1765820042921,3.34,3.34,3.34,3.33,0,0,0,0
9,1765820044171,3.34,3.34,3.34,3.33,0,0,0,0
10,1765820045322,3.34,3.34,3.34,3.33,0,0,0,0
11,1765820045572,3.34,3.34,3.34,3.33,0,0,0,0
12,1765820046489,3.34,3.34,3.34,3.33,0,0,0,0
13,1765820047748,3.34,3.34,3.34,3.33,0,0,0,0
14,1765820047956,3.34,3.34,3.34,3.33,0,0,0,0
15,1765820048839,3.34,3.34,3.34,3.33,0,0,0,0
16,1765820049105,3.34,3.34,3.34,3.33,0,0,0,0
17,1765820050089,3.34,3.34,3.34,3.33,0,0,0,0
18,1765820050339,3.34,3.34,3.34,3.33,0,0,0,0
19,1765820051222,3.34,3.34,3.34,3.33,0,0,0,0
20,1765820051539,3.34,3.34,3.34,3.33,0,0,0,0
21,1765820052456,3.34,3.34,3.34,3.33,0,0,0,0
22,1765820052705,3.34,3.34,3.34,3.33,0,0,0,0
23,1765820053938,3.34,3.34,3.34,3.33,0,0,0,0
24,1765820054189,3.34,3.34,3.34,3.33,0,0,0,0
25,1765820055088,3.34,3.34,3.34,3.33,0,0,0,0
26,1765820055371,3.34,3.34,3.34,3.33,0,0,0,0
27,1765820056338,3.34,3.34,3.34,3.33,0,0,0,0
28,1765820056538,3.34,3.34,3.34,3.33,0,0,0,0
29,1765820057506,3.34,3.34,3.34,3.33,0,0,0,0
30,1765820057788,3.34,3.34,3.34,3.33,0,0,0,0
31,1765820058687,3.34,3.34,3.34,3.33,0,0,0,0
32,1765820058938,3.34,3.34,3.34,3.33,0,0,0,0
33,1765820059888,3.34,3.34,3.34,3.33,0,0,0,0
34,1765820060139,3.34,3.34,3.34,3.33,0,0,0,0
35,1765820061039,3.34,3.34,3.34,3.33,0,0,0,0
36,1765820061322,3.34,3.34,3.34,3.33,0,0,0,0
37,1765820062572,3.34,3.34,3.34,3.33,0,0,0,0
38,1765820062809,3.34,3.34,3.34,3.33,0,0,0,0
39,1765820063822,3.34,3.34,3.34,3.33,0,0,0,0
40,1765820064072,3.34,3.34,3.34,3.33,0,0,0,0
41,1765820065006,3.34,3.34,3.34,3.33,0,0,0,0
42,1765820065322,3.34,3.34,3.34,3.33,0,0,0,0
43,1765820216536,3.34,3.34,3.34,3.33,0,0,0,0
44,1765820217770,3.34,3.34,3.34,3.33,0,0,0,0
45,1765820218036,3.34,3.34,3.34,3.33,0,0,0,0
46,1765820218937,3.34,3.34,3.34,3.33,0,0,0,0
47,1765820219220,3.34,3.34,3.34,3.33,0,0,0,0
48,1765820220170,3.34,3.34,3.34,3.33,0,0,0,0
49,1765820220403,3.34,3.34,3.34,3.33,0,0,0,0
50,1765820221352,3.34,3.34,3.34,3.33,0,0,0,0
51,1765820221636,3.34,3.34,3.34,3.33,0,0,0,0
52,1765820222520,3.34,3.34,3.34,3.33,0,0,0,0
53,1765820222770,3.34,3.34,3.34,3.33,0,0,0,0
54,1765820223969,3.34,3.34,3.34,3.33,0,0,0,0
55,1765820225153,3.34,3.34,3.34,3.33,0,0,0,0
56,1765820225453,3.34,3.34,3.34,3.33,0,0,0,0
57,1765820226319,3.34,3.34,3.34,3.33,0,0,0,0
58,1765820227537,3.34,3.34,3.34,3.33,0,0,0,0
59,1765820227770,3.34,3.34,3.34,3.33,0,0,0,0
60,1765820228669,3.34,3.34,3.34,3.33,0,0,0,0
61,1765820228970,3.34,3.34,3.34,3.33,0,0,0,0
62,1765820229936,3.34,3.34,3.34,3.33,0,0,0,0
63,1765820230139,3.34,3.34,3.34,3.33,0,0,0,0
64,1765820231103,3.34,3.34,3.34,3.33,0,0,0,0
65,1765820231420,3.34,3.34,3.34,3.33,0,0,0,0
66,1765820232302,3.34,3.34,3.34,3.33,0,0,0,0
