index,date,ENERGY,OVERLOAD,TEMPERATURE_1,TEMPERATURE_2,1,2,3,4
0,1765820036805,0,0,0,0,0,0,0,0
1,1765820036987,0,0,0,0,0,0,0,0
2,1765820037288,0,0,0,0,0,0,0,0
3,1765820037537,0,0,0,0,0,0,0,0
4,1765820037822,0,0,0,0,0,0,0,0
5,1765820038372,0,0,0,0,0,0,0,0
6,1765820038854,0,0,0,0,0,0,0,0
7,1765820039205,0,0,0,0,0,0,0,0
8,1765820039339,0,0,0,0,0,0,0,0
9,1765820039688,0,0,0,0,0,0,0,0
10,1765820039888,0,0,0,0,0,0,0,0
11,1765820040172,0,0,0,0,0,0,0,0
12,1765820040722,0,0,0,0,0,0,0,0
13,1765820041205,0,0,0,0,0,0,0,0
14,1765820041672,0,0,0,0,0,0,0,0
15,1765820042055,0,0,0,0,0,0,0,0
16,1765820042256,0,0,0,0,0,0,0,0
17,1765820042538,0,0,0,0,0,0,0,0
18,1765820042721,0,0,0,0,0,0,0,0
19,1765820043087,0,0,0,0,0,0,0,0
20,1765820043572,0,0,0,0,0,0,0,0
21,1765820044038,0,0,0,0,0,0,0,0
22,1765820044387,0,0,0,0,0,0,0,0
23,1765820044587,0,0,0,0,0,0,0,0
24,1765820044870,0,0,0,0,0,0,0,0
25,1765820045055,0,0,0,0,0,0,0,0
26,1765820045371,0,0,0,0,0,0,0,0
27,1765820045855,0,0,0,0,0,0,0,0
28,1765820046339,0,0,0,0,0,0,0,0
29,1765820046672,0,0,0,0,0,0,0,0
30,1765820046889,0,0,0,0,0,0,0,0
31,1765820047172,0,0,0,0,0,0,0,0
32,1765820047355,0,0,0,0,0,0,0,0
33,1765820047638,0,0,0,0,0,0,0,0
34,1765820048172,0,0,0,0,0,0,0,0
35,1765820048655,0,0,0,0,0,0,0,0
36,1765820049022,0,0,0,0,0,0,0,0
37,1765820049171,0,0,0,0,0,0,0,0
38,1765820049472,0,0,0,0,0,0,0,0
39,1765820049689,0,0,0,0,0,0,0,0
40,1765820049955,0,0,0,0,0,0,0,0
41,1765820050522,0,0,0,0,0,0,0,0
42,1765820051004,0,0,0,0,0,0,0,0
43,1765820051472,0,0,0,0,0,0,0,0
44,1765820051821,0,0,0,0,0,0,0,0
45,1765820052038,0,0,0,0,0,0,0,0
46,1765820052322,0,0,0,0,0,0,0,0
47,1765820052522,0,0,0,0,0,0,0,0
48,1765820052889,0,0,0,0,0,0,0,0
49,1765820053038,0,0,0,0,0,0,0,0
50,1765820053339,0,0,0,0,0,0,0,0
51,1765820053821,0,0,0,0,0,0,0,0
52,1765820054388,0,0,0,0,0,0,0,0
53,1765820054671,0,0,0,0,0,0,0,0
54,1765820054856,0,0,0,0,0,0,0,0
55,1765820055188,0,0,0,0,0,0,0,0
56,1765820055704,0,0,0,0,0,0,0,0
57,1765820055904,0,0,0,0,0,0,0,0
58,1765820056189,0,0,0,0,0,0,0,0
59,1765820056722,0,0,0,0,0,0,0,0
60,1765820056989,0,0,0,0,0,0,0,0
61,1765820057189,0,0,0,0,0,0,0,0
62,1765820057488,0,0,0,0,0,0,0,0
63,1765820057655,0,0,0,0,0,0,0,0
64,1765820058038,0,0,0,0,0,0,0,0
65,1765820058222,0,0,0,0,0,0,0,0
66,1765820058522,0,0,0,0,0,0,0,0
67,1765820059055,0,0,0,0,0,0,0,0
68,1765820059522,0,0,0,0,0,0,0,0
69,1765820059805,0,0,0,0,0,0,0,0
70,1765820060005,0,0,0,0,0,0,0,0
71,1765820060371,0,0,0,0,0,0,0,0
72,1765820060555,0,0,0,0,0,0,0,0
73,1765820060838,0,0,0,0,0,0,0,0
74,1765820061339,0,0,0,0,0,0,0,0
75,1765820061889,0,0,0,0,0,0,0,0
76,1765820062172,0,0,0,0,0,0,0,0
77,1765820062405,0,0,0,0,0,0,0,0
78,1765820062741,0,0,0,0,0,0,0,0
