index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1765820036872,0,0,0,0,0,0,0,0
1,1765820037070,0,0,0,0,0,0,0,0
2,1765820037372,0,0,0,0,0,0,0,0
3,1765820037621,0,0,0,0,0,0,0,0
4,1765820037922,0,0,0,0,0,0,0,0
5,1765820038088,0,0,0,0,0,0,0,0
6,1765820038456,0,0,0,0,0,0,0,0
7,1765820038922,0,0,0,0,0,0,0,0
8,1765820039472,0,0,0,0,0,0,0,0
9,1765820039755,0,0,0,0,0,0,0,0
10,1765820039956,0,0,0,0,0,0,0,0
11,1765820040238,0,0,0,0,0,0,0,0
12,1765820040439,0,0,0,0,0,0,0,0
13,1765820040806,0,0,0,0,0,0,0,0
14,1765820040989,0,0,0,0,0,0,0,0
15,1765820041272,0,0,0,0,0,0,0,0
16,1765820041789,0,0,0,0,0,0,0,0
17,1765820042322,0,0,0,0,0,0,0,0
18,1765820042605,0,0,0,0,0,0,0,0
19,1765820042804,0,0,0,0,0,0,0,0
20,1765820043155,0,0,0,0,0,0,0,0
21,1765820043355,0,0,0,0,0,0,0,0
22,1765820043638,0,0,0,0,0,0,0,0
23,1765820043838,0,0,0,0,0,0,0,0
24,1765820044121,0,0,0,0,0,0,0,0
25,1765820044654,0,0,0,0,0,0,0,0
26,1765820044954,0,0,0,0,0,0,0,0
27,1765820045139,0,0,0,0,0,0,0,0
28,1765820045489,0,0,0,0,0,0,0,0
29,1765820045605,0,0,0,0,0,0,0,0
30,1765820045939,0,0,0,0,0,0,0,0
31,1765820046405,0,0,0,0,0,0,0,0
32,1765820046972,0,0,0,0,0,0,0,0
33,1765820047256,0,0,0,0,0,0,0,0
34,1765820047422,0,0,0,0,0,0,0,0
35,1765820047756,0,0,0,0,0,0,0,0
36,1765820047905,0,0,0,0,0,0,0,0
37,1765820048255,0,0,0,0,0,0,0,0
38,1765820048455,0,0,0,0,0,0,0,0
39,1765820048738,0,0,0,0,0,0,0,0
40,1765820049288,0,0,0,0,0,0,0,0
41,1765820049572,0,0,0,0,0,0,0,0
42,1765820049755,0,0,0,0,0,0,0,0
43,1765820050039,0,0,0,0,0,0,0,0
44,1765820050238,0,0,0,0,0,0,0,0
45,1765820050606,0,0,0,0,0,0,0,0
46,1765820050772,0,0,0,0,0,0,0,0
47,1765820051073,0,0,0,0,0,0,0,0
48,1765820051589,0,0,0,0,0,0,0,0
49,1765820052104,0,0,0,0,0,0,0,0
50,1765820052389,0,0,0,0,0,0,0,0
51,1765820052605,0,0,0,0,0,0,0,0
52,1765820052955,0,0,0,0,0,0,0,0
53,1765820053155,0,0,0,0,0,0,0,0
54,1765820053421,0,0,0,0,0,0,0,0
55,1765820053605,0,0,0,0,0,0,0,0
56,1765820053905,0,0,0,0,0,0,0,0
57,1765820054472,0,0,0,0,0,0,0,0
58,1765820054738,0,0,0,0,0,0,0,0
59,1765820054939,0,0,0,0,0,0,0,0
60,1765820055305,0,0,0,0,0,0,0,0
61,1765820055438,0,0,0,0,0,0,0,0
62,1765820055773,0,0,0,0,0,0,0,0
63,1765820055971,0,0,0,0,0,0,0,0
64,1765820056255,0,0,0,0,0,0,0,0
65,1765820056805,0,0,0,0,0,0,0,0
66,1765820057255,0,0,0,0,0,0,0,0
67,1765820057621,0,0,0,0,0,0,0,0
68,1765820057738,0,0,0,0,0,0,0,0
69,1765820058105,0,0,0,0,0,0,0,0
70,1765820058305,0,0,0,0,0,0,0,0
71,1765820058588,0,0,0,0,0,0,0,0
72,1765820058772,0,0,0,0,0,0,0,0
73,1765820059138,0,0,0,0,0,0,0,0
74,1765820059605,0,0,0,0,0,0,0,0
75,1765820059905,0,0,0,0,0,0,0,0
76,1765820060073,0,0,0,0,0,0,0,0
77,1765820060438,0,0,0,0,0,0,0,0
78,1765820060639,0,0,0,0,0,0,0,0
79,1765820060921,0,0,0,0,0,0,0,0
80,1765820061088,0,0,0,0,0,0,0,0
81,1765820061472,0,0,0,0,0,0,0,0
82,1765820061974,0,0,0,0,0,0,0,0
83,1765820062189,0,0,0,0,0,0,0,0
84,1765820062472,0,0,0,0,0,0,0,0
85,1765820063022,0,0,0,0,0,0,0,0
86,1765820063305,0,0,0,0,0,0,0,0
87,1765820063505,0,0,0,0,0,0,0,0
88,1765820063805,0,0,0,0,0,0,0,0
89,1765820064005,0,0,0,0,0,0,0,0
90,1765820064372,0,0,0,0,0,0,0,0
91,1765820064588,0,0,0,0,0,0,0,0
92,1765820064872,0,0,0,0,0,0,0,0
93,1765820065088,0,0,0,0,0,0,0,0
94,1765820216421,0,0,0,0,0,0,0,0
95,1765820216987,0,0,0,0,0,0,0,0
96,1765820217286,0,0,0,0,0,0,0,0
97,1765820217471,0,0,0,0,0,0,0,0
98,1765820217770,0,0,0,0,0,0,0,0
99,1765820217952,0,0,0,0,0,0,0,0
100,1765820218320,0,0,0,0,0,0,0,0
101,1765820218520,0,0,0,0,0,0,0,0
102,1765820218803,0,0,0,0,0,0,0,0
103,1765820219320,0,0,0,0,0,0,0,0
104,1765820219603,0,0,0,0,0,0,0,0
105,1765820219819,0,0,0,0,0,0,0,0
106,1765820220103,0,0,0,0,0,0,0,0
107,1765820220328,0,0,0,0,0,0,0,0
108,1765820220653,0,0,0,0,0,0,0,0
109,1765820220853,0,0,0,0,0,0,0,0
110,1765820221120,0,0,0,0,0,0,0,0
111,1765820221587,0,0,0,0,0,0,0,0
112,1765820221936,0,0,0,0,0,0,0,0
113,1765820222152,0,0,0,0,0,0,0,0
114,1765820222420,0,0,0,0,0,0,0,0
115,1765820222619,0,0,0,0,0,0,0,0
116,1765820222969,0,0,0,0,0,0,0,0
117,1765820223119,0,0,0,0,0,0,0,0
118,1765820223453,0,0,0,0,0,0,0,0
119,1765820223918,0,0,0,0,0,0,0,0
120,1765820224270,0,0,0,0,0,0,0,0
121,1765820224452,0,0,0,0,0,0,0,0
122,1765820224736,0,0,0,0,0,0,0,0
123,1765820224920,0,0,0,0,0,0,0,0
124,1765820225253,0,0,0,0,0,0,0,0
125,1765820225769,0,0,0,0,0,0,0,0
126,1765820226219,0,0,0,0,0,0,0,0
127,1765820226553,0,0,0,0,0,0,0,0
128,1765820226753,0,0,0,0,0,0,0,0
129,1765820227036,0,0,0,0,0,0,0,0
130,1765820227220,0,0,0,0,0,0,0,0
131,1765820227503,0,0,0,0,0,0,0,0
132,1765820228053,0,0,0,0,0,0,0,0
133,1765820228519,0,0,0,0,0,0,0,0
134,1765820228903,0,0,0,0,0,0,0,0
135,1765820229053,0,0,0,0,0,0,0,0
136,1765820229353,0,0,0,0,0,0,0,0
137,1765820229569,0,0,0,0,0,0,0,0
138,1765820229836,0,0,0,0,0,0,0,0
139,1765820230403,0,0,0,0,0,0,0,0
140,1765820230612,0,0,0,0,0,0,0,0
141,1765820230874,0,0,0,0,0,0,0,0
142,1765820231353,0,0,0,0,0,0,0,0
