index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,-605,8053,-440,0,0,0,0,0
1,-616,8073,-436,0,0,0,0,0
2,-580,8116,-438,0,0,0,0,0
3,-556,8116,-424,0,0,0,0,0
4,-574,8109,-442,0,0,0,0,0
5,-640,8070,-440,0,0,0,0,0
6,-660,8034,-455,0,0,0,0,0
7,-636,8056,-446,0,0,0,0,0
8,-593,8058,-312,0,0,0,0,0
9,-588,8160,-426,0,0,0,0,0
10,-618,8076,-428,0,0,0,0,0
11,-634,8112,-472,0,0,0,0,0
12,-562,8074,-433,0,0,0,0,0
13,-575,8086,-446,0,0,0,0,0
14,-594,8144,-454,0,0,0,0,0
15,-680,8076,-418,0,0,0,0,0
16,-638,8085,-419,0,0,0,0,0
17,-527,8152,-441,0,0,0,0,0
18,-544,8066,-440,0,0,0,0,0
19,-651,8121,-445,0,0,0,0,0
20,-676,8116,-444,0,0,0,0,0
21,-585,8050,-431,0,0,0,0,0
22,-550,8137,-456,0,0,0,0,0
23,-620,8102,-441,0,0,0,0,0
24,-689,8045,-426,0,0,0,0,0
25,-598,8130,-458,0,0,0,0,0
26,-522,8120,-442,0,0,0,0,0
27,-659,8067,-428,0,0,0,0,0
28,-528,8079,-430,0,0,0,0,0
29,-555,8121,-439,0,0,0,0,0
30,-650,8077,-431,0,0,0,0,0
31,-683,8085,-428,0,0,0,0,0
32,-577,8151,-448,0,0,0,0,0
33,-632,8042,-446,0,0,0,0,0
34,-603,8104,-454,0,0,0,0,0
35,-550,8121,-454,0,0,0,0,0
36,-590,8145,-438,0,0,0,0,0
37,-568,8123,-435,0,0,0,0,0
38,-622,8108,-440,0,0,0,0,0
39,-622,8105,-433,0,0,0,0,0
40,-541,8122,-458,0,0,0,0,0
41,-546,8121,-442,0,0,0,0,0
42,-710,8074,-447,0,0,0,0,0
43,-542,8116,-444,0,0,0,0,0
44,-500,8135,-419,0,0,0,0,0
45,-665,8090,-431,0,0,0,0,0
46,-696,8066,-435,0,0,0,0,0
47,-577,8094,-442,0,0,0,0,0
48,-530,8138,-450,0,0,0,0,0
49,-600,8139,-432,0,0,0,0,0
50,-625,8036,-472,0,0,0,0,0
51,-572,8178,-390,0,0,0,0,0
52,-576,8126,-395,0,0,0,0,0
53,-554,8117,-459,0,255,255,0,0
54,-555,8099,-460,0,0,0,0,0
55,-654,8099,-440,0,255,255,0,0
56,-669,8114,-424,0,0,0,0,0
57,-596,8092,-425,0,0,0,0,0
58,-562,8104,-442,0,0,0,0,0
59,-658,8076,-442,0,0,0,0,0
60,-650,8091,-442,0,0,0,0,0
61,-590,8094,-457,0,0,0,0,0
62,-655,8113,-393,0,0,0,0,0
63,-554,8032,-455,0,0,0,0,0
64,-630,8164,-422,0,0,0,0,0
65,-538,8082,-431,0,0,0,0,0
66,-568,8112,-436,0,0,0,0,0
67,-646,8120,-438,0,0,0,0,0
68,-652,8062,-421,0,0,0,0,0
69,-562,8116,-432,0,0,0,0,0
70,-546,8102,-442,0,0,0,0,0
71,-612,8083,-420,0,0,0,0,0
72,-657,8113,-434,0,0,0,0,0
73,-618,8109,-433,0,0,0,0,0
74,-575,8124,-444,0,0,0,0,0
75,-647,8092,-422,0,0,0,0,0
76,-550,7926,-529,0,0,0,0,0
77,-552,8084,-413,0,0,0,0,0
78,-550,7944,-510,0,0,0,0,0
79,-664,8056,-473,0,0,0,0,0
80,-634,8144,-464,0,0,0,0,0
81,-636,8140,-432,0,0,0,0,0
82,-587,8098,-438,0,0,0,0,0
83,-585,8073,-458,0,0,0,0,0
84,-638,8130,-446,0,0,0,0,0
85,-618,8063,-417,0,0,0,0,0
86,-594,8131,-441,0,0,0,0,0
87,-600,8079,-424,0,0,0,0,0
88,-604,8094,-438,0,0,0,0,0
89,-615,8110,-439,0,0,0,0,0
90,-595,8076,-416,0,0,0,0,0
91,-621,8103,-430,0,96,254,0,0
92,-598,8086,-420,0,0,0,0,0
93,-609,8120,-443,0,0,0,0,0
94,-618,8110,-433,0,0,0,0,0
95,-614,8120,-440,0,0,0,0,0
96,-598,8131,-428,0,0,0,0,0
97,-573,8112,-429,0,0,0,0,0
98,-646,8086,-454,0,0,0,0,0
99,-587,8104,-450,0,0,0,0,0
100,-629,8120,-431,0,0,0,0,0
101,-597,8090,-427,0,0,0,0,0
102,-574,8122,-413,0,0,0,0,0
103,-618,8116,-430,0,0,0,0,0
104,-625,8072,-425,0,0,0,0,0
105,-622,8092,-438,0,0,0,0,0
106,-589,8118,-428,0,0,0,0,0
107,-600,8096,-446,0,0,0,0,0
108,-614,8114,-430,0,0,0,0,0
109,-640,8104,-426,0,0,0,0,0
