index,date,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,1764700956461,-1793,7945,-100,0,0,0,0,0
1,1764700956776,-1788,7945,-94,0,0,0,0,0
2,1764700956942,-1785,7944,-88,0,0,0,0,0
3,1764700957076,-1789,7953,-99,0,0,0,0,0
4,1764700957192,-1786,7942,-98,0,0,0,0,0
5,1764700957343,-1795,7948,-100,0,0,0,0,0
6,1764700957492,-1784,7948,-98,0,0,0,0,0
7,1764700957676,-1792,7953,-94,0,0,0,0,0
8,1764700957826,-1799,7951,-96,0,0,0,0,0
9,1764700957943,-1793,7945,-90,0,0,0,0,0
10,1764700958143,-1788,7948,-92,0,0,0,0,0
11,1764700958259,-1796,7948,-101,0,0,0,0,0
12,1764700958392,-1785,7946,-91,0,0,0,0,0
13,1764700958510,-1795,7948,-96,0,0,0,0,0
14,1764700958843,-1800,7946,-91,0,0,0,0,0
15,1764700958910,-1790,7944,-91,0,0,0,0,0
16,1764700959093,-1786,7945,-102,0,0,0,0,0
17,1764700959175,-1793,7949,-98,0,0,0,0,0
18,1764700959409,-1797,7950,-102,0,0,0,0,0
19,1764700959508,-1790,7949,-92,0,0,0,0,0
20,1764700959676,-1789,7948,-106,0,0,0,0,0
21,1764700959759,-1791,7948,-85,0,0,0,0,0
22,1764700960009,-1789,7946,-100,0,0,0,0,0
23,1764700960059,-1795,7948,-93,0,0,0,0,0
24,1764700960242,-1787,7952,-103,0,0,0,0,0
25,1764700960309,-1791,7943,-97,0,0,0,0,0
26,1764700960559,-1796,7947,-90,0,0,0,0,0
27,1764700960709,-1796,7940,-90,0,0,0,0,0
28,1764700960843,-1792,7951,-96,0,0,0,0,0
29,1764700960959,-1790,7947,-95,0,0,0,0,0
30,1764700961192,-1796,7950,-99,0,0,0,0,0
31,1764700961260,-1793,7944,-88,0,0,0,0,0
32,1764700961409,-1790,7944,-108,0,0,0,0,0
33,1764700961526,-1792,7939,-92,0,0,0,0,0
34,1764700961759,-1788,7948,-97,0,0,0,0,0
35,1764700961859,-1793,7951,-82,0,0,0,0,0
36,1764700962060,-1789,7950,-96,0,0,0,0,0
37,1764700962109,-1791,7945,-96,0,0,0,0,0
38,1764700962342,-1790,7947,-100,0,0,0,0,0
39,1764700962442,-1793,7944,-89,0,0,0,0,0
40,1764700962575,-1783,7941,-96,0,0,0,0,0
41,1764700962776,-1794,7946,-101,0,0,0,0,0
42,1764700963009,-1797,7949,-95,0,0,0,0,0
43,1764700963242,-1782,7944,-102,0,0,0,0,0
44,1764700963326,-1798,7948,-94,0,0,0,0,0
45,1764700963560,-1797,7942,-105,0,0,0,0,0
46,1764700963809,-1793,7959,-92,0,0,0,0,0
47,1764700963926,-1790,7950,-104,0,0,0,0,0
48,1764700964159,-1793,7941,-98,0,0,0,0,0
49,1764700964242,-1797,7942,-105,0,0,0,0,0
50,1764700964425,-1792,7947,-102,0,0,0,0,0
51,1764700964526,-1787,7946,-95,0,0,0,0,0
52,1764700964826,-1787,7938,-108,0,0,0,0,0
53,1764700965075,-1791,7951,-92,0,0,0,0,0
54,1764700965193,-1799,7947,-95,0,0,0,0,0
55,1764700965393,-1797,7950,-94,0,0,0,0,0
56,1764700965459,-1793,7944,-96,0,0,0,0,0
57,1764700965642,-1790,7948,-94,0,0,0,0,0
58,1764700965809,-1788,7948,-101,0,0,0,0,0
59,1764700965992,-1790,7946,-95,0,0,0,0,0
60,1764700966042,-1792,7945,-90,0,0,0,0,0
61,1764700966242,-1795,7949,-96,0,0,0,0,0
62,1764700966342,-1796,7945,-94,0,0,0,0,0
63,1764700966559,-1789,7942,-89,0,0,0,0,0
64,1764700966792,-1785,7952,-94,0,0,0,0,0
65,1764700966959,-1785,7942,-95,0,0,0,0,0
66,1764700967226,-1796,7945,-96,0,0,0,0,0
67,1764700967442,-1792,7957,-99,0,0,0,0,0
68,1764700967525,-1800,7948,-105,0,0,0,0,0
69,1764700967825,-1788,7950,-92,0,0,0,0,0
70,1764700968025,-1797,7948,-97,0,0,0,0,0
71,1764700968143,-1790,7944,-98,0,0,0,0,0
72,1764700968342,-1795,7938,-96,0,0,0,0,0
73,1764700968376,-1790,7948,-92,0,0,0,0,0
74,1764700968592,-1783,7946,-94,0,0,0,0,0
75,1764700968827,-1789,7954,-93,0,0,0,0,0
76,1764700969093,-1792,7941,-95,0,0,0,0,0
77,1764700969225,-1786,7949,-98,0,0,0,0,0
78,1764700969377,-1791,7952,-100,0,0,0,0,0
79,1764700969592,-1788,7949,-94,0,0,0,0,0
80,1764700969792,-1792,7946,-98,0,0,0,0,0
81,1764700969926,-1539,7949,-99,0,0,0,0,0
82,1764700970175,-1791,7946,-99,0,0,0,0,0
83,1764700970392,-1790,7942,-108,0,0,0,0,0
84,1764700970459,-1784,7940,-98,0,0,0,0,0
85,1764700971027,-1781,7946,-89,0,0,0,0,0
86,1764700971075,-1789,7951,-95,0,0,0,0,0
87,1764700971276,-1792,7943,-97,0,0,0,0,0
88,1764700971359,-1791,7948,-98,0,0,0,0,0
89,1764700971576,-1789,7957,-97,0,0,0,0,0
90,1764700971642,-1790,7947,-94,0,0,0,0,0
91,1764700971892,-1798,7949,-96,0,0,0,0,0
92,1764700972110,-1784,7941,-98,0,0,0,0,0
93,1764700972226,-1790,7952,-94,0,0,0,0,0
94,1764700972392,-1786,7946,-92,0,0,0,0,0
95,1764700972458,-1795,7946,-96,0,0,0,0,0
96,1764700972643,-1791,7952,-96,0,0,0,0,0
97,1764700972775,-1793,7950,-104,0,0,0,0,0
98,1764700973042,-1803,7948,-101,0,0,0,0,0
99,1764700973242,-1789,7948,-98,0,0,0,0,0
100,1764700973409,-1797,7950,-98,0,0,0,0,0
101,1764700973525,-1786,7944,-94,0,0,0,0,0
102,1764700973659,-1788,7948,-98,0,0,0,0,0
103,1764700973725,-1785,7942,-93,0,0,0,0,0
104,1764700973942,-1785,7949,-103,0,0,0,0,0
105,1764700974042,-1800,7949,-101,0,0,0,0,0
106,1764700974292,-1795,7951,-97,0,0,0,0,0
107,1764700974426,-1782,7951,-95,0,0,0,0,0
108,1764700974609,-1795,7953,-93,0,0,0,0,0
109,1764700974709,-1799,7946,-94,0,0,0,0,0
110,1764700974909,-1794,7942,-92,0,0,0,0,0
111,1764700975093,-1800,7943,-93,0,0,0,0,0
112,1764700975275,-1788,7955,-102,0,0,0,0,0
113,1764700975442,-1800,7947,-87,0,0,0,0,0
114,1764700975559,-1798,7956,-102,0,0,0,0,0
115,1764700975709,-1792,7950,-99,0,0,0,0,0
116,1764700975876,-1794,7946,-92,0,0,0,0,0
117,1764700976042,-1794,7949,-96,0,0,0,0,0
118,1764700976175,-1787,7948,-87,0,0,0,0,0
119,1764700976326,-1796,7951,-106,0,0,0,0,0
120,1764700976493,-1796,7959,-101,0,0,0,0,0
121,1764700976709,-1788,7954,-105,0,0,0,0,0
122,1764700976809,-1792,7948,-94,0,0,0,0,0
123,1764700976959,-1789,7948,-96,0,0,0,0,0
124,1764700977092,-1795,7945,-98,0,0,0,0,0
125,1764700977259,-1790,7952,-103,0,0,0,0,0
126,1764700977475,-1796,7948,-94,0,0,0,0,0
127,1764700977725,-1797,7945,-91,0,0,0,0,0
128,1764700977809,-1790,7947,-93,0,0,0,0,0
129,1764700978009,-1795,7950,-99,0,0,0,0,0
130,1764700978075,-1788,7943,-113,0,0,0,0,0
131,1764700978309,-1780,7951,-104,0,0,0,0,0
132,1764700978392,-1790,7950,-96,0,0,0,0,0
133,1764700978609,-1794,7940,-100,0,0,0,0,0
134,1764700978693,-1788,7948,-88,0,0,0,0,0
135,1764700978925,-1787,7945,-108,0,0,0,0,0
136,1764700978976,-1792,7955,-97,0,0,0,0,0
137,1764700979175,-1794,7946,-102,0,0,0,0,0
138,1764700979275,-1798,7951,-84,0,0,0,0,0
139,1764700979509,-1794,7931,-94,0,0,0,0,0
140,1764700979675,-1766,7974,-86,0,0,0,0,0
141,1764700979992,-1814,7942,-118,0,0,0,0,0
142,1764700980192,-1796,7950,-94,0,0,0,0,0
143,1764700980259,-1782,7937,-88,0,0,0,0,0
144,1764700980492,-1782,7955,-100,0,0,0,0,0
145,1764700980575,-1781,7949,-91,0,0,0,0,0
146,1764700980776,-1797,7930,-96,0,0,0,0,0
147,1764700980875,-1806,7950,-100,0,0,0,0,0
148,1764700981109,-1784,7945,-94,0,0,0,0,0
149,1764700981192,-1790,7956,-101,0,0,0,0,0
150,1764700981375,-1786,7940,-96,0,0,0,0,0
151,1764700981475,-1802,7942,-93,0,0,0,0,0
152,1764700981709,-1798,7941,-104,0,0,0,0,0
153,1764700981775,-1790,7952,-105,0,0,0,0,0
154,1764700982092,-1788,7952,-98,0,0,0,0,0
155,1764700982159,-1804,7942,-88,0,0,0,0,0
156,1764700982259,-1794,7949,-104,0,0,0,0,0
157,1764700982392,-1794,7943,-86,0,0,0,0,0
158,1764700982558,-1802,7948,-86,0,0,0,0,0
159,1764700982707,-1778,7946,-105,0,0,0,0,0
160,1764700982957,-1790,7944,-93,0,0,0,0,0
161,1764700983077,-1787,7946,-102,0,0,0,0,0
162,1764700983292,-1785,7952,-106,0,0,0,0,0
163,1764700983542,-1789,7950,-94,0,0,0,0,0
164,1764700983609,-1796,7940,-107,0,0,0,0,0
165,1764700983842,-1791,7944,-100,0,0,0,0,0
166,1764700984193,-1793,7949,-104,0,0,0,0,0
167,1764700984326,-1794,7946,-113,0,0,0,0,0
168,1764700984510,-1790,7948,-96,0,0,0,0,0
169,1764700984575,-1800,7953,-100,0,0,0,0,0
170,1764700984760,-1784,7952,-98,0,0,0,0,0
171,1764700984875,-1786,7948,-114,0,0,0,0,0
172,1764700985092,-1794,7943,-96,0,0,0,0,0
173,1764700985158,-1785,7943,-103,0,0,0,0,0
174,1764700985359,-1786,7946,-94,0,0,0,0,0
175,1764700985508,-1785,7954,-101,0,0,0,0,0
176,1764700985676,-1793,7947,-98,0,0,0,0,0
177,1764700985791,-1786,7943,-89,0,0,0,0,0
178,1764700985942,-1789,7951,-112,0,0,0,0,0
179,1764700986208,-1790,7949,-94,0,0,0,0,0
180,1764700986425,-1801,7944,-104,0,0,0,0,0
181,1764700986575,-1782,7950,-98,0,0,0,0,0
182,1764700986742,-1789,7940,-98,0,0,0,0,0
183,1764700987025,-1790,7947,-95,0,0,0,0,0
184,1764700987174,-1790,7953,-96,0,0,0,0,0
185,1764700987375,-1794,7946,-102,0,0,0,0,0
186,1764700987625,-1791,7945,-106,0,0,0,0,0
187,1764700987742,-1790,7948,-99,0,0,0,0,0
188,1764700987909,-1797,7948,-94,0,0,0,0,0
189,1764700988325,-1794,7935,-92,0,0,0,0,0
190,1764700988426,-1792,7936,-94,0,0,0,0,0
191,1764700988642,-1787,7937,-92,0,0,0,0,0
192,1764700988692,-1799,7945,-102,0,0,0,0,0
193,1764700988908,-1776,7948,-96,0,0,0,0,0
194,1764700988975,-1793,7951,-86,0,0,0,0,0
195,1764700989241,-1790,7947,-91,0,0,0,0,0
196,1764700989491,-1802,7946,-92,0,0,0,0,0
197,1764700989541,-1789,7942,-90,0,0,0,0,0
198,1764700989775,-1794,7944,-88,0,0,0,0,0
199,1764700990025,-1794,7940,-91,0,0,0,0,0
200,1764700990209,-1778,7947,-90,0,0,0,0,0
201,1764700990492,-1789,7946,-96,0,0,0,0,0
202,1764700990708,-1782,7948,-99,0,0,0,0,0
203,1764700990776,-1793,7948,-97,0,0,0,0,0
204,1764700991041,-1806,7936,-94,0,0,0,0,0
205,1764700991292,-1802,7952,-104,0,0,0,0,0
206,1764700991391,-1788,7942,-93,0,0,0,0,0
207,1764700991625,-1790,7944,-102,0,0,0,0,0
208,1764700991860,-1804,7944,-110,0,0,0,0,0
209,1764700991959,-1788,7955,-102,0,0,0,0,0
210,1764700992193,-1786,7951,-101,0,0,0,0,0
211,1764700992508,-1801,7948,-94,0,0,0,0,0
212,1764700992592,-1787,7960,-93,0,0,0,0,0
213,1764700992759,-1800,7946,-99,0,0,0,0,0
214,1764700992858,-1787,7951,-101,0,0,0,0,0
215,1764700993075,-1794,7941,-106,0,0,0,0,0
216,1764700993159,-1790,7946,-96,0,0,0,0,0
217,1764700993326,-1797,7946,-99,0,0,0,0,0
218,1764700993409,-1784,7951,-99,0,0,0,0,0
219,1764700993675,-1802,7946,-102,0,0,0,0,0
220,1764700993725,-1792,7947,-96,0,0,0,0,0
221,1764700993909,-1802,7948,-114,0,0,0,0,0
222,1764700993992,-1782,7954,-108,0,0,0,0,0
223,1764700994292,-1788,7944,-108,0,0,0,0,0
224,1764700994408,-1800,7951,-112,0,0,0,0,0
225,1764700994559,-1795,7948,-84,0,0,0,0,0
226,1764700994675,-1785,7944,-104,0,0,0,0,0
227,1764700994876,-1780,7944,-98,0,0,0,0,0
228,1764700994975,-1786,7946,-86,0,0,0,0,0
229,1764700995126,-1787,7948,-105,0,0,0,0,0
230,1764700995225,-1781,7948,-102,0,0,0,0,0
231,1764700995475,-1799,7957,-99,0,0,0,0,0
232,1764700995541,-1791,7946,-113,0,0,0,0,0
233,1764700995708,-1786,7954,-107,0,0,0,0,0
234,1764700995792,-1796,7950,-102,0,0,0,0,0
235,1764700996026,-1806,7944,-94,0,0,0,0,0
236,1764700996108,-1794,7944,-102,0,0,0,0,0
237,1764700996342,-1781,7951,-98,0,0,0,0,0
238,1764700996625,-1796,7959,-109,0,0,0,0,0
239,1764700996708,-1796,7941,-100,0,0,0,0,0
240,1764700996892,-1786,7940,-93,0,0,0,0,0
241,1764700996975,-1789,7942,-91,0,0,0,0,0
242,1764700997208,-1786,7948,-96,0,0,0,0,0
243,1764700997309,-1787,7943,-91,0,0,0,0,0
