index,date,MODE_ID,ERROR_ID,AIR_P,AIR_N,1,2,3,4
0,1764700957626,1,0,0,0,0,0,0,0
1,1764700957793,1,0,0,0,0,0,0,0
2,1764700959477,1,0,0,0,0,0,0,0
3,1764700959725,1,0,0,0,0,0,0,0
4,1764700961676,1,0,0,0,0,0,0,0
5,1764700963626,1,0,0,0,0,0,0,0
6,1764700963858,1,0,0,0,0,0,0,0
7,1764700965725,1,0,0,0,0,0,0,0
8,1764700967743,1,0,0,0,0,0,0,0
9,1764700967959,1,0,0,0,0,0,0,0
10,1764700969859,1,0,0,0,0,0,0,0
11,1764700971825,1,0,0,0,0,0,0,0
12,1764700972009,1,0,0,0,0,0,0,0
13,1764700974009,1,0,0,0,0,0,0,0
14,1764700974242,1,0,0,0,0,0,0,0
15,1764700976226,1,0,0,0,0,0,0,0
16,1764700976477,1,0,0,0,0,0,0,0
17,1764700978525,1,0,0,0,0,0,0,0
18,1764700980825,1,0,0,1,0,0,0,0
19,1764700981059,1,0,0,1,0,0,0,0
20,1764700983025,1,0,1,1,0,0,0,0
21,1764700985026,1,0,1,1,0,0,0,0
22,1764700985192,1,0,1,1,0,0,0,0
23,1764700987159,1,0,1,1,0,0,0,0
24,1764700989057,1,0,1,1,0,0,0,0
25,1764700989241,1,0,1,1,0,0,0,0
26,1764700991241,1,0,1,1,0,0,0,0
27,1764700993142,1,0,1,1,0,0,0,0
28,1764700993376,1,0,1,1,0,0,0,0
29,1764700995358,1,0,1,1,0,0,0,0
30,1764700997292,1,0,1,1,0,0,0,0
31,1764700997508,1,0,1,1,0,0,0,0
32,1764700999392,1,0,1,1,0,0,0,0
33,1764701001375,1,0,1,1,0,0,0,0
34,1764701001575,1,0,1,1,0,0,0,0
35,1764701003225,1,0,1,1,0,0,0,0
36,1764701003458,1,0,1,1,0,0,0,0
37,1764701005409,1,0,1,1,0,0,0,0
38,1764701007379,1,0,1,1,0,0,0,0
39,1764701007628,1,0,1,1,0,0,0,0
40,1764701358955,1,0,1,1,0,0,0,0
41,1764701359191,1,0,1,1,0,0,0,0
42,1764701361187,1,0,1,1,0,0,0,0
43,1764701363122,1,0,1,1,0,0,0,0
44,1764701363358,1,0,1,1,0,0,0,0
45,1764701365237,1,0,1,1,0,0,0,0
46,1764701367237,1,0,1,1,0,0,0,0
47,1764701367437,1,0,1,1,0,0,0,0
48,1764701369337,1,0,1,1,0,0,0,0
49,1764701371304,1,0,1,1,0,0,0,0
50,1764701371504,1,0,1,1,0,0,0,0
51,1764701373488,1,0,1,1,0,0,0,0
52,1764701375404,1,0,1,1,0,0,0,0
53,1764701375604,1,0,1,1,0,0,0,0
54,1764701377604,1,0,1,1,0,0,0,0
55,1764701379488,1,0,1,1,0,0,0,0
56,1764701379720,1,0,1,1,0,0,0,0
