index,date,ENERGY,OVERLOAD,TEMPERATURE_1,TEMPERATURE_2,1,2,3,4
0,1764700956942,0,0,0,0,0,0,0,0
1,1764700957192,0,0,0,0,0,0,0,0
2,1764700957509,0,0,0,0,0,0,0,0
3,1764700958092,0,0,0,0,0,0,0,0
4,1764700958742,0,0,0,0,0,0,0,0
5,1764700958976,0,0,0,0,0,0,0,0
6,1764700959309,0,0,0,0,0,0,0,0
7,1764700959559,0,0,0,0,0,0,0,0
8,1764700959892,0,0,0,0,0,0,0,0
9,1764700960159,0,0,0,0,0,0,0,0
10,1764700960460,0,0,0,0,0,0,0,0
11,1764700960742,0,0,0,0,0,0,0,0
12,1764700961109,0,0,0,0,0,0,0,0
13,1764700961359,0,0,0,0,0,0,0,0
14,1764700961693,0,0,0,0,0,0,0,0
15,1764700961959,0,0,0,0,0,0,0,0
16,1764700962260,0,0,0,0,0,0,0,0
17,1764700962526,0,0,0,0,0,0,0,0
18,1764700962909,0,0,0,0,0,0,0,0
19,1764700963159,0,0,0,0,0,0,0,0
20,1764700963476,0,0,0,0,0,0,0,0
21,1764700963726,0,0,0,0,0,0,0,0
22,1764700964076,0,0,0,0,0,0,0,0
23,1764700964325,0,0,0,0,0,0,0,0
24,1764700964676,0,0,0,0,0,0,0,0
25,1764700964944,0,0,0,0,0,0,0,0
26,1764700965276,0,0,0,0,0,0,0,0
27,1764700965526,0,0,0,0,0,0,0,0
28,1764700965859,0,0,0,0,0,0,0,0
29,1764700966109,0,0,0,0,0,0,0,0
30,1764700966426,0,0,0,0,0,0,0,0
31,1764700966692,0,0,0,0,0,0,0,0
32,1764700967075,0,0,0,0,0,0,0,0
33,1764700967342,0,0,0,0,0,0,0,0
34,1764700967659,0,0,0,0,0,0,0,0
35,1764700967892,0,0,0,0,0,0,0,0
36,1764700968226,0,0,0,0,0,0,0,0
37,1764700968475,0,0,0,0,0,0,0,0
38,1764700968843,0,0,0,0,0,0,0,0
39,1764700969093,0,0,0,0,0,0,0,0
40,1764700969409,0,0,0,0,0,0,0,0
41,1764700969676,0,0,0,0,0,0,0,0
42,1764700970009,0,0,0,0,0,0,0,0
43,1764700970260,0,0,0,0,0,0,0,0
44,1764700970592,0,0,0,0,0,0,0,0
45,1764700970842,0,0,0,0,0,0,0,0
46,1764700971226,0,0,0,0,0,0,0,0
47,1764700971475,0,0,0,0,0,0,0,0
48,1764700971809,0,0,0,0,0,0,0,0
49,1764700972075,0,0,0,0,0,0,0,0
50,1764700972392,0,0,0,0,0,0,0,0
51,1764700972626,0,0,0,0,0,0,0,0
52,1764700973009,0,0,0,0,0,0,0,0
53,1764700973276,0,0,0,0,0,0,0,0
54,1764700973875,0,0,0,0,0,0,0,0
55,1764700974492,0,0,0,0,0,0,0,0
56,1764700975125,0,0,0,0,0,0,0,0
57,1764700975425,0,0,0,0,0,0,0,0
58,1764700975759,0,0,0,0,0,0,0,0
59,1764700976026,0,0,0,0,0,0,0,0
60,1764700976376,0,0,0,0,0,0,0,0
61,1764700976642,0,0,0,0,0,0,0,0
62,1764700976975,0,0,0,0,0,0,0,0
63,1764700977242,0,0,0,0,0,0,0,0
64,1764700977925,0,0,0,0,0,0,0,0
65,1764700978192,0,0,0,0,0,0,0,0
66,1764700978542,0,0,0,0,0,0,0,0
67,1764700978809,0,0,0,0,0,0,0,0
68,1764700979125,0,0,0,0,0,0,0,0
69,1764700979425,0,0,0,0,0,0,0,0
70,1764700979792,0,0,0,0,0,0,0,0
71,1764700980075,0,0,0,0,0,0,0,0
72,1764700980409,0,0,0,0,0,0,0,0
73,1764700980692,0,0,0,0,0,0,0,0
74,1764700981309,0,0,0,0,0,0,0,0
75,1764700981609,0,0,0,0,0,0,0,0
76,1764700981975,0,0,0,0,0,0,0,0
77,1764700982242,0,0,2,0,0,0,0,0
78,1764700982574,0,0,2,0,0,0,0,0
79,1764700982841,0,0,2,0,0,0,0,0
80,1764700983176,0,0,2,0,0,0,0,0
81,1764700983442,0,0,2,0,0,0,0,0
82,1764700983743,0,0,2,0,0,0,0,0
83,1764700984009,0,0,2,0,0,0,0,0
84,1764700984392,0,0,2,0,0,0,0,0
85,1764700984642,0,0,2,0,0,0,0,0
86,1764700984959,0,0,2,0,0,0,0,0
87,1764700985209,0,0,2,0,0,0,0,0
88,1764700985525,0,0,2,0,0,0,0,0
89,1764700985791,0,0,2,0,0,0,0,0
90,1764700986175,0,0,2,0,0,0,0,0
91,1764700986425,0,0,2,0,0,0,0,0
92,1764700986742,0,0,2,0,0,0,0,0
93,1764700986992,0,0,2,0,0,0,0,0
94,1764700987326,0,0,2,0,0,0,0,0
95,1764700987592,0,0,2,0,0,0,0,0
96,1764700987892,0,0,2,0,0,0,0,0
97,1764700988192,0,0,2,0,0,0,0,0
98,1764700988542,0,0,2,0,0,0,0,0
99,1764700988775,0,0,2,0,0,0,0,0
100,1764700989124,0,0,2,0,0,0,0,0
101,1764700989374,0,0,2,0,0,0,0,0
102,1764700989691,0,0,2,0,0,0,0,0
103,1764700989958,0,0,2,0,0,0,0,0
104,1764700990325,0,0,2,0,0,0,0,0
105,1764700990592,0,0,2,0,0,0,0,0
106,1764700990908,0,0,2,0,0,0,0,0
107,1764700991158,0,0,2,0,0,0,0,0
108,1764700991492,0,0,2,0,0,0,0,0
109,1764700991758,0,0,2,0,0,0,0,0
110,1764700992108,0,0,2,0,0,0,0,0
111,1764700992392,0,0,2,0,0,0,0,0
112,1764700992708,0,0,2,0,0,0,0,0
113,1764700992960,0,0,2,0,0,0,0,0
114,1764700993309,0,0,2,0,0,0,0,0
115,1764700993559,0,0,2,0,0,0,0,0
116,1764700993875,0,0,2,0,0,0,0,0
117,1764700994142,0,0,2,0,0,0,0,0
118,1764700994759,0,0,2,0,0,0,0,0
119,1764700995358,0,0,2,0,0,0,0,0
120,1764700995925,0,0,2,0,0,0,0,0
121,1764700996558,0,0,2,0,0,0,0,0
122,1764700997125,0,0,2,0,0,0,0,0
123,1764700997709,0,0,2,0,0,0,0,0
124,1764700998308,0,0,2,0,0,0,0,0
125,1764700998908,0,0,2,0,0,0,0,0
126,1764700999508,0,0,2,0,0,0,0,0
127,1764701000059,0,0,2,1,0,0,0,0
128,1764701000692,0,0,2,1,0,0,0,0
129,1764701001258,0,0,2,1,0,0,0,0
130,1764701001858,0,0,2,1,0,0,0,0
131,1764701002458,0,0,2,1,0,0,0,0
132,1764701003025,0,0,2,1,0,0,0,0
133,1764701003625,0,0,2,1,0,0,0,0
134,1764701004192,0,0,2,1,0,0,0,0
135,1764701004825,0,0,2,1,0,0,0,0
136,1764701005392,0,0,2,1,0,0,0,0
137,1764701005676,0,0,2,1,0,0,0,0
138,1764701005992,0,0,2,1,0,0,0,0
139,1764701006641,0,0,2,1,0,0,0,0
140,1764701006907,0,0,2,1,0,0,0,0
141,1764701007227,0,0,2,1,0,0,0,0
142,1764701007477,0,0,2,1,0,0,0,0
143,1764701007824,0,0,2,1,0,0,0,0
144,1764701008092,0,0,2,0,0,0,0,0
145,1764701008426,0,0,2,0,0,0,0,0
146,1764701008725,0,0,2,0,0,0,0,0
147,1764701357519,0,0,2,1,0,0,0,0
148,1764701357874,0,0,2,1,0,0,0,0
149,1764701358156,0,0,2,1,0,0,0,0
150,1764701358475,0,0,2,1,0,0,0,0
151,1764701358754,0,0,2,1,0,0,0,0
152,1764701359374,0,0,2,1,0,0,0,0
153,1764701359973,0,0,2,1,0,0,0,0
154,1764701360604,0,0,2,1,0,0,0,0
155,1764701360855,0,0,2,1,0,0,0,0
156,1764701361204,0,0,2,1,0,0,0,0
157,1764701361457,0,0,2,1,0,0,0,0
158,1764701361774,0,0,2,1,0,0,0,0
159,1764701362387,0,0,2,1,0,0,0,0
160,1764701362637,0,0,2,1,0,0,0,0
161,1764701362972,0,0,2,1,0,0,0,0
162,1764701363226,0,0,2,1,0,0,0,0
163,1764701363573,0,0,2,1,0,0,0,0
164,1764701363840,0,0,2,1,0,0,0,0
165,1764701364171,0,0,2,1,0,0,0,0
166,1764701364454,0,0,2,0,0,0,0,0
167,1764701364770,0,0,2,0,0,0,0,0
168,1764701365021,0,0,2,0,0,0,0,0
169,1764701365354,0,0,2,0,0,0,0,0
170,1764701365622,0,0,2,0,0,0,0,0
171,1764701365920,0,0,2,0,0,0,0,0
172,1764701366186,0,0,2,0,0,0,0,0
173,1764701366570,0,0,2,0,0,0,0,0
174,1764701366821,0,0,2,0,0,0,0,0
175,1764701367137,0,0,2,0,0,0,0,0
176,1764701367388,0,0,2,0,0,0,0,0
177,1764701367720,0,0,2,0,0,0,0,0
178,1764701367990,0,0,2,0,0,0,0,0
179,1764701368353,0,0,2,0,0,0,0,0
180,1764701368604,0,0,2,0,0,0,0,0
181,1764701368921,0,0,2,0,0,0,0,0
182,1764701369187,0,0,2,0,0,0,0,0
183,1764701369504,0,0,2,0,0,0,0,0
184,1764701369770,0,0,2,0,0,0,0,0
185,1764701370087,0,0,2,0,0,0,0,0
186,1764701370337,0,0,2,1,0,0,0,0
187,1764701370704,0,0,2,1,0,0,0,0
188,1764701370954,0,0,2,1,0,0,0,0
189,1764701371271,0,0,2,1,0,0,0,0
190,1764701371554,0,0,2,1,0,0,0,0
191,1764701371871,0,0,2,1,0,0,0,0
192,1764701372137,0,0,2,1,0,0,0,0
193,1764701372504,0,0,2,1,0,0,0,0
194,1764701372771,0,0,2,1,0,0,0,0
195,1764701373087,0,0,2,1,0,0,0,0
196,1764701373354,0,0,2,1,0,0,0,0
197,1764701373704,0,0,2,1,0,0,0,0
198,1764701373937,0,0,2,1,0,0,0,0
199,1764701374271,0,0,2,1,0,0,0,0
200,1764701374570,0,0,2,1,0,0,0,0
201,1764701374887,0,0,2,1,0,0,0,0
202,1764701375137,0,0,2,1,0,0,0,0
203,1764701375471,0,0,2,1,0,0,0,0
204,1764701375737,0,0,2,1,0,0,0,0
205,1764701376054,0,0,2,1,0,0,0,0
206,1764701376320,0,0,2,0,0,0,0,0
207,1764701376687,0,0,2,0,0,0,0,0
208,1764701377521,0,0,2,0,0,0,0,0
209,1764701377854,0,0,2,0,0,0,0,0
210,1764701378087,0,0,2,0,0,0,0,0
211,1764701378720,0,0,2,0,0,0,0,0
212,1764701379287,0,0,2,0,0,0,0,0
213,1764701379887,0,0,2,0,0,0,0,0
214,1764701380470,0,0,2,0,0,0,0,0
215,1764701381104,0,0,2,0,0,0,0,0
