index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1765568975398,3.29,3.29,3.29,3.28,0,0,0,0
1,1765568975533,3.29,3.29,3.29,3.28,0,0,0,0
2,1765568977147,3.29,3.29,3.29,3.28,0,0,0,0
3,1765568977348,3.29,3.29,3.29,3.28,0,0,0,0
4,1765568978863,3.29,3.29,3.29,3.28,0,0,0,0
5,1765568980431,3.29,3.29,3.29,3.28,0,0,0,0
6,1765568980630,3.29,3.29,3.29,3.28,0,0,0,0
7,1765568982131,3.29,3.29,3.29,3.28,0,0,0,0
8,1765568983948,3.29,3.29,3.29,3.28,0,0,0,0
9,1765568985630,3.29,3.29,3.29,3.28,0,0,0,0
10,1765568987264,3.29,3.29,3.29,3.28,0,0,0,0
11,1765568987414,3.29,3.29,3.29,3.28,0,0,0,0
12,1765568988966,3.29,3.29,3.29,3.28,0,0,0,0
13,1765568989148,3.29,3.29,3.29,3.28,0,0,0,0
14,1765568990748,3.29,3.29,3.29,3.28,0,0,0,0
15,1765568992547,3.29,3.29,3.29,3.28,0,0,0,0
16,1765568994414,3.29,3.29,3.29,3.28,0,0,0,0
17,1765568996281,3.29,3.29,3.29,3.28,0,0,0,0
18,1765568996509,3.29,3.29,3.29,3.28,0,0,0,0
19,1765568998080,3.29,3.29,3.29,3.28,0,0,0,0
20,1765568998265,3.29,3.29,3.29,3.28,0,0,0,0
21,1765568999965,3.29,3.29,3.29,3.28,0,0,0,0
22,1765569000131,3.29,3.29,3.29,3.28,0,0,0,0
23,1765569001664,3.29,3.29,3.29,3.28,0,0,0,0
24,1765569003398,3.29,3.29,3.29,3.28,0,0,0,0
25,1765569004981,3.29,3.29,3.29,3.28,0,0,0,0
26,1765569005131,3.29,3.29,3.29,3.28,0,0,0,0
27,1765569006714,3.29,3.29,3.29,3.28,0,0,0,0
28,1765569008481,3.29,3.29,3.29,3.28,0,0,0,0
29,1765569010197,3.29,3.29,3.29,3.28,0,0,0,0
30,1765569011831,3.29,3.29,3.29,3.28,0,0,0,0
31,1765569011997,3.29,3.29,3.29,3.28,0,0,0,0
32,1765569013531,3.29,3.29,3.29,3.28,0,0,0,0
33,1765569015298,3.29,3.29,3.29,3.28,0,0,0,0
34,1765569016798,3.29,3.29,3.29,3.28,0,0,0,0
35,1765569016948,3.29,3.29,3.29,3.28,0,0,0,0
36,1765569018581,3.29,3.29,3.29,3.28,0,0,0,0
37,1765569020231,3.29,3.29,3.29,3.28,0,0,0,0
38,1765569021881,3.29,3.29,3.29,3.28,0,0,0,0
39,1765569022030,3.29,3.29,3.29,3.28,0,0,0,0
40,1765569023564,3.29,3.29,3.29,3.28,0,0,0,0
41,1765569025364,3.29,3.29,3.29,3.28,0,0,0,0
42,1765569027180,3.29,3.29,3.29,3.28,0,0,0,0
43,1765569029014,3.29,3.29,3.29,3.28,0,0,0,0
44,1765569030897,3.29,3.29,3.29,3.28,0,0,0,0
45,1765569031130,3.29,3.29,3.29,3.28,0,0,0,0
46,1765569032712,3.29,3.29,3.29,3.28,0,0,0,0
47,1765569032931,3.29,3.29,3.29,3.28,0,0,0,0
48,1765569034630,3.29,3.29,3.29,3.28,0,0,0,0
49,1765569034764,3.29,3.29,3.29,3.28,0,0,0,0
50,1765569036314,3.29,3.29,3.29,3.28,0,0,0,0
51,1765569038064,3.29,3.29,3.29,3.28,0,0,0,0
52,1765569039631,3.29,3.29,3.29,3.28,0,0,0,0
53,1765569039781,3.29,3.29,3.29,3.28,0,0,0,0
54,1765569041347,3.29,3.29,3.29,3.28,0,0,0,0
55,1765569043097,3.29,3.29,3.29,3.28,0,0,0,0
56,1765569044647,3.29,3.29,3.29,3.28,0,0,0,0
57,1765569044797,3.29,3.29,3.29,3.28,0,0,0,0
58,1765569046429,3.29,3.29,3.29,3.28,0,0,0,0
59,1765569046614,3.29,3.29,3.29,3.28,0,0,0,0
60,1765569048131,3.29,3.29,3.29,3.28,0,0,0,0
61,1765569049729,3.29,3.29,3.29,3.28,0,0,0,0
62,1765569049914,3.29,3.29,3.29,3.28,0,0,0,0
63,1765569051447,3.29,3.29,3.29,3.28,0,0,0,0
64,1765569051613,3.29,3.29,3.29,3.28,0,0,0,0
65,1765569053229,3.29,3.29,3.29,3.28,0,0,0,0
66,1765569054896,3.29,3.29,3.29,3.28,0,0,0,0
67,1765569056530,3.29,3.29,3.29,3.28,0,0,0,0
68,1765569056680,3.29,3.29,3.29,3.28,0,0,0,0
69,1765569058231,3.29,3.29,3.29,3.28,0,0,0,0
70,1765569058447,3.29,3.29,3.29,3.28,0,0,0,0
71,1765569060097,3.29,3.29,3.29,3.28,0,0,0,0
72,1765569061913,3.29,3.29,3.29,3.28,0,0,0,0
73,1765569062164,3.29,3.29,3.29,3.28,0,0,0,0
74,1765569063747,3.29,3.29,3.29,3.28,0,0,0,0
75,1765569063913,3.29,3.29,3.29,3.28,0,0,0,0
76,1765569065614,3.29,3.29,3.29,3.28,0,0,0,0
77,1765569065830,3.29,3.29,3.29,3.28,0,0,0,0
78,1765569067447,3.29,3.29,3.29,3.28,0,0,0,0
79,1765569067614,3.29,3.29,3.29,3.28,0,0,0,0
80,1765569069297,3.29,3.29,3.29,3.28,0,0,0,0
81,1765569069430,3.29,3.29,3.29,3.28,0,0,0,0
82,1765569070963,3.29,3.29,3.29,3.28,0,0,0,0
83,1765569072730,3.29,3.29,3.29,3.28,0,0,0,0
