index,date,SPEED_AVERAGE,STEERING_WHEEL,THROTTLE,BRAKE,1,2,3,4
0,1765568974734,0,0,0,0,0,0,0,0
1,1765568974848,0,0,0,0,0,0,0,0
2,1765568975133,0,0,0,0,0,0,0,0
3,1765568975581,0,0,0,0,0,0,0,0
4,1765568975865,0,0,0,0,0,0,0,0
5,1765568976280,0,0,0,0,0,0,0,0
6,1765568976582,0,0,0,0,0,0,0,0
7,1765568976698,0,0,0,0,0,0,0,0
8,1765568976998,0,0,0,0,0,0,0,0
9,1765568977464,0,0,0,0,0,0,0,0
10,1765568977748,0,0,0,0,0,0,0,0
11,1765568978164,0,0,0,0,0,0,0,0
12,1765568978448,0,0,0,0,0,0,0,0
13,1765568978564,0,0,0,0,0,0,0,0
14,1765568978898,0,0,0,0,0,0,0,0
15,1765568979281,0,0,0,0,0,0,0,0
16,1765568979581,0,0,0,0,0,0,0,0
17,1765568979998,0,0,0,0,0,0,0,0
18,1765568980282,0,0,0,0,0,0,0,0
19,1765568980730,0,0,0,0,0,0,0,0
20,1765568981015,0,0,0,0,0,0,0,0
21,1765568981132,0,0,0,0,0,0,0,0
22,1765568981447,0,0,0,0,0,0,0,0
23,1765568981865,0,0,0,0,0,0,0,0
24,1765568982181,0,0,0,0,0,0,0,0
25,1765568982598,0,0,0,0,0,0,0,0
26,1765568982865,0,0,0,0,0,0,0,0
27,1765568982982,0,0,0,0,0,0,0,0
28,1765568983298,0,0,0,0,0,0,0,0
29,1765568983715,0,0,0,0,0,0,0,0
30,1765568984048,0,0,0,0,0,0,0,0
31,1765568984165,0,0,0,0,0,0,0,0
32,1765568984448,0,0,0,0,0,0,0,0
33,1765568984764,0,0,0,0,0,0,0,0
34,1765568984881,0,0,0,0,0,0,0,0
35,1765568985165,0,0,0,0,0,0,0,0
36,1765568985610,0,0,0,0,0,0,0,0
37,1765568985914,0,0,0,0,0,0,0,0
38,1765568986032,0,0,0,0,0,0,0,0
39,1765568986314,0,0,0,0,0,0,0,0
40,1765568986614,0,0,0,0,0,0,0,0
41,1765568986764,0,0,0,0,0,0,0,0
42,1765568987048,0,0,0,0,0,0,0,0
43,1765568987498,0,0,0,0,0,0,0,0
44,1765568987781,0,0,0,0,0,0,0,0
45,1765568987915,0,0,0,0,0,0,0,0
46,1765568988231,0,0,0,0,0,0,0,0
47,1765568988615,0,0,0,0,0,0,0,0
48,1765568988915,0,0,0,0,0,0,0,0
49,1765568989381,0,0,0,0,0,0,0,0
50,1765568989665,0,0,0,0,0,0,0,0
51,1765568990097,0,0,0,0,0,0,0,0
52,1765568990498,0,0,0,0,0,0,0,0
53,1765568990847,0,0,0,0,0,0,0,0
54,1765568991264,0,0,0,0,0,0,0,0
55,1765568991564,0,0,0,0,0,0,0,0
56,1765568991680,0,0,0,0,0,0,0,0
57,1765568991998,0,0,0,0,0,0,0,0
58,1765568992431,0,0,0,0,0,0,0,0
59,1765568992764,0,0,0,0,0,0,0,0
60,1765568992915,0,0,0,0,0,0,0,0
61,1765568993214,0,0,0,0,0,0,0,0
62,1765568993681,0,0,0,0,0,0,0,0
63,1765568993965,0,0,0,0,0,0,0,0
64,1765568994131,0,0,0,0,0,0,0,0
65,1765568994481,0,0,0,0,0,0,0,0
66,1765568994914,0,0,0,0,0,0,0,0
67,1765568995198,0,0,0,0,0,0,0,0
68,1765568995331,0,0,0,0,0,0,0,0
69,1765568995647,0,0,0,0,0,0,0,0
70,1765568996097,0,0,0,0,0,0,0,0
71,1765568996581,0,0,0,0,0,0,0,0
72,1765568996881,0,0,0,0,0,0,0,0
73,1765568997332,0,0,0,0,0,0,0,0
74,1765568997615,0,0,0,0,0,0,0,0
75,1765568997767,0,0,0,0,0,0,0,0
76,1765568998097,0,0,0,0,0,0,0,0
77,1765568998530,0,0,0,0,0,0,0,0
78,1765568998831,0,0,0,0,0,0,0,0
79,1765568998949,0,0,0,0,0,0,0,0
80,1765568999265,0,0,0,0,0,0,0,0
81,1765568999714,0,0,0,0,0,0,0,0
82,1765569000047,0,0,0,0,0,0,0,0
83,1765569000197,0,0,0,0,0,0,0,0
84,1765569000481,0,0,0,0,0,0,0,0
85,1765569000897,0,0,0,0,0,0,0,0
86,1765569001198,0,0,0,0,0,0,0,0
87,1765569001598,0,0,0,0,0,0,0,0
88,1765569001914,0,0,0,0,0,0,0,0
89,1765569002030,0,0,0,0,0,0,0,0
90,1765569002315,0,0,0,0,0,0,0,0
91,1765569002731,0,0,0,0,0,0,0,0
92,1765569003014,0,0,0,0,0,0,0,0
93,1765569003464,0,0,0,0,0,0,0,0
94,1765569003747,0,0,0,0,0,0,0,0
95,1765569003865,0,0,0,0,0,0,0,0
96,1765569004148,0,0,0,0,0,0,0,0
97,1765569004598,0,0,0,0,0,0,0,0
98,1765569004881,0,0,0,0,0,0,0,0
99,1765569005331,0,0,0,0,0,0,0,0
100,1765569005614,0,0,0,0,0,0,0,0
101,1765569005747,0,0,0,0,0,0,0,0
102,1765569006064,0,0,0,0,0,0,0,0
103,1765569006464,0,0,0,0,0,0,0,0
104,1765569006798,0,0,0,0,0,0,0,0
105,1765569007214,0,0,0,0,0,0,0,0
106,1765569007497,0,0,0,0,0,0,0,0
107,1765569007614,0,0,0,0,0,0,0,0
108,1765569007931,0,0,0,0,0,0,0,0
109,1765569008348,0,0,0,0,0,0,0,0
110,1765569008664,0,0,0,0,0,0,0,0
111,1765569008814,0,0,0,0,0,0,0,0
112,1765569009080,0,0,0,0,0,0,0,0
113,1765569009397,0,0,0,0,0,0,0,0
114,1765569009531,0,0,0,0,0,0,0,0
115,1765569009815,0,0,0,0,0,0,0,0
116,1765569010248,0,0,0,0,0,0,0,0
117,1765569010531,0,0,0,0,0,0,0,0
118,1765569010947,0,0,0,0,0,0,0,0
119,1765569011263,0,0,0,0,0,0,0,0
120,1765569011397,0,0,0,0,0,0,0,0
121,1765569011680,0,0,0,0,0,0,0,0
122,1765569012131,0,0,0,0,0,0,0,0
123,1765569012431,0,0,0,0,0,0,0,0
124,1765569012548,0,0,0,0,0,0,0,0
125,1765569012848,0,0,0,0,0,0,0,0
126,1765569013130,0,0,0,0,0,0,0,0
127,1765569013231,0,0,0,0,0,0,0,0
128,1765569013597,0,0,0,0,0,0,0,0
129,1765569013981,0,0,0,0,0,0,0,0
130,1765569014281,0,0,0,0,0,0,0,0
131,1765569014681,0,0,0,0,0,0,0,0
132,1765569014964,0,0,0,0,0,0,0,0
133,1765569015081,0,0,0,0,0,0,0,0
134,1765569015431,0,0,0,0,0,0,0,0
135,1765569015814,0,0,0,0,0,0,0,0
136,1765569016131,0,0,0,0,0,0,0,0
137,1765569016514,0,0,0,0,0,0,0,0
138,1765569016848,0,0,0,0,0,0,0,0
139,1765569017247,0,0,0,0,0,0,0,0
140,1765569017664,0,0,0,0,0,0,0,0
141,1765569017964,0,0,0,0,0,0,0,0
142,1765569018402,0,0,0,0,0,0,0,0
143,1765569018714,0,0,0,0,0,0,0,0
144,1765569018814,0,0,0,0,0,0,0,0
145,1765569019097,0,0,0,0,0,0,0,0
146,1765569019531,0,0,0,0,0,0,0,0
147,1765569019814,0,0,0,0,0,0,0,0
148,1765569020214,0,0,0,0,0,0,0,0
149,1765569020531,0,0,0,0,0,0,0,0
150,1765569020948,0,0,0,0,0,0,0,0
151,1765569021264,0,0,0,0,0,0,0,0
152,1765569021381,0,0,0,0,0,0,0,0
153,1765569021681,0,0,0,0,0,0,0,0
154,1765569022131,0,0,0,0,0,0,0,0
155,1765569022397,0,0,0,0,0,0,0,0
156,1765569022847,0,0,0,0,0,0,0,0
157,1765569023114,0,0,0,0,0,0,0,0
158,1765569023247,0,0,0,0,0,0,0,0
159,1765569023531,0,0,0,0,0,0,0,0
160,1765569023997,0,0,0,0,0,0,0,0
161,1765569024281,0,0,0,0,0,0,0,0
162,1765569024697,0,0,0,0,0,0,0,0
163,1765569024981,0,0,0,0,0,0,0,0
164,1765569025114,0,0,0,0,0,0,0,0
165,1765569025464,0,0,0,0,0,0,0,0
166,1765569025880,0,0,0,0,0,0,0,0
167,1765569026198,0,0,0,0,0,0,0,0
168,1765569026315,0,0,0,0,0,0,0,0
169,1765569026631,0,0,0,0,0,0,0,0
170,1765569027064,0,0,0,0,0,0,0,0
171,1765569027431,0,0,0,0,0,0,0,0
172,1765569027564,0,0,0,0,0,0,0,0
173,1765569027847,0,0,0,0,0,0,0,0
174,1765569028314,0,0,0,0,0,0,0,0
175,1765569028598,0,0,0,0,0,0,0,0
176,1765569028764,0,0,0,0,0,0,0,0
177,1765569029097,0,0,0,0,0,0,0,0
178,1765569029531,0,0,0,0,0,0,0,0
179,1765569029830,0,0,0,0,0,0,0,0
180,1765569029964,0,0,0,0,0,0,0,0
181,1765569030296,0,0,0,0,0,0,0,0
182,1765569030731,0,0,0,0,0,0,0,0
183,1765569031063,0,0,0,0,0,0,0,0
184,1765569031230,0,0,0,0,0,0,0,0
185,1765569031514,0,0,0,0,0,0,0,0
186,1765569031997,0,0,0,0,0,0,0,0
187,1765569032431,0,0,0,0,0,0,0,0
188,1765569032764,0,0,0,0,0,0,0,0
189,1765569033214,0,0,0,0,0,0,0,0
190,1765569033664,0,0,0,0,0,0,0,0
191,1765569033980,0,0,0,0,0,0,0,0
192,1765569034113,0,0,0,0,0,0,0,0
193,1765569034397,0,0,0,0,0,0,0,0
194,1765569034847,0,0,0,0,0,0,0,0
195,1765569035147,0,0,0,0,0,0,0,0
196,1765569035547,0,0,0,0,0,0,0,0
197,1765569035847,0,0,0,0,0,0,0,0
198,1765569036230,0,0,0,0,0,0,0,0
199,1765569036681,0,0,0,0,0,0,0,0
200,1765569036979,0,0,0,0,0,0,0,0
201,1765569037398,0,0,0,0,0,0,0,0
202,1765569037680,0,0,0,0,0,0,0,0
203,1765569038147,0,0,0,0,0,0,0,0
204,1765569038430,0,0,0,0,0,0,0,0
205,1765569038547,0,0,0,0,0,0,0,0
206,1765569038831,0,0,0,0,0,0,0,0
207,1765569039264,0,0,0,0,0,0,0,0
208,1765569039530,0,0,0,0,0,0,0,0
209,1765569039981,0,0,0,0,0,0,0,0
210,1765569040279,0,0,0,0,0,0,0,0
211,1765569040397,0,0,0,0,0,0,0,0
212,1765569040697,0,0,0,0,0,0,0,0
213,1765569041097,0,0,0,0,0,0,0,0
214,1765569041431,0,0,0,0,0,0,0,0
215,1765569041847,0,0,0,0,0,0,0,0
216,1765569042114,0,0,0,0,0,0,0,0
217,1765569042547,0,0,0,0,0,0,0,0
218,1765569042831,0,0,0,0,0,0,0,0
219,1765569042947,0,0,0,0,0,0,0,0
220,1765569043281,0,0,0,0,0,0,0,0
221,1765569043680,0,0,0,0,0,0,0,0
222,1765569043997,0,0,0,0,0,0,0,0
223,1765569044114,0,0,0,0,0,0,0,0
224,1765569044397,0,0,0,0,0,0,0,0
225,1765569044848,0,0,0,0,0,0,0,0
226,1765569045130,0,0,0,0,0,0,0,0
227,1765569045547,0,0,0,0,0,0,0,0
228,1765569045864,0,0,0,0,0,0,0,0
229,1765569045997,0,0,0,0,0,0,0,0
230,1765569046280,0,0,0,0,0,0,0,0
231,1765569046730,0,0,0,0,0,0,0,0
232,1765569047014,0,0,0,0,0,0,0,0
233,1765569047447,0,0,0,0,0,0,0,0
234,1765569047747,0,0,0,0,0,0,0,0
235,1765569047863,0,0,0,0,0,0,0,0
236,1765569048180,0,0,0,0,0,0,0,0
237,1765569048597,0,0,0,0,0,0,0,0
238,1765569048880,0,0,0,0,0,0,0,0
239,1765569049297,0,0,0,0,0,0,0,0
240,1765569049581,0,0,0,0,0,0,0,0
241,1765569050030,0,0,0,0,0,0,0,0
242,1765569050313,0,0,0,0,0,0,0,0
243,1765569050430,0,0,0,0,0,0,0,0
244,1765569050747,0,0,0,0,0,0,0,0
245,1765569051214,0,0,0,0,0,0,0,0
246,1765569051497,0,0,0,0,0,0,0,0
247,1765569051897,0,0,0,0,0,0,0,0
248,1765569052180,0,0,0,0,0,0,0,0
249,1765569052297,0,0,0,0,0,0,0,0
250,1765569052597,0,0,0,0,0,0,0,0
251,1765569052997,0,0,0,0,0,0,0,0
252,1765569053330,0,0,0,0,0,0,0,0
253,1765569053731,0,0,0,0,0,0,0,0
254,1765569054047,0,0,0,0,0,0,0,0
255,1765569054180,0,0,0,0,0,0,0,0
256,1765569054447,0,0,0,0,0,0,0,0
257,1765569054864,0,0,0,0,0,0,0,0
258,1765569055197,0,0,0,0,0,0,0,0
259,1765569055580,0,0,0,0,0,0,0,0
260,1765569055897,0,0,0,0,0,0,0,0
261,1765569056013,0,0,0,0,0,0,0,0
262,1765569056281,0,0,0,0,0,0,0,0
263,1765569056763,0,0,0,0,0,0,0,0
264,1765569057047,0,0,0,0,0,0,0,0
265,1765569057497,0,0,0,0,0,0,0,0
266,1765569057780,0,0,0,0,0,0,0,0
267,1765569057915,0,0,0,0,0,0,0,0
268,1765569058197,0,0,0,0,0,0,0,0
269,1765569058680,0,0,0,0,0,0,0,0
270,1765569058963,0,0,0,0,0,0,0,0
271,1765569059114,0,0,0,0,0,0,0,0
272,1765569059430,0,0,0,0,0,0,0,0
273,1765569059831,0,0,0,0,0,0,0,0
274,1765569060197,0,0,0,0,0,0,0,0
275,1765569060330,0,0,0,0,0,0,0,0
276,1765569060614,0,0,0,0,0,0,0,0
277,1765569061047,0,0,0,0,0,0,0,0
278,1765569061364,0,0,0,0,0,0,0,0
279,1765569061530,0,0,0,0,0,0,0,0
280,1765569061813,0,0,0,0,0,0,0,0
281,1765569062280,0,0,0,0,0,0,0,0
282,1765569062580,0,0,0,0,0,0,0,0
283,1765569062730,0,0,0,0,0,0,0,0
284,1765569063047,0,0,0,0,0,0,0,0
285,1765569063463,0,0,0,0,0,0,0,0
286,1765569063814,0,0,0,0,0,0,0,0
287,1765569063947,0,0,0,0,0,0,0,0
288,1765569064247,0,0,0,0,0,0,0,0
289,1765569064697,0,0,0,0,0,0,0,0
290,1765569065013,0,0,0,0,0,0,0,0
291,1765569065146,0,0,0,0,0,0,0,0
