index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1765820038004,3.38,3.39,3.37,3.38,0,0,0,0
1,1765820038238,3.38,3.39,3.37,3.38,0,0,0,0
2,1765820039139,3.38,3.39,3.37,3.38,0,0,0,0
3,1765820039422,3.38,3.39,3.37,3.38,0,0,0,0
4,1765820040355,3.38,3.39,3.37,3.38,0,0,0,0
5,1765820040589,3.38,3.39,3.37,3.38,0,0,0,0
6,1765820041856,3.38,3.39,3.37,3.38,0,0,0,0
7,1765820042089,3.38,3.39,3.37,3.38,0,0,0,0
8,1765820043021,3.38,3.39,3.37,3.38,0,0,0,0
9,1765820043304,3.38,3.39,3.37,3.38,0,0,0,0
10,1765820044237,3.38,3.39,3.37,3.38,0,0,0,0
11,1765820044454,3.38,3.39,3.37,3.38,0,0,0,0
12,1765820045422,3.38,3.39,3.37,3.38,0,0,0,0
13,1765820045672,3.38,3.39,3.37,3.38,0,0,0,0
14,1765820046556,3.38,3.39,3.37,3.38,0,0,0,0
15,1765820046805,3.38,3.39,3.37,3.38,0,0,0,0
16,1765820047838,3.38,3.39,3.37,3.38,0,0,0,0
17,1765820048021,3.38,3.39,3.37,3.38,0,0,0,0
18,1765820048923,3.38,3.39,3.37,3.38,0,0,0,0
19,1765820049205,3.38,3.39,3.37,3.38,0,0,0,0
20,1765820050389,3.38,3.39,3.37,3.38,0,0,0,0
21,1765820051622,3.38,3.39,3.37,3.38,0,0,0,0
22,1765820052790,3.38,3.39,3.37,3.38,0,0,0,0
23,1765820053105,3.38,3.39,3.37,3.38,0,0,0,0
24,1765820054005,3.38,3.39,3.37,3.38,0,0,0,0
25,1765820054239,3.38,3.39,3.37,3.38,0,0,0,0
26,1765820055205,3.38,3.39,3.37,3.38,0,0,0,0
27,1765820055471,3.38,3.39,3.37,3.38,0,0,0,0
28,1765820056388,3.38,3.39,3.37,3.38,0,0,0,0
29,1765820056622,3.38,3.39,3.37,3.38,0,0,0,0
30,1765820057621,3.38,3.39,3.37,3.38,0,0,0,0
31,1765820057855,3.38,3.39,3.37,3.38,0,0,0,0
32,1765820058739,3.38,3.39,3.37,3.38,0,0,0,0
33,1765820059038,3.38,3.39,3.37,3.38,0,0,0,0
34,1765820060204,3.38,3.39,3.37,3.38,0,0,0,0
35,1765820061439,3.38,3.39,3.37,3.38,0,0,0,0
36,1765820061705,3.38,3.39,3.37,3.38,0,0,0,0
37,1765820062622,3.38,3.39,3.37,3.38,0,0,0,0
38,1765820062906,3.38,3.39,3.37,3.38,0,0,0,0
39,1765820063889,3.38,3.39,3.37,3.38,0,0,0,0
40,1765820064139,3.38,3.39,3.37,3.38,0,0,0,0
41,1765820216603,3.38,3.39,3.37,3.38,0,0,0,0
42,1765820216886,3.38,3.39,3.37,3.38,0,0,0,0
43,1765820217853,3.38,3.39,3.37,3.38,0,0,0,0
44,1765820218087,3.38,3.39,3.37,3.38,0,0,0,0
45,1765820219036,3.38,3.39,3.37,3.38,0,0,0,0
46,1765820219320,3.38,3.39,3.37,3.38,0,0,0,0
47,1765820220469,3.38,3.39,3.37,3.38,0,0,0,0
48,1765820222870,3.38,3.39,3.37,3.38,0,0,0,0
49,1765820223152,3.38,3.39,3.37,3.38,0,0,0,0
50,1765820224019,3.38,3.39,3.37,3.38,0,0,0,0
51,1765820224303,3.38,3.39,3.37,3.38,0,0,0,0
52,1765820225270,3.38,3.39,3.37,3.38,0,0,0,0
53,1765820225503,3.38,3.39,3.37,3.38,0,0,0,0
54,1765820226386,3.38,3.39,3.37,3.38,0,0,0,0
55,1765820226670,3.38,3.39,3.37,3.38,0,0,0,0
56,1765820227619,3.38,3.39,3.37,3.38,0,0,0,0
57,1765820227836,3.38,3.39,3.37,3.38,0,0,0,0
58,1765820228820,3.38,3.39,3.37,3.38,0,0,0,0
59,1765820229070,3.38,3.39,3.37,3.38,0,0,0,0
60,1765820229969,3.38,3.39,3.37,3.38,0,0,0,0
61,1765820230223,3.38,3.39,3.37,3.38,0,0,0,0
62,1765820231454,3.38,3.39,3.37,3.38,0,0,0,0
63,1765820232668,3.38,3.39,3.37,3.38,0,0,0,0
64,1765820232968,3.38,3.39,3.37,3.38,0,0,0,0
65,1765820233851,3.38,3.39,3.37,3.38,0,0,0,0
66,1765820234134,3.38,3.39,3.37,3.38,0,0,0,0
67,1765820235118,3.38,3.39,3.37,3.38,0,0,0,0
68,1765820235384,3.38,3.39,3.37,3.38,0,0,0,0
69,1765820236601,3.38,3.39,3.37,3.38,0,0,0,0
70,1765820236935,3.38,3.39,3.37,3.38,0,0,0,0
71,1765820237834,3.38,3.39,3.37,3.38,0,0,0,0
72,1765820238101,3.38,3.39,3.37,3.38,0,0,0,0
73,1765820239118,3.38,3.39,3.37,3.38,0,0,0,0
74,1765820239435,3.38,3.39,3.37,3.38,0,0,0,0
75,1765820239667,3.38,3.39,3.37,3.38,0,0,0,0
76,1765820240652,3.38,3.39,3.37,3.38,0,0,0,0
77,1765820240985,3.38,3.39,3.37,3.38,0,0,0,0
78,1765820241885,3.38,3.39,3.37,3.38,0,0,0,0
79,1765820242219,3.38,3.39,3.37,3.38,0,0,0,0
80,1765820242488,3.38,3.39,3.37,3.38,0,0,0,0
81,1765820243437,3.38,3.39,3.37,3.38,0,0,0,0
82,1765820243740,3.38,3.39,3.37,3.38,0,0,0,0
83,1765820244670,3.38,3.39,3.37,3.38,0,0,0,0
84,1765820244969,3.38,3.39,3.37,3.38,0,0,0,0
85,1765820372751,3.38,3.39,3.37,3.38,0,0,0,0
86,1765820372983,3.38,3.39,3.37,3.38,0,0,0,0
87,1765820373968,3.38,3.39,3.37,3.38,0,0,0,0
88,1765820374251,3.38,3.39,3.37,3.38,0,0,0,0
89,1765820375184,3.38,3.39,3.37,3.38,0,0,0,0
90,1765820375467,3.38,3.39,3.37,3.38,0,0,0,0
91,1765820375784,3.38,3.39,3.37,3.38,0,0,0,0
92,1765820376751,3.38,3.39,3.37,3.38,0,0,0,0
93,1765820376968,3.38,3.39,3.37,3.38,0,0,0,0
94,1765820377968,3.38,3.39,3.37,3.38,0,0,0,0
95,1765820378267,3.38,3.39,3.37,3.38,0,0,0,0
96,1765820379468,3.38,3.39,3.37,3.38,0,0,0,0
97,1765820379800,3.38,3.39,3.37,3.38,0,0,0,0
98,1765820380717,3.38,3.39,3.37,3.38,0,0,0,0
99,1765820380968,3.38,3.39,3.37,3.38,0,0,0,0
100,1765820381967,3.38,3.39,3.37,3.38,0,0,0,0
101,1765820382234,3.38,3.39,3.37,3.38,0,0,0,0
102,1765820383084,3.38,3.39,3.37,3.38,0,0,0,0
103,1765820383384,3.38,3.39,3.37,3.38,0,0,0,0
104,1765820384317,3.38,3.39,3.37,3.38,0,0,0,0
105,1765820384535,3.38,3.39,3.37,3.38,0,0,0,0
106,1765820385484,3.38,3.39,3.37,3.38,0,0,0,0
107,1765820385751,3.38,3.39,3.37,3.38,0,0,0,0
108,1765820386617,3.38,3.39,3.37,3.38,0,0,0,0
109,1765820386851,3.38,3.39,3.37,3.38,0,0,0,0
110,1765820387817,3.38,3.39,3.37,3.38,0,0,0,0
111,1765820388068,3.38,3.39,3.37,3.38,0,0,0,0
112,1765820388967,3.38,3.39,3.37,3.38,0,0,0,0
113,1765820389267,3.38,3.39,3.37,3.38,0,0,0,0
114,1765820390400,3.38,3.39,3.37,3.38,0,0,0,0
115,1765820391666,3.38,3.39,3.37,3.38,0,0,0,0
116,1765820392768,3.38,3.39,3.37,3.38,0,0,0,0
117,1765820393051,3.38,3.39,3.37,3.38,0,0,0,0
118,1765820393968,3.38,3.39,3.37,3.38,0,0,0,0
119,1765820395184,3.38,3.39,3.37,3.38,0,0,0,0
120,1765820395417,3.38,3.39,3.37,3.38,0,0,0,0
121,1765820396266,3.38,3.39,3.37,3.38,0,0,0,0
122,1765820396568,3.38,3.39,3.37,3.38,0,0,0,0
123,1765820397501,3.38,3.39,3.37,3.38,0,0,0,0
124,1765820503165,3.38,3.39,3.37,3.38,0,0,0,0
125,1765820503448,3.38,3.39,3.37,3.38,0,0,0,0
126,1765820504399,3.38,3.39,3.37,3.38,0,0,0,0
127,1765820504665,3.38,3.39,3.37,3.38,0,0,0,0
128,1765820505565,3.38,3.39,3.37,3.38,0,0,0,0
129,1765820505865,3.38,3.39,3.37,3.38,0,0,0,0
130,1765820506848,3.38,3.39,3.37,3.38,0,0,0,0
131,1765820507099,3.38,3.39,3.37,3.38,0,0,0,0
132,1765820508333,3.38,3.39,3.37,3.38,0,0,0,0
133,1765820508616,3.38,3.39,3.37,3.38,0,0,0,0
134,1765820509516,3.38,3.39,3.37,3.38,0,0,0,0
135,1765820509815,3.38,3.39,3.37,3.38,0,0,0,0
136,1765820510816,3.38,3.39,3.37,3.38,0,0,0,0
137,1765820511066,3.38,3.39,3.37,3.38,0,0,0,0
138,1765820512316,3.38,3.39,3.37,3.38,0,0,0,0
139,1765820512599,3.38,3.39,3.37,3.38,0,0,0,0
140,1765820513549,3.38,3.39,3.37,3.38,0,0,0,0
141,1765820513866,3.38,3.39,3.37,3.38,0,0,0,0
142,1765820514183,3.38,3.39,3.37,3.38,0,0,0,0
143,1765820515132,3.38,3.39,3.37,3.38,0,0,0,0
144,1765820515432,3.38,3.39,3.37,3.38,0,0,0,0
145,1765820516733,3.38,3.39,3.37,3.38,0,0,0,0
146,1765820516982,3.38,3.39,3.37,3.38,0,0,0,0
147,1765820517964,3.38,3.39,3.37,3.38,0,0,0,0
148,1765820518265,3.38,3.39,3.37,3.38,0,0,0,0
149,1765820519147,3.38,3.39,3.37,3.38,0,0,0,0
150,1765820519398,3.38,3.39,3.37,3.38,0,0,0,0
151,1765820520648,3.38,3.39,3.37,3.38,0,0,0,0
152,1765820522965,3.38,3.39,3.37,3.38,0,0,0,0
153,1765820524165,3.38,3.39,3.37,3.38,0,0,0,0
154,1765820524417,3.38,3.39,3.37,3.38,0,0,0,0
155,1765820525284,3.38,3.39,3.37,3.38,0,0,0,0
156,1765820526517,3.38,3.39,3.37,3.38,0,0,0,0
157,1765820526766,3.38,3.39,3.37,3.38,0,0,0,0
158,1765820527665,3.38,3.39,3.37,3.38,0,0,0,0
159,1765820527965,3.38,3.39,3.37,3.38,0,0,0,0
160,1765820581881,3.38,3.39,3.37,3.38,0,0,0,0
161,1765820583149,3.38,3.39,3.37,3.38,0,0,0,0
162,1765820583415,3.38,3.39,3.37,3.38,0,0,0,0
163,1765820584330,3.38,3.39,3.37,3.38,0,0,0,0
164,1765820584649,3.38,3.39,3.37,3.38,0,0,0,0
165,1765820585614,3.38,3.39,3.37,3.38,0,0,0,0
166,1765820585848,3.38,3.39,3.37,3.38,0,0,0,0
167,1765820587082,3.38,3.39,3.37,3.38,0,0,0,0
168,1765820588231,3.38,3.39,3.37,3.38,0,0,0,0
169,1765820588531,3.38,3.39,3.37,3.38,0,0,0,0
170,1765820589448,3.38,3.39,3.37,3.38,0,0,0,0
171,1765820590581,3.38,3.39,3.37,3.38,0,0,0,0
172,1765820590848,3.38,3.39,3.37,3.38,0,0,0,0
173,1765820591715,3.38,3.39,3.37,3.38,0,0,0,0
174,1765820592898,3.38,3.39,3.37,3.38,0,0,0,0
175,1765820593765,3.38,3.39,3.37,3.38,0,0,0,0
176,1765820593998,3.38,3.39,3.37,3.38,0,0,0,0
177,1765820594946,3.38,3.39,3.37,3.38,0,0,0,0
178,1765820595214,3.38,3.39,3.37,3.38,0,0,0,0
179,1765820596080,3.38,3.39,3.37,3.38,0,0,0,0
