index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
0,1765820036772,0,0,0,0,0,0,0,0
1,1765820037288,0,0,0,0,0,0,0,0
2,1765820037805,0,0,0,0,0,0,0,0
3,1765820038372,0,0,0,0,0,0,0,0
4,1765820038638,0,0,0,0,0,0,0,0
5,1765820038837,0,0,0,0,0,0,0,0
6,1765820039189,0,0,0,0,0,0,0,0
7,1765820039322,0,0,0,0,0,0,0,0
8,1765820039672,0,0,0,0,0,0,0,0
9,1765820039871,0,0,0,0,0,0,0,0
10,1765820040155,0,0,0,0,0,0,0,0
11,1765820040722,0,0,0,0,0,0,0,0
12,1765820041189,0,0,0,0,0,0,0,0
13,1765820041489,0,0,0,0,0,0,0,0
14,1765820041656,0,0,0,0,0,0,0,0
15,1765820042038,0,0,0,0,0,0,0,0
16,1765820042239,0,0,0,0,0,0,0,0
17,1765820042521,0,0,0,0,0,0,0,0
18,1765820042721,0,0,0,0,0,0,0,0
19,1765820043071,0,0,0,0,0,0,0,0
20,1765820043572,0,0,0,0,0,0,0,0
21,1765820044021,0,0,0,0,0,0,0,0
22,1765820044387,0,0,0,0,0,0,0,0
23,1765820044587,0,0,0,0,0,0,0,0
24,1765820044870,0,0,0,0,0,0,0,0
25,1765820045038,0,0,0,0,0,0,0,0
26,1765820045354,0,0,0,0,0,0,0,0
27,1765820045855,0,0,0,0,0,0,0,0
28,1765820046323,0,0,0,0,0,0,0,0
29,1765820046672,0,0,0,0,0,0,0,0
30,1765820046872,0,0,0,0,0,0,0,0
31,1765820047156,0,0,0,0,0,0,0,0
32,1765820047355,0,0,0,0,0,0,0,0
33,1765820047622,0,0,0,0,0,0,0,0
34,1765820048172,0,0,0,0,0,0,0,0
35,1765820048638,0,0,0,0,0,0,0,0
36,1765820049006,0,0,0,0,0,0,0,0
37,1765820049139,0,0,0,0,0,0,0,0
38,1765820049472,0,0,0,0,0,0,0,0
39,1765820049672,0,0,0,0,0,0,0,0
40,1765820049955,0,0,0,0,0,0,0,0
41,1765820050489,0,0,0,0,0,0,0,0
42,1765820050988,0,0,0,0,0,0,0,0
43,1765820051305,0,0,0,0,0,0,0,0
44,1765820051472,0,0,0,0,0,0,0,0
45,1765820051805,0,0,0,0,0,0,0,0
46,1765820052021,0,0,0,0,0,0,0,0
47,1765820052305,0,0,0,0,0,0,0,0
48,1765820052522,0,0,0,0,0,0,0,0
49,1765820052872,0,0,0,0,0,0,0,0
50,1765820053322,0,0,0,0,0,0,0,0
51,1765820053821,0,0,0,0,0,0,0,0
52,1765820054171,0,0,0,0,0,0,0,0
53,1765820054371,0,0,0,0,0,0,0,0
54,1765820054657,0,0,0,0,0,0,0,0
55,1765820054855,0,0,0,0,0,0,0,0
56,1765820055171,0,0,0,0,0,0,0,0
57,1765820055688,0,0,0,0,0,0,0,0
58,1765820055887,0,0,0,0,0,0,0,0
59,1765820056172,0,0,0,0,0,0,0,0
60,1765820056705,0,0,0,0,0,0,0,0
61,1765820056989,0,0,0,0,0,0,0,0
62,1765820057189,0,0,0,0,0,0,0,0
63,1765820057471,0,0,0,0,0,0,0,0
64,1765820058005,0,0,0,0,0,0,0,0
65,1765820058206,0,0,0,0,0,0,0,0
66,1765820058505,0,0,0,0,0,0,0,0
67,1765820059022,0,0,0,0,0,0,0,0
68,1765820059505,0,0,0,0,0,0,0,0
69,1765820059789,0,0,0,0,0,0,0,0
70,1765820059988,0,0,0,0,0,0,0,0
71,1765820060355,0,0,0,0,0,0,0,0
72,1765820060522,0,0,0,0,0,0,0,0
73,1765820060820,0,0,0,0,0,0,0,0
74,1765820061322,0,0,0,0,0,0,0,0
75,1765820061872,0,0,0,0,0,0,0,0
76,1765820062172,0,0,0,0,0,0,0,0
77,1765820062405,0,0,0,0,0,0,0,0
78,1765820062741,0,0,0,0,0,0,0,0
79,1765820062906,0,0,0,0,0,0,0,0
80,1765820063205,0,0,0,0,0,0,0,0
81,1765820063405,0,0,0,0,0,0,0,0
82,1765820063704,0,0,0,0,0,0,0,0
83,1765820064288,0,0,0,0,0,0,0,0
84,1765820064505,0,0,0,0,0,0,0,0
85,1765820064788,0,0,0,0,0,0,0,0
86,1765820065288,0,0,0,0,0,0,0,0
87,1765820216172,0,0,0,0,0,0,0,0
88,1765820216355,0,0,0,0,0,0,0,0
89,1765820216720,0,0,0,0,0,0,0,0
90,1765820216886,0,0,0,0,0,0,0,0
91,1765820217169,0,0,0,0,0,0,0,0
92,1765820217387,0,0,0,0,0,0,0,0
93,1765820217670,0,0,0,0,0,0,0,0
94,1765820218220,0,0,0,0,0,0,0,0
95,1765820218703,0,0,0,0,0,0,0,0
96,1765820219070,0,0,0,0,0,0,0,0
97,1765820219169,0,0,0,0,0,0,0,0
98,1765820219536,0,0,0,0,0,0,0,0
99,1765820219719,0,0,0,0,0,0,0,0
100,1765820220003,0,0,0,0,0,0,0,0
101,1765820220569,0,0,0,0,0,0,0,0
102,1765820221035,0,0,0,0,0,0,0,0
103,1765820221320,0,0,0,0,0,0,0,0
104,1765820221503,0,0,0,0,0,0,0,0
105,1765820221852,0,0,0,0,0,0,0,0
106,1765820222069,0,0,0,0,0,0,0,0
107,1765820222337,0,0,0,0,0,0,0,0
108,1765820222537,0,0,0,0,0,0,0,0
109,1765820222853,0,0,0,0,0,0,0,0
110,1765820223352,0,0,0,0,0,0,0,0
111,1765820223636,0,0,0,0,0,0,0,0
112,1765820223819,0,0,0,0,0,0,0,0
113,1765820224170,0,0,0,0,0,0,0,0
114,1765820224370,0,0,0,0,0,0,0,0
115,1765820224653,0,0,0,0,0,0,0,0
116,1765820225120,0,0,0,0,0,0,0,0
117,1765820225670,0,0,0,0,0,0,0,0
118,1765820225953,0,0,0,0,0,0,0,0
119,1765820226120,0,0,0,0,0,0,0,0
120,1765820226486,0,0,0,0,0,0,0,0
121,1765820226636,0,0,0,0,0,0,0,0
122,1765820226953,0,0,0,0,0,0,0,0
123,1765820227420,0,0,0,0,0,0,0,0
124,1765820227986,0,0,0,0,0,0,0,0
125,1765820228253,0,0,0,0,0,0,0,0
126,1765820228452,0,0,0,0,0,0,0,0
127,1765820228787,0,0,0,0,0,0,0,0
128,1765820229270,0,0,0,0,0,0,0,0
129,1765820229487,0,0,0,0,0,0,0,0
130,1765820229770,0,0,0,0,0,0,0,0
131,1765820230303,0,0,0,0,0,0,0,0
132,1765820230806,0,0,0,0,0,0,0,0
133,1765820231087,0,0,0,0,0,0,0,0
134,1765820231288,0,0,0,0,0,0,0,0
135,1765820231621,0,0,0,0,0,0,0,0
136,1765820231835,0,0,0,0,0,0,0,0
137,1765820232118,0,0,0,0,0,0,0,0
138,1765820232635,0,0,0,0,0,0,0,0
139,1765820233135,0,0,0,0,0,0,0,0
140,1765820233435,0,0,0,0,0,0,0,0
141,1765820233634,0,0,0,0,0,0,0,0
142,1765820233985,0,0,0,0,0,0,0,0
143,1765820234201,0,0,0,0,0,0,0,0
144,1765820234468,0,0,0,0,0,0,0,0
145,1765820234684,0,0,0,0,0,0,0,0
146,1765820234986,0,0,0,0,0,0,0,0
147,1765820235551,0,0,0,0,0,0,0,0
148,1765820235751,0,0,0,0,0,0,0,0
149,1765820236035,0,0,0,0,0,0,0,0
150,1765820236584,0,0,0,0,0,0,0,0
151,1765820237118,0,0,0,0,0,0,0,0
152,1765820237401,0,0,0,0,0,0,0,0
153,1765820237601,0,0,0,0,0,0,0,0
154,1765820237968,0,0,0,0,0,0,0,0
155,1765820238168,0,0,0,0,0,0,0,0
156,1765820238469,0,0,0,0,0,0,0,0
157,1765820238684,0,0,0,0,0,0,0,0
158,1765820238969,0,0,0,0,0,0,0,0
159,1765820239201,0,0,0,0,0,0,0,0
160,1765820239568,0,0,0,0,0,0,0,0
161,1765820239801,0,0,0,0,0,0,0,0
162,1765820240085,0,0,0,0,0,0,0,0
163,1765820240301,0,0,0,0,0,0,0,0
164,1765820240618,0,0,0,0,0,0,0,0
165,1765820241152,0,0,0,0,0,0,0,0
166,1765820241368,0,0,0,0,0,0,0,0
167,1765820241668,0,0,0,0,0,0,0,0
168,1765820242251,0,0,0,0,0,0,0,0
169,1765820242738,0,0,0,0,0,0,0,0
170,1765820243253,0,0,0,0,0,0,0,0
171,1765820243823,0,0,0,0,0,0,0,0
172,1765820244106,0,0,0,0,0,0,0,0
173,1765820244287,0,0,0,0,0,0,0,0
174,1765820244619,0,0,0,0,0,0,0,0
175,1765820244768,0,0,0,0,0,0,0,0
176,1765820372051,0,0,0,0,0,0,0,0
177,1765820372334,0,0,0,0,0,0,0,0
178,1765820372551,0,0,0,0,0,0,0,0
179,1765820372917,0,0,0,0,0,0,0,0
180,1765820373117,0,0,0,0,0,0,0,0
181,1765820373401,0,0,0,0,0,0,0,0
182,1765820373618,0,0,0,0,0,0,0,0
183,1765820373951,0,0,0,0,0,0,0,0
184,1765820374467,0,0,0,0,0,0,0,0
185,1765820374684,0,0,0,0,0,0,0,0
186,1765820374951,0,0,0,0,0,0,0,0
187,1765820375532,0,0,0,0,0,0,0,0
188,1765820376016,0,0,0,0,0,0,0,0
189,1765820376301,0,0,0,0,0,0,0,0
190,1765820376518,0,0,0,0,0,0,0,0
191,1765820376868,0,0,0,0,0,0,0,0
192,1765820377084,0,0,0,0,0,0,0,0
193,1765820377400,0,0,0,0,0,0,0,0
194,1765820377583,0,0,0,0,0,0,0,0
195,1765820377918,0,0,0,0,0,0,0,0
196,1765820378083,0,0,0,0,0,0,0,0
197,1765820378450,0,0,0,0,0,0,0,0
198,1765820378668,0,0,0,0,0,0,0,0
199,1765820378950,0,0,0,0,0,0,0,0
200,1765820379518,0,0,0,0,0,0,0,0
201,1765820380034,0,0,0,0,0,0,0,0
202,1765820380500,0,0,0,0,0,0,0,0
203,1765820381084,0,0,0,0,0,0,0,0
204,1765820381351,0,0,0,0,0,0,0,0
205,1765820381566,0,0,0,0,0,0,0,0
206,1765820381851,0,0,0,0,0,0,0,0
207,1765820382034,0,0,0,0,0,0,0,0
208,1765820382383,0,0,0,0,0,0,0,0
209,1765820382868,0,0,0,0,0,0,0,0
210,1765820383367,0,0,0,0,0,0,0,0
211,1765820383684,0,0,0,0,0,0,0,0
212,1765820383867,0,0,0,0,0,0,0,0
213,1765820384151,0,0,0,0,0,0,0,0
214,1765820384667,0,0,0,0,0,0,0,0
215,1765820385134,0,0,0,0,0,0,0,0
216,1765820385451,0,0,0,0,0,0,0,0
217,1765820385601,0,0,0,0,0,0,0,0
218,1765820385934,0,0,0,0,0,0,0,0
219,1765820386118,0,0,0,0,0,0,0,0
220,1765820386400,0,0,0,0,0,0,0,0
221,1765820386934,0,0,0,0,0,0,0,0
222,1765820387218,0,0,0,0,0,0,0,0
223,1765820387400,0,0,0,0,0,0,0,0
224,1765820387684,0,0,0,0,0,0,0,0
225,1765820387901,0,0,0,0,0,0,0,0
226,1765820388234,0,0,0,0,0,0,0,0
227,1765820388417,0,0,0,0,0,0,0,0
228,1765820388701,0,0,0,0,0,0,0,0
229,1765820389200,0,0,0,0,0,0,0,0
230,1765820389534,0,0,0,0,0,0,0,0
231,1765820389718,0,0,0,0,0,0,0,0
232,1765820389984,0,0,0,0,0,0,0,0
233,1765820390167,0,0,0,0,0,0,0,0
234,1765820390551,0,0,0,0,0,0,0,0
235,1765820390999,0,0,0,0,0,0,0,0
236,1765820391466,0,0,0,0,0,0,0,0
237,1765820391834,0,0,0,0,0,0,0,0
238,1765820392000,0,0,0,0,0,0,0,0
239,1765820392284,0,0,0,0,0,0,0,0
240,1765820392834,0,0,0,0,0,0,0,0
241,1765820393284,0,0,0,0,0,0,0,0
242,1765820393584,0,0,0,0,0,0,0,0
243,1765820393751,0,0,0,0,0,0,0,0
244,1765820394101,0,0,0,0,0,0,0,0
245,1765820394284,0,0,0,0,0,0,0,0
246,1765820394567,0,0,0,0,0,0,0,0
247,1765820395067,0,0,0,0,0,0,0,0
248,1765820395583,0,0,0,0,0,0,0,0
249,1765820395868,0,0,0,0,0,0,0,0
250,1765820396038,0,0,0,0,0,0,0,0
251,1765820396386,0,0,0,0,0,0,0,0
252,1765820396585,0,0,0,0,0,0,0,0
253,1765820396868,0,0,0,0,0,0,0,0
254,1765820397334,0,0,0,0,0,0,0,0
255,1765820502465,0,0,0,0,0,0,0,0
256,1765820502749,0,0,0,0,0,0,0,0
257,1765820502932,0,0,0,0,0,0,0,0
258,1765820503316,0,0,0,0,0,0,0,0
259,1765820503498,0,0,0,0,0,0,0,0
260,1765820503799,0,0,0,0,0,0,0,0
261,1765820504283,0,0,0,0,0,0,0,0
262,1765820504848,0,0,0,0,0,0,0,0
263,1765820505116,0,0,0,0,0,0,0,0
264,1765820505332,0,0,0,0,0,0,0,0
265,1765820505682,0,0,0,0,0,0,0,0
266,1765820505849,0,0,0,0,0,0,0,0
267,1765820506166,0,0,0,0,0,0,0,0
268,1765820506365,0,0,0,0,0,0,0,0
269,1765820506649,0,0,0,0,0,0,0,0
270,1765820507232,0,0,0,0,0,0,0,0
271,1765820507448,0,0,0,0,0,0,0,0
272,1765820507716,0,0,0,0,0,0,0,0
273,1765820508216,0,0,0,0,0,0,0,0
274,1765820508799,0,0,0,0,0,0,0,0
275,1765820509066,0,0,0,0,0,0,0,0
276,1765820509265,0,0,0,0,0,0,0,0
277,1765820509649,0,0,0,0,0,0,0,0
278,1765820509848,0,0,0,0,0,0,0,0
279,1765820510149,0,0,0,0,0,0,0,0
280,1765820510349,0,0,0,0,0,0,0,0
281,1765820510632,0,0,0,0,0,0,0,0
