index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,989,8104,-196,0,0,0,0,0
1,989,8074,-228,0,0,0,0,0
2,997,8080,-289,0,0,0,0,0
3,993,8099,-217,0,0,0,0,0
4,993,8090,-242,0,0,0,0,0
5,984,8088,-243,0,0,0,0,0
6,1000,8095,-196,0,0,0,0,0
7,1004,8090,-244,0,0,0,0,0
8,984,8092,-242,0,0,0,0,0
9,990,8086,-214,0,0,0,0,0
10,1005,8093,-225,0,0,0,0,0
11,1010,8092,-229,0,0,0,0,0
12,988,8092,-236,0,0,0,0,0
13,992,8080,-229,0,0,0,0,0
14,999,8085,-228,0,0,0,0,0
15,994,8089,-225,0,0,0,0,0
16,984,8096,-225,0,0,0,0,0
17,984,8090,-232,0,0,0,0,0
18,993,8083,-220,0,0,0,0,0
19,1000,8096,-222,0,0,0,0,0
20,986,8098,-232,0,0,0,0,0
21,990,8085,-237,0,0,0,0,0
22,987,8090,-222,0,0,0,0,0
23,1001,8086,-230,0,0,0,0,0
24,987,8090,-229,0,0,0,0,0
25,989,8089,-228,0,0,0,0,0
26,997,8091,-227,0,0,0,0,0
27,993,8082,-220,0,0,0,0,0
28,989,8094,-223,0,0,0,0,0
29,998,8095,-228,0,0,0,0,0
30,1000,8085,-226,0,0,0,0,0
31,992,8084,-230,0,0,0,0,0
32,989,8097,-212,0,0,0,0,0
33,989,8076,-222,0,0,0,0,0
34,988,8100,-226,0,0,0,0,0
35,1002,8090,-198,0,0,0,0,0
36,1001,8082,-232,0,0,0,0,0
37,988,8102,-224,0,0,0,0,0
38,974,8090,-248,0,0,0,0,0
39,1033,8083,-218,0,0,0,0,0
40,992,8089,-156,0,0,0,0,0
41,988,8090,-186,0,0,0,0,0
42,984,8081,-228,0,0,0,0,0
43,986,8096,-218,0,0,0,0,0
44,994,8082,-219,0,0,0,0,0
45,999,8098,-225,0,0,0,0,0
46,987,8090,-229,0,0,0,0,0
47,1001,8084,-211,0,0,0,0,0
48,989,8088,-219,0,0,0,0,0
49,989,8094,-222,0,0,0,0,0
50,1004,8092,-224,0,0,0,0,0
51,995,8078,-232,0,0,0,0,0
52,990,8088,-212,0,0,0,0,0
53,987,8093,-218,0,0,0,0,0
54,998,8087,-230,0,0,0,0,0
55,1002,8088,-218,0,0,0,0,0
56,984,8093,-221,0,0,0,0,0
