index,TEMPERATURE,1,2,3,4,5,6,7
0,-188,8104,-196,0,0,0,0,0
1,-188,10,0,0,0,0,0,0
2,-175,0,0,0,0,0,0,0
3,-177,0,0,0,0,0,0,0
4,-179,0,0,0,0,0,0,0
5,-169,0,0,0,0,0,0,0
6,-175,0,0,0,0,0,0,0
7,-175,0,0,0,0,0,0,0
8,-162,0,0,0,0,0,0,0
9,-164,0,-2,0,0,0,0,0
10,-165,0,0,0,0,0,0,0
11,-170,0,0,0,0,0,0,0
12,-159,-6,0,0,0,0,0,0
13,-153,0,0,0,0,0,0,0
14,-153,-7,-1,0,0,0,0,0
15,-144,0,0,0,0,0,0,0
16,-153,0,0,0,0,0,0,0
17,-161,0,0,0,0,0,0,0
18,-153,-6,-1,0,0,0,0,0
19,-146,0,0,0,0,0,0,0
20,-140,-8,-2,0,0,0,0,0
21,-151,0,0,0,0,0,0,0
22,-148,-8,-1,0,0,0,0,0
23,-144,0,0,0,0,0,0,0
24,-138,0,-1,0,0,0,0,0
25,-142,0,0,0,0,0,0,0
26,-138,0,0,0,0,0,0,0
27,-142,0,0,0,0,0,0,0
28,-140,0,0,0,0,0,0,0
29,-135,0,-1,0,0,0,0,0
30,-138,-7,0,0,0,0,0,0
31,-140,0,0,0,0,0,0,0
32,-135,-9,0,0,0,0,0,0
33,-142,0,0,0,0,0,0,0
34,-136,0,0,0,0,0,0,0
35,-135,0,-1,0,0,0,0,0
36,-138,0,0,0,0,0,0,0
37,-136,-7,0,0,0,0,0,0
38,-132,0,0,0,0,0,0,0
39,-138,0,-1,0,0,0,0,0
40,-135,0,0,0,0,0,0,0
41,-133,0,0,0,0,0,0,0
42,-132,-6,0,0,0,0,0,0
43,-130,0,0,0,0,0,0,0
44,-130,0,0,0,0,0,0,0
45,-132,0,0,0,0,0,0,0
46,-128,0,0,0,0,0,0,0
47,-129,0,0,0,0,0,0,0
48,-128,0,0,0,0,0,0,0
49,-134,0,0,0,0,0,0,0
50,-132,0,0,0,0,0,0,0
51,-132,0,0,0,0,0,0,0
52,-130,0,-1,0,0,0,0,0
53,-134,0,0,0,0,0,0,0
54,-134,0,-1,0,0,0,0,0
55,-124,0,0,0,0,0,0,0
56,-122,-7,0,0,0,0,0,0
57,-132,0,0,0,0,0,0,0
58,-134,-7,-1,0,0,0,0,0
59,-128,0,0,0,0,0,0,0
60,-135,0,0,0,0,0,0,0
61,-126,0,0,0,0,0,0,0
62,-131,0,0,0,0,0,0,0
63,-132,0,0,0,0,0,0,0
64,-135,0,0,0,0,0,0,0
65,-132,-8,0,0,0,0,0,0
66,-134,0,0,0,0,0,0,0
67,-132,8105,-213,0,0,0,0,0
68,-132,0,0,0,0,0,0,0
69,-130,10,0,0,0,0,0,0
70,-134,0,0,0,0,0,0,0
71,-128,0,0,0,0,0,0,0
72,-130,-9,0,0,0,0,0,0
73,-126,0,0,0,0,0,0,0
74,-134,-8,0,0,0,0,0,0
75,-124,0,0,0,0,0,0,0
76,-124,-8,-1,0,0,0,0,0
77,-122,0,0,0,0,0,0,0
78,-122,0,-1,0,0,0,0,0
79,-130,0,0,0,0,0,0,0
80,-126,0,-1,0,0,0,0,0
81,-120,0,0,0,0,0,0,0
82,-126,-7,-1,0,0,0,0,0
83,-128,0,0,0,0,0,0,0
84,-128,-8,1,0,0,0,0,0
85,-122,10,0,0,0,0,0,0
86,-128,0,0,0,0,0,0,0
87,-126,0,-1,0,0,0,0,0
88,-126,-8,-1,0,0,0,0,0
89,-115,0,0,0,0,0,0,0
90,-122,-7,-1,0,0,0,0,0
91,-122,0,0,0,0,0,0,0
92,-122,0,0,0,0,0,0,0
93,-132,0,0,0,0,0,0,0
94,-118,0,-1,0,0,0,0,0
95,-128,0,0,0,0,0,0,0
96,-126,0,0,0,0,0,0,0
97,-120,0,0,0,0,0,0,0
98,-115,-7,0,0,0,0,0,0
99,-122,0,0,0,0,0,0,0
100,-118,-6,-1,0,0,0,0,0
