index,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2,REF_TORQUE_R_MOTOR,REF_TORQUE_L_MOTOR,5,6,7,8
0,192,0,0,0,0,0,0,0
1,192,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,4,0,0,0,0,0,0
5,0,4,0,0,0,0,0,0
6,0,4,0,0,0,0,0,0
7,0,4,0,0,0,0,0,0
8,0,4,0,0,0,0,0,0
9,0,4,0,0,0,0,0,0
10,0,4,0,0,0,0,0,0
11,0,4,0,0,0,0,0,0
12,0,4,0,0,0,0,0,0
13,0,4,0,0,0,0,0,0
14,0,4,0,0,0,0,0,0
15,0,4,0,0,0,0,0,0
16,0,4,0,0,0,0,0,0
17,0,4,0,0,0,0,0,0
18,0,4,0,0,0,0,0,0
19,0,4,0,0,0,0,0,0
20,0,4,0,0,0,0,0,0
21,0,4,0,0,0,0,0,0
22,0,5,793,793,0,0,0,0
23,0,5,794,794,0,0,0,0
24,192,0,0,0,0,0,0,0
25,192,0,0,0,0,0,0,0
26,192,0,0,0,0,0,0,0
27,192,0,0,0,0,0,0,0
28,192,0,0,0,0,0,0,0
29,192,0,0,0,0,0,0,0
30,192,0,0,0,0,0,0,0
31,192,0,0,0,0,0,0,0
32,192,0,0,0,0,0,0,0
33,192,0,0,0,0,0,0,0
34,192,0,0,0,0,0,0,0
35,192,0,0,0,0,0,0,0
36,192,0,0,0,0,0,0,0
37,192,0,0,0,0,0,0,0
38,192,0,0,0,0,0,0,0
39,192,0,0,0,0,0,0,0
40,192,0,0,0,0,0,0,0
41,192,0,0,0,0,0,0,0
42,192,0,0,0,0,0,0,0
43,192,0,0,0,0,0,0,0
44,192,0,0,0,0,0,0,0
45,192,0,0,0,0,0,0,0
46,192,0,0,0,0,0,0,0
47,192,0,0,0,0,0,0,0
48,192,0,0,0,0,0,0,0
49,192,0,0,0,0,0,0,0
50,192,0,0,0,0,0,0,0
51,192,0,0,0,0,0,0,0
