index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
0,1762969984526,0,0,0,0,0,0,0,0
1,1762969984675,0,0,0,0,0,0,0,0
2,1762969984808,0,0,0,0,0,0,0,0
3,1762969985060,0,0,0,0,0,0,0,0
4,1762969985191,0,0,0,0,0,0,0,0
5,1762969985293,0,0,0,0,0,0,0,0
6,1762969985408,0,0,0,0,0,0,0,0
7,1762969985524,0,0,0,0,0,0,0,0
8,1762969985626,0,0,0,0,0,0,0,0
9,1762969985742,0,0,0,0,0,0,0,0
10,1762969985892,0,0,0,0,0,0,0,0
11,1762969985992,0,0,0,0,0,0,0,0
12,1762969986075,0,0,0,0,0,0,0,0
13,1762969986175,0,0,0,0,0,0,0,0
14,1762969986291,0,0,0,0,0,0,0,0
15,1762969986391,0,0,0,0,0,0,0,0
16,1762969986507,0,0,0,0,0,0,0,0
17,1762969986608,0,0,0,0,0,0,0,0
18,1762969986724,0,0,0,0,0,0,0,0
19,1762969986857,0,0,0,0,0,0,0,0
20,1762969987024,0,0,0,0,0,0,0,0
21,1762969987107,0,0,0,0,0,0,0,0
22,1762969987190,0,0,0,0,0,0,0,0
23,1762969987291,0,0,0,0,0,0,0,0
24,1762969987424,0,0,0,0,0,0,0,0
25,1762969987557,0,0,0,0,0,0,0,0
26,1762969987624,0,0,0,0,0,0,0,0
27,1762969987740,0,0,0,0,0,0,0,0
28,1762969987890,0,0,0,0,0,0,0,0
29,1762969988073,0,0,0,0,0,0,0,0
30,1762969988257,0,0,0,0,0,0,0,0
31,1762969988373,0,0,0,0,0,0,0,0
32,1762969988489,0,0,0,0,0,0,0,0
33,1762969988606,0,0,0,0,0,0,0,0
34,1762969988708,0,0,0,0,0,0,0,0
35,1762969988889,0,0,0,0,0,0,0,0
36,1762969989106,0,0,0,0,0,0,0,0
37,1762969989258,0,0,0,0,0,0,0,0
38,1762969989357,0,0,0,0,0,0,0,0
39,1762969989472,0,0,0,0,0,0,0,0
40,1762969989589,0,0,0,0,0,0,0,0
41,1762969989721,0,0,0,0,0,0,0,0
42,1762969990022,0,0,0,0,0,0,0,0
43,1762969990255,0,0,0,0,0,0,0,0
44,1762969990354,0,0,0,0,0,0,0,0
45,1762969990471,0,0,0,0,0,0,0,0
46,1762969990620,0,0,0,0,0,0,0,0
47,1762969990738,0,0,0,0,0,0,0,0
48,1762969990970,0,0,0,0,0,0,0,0
49,1762969991154,0,0,0,0,0,0,0,0
50,1762969991221,0,0,0,0,0,0,0,0
51,1762969991353,0,0,0,0,0,0,0,0
52,1762969991471,0,0,0,0,0,0,0,0
53,1762969991572,0,0,0,0,0,0,0,0
54,1762969991671,0,0,0,0,0,0,0,0
55,1762969991804,0,0,0,0,0,0,0,0
56,1762969991972,0,0,0,0,0,0,0,0
57,1762969992055,0,0,0,0,0,0,0,0
58,1762969992154,0,0,0,0,0,0,0,0
59,1762969992221,0,0,0,0,0,0,0,0
60,1762969992337,0,0,0,0,0,0,0,0
61,1762969992438,0,0,0,0,0,0,0,0
62,1762969992553,0,0,0,0,0,0,0,0
63,1762969992669,0,0,0,0,0,0,0,0
64,1762969992787,0,0,0,0,0,0,0,0
65,1762969992954,0,0,0,0,0,0,0,0
66,1762969993036,0,0,0,0,0,0,0,0
67,1762969993137,0,0,0,0,0,0,0,0
68,1762969993386,0,0,0,0,0,0,0,0
69,1762969993553,0,0,0,0,0,0,0,0
70,1762969993669,0,0,0,0,0,0,0,0
71,1762969993785,0,0,0,0,0,0,0,0
72,1762969993920,0,0,0,0,0,0,0,0
73,1762969993985,0,0,0,0,0,0,0,0
74,1762969994101,0,0,0,0,0,0,0,0
75,1762969994218,0,0,0,0,0,0,0,0
76,1762969994318,0,0,0,0,0,0,0,0
77,1762969994419,0,0,0,0,0,0,0,0
78,1762969994535,0,0,0,0,0,0,0,0
79,1762969994635,0,0,0,0,0,0,0,0
80,1762969994769,0,0,0,0,0,0,0,0
81,1762969994952,0,0,0,0,0,0,0,0
82,1762969995070,0,0,0,0,0,0,0,0
83,1762969995303,0,0,0,0,0,0,0,0
84,1762969995417,0,0,0,0,0,0,0,0
85,1762969995533,0,0,0,0,0,0,0,0
86,1762969995636,0,0,0,0,0,0,0,0
87,1762969995767,0,0,0,0,0,0,0,0
88,1762969996068,0,0,0,0,0,0,0,0
89,1762969996150,0,0,0,0,0,0,0,0
90,1762969996302,0,0,0,0,0,0,0,0
91,1762969996416,0,0,0,0,0,0,0,0
92,1762969996516,0,0,0,0,0,0,0,0
93,1762969996634,0,0,0,0,0,0,0,0
94,1762969996735,0,0,0,0,0,0,0,0
95,1762969996932,0,0,0,0,0,0,0,0
96,1762969997033,0,0,0,0,0,0,0,0
97,1762969997099,0,0,0,0,0,0,0,0
98,1762969997232,0,0,0,0,0,0,0,0
99,1762969997299,0,0,0,0,0,0,0,0
100,1762969997399,0,0,0,0,0,0,0,0
101,1762969997498,0,0,0,0,0,0,0,0
102,1762969997615,0,0,0,0,0,0,0,0
103,1762969997767,0,0,0,0,0,0,0,0
104,1762969997966,0,0,0,0,0,0,0,0
105,1762969998100,0,0,0,0,0,0,0,0
106,1762969998183,0,0,0,0,0,0,0,0
107,1762969998283,0,0,0,0,0,0,0,0
108,1762969998382,0,0,0,0,0,0,0,0
109,1762969998498,0,0,0,0,0,0,0,0
110,1762969998598,0,0,0,0,0,0,0,0
111,1762969998716,0,0,0,0,0,0,0,0
112,1762969998848,0,0,0,0,0,0,0,0
113,1762969998999,0,0,0,0,0,0,0,0
114,1762969999065,0,0,0,0,0,0,0,0
115,1762969999198,0,0,0,0,0,0,0,0
116,1762969999331,0,0,0,0,0,0,0,0
117,1762969999598,0,0,0,0,0,0,0,0
118,1762969999699,0,0,0,0,0,0,0,0
119,1762969999917,0,0,0,0,0,0,0,0
120,1762970000015,0,0,0,0,0,0,0,0
121,1762970000264,0,0,0,0,0,0,0,0
122,1762970000365,0,0,0,0,0,0,0,0
123,1762970000499,0,0,0,0,0,0,0,0
124,1762970000581,0,0,0,0,0,0,0,0
125,1762970000880,0,0,0,0,0,0,0,0
126,1762970001181,0,0,0,0,0,0,0,0
127,1762970001247,0,0,0,0,0,0,0,0
128,1762970001363,0,0,0,0,0,0,0,0
129,1762970001463,0,0,0,0,0,0,0,0
130,1762970001580,0,0,0,0,0,0,0,0
131,1762970001680,0,0,0,0,0,0,0,0
132,1762970002130,0,0,0,0,0,0,0,0
133,1762970002180,0,0,0,0,0,0,0,0
134,1762970002247,0,0,0,0,0,0,0,0
