index,date,MIN_VOLTAGE,MAX_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,1,2,3,4
0,1762968055153,3.32,3.18,79.1,0,0,0,0,0
1,1762968055619,3.32,3.25,79.2,0,0,0,0,0
2,1762968056501,3.32,3.25,79.2,0,0,0,0,0
3,1762968056967,3.32,3.18,79.1,0,0,0,0,0
4,1762968057433,3.32,3.25,79.2,0,0,0,0,0
5,1762968057883,3.32,3.18,79.1,0,0,0,0,0
6,1762968058349,3.32,3.25,79.2,0,0,0,0,0
7,1762968058799,3.32,3.18,79.1,0,0,0,0,0
8,1762968059249,3.32,3.25,79.2,0,0,0,0,0
9,1762968059732,3.32,3.17,79.1,0,0,0,0,0
10,1762968060614,3.32,3.18,79.1,0,0,0,0,0
11,1762968061063,3.32,3.25,79.2,0,0,0,0,0
12,1762968061964,3.32,3.25,79.2,0,0,0,0,0
13,1762968062429,3.32,3.17,79.1,0,0,0,0,0
14,1762968062879,3.32,3.25,79.2,0,0,0,0,0
15,1762968063346,3.32,3.17,79.1,0,0,0,0,0
16,1762968064261,3.32,3.17,79.1,0,0,0,0,0
17,1762968064728,3.32,3.25,79.2,0,0,0,0,0
18,1762968065160,3.32,3.17,79.1,0,0,0,0,0
19,1762968065610,3.32,3.25,79.2,0,0,0,0,0
20,1762968066077,3.32,3.17,79.1,0,0,0,0,0
21,1762968066526,3.32,3.25,79.2,0,0,0,0,0
22,1762968066992,3.32,3.17,79.1,0,0,0,0,0
23,1762968067442,3.32,3.25,79.2,0,0,0,0,0
24,1762968068358,3.32,3.25,79.2,0,0,0,0,0
25,1762968068807,3.32,3.17,79.1,0,0,0,0,0
26,1762968069258,3.32,3.25,79.2,0,0,0,0,0
27,1762968069724,3.32,3.17,79.1,0,0,0,0,0
28,1762968070173,3.32,3.25,79.2,0,0,0,0,0
29,1762968071089,3.32,3.25,79.2,0,0,0,0,0
30,1762968071538,3.32,3.17,79.1,0,0,0,0,0
31,1762968071987,3.32,3.25,79.2,0,0,0,0,0
32,1762968072437,3.32,3.17,79.1,0,0,0,0,0
33,1762968072904,3.32,3.25,79.2,0,0,0,0,0
34,1762968073370,3.32,3.17,79.1,0,0,0,0,0
35,1762968073837,3.32,3.25,79.2,0,0,0,0,0
36,1762968074320,3.32,3.17,79.1,0,0,0,0,0
37,1762968074736,3.32,3.25,79.2,0,0,0,0,0
38,1762968075186,3.32,3.17,79.1,0,0,0,0,0
39,1762968075684,3.32,3.25,79.2,0,0,0,0,0
40,1762968076085,3.32,3.17,79.1,0,0,0,0,0
41,1762968076551,3.32,3.25,79.2,0,0,0,0,0
42,1762968077016,3.32,3.17,79.1,0,0,0,0,0
43,1762968077467,3.32,3.25,79.2,0,0,0,0,0
44,1762968077932,3.32,3.17,79.1,0,0,0,0,0
45,1762968078815,3.32,3.18,79.1,0,0,0,0,0
46,1762968079281,3.32,3.25,79.2,0,0,0,0,0
47,1762968081547,3.32,3.17,79.1,0,0,0,0,0
48,1762968082463,3.32,3.17,79.1,0,0,0,0,0
49,1762968082913,3.32,3.25,79.2,0,0,0,0,0
50,1762968083379,3.32,3.17,79.1,0,0,0,0,0
51,1762968083828,3.32,3.25,79.2,0,0,0,0,0
52,1762968084295,3.32,3.17,79.1,0,0,0,0,0
53,1762968085193,3.32,3.16,79.1,0,0,0,0,0
54,1762968086111,3.32,3.17,79.1,0,0,0,0,0
55,1762968086559,3.32,3.25,79.2,0,0,0,0,0
56,1762968087009,3.32,3.17,79.1,0,0,0,0,0
57,1762968087925,3.32,3.17,79.1,0,0,0,0,0
58,1762968088391,3.32,3.25,79.2,0,0,0,0,0
59,1762968088825,3.32,3.17,79.1,0,0,0,0,0
60,1762968089289,3.32,3.25,79.2,0,0,0,0,0
61,1762968089756,3.32,3.17,79.1,0,0,0,0,0
62,1762968090207,3.32,3.25,79.2,0,0,0,0,0
63,1762968090672,3.32,3.17,79.1,0,0,0,0,0
64,1762968091123,3.32,3.25,79.2,0,0,0,0,0
65,1762968091572,3.32,3.17,79.1,0,0,0,0,0
66,1762968092020,3.32,3.25,79.2,0,0,0,0,0
