index,date,BMS_MODE,BMS_ERROR,AIR_P,AIR_N,1,2,3,4
0,1762968055153,1,0,0,0,0,0,0,0
1,1762968055636,1,0,0,0,0,0,0,0
2,1762968056984,1,0,0,0,0,0,0,0
3,1762968057883,1,0,0,0,0,0,0,0
4,1762968058349,1,0,0,0,0,0,0,0
5,1762968058799,1,0,0,0,0,0,0,0
6,1762968059249,1,0,0,0,0,0,0,0
7,1762968059732,1,0,0,0,0,0,0,0
8,1762968061563,1,0,0,0,0,0,0,0
9,1762968061979,1,0,0,0,0,0,0,0
10,1762968062429,1,0,0,0,0,0,0,0
11,1762968062895,1,0,0,0,0,0,0,0
12,1762968063346,1,0,0,0,0,0,0,0
13,1762968064261,1,0,0,0,0,0,0,0
14,1762968064728,1,0,0,0,0,0,0,0
15,1762968065176,1,0,0,0,0,0,0,0
16,1762968065610,1,0,0,0,0,0,0,0
17,1762968066077,1,0,0,0,0,0,0,0
18,1762968066543,1,0,0,0,0,0,0,0
19,1762968067010,1,0,0,0,0,0,0,0
20,1762968067459,1,0,0,0,0,0,0,0
21,1762968068358,1,0,0,0,0,0,0,0
22,1762968068808,1,0,0,0,0,0,0,0
23,1762968069258,1,0,0,0,0,0,0,0
24,1762968069724,1,0,0,0,0,0,0,0
25,1762968070173,1,0,0,0,0,0,0,0
26,1762968071105,1,0,0,0,0,0,0,0
27,1762968071556,1,0,0,0,0,0,0,0
28,1762968072006,1,0,0,0,0,0,0,0
29,1762968072454,1,0,0,0,0,0,0,0
30,1762968072921,1,0,0,0,0,0,0,0
31,1762968073853,1,0,0,0,0,0,0,0
32,1762968074320,1,0,0,0,0,0,0,0
33,1762968074736,1,0,0,0,0,0,0,0
34,1762968075202,1,0,0,0,0,0,0,0
35,1762968075702,1,0,0,0,0,0,0,0
36,1762968076085,1,0,0,0,0,0,0,0
37,1762968076551,1,0,0,0,0,0,0,0
38,1762968077016,1,0,0,0,0,0,0,0
39,1762968077467,1,0,0,0,0,0,0,0
40,1762968077932,1,0,0,0,0,0,0,0
41,1762968078815,1,0,0,0,0,0,0,0
42,1762968079281,1,0,0,0,0,0,0,0
43,1762968079733,1,0,0,0,0,0,0,0
44,1762968080663,1,0,0,0,0,0,0,0
45,1762968082014,1,0,0,0,0,0,0,0
46,1762968083379,1,0,0,0,0,0,0,0
47,1762968083828,1,0,0,0,0,0,0,0
48,1762968084745,1,0,0,0,0,0,0,0
49,1762968085193,1,0,0,0,0,0,0,0
50,1762968085644,1,0,0,0,0,0,0,0
51,1762968086111,1,0,0,0,0,0,0,0
52,1762968086559,1,0,0,0,0,0,0,0
53,1762968087009,1,0,0,0,0,0,0,0
54,1762968087476,1,0,0,0,0,0,0,0
55,1762968087925,1,0,0,0,0,0,0,0
56,1762968088408,1,0,0,0,0,0,0,0
57,1762968088841,1,0,0,0,0,0,0,0
58,1762968089308,1,0,0,0,0,0,0,0
59,1762968089756,1,0,0,0,0,0,0,0
60,1762968090223,1,0,0,0,0,0,0,0
61,1762968090688,1,0,0,0,0,0,0,0
62,1762968091123,1,0,0,0,0,0,0,0
63,1762968091572,1,0,0,0,0,0,0,0
64,1762968092037,1,0,0,0,0,0,0,0
65,1762968092487,1,0,0,0,0,0,0,0
66,1762968092953,1,0,0,0,0,0,0,0
67,1762968093403,1,0,0,0,0,0,0,0
68,1762968093870,1,0,0,0,0,0,0,0
69,1762968094319,1,0,0,0,0,0,0,0
70,1762968095218,1,0,0,0,0,0,0,0
71,1762968095685,1,0,0,0,0,0,0,0
72,1762968096135,1,0,0,0,0,0,0,0
73,1762968096617,1,0,0,0,0,0,0,0
74,1762968097050,1,0,0,0,0,0,0,0
75,1762968097951,1,0,0,0,0,0,0,0
76,1762968098400,1,0,0,0,0,0,0,0
77,1762968098849,1,0,0,0,0,0,0,0
78,1762968099332,1,0,0,0,0,0,0,0
79,1762968101146,1,0,0,0,0,0,0,0
80,1762968101596,1,0,0,0,0,0,0,0
81,1762968102047,1,0,0,0,0,0,0,0
82,1762968102512,1,0,0,0,0,0,0,0
83,1762968103428,1,0,0,0,0,0,0,0
84,1762968103877,1,0,0,0,0,0,0,0
85,1762968104327,1,0,0,0,0,0,0,0
86,1762968104777,1,0,0,0,0,0,0,0
87,1762968105226,1,0,0,0,0,0,0,0
88,1762968106144,1,0,0,0,0,0,0,0
89,1762968106626,1,0,0,0,0,0,0,0
90,1762968107525,1,0,0,0,0,0,0,0
91,1762968107974,1,0,0,0,0,0,0,0
92,1762968110240,1,0,0,0,0,0,0,0
93,1762968112521,1,0,0,0,0,0,0,0
94,1762968112986,1,0,0,0,0,0,0,0
95,1762968113903,1,0,0,0,0,0,0,0
96,1762968114370,1,0,0,0,0,0,0,0
97,1762968114803,1,0,0,0,0,0,0,0
98,1762968115269,1,0,0,0,0,0,0,0
99,1762968116184,1,0,0,0,0,0,0,0
100,1762968117117,1,0,0,0,0,0,0,0
101,1762968117533,1,0,0,0,0,0,0,0
102,1762968118000,1,0,0,0,0,0,0,0
103,1762968118465,1,0,0,0,0,0,0,0
104,1762968118916,1,0,0,0,0,0,0,0
105,1762968119399,1,0,0,0,0,0,0,0
106,1762968120280,1,0,0,1,0,0,0,0
107,1762968120731,1,0,0,1,0,0,0,0
108,1762968121180,1,0,0,1,0,0,0,0
109,1762968121646,1,0,0,1,0,0,0,0
110,1762968122096,1,0,0,1,0,0,0,0
111,1762968122562,1,0,0,1,0,0,0,0
112,1762968123012,1,0,1,1,0,0,0,0
113,1762968123478,1,0,1,1,0,0,0,0
114,1762968123912,1,0,1,1,0,0,0,0
115,1762968124362,1,0,1,1,0,0,0,0
116,1762968124828,1,0,1,1,0,0,0,0
117,1762968125278,1,0,1,1,0,0,0,0
118,1762968125761,1,0,1,1,0,0,0,0
119,1762968126209,1,0,1,1,0,0,0,0
120,1762968126693,1,0,1,1,0,0,0,0
121,1762968127093,1,0,1,1,0,0,0,0
122,1762968127559,1,0,1,1,0,0,0,0
123,1762968128024,1,0,1,1,0,0,0,0
124,1762968128941,1,0,1,1,0,0,0,0
125,1762968129840,1,0,1,1,0,0,0,0
126,1762968130291,1,0,1,1,0,0,0,0
127,1762968130756,1,0,1,1,0,0,0,0
128,1762968131206,1,0,1,1,0,0,0,0
129,1762968132122,1,0,1,1,0,0,0,0
130,1762968132921,1,0,1,1,0,0,0,0
131,1762968134154,1,0,1,1,0,0,0,0
132,1762968135870,1,0,1,1,0,0,0,0
133,1762968138401,1,0,1,1,0,0,0,0
134,1762968139183,1,0,1,1,0,0,0,0
135,1762968139699,1,0,1,1,0,0,0,0
136,1762968140431,1,0,1,1,0,0,0,0
137,1762968141730,1,0,1,1,0,0,0,0
138,1762968142947,1,0,1,1,0,0,0,0
139,1762968143397,1,0,1,1,0,0,0,0
140,1762968144196,1,0,1,1,0,0,0,0
141,1762968145960,1,0,1,1,0,0,0,0
142,1762968146793,1,0,1,1,0,0,0,0
143,1762968147143,1,0,1,1,0,0,0,0
144,1762968148426,1,0,1,1,0,0,0,0
145,1762968149209,1,0,1,1,0,0,0,0
146,1762968149741,1,0,1,1,0,0,0,0
147,1762968150925,1,0,1,1,0,0,0,0
148,1762968151822,1,0,1,1,0,0,0,0
149,1762968152956,1,0,1,1,0,0,0,0
150,1762968153421,1,0,1,1,0,0,0,0
151,1762968154221,1,0,1,1,0,0,0,0
152,1762968154786,1,0,1,1,0,0,0,0
153,1762968155470,1,0,1,1,0,0,0,0
154,1762968155937,1,0,1,1,0,0,0,0
155,1762968156734,1,0,1,1,0,0,0,0
156,1762968157969,1,0,1,1,0,0,0,0
157,1762968158434,1,0,1,1,0,0,0,0
158,1762968159217,1,0,1,1,0,0,0,0
159,1762968160998,1,0,1,1,0,0,0,0
