index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,1,2,3,4,5
0,1762968053603,0,0,0,0,0,0,0,0
1,1762968053819,0,0,0,0,0,0,0,0
2,1762968053936,0,0,0,0,0,0,0,0
3,1762968054036,0,0,0,0,0,0,0,0
4,1762968054153,0,0,0,0,0,0,0,0
5,1762968054270,0,0,0,0,0,0,0,0
6,1762968054635,0,0,0,0,0,0,0,0
7,1762968054818,0,0,0,0,0,0,0,0
8,1762968055035,0,0,0,0,0,0,0,0
9,1762968055136,0,0,0,0,0,0,0,0
10,1762968055235,0,0,0,0,0,0,0,0
11,1762968055352,0,0,0,0,0,0,0,0
12,1762968055469,0,0,0,0,0,0,0,0
13,1762968055619,0,0,0,0,0,0,0,0
14,1762968055801,0,0,0,0,0,0,0,0
15,1762968055901,0,0,0,0,0,0,0,0
16,1762968056002,0,0,0,0,0,0,0,0
17,1762968056135,0,0,0,0,0,0,0,0
18,1762968056234,0,0,0,0,0,0,0,0
19,1762968056684,0,0,0,0,0,0,0,0
20,1762968056900,0,0,0,0,0,0,0,0
21,1762968057018,0,0,0,0,0,0,0,0
22,1762968057117,0,0,0,0,0,0,0,0
23,1762968057250,0,0,0,0,0,0,0,0
24,1762968057350,0,0,0,0,0,0,0,0
25,1762968057450,0,0,0,0,0,0,0,0
26,1762968057567,0,0,0,0,0,0,0,0
27,1762968057783,0,0,0,0,0,0,0,0
28,1762968057899,0,0,0,0,0,0,0,0
29,1762968058000,0,0,0,0,0,0,0,0
30,1762968058333,0,0,0,0,0,0,0,0
31,1762968058467,0,0,0,0,0,0,0,0
32,1762968058665,0,0,0,0,0,0,0,0
33,1762968058782,0,0,0,0,0,0,0,0
34,1762968058882,0,0,0,0,0,0,0,0
35,1762968058999,0,0,0,0,0,0,0,0
36,1762968059082,0,0,0,0,0,0,0,0
37,1762968059215,0,0,0,0,0,0,0,0
38,1762968059432,0,0,0,0,0,0,0,0
39,1762968059665,0,0,0,0,0,0,0,0
40,1762968059781,0,0,0,0,0,0,0,0
41,1762968059981,0,0,0,0,0,0,0,0
42,1762968060197,0,0,0,0,0,0,0,0
43,1762968060298,0,0,0,0,0,0,0,0
44,1762968060564,0,0,0,0,0,0,0,0
45,1762968060864,0,0,0,0,0,0,0,0
46,1762968060964,0,0,0,0,0,0,0,0
47,1762968061063,0,0,0,0,0,0,0,0
48,1762968061413,0,0,0,0,0,0,0,0
49,1762968061547,0,0,0,0,0,0,0,0
50,1762968061663,0,0,0,0,0,0,0,0
51,1762968061846,0,0,0,0,0,0,0,0
52,1762968061964,0,0,0,0,0,0,0,0
53,1762968062396,0,0,0,0,0,0,0,0
54,1762968062496,0,0,0,0,0,0,0,0
55,1762968062629,0,0,0,0,0,0,0,0
56,1762968062713,0,0,0,0,0,0,0,0
57,1762968062829,0,0,0,0,0,0,0,0
58,1762968063295,0,0,0,0,0,0,0,0
59,1762968063395,0,0,0,0,0,0,0,0
60,1762968063495,0,0,0,0,0,0,0,0
61,1762968063828,0,0,0,0,0,0,0,0
62,1762968063945,0,0,0,0,0,0,0,0
63,1762968064061,0,0,0,0,0,0,0,0
64,1762968064161,0,0,0,0,0,0,0,0
65,1762968064279,0,0,0,0,0,0,0,0
66,1762968064378,0,0,0,0,0,0,0,0
67,1762968064512,0,0,0,3.26,0,0,0,0
68,1762968064611,0,0,0,0,0,0,0,0
69,1762968064711,0,0,0,0,0,0,0,0
70,1762968064829,0,0,0,0,0,0,0,0
71,1762968065044,0,0,0,0,0,0,0,0
72,1762968065144,0,0,0,0,0,0,0,0
73,1762968065261,0,0,0,0,0,0,0,0
74,1762968065377,0,0,0,0,0,0,0,0
75,1762968065493,0,0,0,0,0,0,0,0
76,1762968065593,0,0,0,0,0,0,0,0
77,1762968065710,0,0,0,0,0,0,0,0
78,1762968065810,0,0,0,0,0,0,0,0
79,1762968065927,0,0,0,0,0,0,0,0
80,1762968066143,0,0,0,0,0,0,0,0
81,1762968066260,0,0,0,0,0,0,0,0
82,1762968066358,0,0,0,0,0,0,0,0
83,1762968066475,0,0,0,0,0,0,0,0
84,1762968066575,0,0,0,0,0,0,0,0
85,1762968066692,0,0,0,0,0,0,0,0
86,1762968066793,0,0,0,0,0,0,0,0
87,1762968066910,0,0,0,0,0,0,0,0
88,1762968067025,0,0,0,0,0,0,0,0
89,1762968067241,0,0,0,0,0,0,0,0
90,1762968067357,0,0,0,0,0,0,0,0
91,1762968067459,0,0,0,0,0,0,0,0
92,1762968067574,0,0,0,0,0,0,0,0
93,1762968067708,0,0,0,3.26,0,0,0,0
94,1762968067908,0,0,0,0,0,0,0,0
95,1762968068009,0,0,0,0,0,0,0,0
