index,date,TEMPERATURE,1,2,3,4,5,6,7
0,1765895465098,-734,0,0,0,0,0,0,0
1,1765895518663,-633,0,0,0,0,0,0,0
2,1765895523081,-629,0,0,0,0,0,0,0
3,1765895533514,-596,0,0,0,0,0,0,0
4,1765895534981,-602,0,0,0,0,0,0,0
5,1765895541480,-592,0,0,0,0,0,0,0
6,1765895544380,-596,0,0,0,0,0,0,0
7,1765895545097,-592,0,0,0,0,0,0,0
8,1765895545446,-592,0,0,0,0,0,0,0
9,1765895552896,-588,0,0,0,0,0,0,0
10,1765895553962,-594,0,0,0,0,0,0,0
11,1765895556046,-586,0,0,0,0,0,0,0
12,1765895557129,-587,0,0,0,0,0,0,0
13,1765895561630,-587,0,0,0,0,0,0,0
14,1765895562446,-582,0,0,0,0,0,0,0
15,1765895564597,-575,0,0,0,0,0,0,0
16,1765895570579,-557,0,0,0,0,0,0,0
17,1765895573362,-566,0,0,0,0,0,0,0
18,1765895585114,-538,0,0,0,0,0,0,0
19,1765895587030,-534,0,0,0,0,0,0,0
20,1765895587379,-532,0,0,0,0,0,0,0
21,1765895592129,-519,0,0,0,0,0,0,0
22,1765895596280,-519,0,0,0,0,0,0,0
23,1765895597281,-524,0,0,0,0,0,0,0
24,1765895598531,-524,0,0,0,0,0,0,0
25,1765895600614,-526,0,0,0,0,0,0,0
26,1765895600947,-520,0,0,0,0,0,0,0
27,1765895601831,-509,0,0,0,0,0,0,0
28,1765895602864,-517,0,0,0,0,0,0,0
29,1765895603280,-516,0,0,0,0,0,0,0
30,1765895603681,-509,0,0,0,0,0,0,0
31,1765895604047,-516,0,0,0,0,0,0,0
32,1765895616181,-503,0,0,0,0,0,0,0
33,1765895617330,-495,0,0,0,0,0,0,0
34,1765895623895,-487,0,0,0,0,0,0,0
35,1765895629214,-497,0,0,0,0,0,0,0
36,1765895634713,-485,0,0,0,0,0,0,0
37,1765895635863,-478,0,0,0,0,0,0,0
38,1765895636247,-487,0,0,0,0,0,0,0
39,1765895640296,-478,0,0,0,0,0,0,0
40,1765895643263,-474,0,0,0,0,0,0,0
41,1765895644445,-472,0,0,0,0,0,0,0
42,1765895645313,-478,0,0,0,0,0,0,0
43,1765895647330,-464,0,0,0,0,0,0,0
44,1765895649446,-466,0,0,0,0,0,0,0
45,1765895650663,-472,0,0,0,0,0,0,0
46,1765895651731,-466,0,0,0,0,0,0,0
47,1765895652130,-462,0,0,0,0,0,0,0
48,1765895655697,-462,0,0,0,0,0,0,0
49,1765895658164,-464,0,0,0,0,0,0,0
50,1765895659747,-460,0,0,0,0,0,0,0
51,1765895661462,-458,0,0,0,0,0,0,0
52,1765895662630,-462,0,0,0,0,0,0,0
53,1765895663048,-462,0,0,0,0,0,0,0
54,1765895664597,-458,0,0,0,0,0,0,0
55,1765895666913,-456,0,0,0,0,0,0,0
56,1765895668230,-458,0,0,0,0,0,0,0
57,1765895673994,-454,0,0,0,0,0,0,0
58,1765895677279,-450,0,0,0,0,0,0,0
59,1765895677480,-444,0,0,0,0,0,0,0
60,1765895677897,-452,0,0,0,0,0,0,0
61,1765895690164,-445,0,0,0,0,0,0,0
62,1765895696098,-452,0,0,0,0,0,0,0
63,1765895696880,-437,0,0,0,0,0,0,0
64,1765895698513,-430,0,0,0,0,0,0,0
65,1765895703513,-435,0,0,0,0,0,0,0
66,1765895705147,-427,0,0,0,0,0,0,0
67,1765895707597,-425,0,0,0,0,0,0,0
68,1765895707930,-423,0,0,0,0,0,0,0
69,1765895712230,-419,0,0,0,0,0,0,0
70,1765895718247,-402,0,0,0,0,0,0,0
71,1765895729680,-402,0,0,0,0,0,0,0
72,1765895733028,-402,0,0,0,0,0,0,0
73,1765895734596,-400,0,0,0,0,0,0,0
74,1765895735812,-402,0,0,0,0,0,0,0
75,1765895737866,-402,0,0,0,0,0,0,0
76,1765895740296,-395,0,0,0,0,0,0,0
77,1765895746965,-390,0,0,0,0,0,0,0
78,1765895757281,-397,0,0,0,0,0,0,0
79,1765895759200,-384,0,0,0,0,0,0,0
