index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
0,1765902320951,5,25,5,0,0,0,0,0
1,1765902321468,-5,29,4,0,0,0,0,0
2,1765902321586,-2,74,7,0,0,0,0,0
3,1765902322685,-17,259,-19,0,0,0,0,0
4,1765902323718,-33,197,15,0,0,0,0,0
5,1765902324305,-60,249,23,0,0,0,0,0
6,1765902326702,-74,295,8,0,0,0,0,0
7,1765902328702,39,-140,-18,0,0,0,0,0
8,1765902329219,-42,-279,-71,0,0,0,0,0
9,1765902330736,34,-363,43,0,0,0,0,0
10,1765902330918,-19,-310,46,0,0,0,0,0
11,1765902331218,33,-270,25,0,0,0,0,0
12,1765902331553,-87,-151,-3,0,0,0,0,0
13,1765902332002,-3,-110,1,0,0,0,0,0
14,1765902332302,-21,-67,7,0,0,0,0,0
15,1765902332601,-26,-37,-56,0,0,0,0,0
16,1765902332885,-31,-32,-21,0,0,0,0,0
17,1765902333217,-11,-16,53,0,0,0,0,0
18,1765902333352,-21,-25,-11,0,0,0,0,0
19,1765902333618,12,-20,-21,0,0,0,0,0
20,1765902334201,-23,-19,58,0,0,0,0,0
21,1765902336585,42,-57,26,0,0,0,0,0
22,1765902336735,-18,-46,-21,0,0,0,0,0
23,1765902337818,1,-124,28,0,0,0,0,0
24,1765902337885,-28,-114,-31,0,0,0,0,0
25,1765902338102,104,-52,44,0,0,0,0,0
26,1765902341152,-23,-345,50,0,0,0,0,0
27,1765902342001,-31,-373,18,0,0,0,0,0
28,1765902346367,-16,-37,14,0,0,0,0,0
29,1765902349835,-74,28,-7,0,0,0,0,0
30,1765902351201,-54,-61,30,0,0,0,0,0
31,1765902351585,8,-252,4,0,0,0,0,0
32,1765902351835,49,-418,15,0,0,0,0,0
33,1765902352253,22,-178,47,0,0,0,0,0
34,1765902354451,13,-431,140,0,0,0,0,0
35,1765902360573,53,-411,106,0,0,0,0,0
36,1765902361702,2,272,-5,0,0,0,0,0
37,1765902362504,53,-498,44,0,0,0,0,0
38,1765902362951,17,-453,-18,0,0,0,0,0
39,1765902363918,-12,561,-19,0,0,0,0,0
40,1765902364202,-32,469,-1,0,0,0,0,0
41,1765902364501,8,182,-92,0,0,0,0,0
42,1765902364718,24,-106,-36,0,0,0,0,0
43,1765902365018,12,-212,-23,0,0,0,0,0
44,1765902365517,-37,-156,0,0,0,0,0,0
45,1765902365784,47,-70,-20,0,0,0,0,0
46,1765902366154,-43,167,-4,0,0,0,0,0
47,1765902366817,-27,388,3,0,0,0,0,0
48,1765902367383,16,541,20,0,0,0,0,0
49,1765902368036,-46,655,65,0,0,0,0,0
50,1765902368085,-58,605,-266,0,0,0,0,0
51,1765902368485,-128,574,-3,0,0,0,0,0
52,1765902369851,14,633,14,0,0,0,0,0
53,1765902370919,-21,697,-58,0,0,0,0,0
54,1765902371821,-33,148,-2,0,0,0,0,0
55,1765902372951,-33,-117,-7,0,0,0,0,0
56,1765902375088,-19,-311,13,0,0,0,0,0
57,1765902375769,40,-485,34,0,0,0,0,0
58,1765902376586,82,-369,34,0,0,0,0,0
59,1765902377036,-12,-376,12,0,0,0,0,0
60,1765902378402,-52,-583,135,0,0,0,0,0
61,1765902379119,29,-618,-10,0,0,0,0,0
62,1765902379134,56,-519,-15,0,0,0,0,0
63,1765902379416,28,-363,56,0,0,0,0,0
64,1765902379751,37,-327,8,0,0,0,0,0
65,1765902379868,31,-278,15,0,0,0,0,0
66,1765902380468,15,-113,14,0,0,0,0,0
67,1765902387386,-7,-610,66,0,0,0,0,0
68,1765902387618,119,-669,5,0,0,0,0,0
69,1765902387667,44,-678,95,0,0,0,0,0
70,1765902387918,18,-663,-14,0,0,0,0,0
71,1765902388319,-75,-181,62,0,0,0,0,0
72,1765902388635,29,-419,84,0,0,0,0,0
73,1765902388754,-17,-464,-14,0,0,0,0,0
74,1765902388869,-12,-487,47,0,0,0,0,0
75,1765902388934,21,-521,59,0,0,0,0,0
76,1765902389217,18,-552,23,0,0,0,0,0
