index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1765902320635,3.27,3.29,3.18,3.26,0,0,0,0
1,1765902320752,3.27,3.29,3.18,3.26,0,0,0,0
2,1765902320835,3.28,3.29,3.25,3.27,0,0,0,0
3,1765902321102,3.28,3.29,3.26,3.27,0,0,0,0
4,1765902321235,3.28,3.29,3.26,3.27,0,0,0,0
5,1765902321285,3.28,3.29,3.26,3.27,0,0,0,0
6,1765902321402,3.28,3.29,3.26,3.27,0,0,0,0
7,1765902321518,3.28,3.29,3.26,3.27,0,0,0,0
8,1765902321768,3.28,3.29,3.26,3.27,0,0,0,0
9,1765902321935,3.28,3.29,3.26,3.27,0,0,0,0
10,1765902322068,3.28,3.29,3.26,3.27,0,0,0,0
11,1765902322168,3.28,3.29,3.26,3.27,0,0,0,0
12,1765902322319,3.28,3.29,3.26,3.27,0,0,0,0
13,1765902322436,3.28,3.29,3.26,3.27,0,0,0,0
14,1765902322535,3.28,3.29,3.26,3.27,0,0,0,0
15,1765902322735,3.28,3.29,3.26,3.27,0,0,0,0
16,1765902322868,3.28,3.29,3.26,3.27,0,0,0,0
17,1765902322934,3.28,3.29,3.25,3.27,0,0,0,0
18,1765902323052,3.28,3.29,3.25,3.27,0,0,0,0
19,1765902323135,3.28,3.29,3.25,3.27,0,0,0,0
20,1765902323254,3.27,3.29,3.2,3.26,0,0,0,0
21,1765902323356,3.27,3.29,3.2,3.26,0,0,0,0
22,1765902323453,3.27,3.29,3.24,3.27,0,0,0,0
23,1765902323569,3.27,3.29,3.24,3.27,0,0,0,0
24,1765902323767,3.27,3.29,3.22,3.26,0,0,0,0
25,1765902323868,3.27,3.29,3.22,3.26,0,0,0,0
26,1765902323985,3.27,3.29,3.22,3.26,0,0,0,0
27,1765902324086,3.27,3.29,3.22,3.26,0,0,0,0
28,1765902324253,3.26,3.29,3.06,3.23,0,0,0,0
29,1765902324369,3.26,3.29,3.06,3.23,0,0,0,0
30,1765902324535,3.26,3.29,3.07,3.24,0,0,0,0
31,1765902324634,3.26,3.29,3.07,3.24,0,0,0,0
32,1765902324719,3.26,3.29,3.07,3.24,0,0,0,0
33,1765902324868,3.26,3.29,3.02,3.23,0,0,0,0
34,1765902325019,3.26,3.29,2.98,3.22,0,0,0,0
35,1765902325152,3.26,3.29,2.98,3.22,0,0,0,0
36,1765902325268,3.26,3.29,2.96,3.22,0,0,0,0
37,1765902325500,3.25,3.29,2.91,3.21,0,0,0,0
38,1765902325768,3.25,3.29,2.84,3.2,0,0,0,0
39,1765902325969,3.25,3.29,2.76,3.2,0,0,0,0
40,1765902326086,3.25,3.29,2.76,3.2,0,0,0,0
41,1765902326168,3.25,3.29,2.77,3.19,0,0,0,0
42,1765902326268,3.25,3.29,2.77,3.19,0,0,0,0
43,1765902326352,3.25,3.29,2.86,3.21,0,0,0,0
44,1765902326468,3.25,3.29,2.86,3.21,0,0,0,0
45,1765902326552,3.25,3.29,2.86,3.21,0,0,0,0
46,1765902326769,3.25,3.29,2.89,3.21,0,0,0,0
47,1765902326952,3.25,3.29,2.88,3.21,0,0,0,0
48,1765902327068,3.25,3.29,2.87,3.21,0,0,0,0
49,1765902327234,3.25,3.29,2.87,3.21,0,0,0,0
50,1765902327451,3.25,3.29,2.88,3.21,0,0,0,0
51,1765902327552,3.25,3.29,2.88,3.21,0,0,0,0
52,1765902327635,3.25,3.29,2.88,3.21,0,0,0,0
53,1765902327785,3.25,3.29,2.88,3.21,0,0,0,0
54,1765902327869,3.25,3.29,2.88,3.21,0,0,0,0
55,1765902328002,3.25,3.29,2.88,3.21,0,0,0,0
56,1765902328102,3.25,3.29,2.88,3.21,0,0,0,0
57,1765902328252,3.25,3.29,2.88,3.21,0,0,0,0
58,1765902328352,3.25,3.29,2.91,3.21,0,0,0,0
59,1765902328451,3.25,3.29,2.91,3.21,0,0,0,0
60,1765902328602,3.25,3.29,2.92,3.21,0,0,0,0
