index,date,FRONT_LEFT_SPEED,FRONT_RIGHT_SPEED,REAR_LEFT_SPEED,REAR_RIGHT_SPEED,1,2,3,4
0,1765902320767,0,0,0,0,0,0,0,0
1,1765902320818,0,0,276,303,0,0,0,0
2,1765902321652,0,0,0,0,0,0,0,0
3,1765902322068,0,0,31,34,0,0,0,0
4,1765902322219,0,0,20,23,0,0,0,0
5,1765902322886,0,0,7,22,0,0,0,0
6,1765902324786,0,0,210,443,0,0,0,0
7,1765902325168,0,0,319,523,0,0,0,0
8,1765902325334,0,0,443,620,0,0,0,0
9,1765902326902,0,0,1124,1246,0,0,0,0
10,1765902328735,0,0,1528,1502,0,0,0,0
11,1765902329485,0,0,1629,1536,0,0,0,0
12,1765902329602,0,0,1661,1536,0,0,0,0
13,1765902330285,0,0,1731,1575,0,0,0,0
14,1765902330819,0,0,1794,1623,0,0,0,0
15,1765902331102,0,0,1824,1655,0,0,0,0
16,1765902331401,0,0,1866,1723,0,0,0,0
17,1765902331634,0,0,1896,1769,0,0,0,0
18,1765902331885,0,0,1940,1829,0,0,0,0
19,1765902332668,0,0,2094,2046,0,0,0,0
20,1765902332851,0,0,2156,2106,0,0,0,0
21,1765902333284,0,0,2227,2196,0,0,0,0
22,1765902334053,4,0,2405,2375,0,0,0,0
23,1765902336384,0,0,2821,2765,0,0,0,0
24,1765902336501,2,0,2850,2798,0,0,0,0
25,1765902337902,0,0,3043,2989,0,0,0,0
26,1765902338152,3,0,3068,3016,0,0,0,0
27,1765902338418,3,0,3091,3045,0,0,0,0
28,1765902340368,0,0,0,0,0,0,0,0
29,1765902340502,0,0,0,0,0,0,0,0
30,1765902341201,16,0,0,0,0,0,0,0
31,1765902342951,0,0,1992,1968,0,0,0,0
32,1765902343485,0,0,2085,1985,0,0,0,0
33,1765902344284,0,0,2324,2195,0,0,0,0
34,1765902344435,0,0,2409,2288,0,0,0,0
35,1765902345184,0,0,2678,2549,0,0,0,0
36,1765902345702,0,0,2818,2732,0,0,0,0
37,1765902347268,0,0,3270,3233,0,0,0,0
38,1765902347351,0,0,3321,3284,0,0,0,0
39,1765902348084,0,0,3512,3483,0,0,0,0
40,1765902348901,0,0,3708,3701,0,0,0,0
41,1765902349735,0,0,3874,3878,0,0,0,0
42,1765902350597,0,0,0,0,0,0,0,0
43,1765902350598,0,0,0,0,0,0,0,0
44,1765902351167,0,0,0,0,0,0,0,0
45,1765902351525,1,0,0,0,0,0,0,0
46,1765902354019,0,0,1,0,0,0,0,0
47,1765902354135,0,0,1,0,0,0,0,0
48,1765902354786,0,0,172,534,0,0,0,0
49,1765902355619,0,0,2263,2308,0,0,0,0
50,1765902355718,0,0,2383,2381,0,0,0,0
51,1765902356518,0,0,2781,2571,0,0,0,0
52,1765902357083,0,0,2910,2724,0,0,0,0
53,1765902358686,0,0,0,0,0,0,0,0
54,1765902360001,0,0,233,235,0,0,0,0
55,1765902360167,0,0,1702,1833,0,0,0,0
56,1765902360301,0,0,2212,2221,0,0,0,0
57,1765902361434,0,0,2877,2828,0,0,0,0
58,1765902362167,0,0,3050,3050,0,0,0,0
59,1765902362318,0,0,0,0,0,0,0,0
60,1765902362702,0,0,852,850,0,0,0,0
61,1765902363019,0,0,698,695,0,0,0,0
62,1765902363101,0,0,0,0,0,0,0,0
63,1765902363518,0,0,193,186,0,0,0,0
64,1765902363785,0,0,115,115,0,0,0,0
65,1765902364585,0,0,1912,1999,0,0,0,0
66,1765902364785,0,0,2191,2265,0,0,0,0
67,1765902365051,0,0,2435,2407,0,0,0,0
68,1765902366685,0,0,0,0,0,0,0,0
69,1765902369104,0,2304,0,0,0,0,0,0
70,1765902370285,0,0,0,0,0,0,0,0
71,1765902370402,0,0,0,0,0,0,0,0
72,1765902372501,0,0,1700,1702,0,0,0,0
73,1765902372618,0,0,1646,1634,0,0,0,0
74,1765902373735,0,0,1692,1645,0,0,0,0
75,1765902375052,0,0,154,152,0,0,0,0
76,1765902375184,0,0,103,102,0,0,0,0
77,1765902376485,0,0,1765,1603,0,0,0,0
78,1765902376634,0,0,1790,1605,0,0,0,0
79,1765902378185,0,0,2140,1934,0,0,0,0
80,1765902378302,0,0,2217,1987,0,0,0,0
81,1765902378433,0,0,2273,2028,0,0,0,0
82,1765902380634,0,0,2062,2118,0,0,0,0
83,1765902381303,0,0,2191,2224,0,0,0,0
84,1765902381569,0,0,2358,2353,0,0,0,0
85,1765902382169,0,0,2589,2544,0,0,0,0
86,1765902383769,20,0,3232,3193,0,0,0,0
87,1765902384384,12,0,3438,3390,0,0,0,0
88,1765902384518,10,0,3502,3473,0,0,0,0
89,1765902385185,0,0,3669,3621,0,0,0,0
90,1765902385269,0,0,3736,3673,0,0,0,0
91,1765902387802,0,0,0,0,0,0,0,0
92,1765902387985,0,0,0,0,0,0,0,0
93,1765902388252,0,0,0,0,0,0,0,0
94,1765902388586,0,0,0,0,0,0,0,0
95,1765902389286,0,0,2,8,0,0,0,0
96,1765902389952,0,0,229,417,0,0,0,0
97,1765902390118,0,0,1781,1892,0,0,0,0
98,1765902391552,10,0,2888,2825,0,0,0,0
99,1765902391935,0,0,2965,2910,0,0,0,0
100,1765902392052,7,0,3052,2987,0,0,0,0
101,1765902392817,0,0,3290,3240,0,0,0,0
102,1765902392867,0,0,3359,3307,0,0,0,0
103,1765902394218,0,0,3771,3746,0,0,0,0
104,1765902394351,32768,768,3639,3810,0,0,0,0
105,1765902394519,0,0,3881,3868,0,0,0,0
106,1765902395635,0,0,0,0,0,0,0,0
107,1765902395936,0,0,0,0,0,0,0,0
108,1765902397440,0,0,0,0,0,0,0,0
109,1765902397586,0,0,54,53,0,0,0,0
110,1765902398352,0,0,1340,1380,0,0,0,0
111,1765902399169,0,0,2544,2648,0,0,0,0
112,1765902399569,0,0,2708,2692,0,0,0,0
113,1765902399817,0,0,2809,2689,0,0,0,0
114,1765902399919,0,0,2865,2693,0,0,0,0
115,1765902401119,0,0,2942,2889,0,0,0,0
116,1765902401786,0,0,3055,2880,0,0,0,0
117,1765902401917,0,0,3084,2881,0,0,0,0
118,1765902402652,0,0,3128,2934,0,0,0,0
119,1765902403302,0,0,3170,2974,0,0,0,0
120,1765902403970,0,0,3249,3033,0,0,0,0
121,1765902404135,0,0,3270,3051,0,0,0,0
122,1765902407002,0,0,175,161,0,0,0,0
123,1765902407084,4,0,1809,1912,0,0,0,0
124,1765902407685,0,0,2425,2379,0,0,0,0
125,1765902407969,0,0,2552,2429,0,0,0,0
126,1765902408415,0,0,2733,2518,0,0,0,0
127,1765902408468,2,0,2772,2569,0,0,0,0
128,1765902410034,0,0,2843,3013,0,0,0,0
129,1765902410169,0,0,2883,3039,0,0,0,0
130,1765902411019,0,0,0,0,0,0,0,0
131,1765902411552,0,0,0,0,0,0,0,0
132,1765902411716,0,0,0,0,0,0,0,0
133,1765902412585,0,0,115,139,0,0,0,0
134,1765902413019,0,0,48,58,0,0,0,0
135,1765902413602,0,0,1494,1219,0,0,0,0
136,1765902413735,0,0,1983,2085,0,0,0,0
137,1765902414552,0,0,2171,2443,0,0,0,0
138,1765902416003,0,0,2393,2508,0,0,0,0
139,1765902416285,0,0,0,2459,0,0,0,0
140,1765902416569,0,0,0,0,0,0,0,0
141,1765902416852,0,0,791,848,0,0,0,0
142,1765902417353,0,0,0,0,0,0,0,0
143,1765902417484,0,0,0,0,0,0,0,0
144,1765902417667,0,0,0,0,0,0,0,0
145,1765902417968,0,0,0,0,0,0,0,0
146,1765902418235,0,0,0,0,0,0,0,0
147,1765902418352,0,0,44,47,0,0,0,0
148,1765902419185,0,0,9,10,0,0,0,0
149,1765902419376,0,0,94,97,0,0,0,0
150,1765902421019,0,0,305,1664,0,0,0,0
151,1765902421185,0,0,181,1665,0,0,0,0
152,1765902421401,0,0,121,1663,0,0,0,0
153,1765902421702,0,0,81,1668,0,0,0,0
154,1765902422018,0,0,41,1674,0,0,0,0
155,1765902422235,0,0,27,1679,0,0,0,0
156,1765902422766,0,0,9,1701,0,0,0,0
157,1765902425719,0,0,1,2068,0,0,0,0
158,1765902426318,0,0,1,2163,0,0,0,0
159,1765902427002,0,0,1,2235,0,0,0,0
160,1765902427102,0,0,1,2258,0,0,0,0
161,1765902427568,63,0,1,2300,0,0,0,0
162,1765902427785,0,0,0,2325,0,0,0,0
163,1765902427852,273,0,1,2348,0,0,0,0
164,1765902429419,2,0,0,2492,0,0,0,0
165,1765902432902,31,0,0,2847,0,0,0,0
166,1765902433068,307,0,1,2868,0,0,0,0
167,1765902433368,53,0,0,2883,0,0,0,0
168,1765902433635,0,0,0,2889,0,0,0,0
169,1765902433718,0,0,0,2875,0,0,0,0
170,1765902434535,0,0,1,2743,0,0,0,0
171,1765902436119,0,0,0,2627,0,0,0,0
172,1765902436235,0,0,1,2707,0,0,0,0
173,1765902437802,29,8,0,2815,0,0,0,0
174,1765902437918,271,0,1,2757,0,0,0,0
175,1765902438086,271,12288,4097,23199,0,0,0,0
176,1765902438402,18,0,0,2702,0,0,0,0
177,1765902438685,18,0,0,2694,0,0,0,0
178,1765902438769,0,0,0,2693,0,0,0,0
179,1765902439452,44,0,0,2718,0,0,0,0
180,1765902439552,0,0,0,2735,0,0,0,0
181,1765902441835,154,0,0,2877,0,0,0,0
182,1765902441935,313,0,1,2888,0,0,0,0
183,1765902442769,8,0,1,2940,0,0,0,0
184,1765902443518,32,0,1,2983,0,0,0,0
185,1765902444099,0,0,1,3000,0,0,0,0
186,1765902444252,3,0,0,2996,0,0,0,0
187,1765902445051,0,0,0,0,0,0,0,0
188,1765902445619,0,0,0,0,0,0,0,0
189,1765902446251,2,0,1,89,0,0,0,0
190,1765902448002,0,0,2229,2242,0,0,0,0
191,1765902448518,0,0,2500,2393,0,0,0,0
192,1765902448652,0,0,2589,2440,0,0,0,0
193,1765902449068,0,0,2708,2534,0,0,0,0
194,1765902449368,0,0,2708,2573,0,0,0,0
195,1765902449402,2,0,2711,2648,0,0,0,0
196,1765902450868,0,0,3065,2880,0,0,0,0
197,1765902451049,0,0,3108,2904,0,0,0,0
198,1765902451316,0,0,3132,2939,0,0,0,0
199,1765902451518,0,0,3164,2964,0,0,0,0
200,1765902452167,0,0,3232,3026,0,0,0,0
201,1765902452360,0,0,3268,3050,0,0,0,0
202,1765902452583,0,0,3289,3076,0,0,0,0
203,1765902453684,0,0,3370,3132,0,0,0,0
204,1765902454000,0,0,3350,3118,0,0,0,0
205,1765902454218,0,0,3335,3087,0,0,0,0
206,1765902454333,0,0,0,0,0,0,0,0
207,1765902455119,344,0,509,428,0,0,0,0
208,1765902455767,331,0,166,146,0,0,0,0
209,1765902457285,48,0,2932,2802,0,0,0,0
210,1765902457368,176,0,2989,2890,0,0,0,0
211,1765902458702,2,0,3153,3309,0,0,0,0
212,1765902458834,2,0,3234,3314,0,0,0,0
213,1765902458969,0,0,0,0,0,0,0,0
214,1765902459668,356,0,0,0,0,0,0,0
215,1765902459751,0,0,0,0,0,0,0,0
216,1765902460602,0,0,128,130,0,0,0,0
217,1765902460769,0,0,86,87,0,0,0,0
218,1765902461050,0,0,51,54,0,0,0,0
219,1765902461318,0,0,35,36,0,0,0,0
220,1765902461435,0,0,23,24,0,0,0,0
221,1765902463001,0,0,2375,478,0,0,0,0
222,1765902463135,0,0,2340,320,0,0,0,0
223,1765902463327,0,0,2305,198,0,0,0,0
224,1765902463902,0,0,2284,64,0,0,0,0
225,1765902465535,0,0,243,8,0,0,0,0
226,1765902465602,1,0,163,5,0,0,0,0
227,1765902466601,0,0,2154,1977,0,0,0,0
228,1765902466867,0,0,2214,1984,0,0,0,0
229,1765902467117,0,0,2270,2002,0,0,0,0
230,1765902467201,0,0,2329,2030,0,0,0,0
231,1765902468687,0,0,2521,2288,0,0,0,0
232,1765902470001,0,0,2872,2637,0,0,0,0
233,1765902470167,0,0,2928,2703,0,0,0,0
234,1765902473050,0,0,3916,3875,0,0,0,0
235,1765902473251,0,0,4022,3949,0,0,0,0
236,1765902474102,0,0,4311,4251,0,0,0,0
237,1765902475068,5,0,4525,4510,0,0,0,0
238,1765902475152,5,0,4592,4546,0,0,0,0
239,1765902475385,7,0,4631,4585,0,0,0,0
240,1765902475652,34,0,4657,4612,0,0,0,0
241,1765902475835,34,0,0,0,0,0,0,0
242,1765902476185,0,0,0,0,0,0,0,0
243,1765902476436,0,0,0,0,0,0,0,0
244,1765902476752,0,0,0,0,0,0,0,0
245,1765902476968,0,0,391,419,0,0,0,0
246,1765902477218,0,0,261,249,0,0,0,0
247,1765902477400,0,0,175,167,0,0,0,0
248,1765902477552,0,0,104,103,0,0,0,0
249,1765902478902,0,0,1886,1986,0,0,0,0
250,1765902479035,0,0,1943,1914,0,0,0,0
251,1765902479868,2,0,2151,2097,0,0,0,0
252,1765902480385,8,0,2251,2209,0,0,0,0
253,1765902480467,8,0,2341,2303,0,0,0,0
254,1765902480635,0,0,2422,2365,0,0,0,0
255,1765902481119,5,0,2561,2490,0,0,0,0
256,1765902481768,0,0,2814,2780,0,0,0,0
257,1765902481952,0,0,2883,2854,0,0,0,0
258,1765902482785,87,0,3183,3135,0,0,0,0
259,1765902483235,0,0,3310,3234,0,0,0,0
260,1765902484717,0,0,3786,3777,0,0,0,0
261,1765902485401,0,0,3962,3946,0,0,0,0
262,1765902486819,0,0,0,0,0,0,0,0
263,1765902487400,0,0,0,0,0,0,0,0
264,1765902487519,0,0,0,0,0,0,0,0
265,1765902488367,0,0,0,0,0,0,0,0
266,1765902488501,0,0,0,0,0,0,0,0
267,1765902488702,0,0,0,0,0,0,0,0
268,1765902488951,0,0,0,0,0,0,0,0
269,1765902489202,0,0,0,0,0,0,0,0
270,1765902489317,0,0,0,0,0,0,0,0
271,1765902491835,0,0,0,0,0,0,0,0
272,1765902491969,0,0,0,0,0,0,0,0
273,1765902492585,0,0,0,0,0,0,0,0
274,1765902492734,0,0,0,1,0,0,0,0
275,1765902493601,0,0,0,0,0,0,0,0
276,1765902494985,0,0,0,0,0,0,0,0
