index,date,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,1765915244775,-313,8323,-528,0,0,0,0,0
1,1765915244975,-274,8328,-508,0,0,0,0,0
2,1765915245057,-303,8267,-491,0,0,0,0,0
3,1765915245275,-311,8332,-473,0,0,0,0,0
4,1765915245342,-308,8298,-481,0,0,0,0,0
5,1765915245575,-309,8301,-486,0,0,0,0,0
6,1765915245692,-337,8302,-516,0,0,0,0,0
7,1765915245858,-298,8307,-506,0,0,0,0,0
8,1765915245992,-256,8350,-427,0,0,0,0,0
9,1765915246175,-196,8276,-194,0,0,0,0,0
10,1765915246325,-293,8206,-520,0,0,0,0,0
11,1765915246425,-340,8417,-557,0,0,0,0,0
12,1765915246625,-330,8382,-543,0,0,0,0,0
13,1765915246708,-306,8268,-528,0,0,0,0,0
14,1765915246959,-273,8318,-455,0,0,0,0,0
15,1765915247025,-308,8285,-448,0,0,0,0,0
16,1765915247225,-310,8306,-508,0,0,0,0,0
17,1765915247309,-292,8308,-512,0,0,0,0,0
18,1765915247592,-279,8310,-442,0,0,0,0,0
19,1765915247658,-308,8288,-452,0,0,0,0,0
20,1765915247892,-315,8302,-429,0,0,0,0,0
21,1765915247958,-295,8346,-508,0,0,0,0,0
22,1765915248175,-330,8327,-461,0,0,0,0,0
23,1765915248275,-276,8292,-502,0,0,0,0,0
24,1765915248491,-294,8309,-597,0,0,0,0,0
25,1765915248559,-328,8329,-520,0,0,0,0,0
26,1765915248792,-312,8286,-519,0,0,0,0,0
27,1765915248875,-308,8366,-498,0,0,0,0,0
28,1765915249108,-276,8260,-472,0,0,0,0,0
29,1765915249191,-316,8305,-474,0,0,0,0,0
30,1765915249408,-315,8335,-506,0,0,0,0,0
31,1765915249725,-296,8312,-492,0,0,0,0,0
32,1765915249825,-298,8294,-491,0,0,0,0,0
33,1765915250009,-310,8319,-517,0,0,0,0,0
34,1765915250142,-317,8272,-480,0,0,0,0,0
35,1765915250325,-335,8301,-492,0,0,0,0,0
36,1765915250409,-302,8332,-433,0,0,0,0,0
37,1765915250625,-258,8249,-468,0,0,0,0,0
38,1765915250758,-286,8388,-454,0,0,0,0,0
39,1765915250942,-316,8313,-483,0,0,0,0,0
40,1765915251041,-302,8312,-480,0,0,0,0,0
41,1765915251225,-295,8290,-496,0,0,0,0,0
42,1765915251359,-306,8314,-504,0,0,0,0,0
43,1765915251525,-302,8315,-505,0,0,0,0,0
44,1765915251642,-296,8305,-508,0,0,0,0,0
45,1765915251842,-302,8312,-490,0,0,0,0,0
46,1765915251958,-311,8296,-500,0,0,0,0,0
47,1765915252142,-294,8313,-511,0,0,0,0,0
48,1765915252458,-322,8296,-506,0,0,0,0,0
49,1765915252558,-293,8252,-494,0,0,0,0,0
50,1765915252741,-292,8369,-503,0,0,0,0,0
51,1765915252874,-294,8315,-485,0,0,0,0,0
52,1765915253058,-294,8322,-474,0,0,0,0,0
53,1765915253175,-291,8301,-471,0,0,0,0,0
54,1765915253342,-298,8307,-464,0,0,0,0,0
55,1765915253491,-308,8314,-545,0,0,0,0,0
56,1765915253658,-313,8304,-552,0,0,0,0,0
57,1765915253776,-296,8286,-547,0,0,0,0,0
58,1765915253958,-290,8328,-506,0,0,0,0,0
59,1765915254108,-322,8294,-517,0,0,0,0,0
60,1765915254258,-327,8294,-468,0,0,0,0,0
61,1765915254409,-313,8320,-471,0,0,0,0,0
62,1765915254575,-298,8299,-464,0,0,0,0,0
63,1765915254741,-283,8320,-475,0,0,0,0,0
64,1765915254858,-331,8305,-466,0,0,0,0,0
65,1765915255175,-296,8312,-434,0,0,0,0,0
66,1765915255358,-309,8307,-455,0,0,0,0,0
67,1765915255475,-294,8295,-490,0,0,0,0,0
68,1765915255757,-290,8327,-610,0,0,0,0,0
69,1765915255775,-304,8286,-486,0,0,0,0,0
70,1765915255941,-313,8313,-499,0,0,0,0,0
71,1765915256075,-297,8318,-548,0,0,0,0,0
72,1765915256275,-293,8296,-534,0,0,0,0,0
73,1765915256375,-305,8319,-494,0,0,0,0,0
74,1765915256559,-309,8306,-504,0,0,0,0,0
75,1765915256693,-297,8314,-511,0,0,0,0,0
76,1765915256892,-297,8298,-488,0,0,0,0,0
77,1765915256991,-315,8274,-495,0,0,0,0,0
78,1765915257209,-290,8324,-474,0,0,0,0,0
79,1765915257308,-292,8332,-504,0,0,0,0,0
80,1765915257541,-278,8280,-450,0,0,0,0,0
81,1765915257591,-338,8286,-454,0,0,0,0,0
82,1765915257808,-308,8268,-488,0,0,0,0,0
83,1765915257909,-317,8311,-490,0,0,0,0,0
84,1765915258141,-302,8314,-542,0,0,0,0,0
85,1765915258225,-281,8292,-508,0,0,0,0,0
86,1765915258442,-300,8324,-458,0,0,0,0,0
87,1765915258525,-332,8322,-475,0,0,0,0,0
88,1765915258759,-302,8278,-484,0,0,0,0,0
89,1765915258841,-284,8296,-509,0,0,0,0,0
90,1765915259042,-310,8340,-556,0,0,0,0,0
91,1765915259175,-336,8274,-543,0,0,0,0,0
92,1765915259359,-294,8328,-491,0,0,0,0,0
93,1765915259425,-323,8314,-501,0,0,0,0,0
94,1765915259658,-300,8288,-483,0,0,0,0,0
95,1765915259757,-293,8308,-461,0,0,0,0,0
96,1765915259975,-307,8332,-484,0,0,0,0,0
97,1765915260074,-297,8288,-481,0,0,0,0,0
98,1765915260275,-300,8309,-472,0,0,0,0,0
99,1765915260424,-302,8330,-500,0,0,0,0,0
100,1765915260591,-328,8292,-496,0,0,0,0,0
101,1765915260741,-307,8306,-502,0,0,0,0,0
102,1765915260891,-312,8327,-544,0,0,0,0,0
103,1765915261058,-300,8276,-522,0,0,0,0,0
104,1765915261175,-312,8305,-504,0,0,0,0,0
105,1765915261375,-308,8323,-512,0,0,0,0,0
106,1765915261492,-302,8280,-489,0,0,0,0,0
107,1765915261708,-291,8321,-453,0,0,0,0,0
108,1765915261791,-298,8324,-451,0,0,0,0,0
109,1765915262008,-311,8298,-457,0,0,0,0,0
110,1765915262108,-298,8316,-474,0,0,0,0,0
111,1765915262325,-307,8321,-495,0,0,0,0,0
112,1765915262408,-302,8294,-547,0,0,0,0,0
113,1765915262641,-300,8308,-533,0,0,0,0,0
114,1765915262724,-285,8312,-522,0,0,0,0,0
115,1765915262958,-312,8313,-498,0,0,0,0,0
116,1765915263024,-316,8298,-490,0,0,0,0,0
117,1765915263241,-288,8305,-486,0,0,0,0,0
118,1765915263375,-298,8316,-470,0,0,0,0,0
119,1765915263560,-314,8311,-479,0,0,0,0,0
120,1765915263677,-300,8321,-500,0,0,0,0,0
121,1765915263858,-305,8290,-507,0,0,0,0,0
122,1765915264010,-302,8309,-510,0,0,0,0,0
123,1765915264176,-309,8312,-542,0,0,0,0,0
124,1765915264293,-286,8281,-511,0,0,0,0,0
125,1765915264477,-298,8331,-486,0,0,0,0,0
126,1765915264643,-318,8313,-475,0,0,0,0,0
127,1765915264792,-303,8314,-494,0,0,0,0,0
128,1765915264943,-295,8323,-488,0,0,0,0,0
129,1765915265076,-302,8297,-503,0,0,0,0,0
130,1765915265258,-305,8294,-509,0,0,0,0,0
131,1765915265376,-303,8318,-485,0,0,0,0,0
132,1765915265558,-308,8294,-508,0,0,0,0,0
133,1765915265692,-303,8301,-498,0,0,0,0,0
134,1765915265877,-292,8320,-500,0,0,0,0,0
135,1765915265993,-302,8300,-504,0,0,0,0,0
136,1765915266193,-312,8306,-488,0,0,0,0,0
137,1765915266310,-296,8316,-483,0,0,0,0,0
138,1765915266510,-306,8299,-512,0,0,0,0,0
139,1765915266661,-301,8298,-505,0,0,0,0,0
140,1765915266926,-309,8300,-507,0,0,0,0,0
141,1765915267142,-320,8300,-465,0,0,0,0,0
142,1765915267210,-296,8313,-454,0,0,0,0,0
143,1765915267441,-294,8326,-472,0,0,0,0,0
144,1765915267542,-307,8334,-471,0,0,0,0,0
145,1765915267775,-292,8321,-454,0,0,0,0,0
146,1765915267842,-303,8270,-486,0,0,0,0,0
147,1765915268058,-321,8290,-478,0,0,0,0,0
148,1765915268176,-312,8345,-462,0,0,0,0,0
149,1765915268375,-296,8307,-507,0,0,0,0,0
150,1765915268474,-285,8304,-498,0,0,0,0,0
151,1765915268676,-309,8296,-495,0,0,0,0,0
152,1765915268792,-326,8296,-474,0,0,0,0,0
153,1765915268993,-291,8312,-486,0,0,0,0,0
154,1765915269092,-298,8308,-501,0,0,0,0,0
155,1765915269291,-306,8292,-498,0,0,0,0,0
156,1765915269424,-304,8298,-493,0,0,0,0,0
157,1765915269608,-293,8280,-492,0,0,0,0,0
158,1765915269741,-313,8284,-488,0,0,0,0,0
159,1765915269891,-311,8334,-522,0,0,0,0,0
160,1765915270058,-293,8284,-508,0,0,0,0,0
161,1765915270190,-305,8285,-490,0,0,0,0,0
162,1765915270342,-305,8315,-496,0,0,0,0,0
163,1765915270508,-305,8280,-474,0,0,0,0,0
164,1765915270691,-299,8326,-494,0,0,0,0,0
165,1765915270809,-274,8313,-482,0,0,0,0,0
166,1765915270991,-301,8300,-474,0,0,0,0,0
167,1765915271125,-312,8305,-486,0,0,0,0,0
168,1765915271325,-296,8307,-490,0,0,0,0,0
169,1765915271424,-296,8295,-500,0,0,0,0,0
170,1765915271641,-306,8311,-500,0,0,0,0,0
171,1765915271740,-318,8305,-505,0,0,0,0,0
172,1765915271941,-302,8292,-500,0,0,0,0,0
173,1765915272025,-296,8304,-492,0,0,0,0,0
174,1765915272258,-308,8305,-486,0,0,0,0,0
175,1765915272342,-313,8300,-501,0,0,0,0,0
176,1765915272558,-298,8300,-499,0,0,0,0,0
177,1765915272642,-302,8304,-502,0,0,0,0,0
178,1765915272875,-309,8302,-494,0,0,0,0,0
179,1765915272975,-306,8298,-491,0,0,0,0,0
180,1765915273191,-295,8302,-496,0,0,0,0,0
181,1765915273258,-301,8292,-499,0,0,0,0,0
182,1765915273475,-303,8316,-500,0,0,0,0,0
183,1765915273558,-294,8318,-487,0,0,0,0,0
184,1765915273841,-304,8312,-486,0,0,0,0,0
185,1765915274142,-302,8301,-500,0,0,0,0,0
186,1765915274325,-304,8285,-495,0,0,0,0,0
187,1765915274441,-300,8330,-485,0,0,0,0,0
188,1765915274508,-294,8290,-484,0,0,0,0,0
