index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,1118,8068,-296,0,0,0,0,0
1,1143,8060,-496,0,0,0,0,0
2,1129,8064,-272,0,0,0,0,0
3,1128,8070,-289,0,0,0,0,0
4,1134,8063,-295,0,0,0,0,0
5,1128,8064,-274,0,0,0,0,0
6,1116,8078,-283,0,0,0,0,0
7,1120,8068,-298,0,0,0,0,0
8,1132,8079,-285,0,0,0,0,0
9,1116,8066,-278,0,0,0,0,0
10,1124,8076,-285,0,0,0,0,0
11,1124,8059,-294,0,0,0,0,0
12,1127,8078,-284,0,0,0,0,0
13,1119,8071,-271,0,0,0,0,0
14,1194,8060,-381,0,0,0,0,0
15,1151,8091,-175,0,0,0,0,0
16,1212,8170,-80,0,0,0,0,0
17,1096,8166,-308,0,0,0,0,0
18,1128,8072,-268,0,0,0,0,0
19,1122,8098,-239,0,0,0,0,0
20,1131,8082,-289,0,0,0,0,0
21,1123,8058,-332,0,0,0,0,0
22,1133,8064,-268,0,0,0,0,0
23,1135,8069,-284,0,0,0,0,0
24,1125,8066,-294,0,0,0,0,0
25,1131,8082,-279,0,0,0,0,0
26,1133,8062,-282,0,0,0,0,0
27,1126,8080,-288,0,0,0,0,0
28,1132,8070,-275,0,0,0,0,0
29,1134,8065,-267,0,0,0,0,0
30,1117,8082,-277,0,0,0,0,0
31,1128,8061,-315,0,0,0,0,0
32,1142,8068,-260,0,0,0,0,0
33,1135,8077,-318,0,0,0,0,0
34,1104,8048,-310,0,0,0,0,0
35,1110,8080,-280,0,0,0,0,0
36,1141,8100,-270,0,0,0,0,0
37,1130,8053,-266,0,0,0,0,0
38,1117,8068,-280,0,0,0,0,0
39,1138,8063,-276,0,0,0,0,0
40,1127,8062,-294,0,0,0,0,0
41,1125,8076,-274,0,0,0,0,0
42,1126,8064,-279,0,0,0,0,0
43,1137,8073,-294,0,0,0,0,0
44,1130,8070,-288,0,0,0,0,0
45,1120,8072,-270,0,0,0,0,0
46,1118,8073,-284,0,0,0,0,0
47,1128,8080,-274,0,0,0,0,0
48,1136,8064,-287,0,0,0,0,0
49,1123,8071,-287,0,0,0,0,0
50,1128,8070,-283,0,0,0,0,0
51,1138,8064,-280,0,0,0,0,0
52,1122,8096,-292,0,0,0,0,0
53,1134,8121,-233,0,0,0,0,0
54,1118,8083,-288,0,0,0,0,0
55,1112,8050,-276,0,0,0,0,0
56,1116,8080,-274,0,0,0,0,0
57,1137,8082,-252,0,0,0,0,0
58,1126,8077,-316,0,0,0,0,0
59,1120,8070,-286,0,0,0,0,0
60,1133,8073,-252,0,0,0,0,0
61,1113,8062,-306,0,0,0,0,0
62,1135,8080,-266,0,0,0,0,0
63,1125,8069,-300,0,0,0,0,0
64,1126,8084,-282,0,0,0,0,0
65,1122,8054,-272,0,0,0,0,0
66,1128,8104,-269,0,0,0,0,0
67,1116,8083,-286,0,0,0,0,0
68,1110,8060,-270,0,0,0,0,0
69,1121,8081,-298,0,0,0,0,0
70,1133,8062,-274,0,0,0,0,0
71,1125,8080,-288,0,0,0,0,0
72,1124,8074,-278,0,0,0,0,0
73,1125,8072,-288,0,0,0,0,0
74,1122,8075,-279,0,0,0,0,0
75,1138,8070,-285,0,0,0,0,0
76,1122,8091,-276,0,0,0,0,0
77,1124,8070,-285,0,0,0,0,0
78,1126,8060,-286,0,0,0,0,0
79,1129,8084,-286,0,0,0,0,0
80,1122,8070,-273,0,0,0,0,0
81,1132,8079,-283,0,0,0,0,0
82,1125,8070,-286,0,0,0,0,0
83,1110,8078,-272,0,0,0,0,0
84,1130,8070,-280,0,0,0,0,0
85,1133,8073,-286,0,0,0,0,0
86,1127,8066,-289,0,0,0,0,0
87,1126,8062,-287,0,0,0,0,0
88,1128,8081,-272,0,0,0,0,0
89,1128,8077,-273,0,0,0,0,0
90,1138,8062,-290,0,0,0,0,0
91,1123,8071,-288,0,0,0,0,0
92,1120,8076,-257,0,0,0,0,0
93,1133,8058,-257,0,0,0,0,0
94,1129,8068,-283,0,0,0,0,0
95,1124,8062,-293,0,0,0,0,0
96,1120,8077,-286,0,0,0,0,0
97,1130,8083,-270,0,0,0,0,0
98,1122,8061,-278,0,0,0,0,0
99,1128,8071,-296,0,0,0,0,0
100,1122,8075,-272,0,0,0,0,0
101,1116,8068,-276,0,0,0,0,0
102,1118,8070,-291,0,0,0,0,0
103,1134,8072,-274,0,0,0,0,0
104,1125,8062,-281,0,0,0,0,0
105,1110,8058,-277,0,0,0,0,0
106,1129,8064,-283,0,0,0,0,0
107,1141,8098,-276,0,0,0,0,0
108,1123,8061,-272,0,0,0,0,0
109,1108,8062,-280,0,0,0,0,0
110,1134,8068,-300,0,0,0,0,0
111,1134,8080,-272,0,0,0,0,0
112,1100,8078,-276,0,0,0,0,0
113,1117,8070,-311,0,0,0,0,0
114,1145,8065,-291,0,0,0,0,0
115,1116,8066,-244,0,0,0,0,0
116,1108,8072,-282,0,0,0,0,0
117,1132,8064,-330,0,0,0,0,0
118,1134,8076,-304,0,0,0,0,0
119,1117,8098,-257,0,0,0,0,0
120,1115,8027,-244,0,0,0,0,0
121,1141,8098,-270,0,0,0,0,0
122,1095,8100,-377,0,0,0,0,0
123,1111,8000,-282,0,0,0,0,0
124,1121,8062,-281,0,0,0,0,0
125,1154,8100,-236,0,0,0,0,0
126,1123,8080,-328,0,0,0,0,0
127,1136,8071,-286,0,0,0,0,0
128,1112,8079,-266,0,0,0,0,0
129,1126,8074,-283,0,0,0,0,0
130,1136,8056,-300,0,0,0,0,0
131,1132,8091,-295,0,0,0,0,0
132,1114,8050,-284,0,0,0,0,0
133,1131,8066,-270,0,0,0,0,0
134,1132,8085,-288,0,0,0,0,0
135,1118,8064,-288,0,0,0,0,0
136,1128,8059,-293,0,0,0,0,0
137,1148,8082,-282,0,0,0,0,0
138,1118,8075,-274,0,0,0,0,0
139,1109,8055,-294,0,0,0,0,0
140,1150,8053,-305,0,0,0,0,0
141,1144,8114,-274,0,0,0,0,0
142,1102,8062,-263,0,0,0,0,0
143,1120,8065,-276,0,0,0,0,0
144,1139,8076,-321,0,0,0,0,0
145,1123,8074,-294,0,0,0,0,0
146,1131,8072,-274,0,0,0,0,0
147,1123,8071,-266,0,0,0,0,0
148,1138,8074,-292,0,0,0,0,0
149,1120,8065,-314,0,0,0,0,0
150,1115,8066,-292,0,0,0,0,0
151,1129,8077,-283,0,0,0,0,0
152,1132,8066,-270,0,0,0,0,0
153,1121,8072,-288,0,0,0,0,0
154,1131,8060,-266,0,0,0,0,0
155,1132,8076,-268,0,0,0,0,0
156,1127,8070,-293,0,0,0,0,0
157,1129,8071,-277,0,0,0,0,0
158,1123,8071,-276,0,0,0,0,0
159,1124,8067,-272,0,0,0,0,0
160,1132,8075,-284,0,0,0,0,0
161,1116,8082,-288,0,0,0,0,0
162,1119,8068,-288,0,0,0,0,0
163,1124,8068,-280,0,0,0,0,0
164,1138,8076,-276,0,0,0,0,0
165,1129,8077,-281,0,0,0,0,0
166,1124,8069,-283,0,0,0,0,0
167,1129,8076,-278,0,0,0,0,0
168,1127,8075,-280,0,0,0,0,0
169,1118,8073,-293,0,0,0,0,0
170,1120,8058,-281,0,0,0,0,0
171,1130,8086,-284,0,0,0,0,0
172,1122,8063,-276,0,0,0,0,0
173,1124,8066,-281,0,0,0,0,0
174,1127,8079,-292,0,0,0,0,0
175,1121,8078,-291,0,0,0,0,0
176,1118,8061,-295,0,0,0,0,0
177,1130,8074,-280,0,0,0,0,0
178,1129,8060,-279,0,0,0,0,0
179,1130,8066,-280,0,0,0,0,0
180,1111,8082,-292,0,0,0,0,0
181,1141,8072,-280,0,0,0,0,0
182,1134,8052,-286,0,0,0,0,0
183,1120,8070,-277,0,0,0,0,0
184,1118,8086,-284,0,0,0,0,0
185,1132,8067,-293,0,0,0,0,0
186,1130,8071,-284,0,0,0,0,0
187,1124,8074,-274,0,0,0,0,0
188,1124,8070,-281,0,0,0,0,0
189,1138,8068,-276,0,0,0,0,0
190,1120,8071,-290,0,0,0,0,0
191,1124,8069,-286,0,0,0,0,0
192,1128,8068,-285,0,0,0,0,0
193,1121,8087,-284,0,0,0,0,0
194,1130,8064,-277,0,0,0,0,0
195,1126,8069,-281,0,0,0,0,0
196,1137,8077,-282,0,0,0,0,0
197,1121,8068,-287,0,0,0,0,0
198,1123,8061,-287,0,0,0,0,0
199,1128,8080,-280,0,0,0,0,0
200,1132,8074,-280,0,0,0,0,0
201,1122,8064,-290,0,0,0,0,0
202,1134,8076,-280,0,0,0,0,0
203,1120,8077,-283,0,0,0,0,0
204,1123,8062,-282,0,0,0,0,0
205,1132,8066,-286,0,0,0,0,0
206,1124,8078,-280,0,0,0,0,0
207,1132,8065,-277,0,0,0,0,0
208,1126,8064,-291,0,0,0,0,0
209,1130,8080,-288,0,0,0,0,0
210,1120,8068,-288,0,0,0,0,0
211,1136,8068,-286,0,0,0,0,0
212,1123,8075,-284,0,0,0,0,0
213,1120,8076,-277,0,0,0,0,0
214,1132,8074,-274,0,0,0,0,0
215,1140,8067,-281,0,0,0,0,0
216,1122,8078,-286,0,0,0,0,0
217,1112,8064,-295,0,0,0,0,0
218,1132,8074,-278,0,0,0,0,0
219,1126,8074,-279,0,0,0,0,0
220,1126,8068,-290,0,0,0,0,0
221,1125,8072,-288,0,0,0,0,0
222,1129,8072,-289,0,0,0,0,0
223,1117,8086,-284,0,0,0,0,0
224,1118,8052,-269,0,0,0,0,0
225,1140,8082,-250,0,0,0,0,0
226,1120,8066,-312,0,0,0,0,0
227,1123,8072,-336,0,0,0,0,0
228,1117,8077,-274,0,0,0,0,0
229,1118,8088,-240,0,0,0,0,0
230,1140,8063,-259,0,0,0,0,0
231,1135,8080,-303,0,0,0,0,0
232,1130,8061,-314,0,0,0,0,0
233,1115,8050,-280,0,0,0,0,0
234,1138,8081,-252,0,0,0,0,0
235,1134,8064,-268,0,0,0,0,0
236,1118,8073,-324,0,0,0,0,0
237,1118,8078,-298,0,0,0,0,0
238,1119,8055,-278,0,0,0,0,0
239,1126,8076,-260,0,0,0,0,0
240,1131,8076,-269,0,0,0,0,0
241,1122,8068,-291,0,0,0,0,0
242,1118,8063,-321,0,0,0,0,0
243,1124,8072,-284,0,0,0,0,0
244,1124,8088,-261,0,0,0,0,0
245,1120,8072,-276,0,0,0,0,0
246,1128,8062,-303,0,0,0,0,0
247,1150,8082,-291,0,0,0,0,0
248,1092,8072,-294,0,0,0,0,0
249,1104,8052,-272,0,0,0,0,0
250,1143,8072,-258,0,0,0,0,0
251,1151,8076,-280,0,0,0,0,0
252,1109,8061,-292,0,0,0,0,0
253,1096,8072,-306,0,0,0,0,0
254,1142,8078,-272,0,0,0,0,0
255,1132,8060,-259,0,0,0,0,0
256,1119,8072,-286,0,0,0,0,0
257,1112,8063,-310,0,0,0,0,0
258,1124,8067,-268,0,0,0,0,0
259,1127,8062,-278,0,0,0,0,0
260,1128,8083,-286,0,0,0,0,0
261,1120,8066,-284,0,0,0,0,0
262,1128,8076,-298,0,0,0,0,0
263,1127,8076,-280,0,0,0,0,0
264,1133,8070,-271,0,0,0,0,0
265,1120,8059,-291,0,0,0,0,0
266,1130,8086,-288,0,0,0,0,0
267,1131,8050,-302,0,0,0,0,0
268,1123,8076,-295,0,0,0,0,0
269,1127,8080,-261,0,0,0,0,0
270,1119,8050,-295,0,0,0,0,0
271,1108,8089,-283,0,0,0,0,0
272,1138,8067,-303,0,0,0,0,0
273,1157,8083,-258,0,0,0,0,0
274,1130,8088,-276,0,0,0,0,0
275,1103,8052,-282,0,0,0,0,0
276,1128,8065,-304,0,0,0,0,0
277,1142,8097,-263,0,0,0,0,0
278,1115,8066,-294,0,0,0,0,0
279,1091,8039,-292,0,0,0,0,0
280,1154,8094,-282,0,0,0,0,0
281,1142,8072,-273,0,0,0,0,0
282,1099,8062,-296,0,0,0,0,0
283,1138,8078,-303,0,0,0,0,0
284,1130,8052,-281,0,0,0,0,0
285,1082,8082,-266,0,0,0,0,0
286,1108,8082,-265,0,0,0,0,0
287,1158,8084,-275,0,0,0,0,0
288,1122,8051,-285,0,0,0,0,0
289,1091,8078,-281,0,0,0,0,0
290,1118,8075,-291,0,0,0,0,0
291,1162,8077,-264,0,0,0,0,0
292,1128,8069,-291,0,0,0,0,0
293,1105,8060,-310,0,0,0,0,0
294,1150,8092,-294,0,0,0,0,0
295,1134,8096,-236,0,0,0,0,0
296,1097,8040,-306,0,0,0,0,0
297,1124,8069,-290,0,0,0,0,0
298,1154,8075,-301,0,0,0,0,0
299,1121,8074,-275,0,0,0,0,0
300,1108,8076,-278,0,0,0,0,0
301,1140,8102,-219,0,0,0,0,0
302,1141,8050,-312,0,0,0,0,0
303,1104,8042,-354,0,0,0,0,0
304,1107,8093,-267,0,0,0,0,0
305,1134,8085,-268,0,0,0,0,0
306,1103,8070,-301,0,0,0,0,0
307,1110,8088,-293,0,0,0,0,0
308,1120,8042,-275,0,0,0,0,0
309,1162,8081,-270,0,0,0,0,0
310,1127,8080,-312,0,0,0,0,0
311,1175,8071,-240,0,0,0,0,0
312,1154,8046,-239,0,0,0,0,0
313,1034,8092,-438,0,0,0,0,0
314,1195,8039,-170,0,0,0,0,0
315,1192,8076,-156,0,0,0,0,0
316,1069,8174,-300,0,0,0,0,0
317,1037,7949,-340,0,0,0,0,0
318,1224,8044,-287,0,0,0,0,0
319,1155,8102,-276,0,0,0,0,0
320,1058,8093,-282,0,0,0,0,0
321,1131,8055,-261,0,0,0,0,0
322,1174,8036,-309,0,0,0,0,0
323,1073,8087,-287,0,0,0,0,0
324,1118,8084,-265,0,0,0,0,0
325,1095,8058,-299,0,0,0,0,0
326,1091,8070,-274,0,0,0,0,0
327,1168,8072,-290,0,0,0,0,0
328,1091,8078,-295,0,0,0,0,0
329,1137,8060,-288,0,0,0,0,0
330,1100,8070,-290,0,0,0,0,0
331,1111,8055,-291,0,0,0,0,0
332,1130,8085,-254,0,0,0,0,0
333,1108,8068,-356,0,0,0,0,0
334,1136,8066,-319,0,0,0,0,0
335,1126,8058,-272,0,0,0,0,0
336,1116,8090,-234,0,0,0,0,0
