timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,ACCEL_LONGITUDINAL,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t
1765219080071,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,-0.022326,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,574994
1765219080106,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,-0.022326,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575029
1765219080139,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,-0.012565999999999999,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575062
1765219080172,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,-0.012565999999999999,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575095
1765219080189,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.012565999999999999,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575112
1765219080206,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.012565999999999999,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575129
1765219080255,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.012565999999999999,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575178
1765219080305,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.012565999999999999,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575228
1765219080321,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.012565999999999999,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575244
1765219080371,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.01098,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575294
1765219080388,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.01098,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575311
1765219080440,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.01098,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575363
1765219080537,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,-0.010248,3.32,3.33,3.32,3.28,3.32,3.32,3.32,3.31,3.36,3.36,3.36,3.34,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.32,3.35,3.35,3.34,3.34,3.35,3.29,79.9,-1.0,1.0,0.0,1.0,1.0,575460
