timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t
1765221700020,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068319999999999995,-0.061854,0.992104,-0.6300000000000001,0.49000000000000005,0.0,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.29,79.5,0.0,1.0,0.0,1.0,1.0,3194994
1765221700293,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011224,0.00671,0.992348,-0.6300000000000001,0.35000000000000003,-0.07,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.29,79.5,0.0,1.0,0.0,1.0,1.0,3195267
1765221700302,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011101999999999999,0.0046359999999999995,0.990762,-0.6300000000000001,0.35000000000000003,-0.07,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,0.0,1.0,0.0,1.0,1.0,3195276
1765221700337,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00976,0.004758,0.99308,-0.6300000000000001,0.35000000000000003,-0.07,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,0.0,1.0,0.0,1.0,1.0,3195311
1765221700353,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00976,0.004758,0.99308,-0.56,0.35000000000000003,0.0,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,0.0,1.0,0.0,1.0,1.0,3195327
1765221700405,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00976,0.004758,0.99308,-0.56,0.35000000000000003,0.0,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,-2.0,1.0,0.0,1.0,1.0,3195379
1765221700423,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00976,0.004758,0.99308,-0.56,0.35000000000000003,0.0,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,-2.0,1.0,0.0,1.0,1.0,3195397
1765221700470,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013786,0.004758,0.9943,-0.56,0.35000000000000003,0.0,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,-2.0,1.0,0.0,1.0,1.0,3195444
1765221700488,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013786,0.004758,0.9943,-0.56,0.35000000000000003,0.0,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,-2.0,1.0,0.0,1.0,1.0,3195462
1765221700505,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013786,0.004758,0.9943,-0.56,0.35000000000000003,0.0,3.32,3.32,3.32,3.3,3.3,3.31,3.3,3.31,3.32,3.32,3.32,3.31,3.29,3.31,3.3,3.31,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.3,79.6,-2.0,1.0,0.0,1.0,1.0,3195479
