timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t,LEFT_MOTOR_RPM,RIGHT_MOTOR_RPM
1765226025049,132.0,0.0,1.0,10.0,129.0,129.0,0.011040128571428571,0.0,0.011040128571428571,0.011040128571428571,-0.01464,0.0050019999999999995,0.988932,-0.56,0.28,0.0,3.27,3.32,3.24,3.26,3.26,3.27,3.27,3.27,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520023,1.0,0.0
1765226025081,132.0,0.0,1.0,10.0,129.0,129.0,0.011040128571428571,0.0,0.011040128571428571,0.011040128571428571,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.27,3.32,3.24,3.26,3.26,3.27,3.27,3.27,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520055,1.0,0.0
1765226025097,0.0,0.0,1.0,10.0,129.0,129.0,0.011040128571428571,0.0,0.011040128571428571,0.011040128571428571,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.27,3.32,3.24,3.26,3.26,3.27,3.27,3.27,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520071,1.0,0.0
1765226025113,0.0,0.0,2.0,25.0,129.0,129.0,0.011040128571428571,0.0,0.011040128571428571,0.011040128571428571,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.27,3.32,3.24,3.26,3.26,3.27,3.27,3.27,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520087,1.0,0.0
1765226025128,0.0,0.0,2.0,25.0,0.0,0.0,0.011040128571428571,0.0,0.011040128571428571,0.011040128571428571,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.27,3.32,3.24,3.26,3.26,3.27,3.27,3.27,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520102,1.0,0.0
1765226025145,0.0,0.0,2.0,25.0,0.0,0.0,0.011040128571428571,0.0,0.0,0.0,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.27,3.32,3.24,3.26,3.26,3.27,3.27,3.27,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520119,1.0,0.0
1765226025179,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.29,3.32,3.28,3.28,3.26,3.27,3.27,3.27,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520153,0.0,0.0
1765226025216,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.29,3.32,3.28,3.28,3.28,3.28,3.28,3.28,3.29,3.29,3.29,3.29,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520190,0.0,0.0
1765226025229,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.29,3.32,3.28,3.28,3.28,3.28,3.28,3.28,3.31,3.31,3.31,3.31,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520203,0.0,0.0
1765226025262,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01464,0.0050019999999999995,0.988932,-0.77,0.42000000000000004,-0.07,3.29,3.32,3.28,3.28,3.28,3.28,3.28,3.28,3.31,3.31,3.31,3.31,3.26,3.27,3.26,3.29,3.28,3.27,3.27,3.27,3.3,3.3,3.29,3.28,3.32,3.24,78.6,0.0,1.0,0.0,1.0,1.0,7520236,0.0,0.0
