index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
0,1765218500061,0,0,0,0,0,0,0,0
1,1765218500343,0,0,0,0,0,0,0,0
2,1765218500443,0,0,0,0,0,0,0,0
3,1765218500760,0,0,0,0,0,0,0,0
4,1765218501144,0,0,0,0,0,0,0,0
5,1765218501477,0,0,0,0,0,0,0,0
6,1765218501893,0,0,0,0,0,0,0,0
7,1765218502160,0,0,0,0,0,0,0,0
8,1765218502610,0,0,0,0,0,0,0,0
9,1765218502877,0,0,0,0,0,0,0,0
10,1765218502993,0,0,0,0,0,0,0,0
11,1765218503343,0,0,0,0,0,0,0,0
12,1765218503743,0,0,0,0,0,0,0,0
13,1765218504043,0,0,0,0,0,0,0,0
14,1765218504443,0,0,0,0,0,0,0,0
15,1765218504743,0,0,0,0,0,0,0,0
16,1765218504826,0,0,0,0,0,0,0,0
17,1765218505177,0,0,0,0,0,0,0,0
18,1765218505560,0,0,0,0,0,0,0,0
19,1765218505877,0,0,0,0,0,0,0,0
20,1765218506260,0,0,0,0,0,0,0,0
21,1765218506593,0,0,0,0,0,0,0,0
22,1765218506726,0,0,0,0,0,0,0,0
23,1765218507010,0,0,0,0,0,0,0,0
24,1765218507443,0,0,0,0,0,0,0,0
25,1765218507726,0,0,0,0,0,0,0,0
26,1765218508143,0,0,0,0,0,0,0,0
27,1765218508477,0,0,0,0,0,0,0,0
28,1765218508594,0,0,0,0,0,0,0,0
29,1765218508878,0,0,0,0,0,0,0,0
30,1765218509178,0,0,0,0,0,0,0,0
31,1765218509295,0,0,0,0,0,0,0,0
32,1765218509594,0,0,0,0,0,0,0,0
33,1765218510046,0,0,0,0,0,0,0,0
34,1765218510327,0,0,0,0,0,0,0,0
35,1765218510726,0,0,0,0,0,0,0,0
36,1765218511010,0,0,0,0,0,0,0,0
37,1765218511146,0,0,0,0,0,0,0,0
38,1765218511427,0,0,0,0,0,0,0,0
39,1765218511894,0,0,0,0,0,0,0,0
40,1765218512176,0,0,0,0,0,0,0,0
41,1765218512576,0,0,0,0,0,0,0,0
42,1765218512877,0,0,0,0,0,0,0,0
43,1765218512994,0,0,0,0,0,0,0,0
44,1765218513328,0,0,0,0,0,0,0,0
45,1765218513728,0,0,0,0,0,0,0,0
46,1765218514011,0,0,0,0,0,0,0,0
47,1765218514460,0,0,0,0,0,0,0,0
48,1765218514759,0,0,0,0,0,0,0,0
49,1765218514910,0,0,0,0,0,0,0,0
50,1765218515227,0,0,0,0,0,0,0,0
51,1765218515643,0,0,0,0,0,0,0,0
52,1765218515959,0,0,0,0,0,0,0,0
53,1765218516077,0,0,0,0,0,0,0,0
54,1765218516360,0,0,0,0,0,0,0,0
55,1765218516811,0,0,0,0,0,0,0,0
56,1765218517093,0,0,0,0,0,0,0,0
57,1765218517509,0,0,0,0,0,0,0,0
58,1765218517827,0,0,0,0,0,0,0,0
59,1765218517932,0,0,0,0,0,0,0,0
60,1765218518210,0,0,0,0,0,0,0,0
