index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
0,1765223565612,0,4,3,2.87,0,0,0,0
1,1765223565813,0,4,3,3.02,0,0,0,0
2,1765223570677,0,4,3,3.22,0,0,0,0
3,1765223575644,0,4,3,2.7,0,0,0,0
4,1765223575844,0,4,3,2.91,0,0,0,0
5,1765223577328,0,4,3,3.01,0,0,0,0
6,1765223579093,0,4,3,3.1,0,0,0,0
7,1765223585643,0,4,3,3.22,0,0,0,0
8,1765223594111,0,2,3,3.25,0,0,0,0
9,1765223595727,0,2,4,3.23,0,0,0,0
10,1765223599361,0,2,4,3.26,0,0,0,0
11,1765223604443,0,4,3,2.89,0,0,0,0
12,1765223604560,0,4,3,2.9,0,0,0,0
13,1765223609443,0,4,3,2.88,0,0,0,0
14,1765223609594,0,4,3,2.87,0,0,0,0
15,1765223612910,0,2,4,3.25,0,0,0,0
16,1765223614492,0,2,4,3.26,0,0,0,0
17,1765223614643,0,2,4,3.26,0,0,0,0
18,1765223621226,0,2,4,3.26,0,0,0,0
19,1765223624693,0,2,4,3.26,0,0,0,0
20,1765223626344,0,2,4,3.27,0,0,0,0
21,1765223626511,0,2,4,3.27,0,0,0,0
22,1765223629960,0,2,4,3.27,0,0,0,0
23,1765224049654,0,4,3,3.28,0,0,0,0
24,1765224055154,0,4,1,3.29,0,0,0,0
25,1765224058804,0,4,1,3.29,0,0,0,0
26,1765224058970,0,4,1,3.29,0,0,0,0
27,1765224060871,0,4,1,3.29,0,0,0,0
28,1765224062453,0,4,1,3.29,0,0,0,0
29,1765224064437,0,4,1,3.29,0,0,0,0
30,1765224065971,0,4,1,3.29,0,0,0,0
31,1765224067787,0,4,1,3.29,0,0,0,0
32,1765224069487,0,4,1,3.29,0,0,0,0
33,1765224072786,0,4,3,2.15,0,0,0,0
34,1765224072820,2,4,3,2.15,0,0,0,0
35,1765224074604,2,2,1,3.27,0,0,0,0
36,1765224076121,2,2,1,3.27,0,0,0,0
37,1765224076170,2,2,1,3.27,0,0,0,0
38,1765224076337,2,2,1,3.27,0,0,0,0
