index,date,MODE_ID,ERROR_ID,AIR_P,AIR_N,1,2,3,4
0,1765223567478,1,0,1,1,0,0,0,0
1,1765223569175,1,0,1,1,0,0,0,0
2,1765223570694,1,0,1,1,0,0,0,0
3,1765223570828,1,0,1,1,0,0,0,0
4,1765223572411,1,0,1,1,0,0,0,0
5,1765223574078,1,0,1,1,0,0,0,0
6,1765223575677,1,0,1,1,0,0,0,0
7,1765223575861,1,0,1,1,0,0,0,0
8,1765223577361,1,0,1,1,0,0,0,0
9,1765223578927,1,0,1,1,0,0,0,0
10,1765223579108,1,0,1,1,0,0,0,0
11,1765223580611,1,0,1,1,0,0,0,0
12,1765223582410,1,0,1,1,0,0,0,0
13,1765223583877,1,0,1,1,0,0,0,0
14,1765223584060,1,0,1,1,0,0,0,0
15,1765223585658,1,0,1,1,0,0,0,0
16,1765223587360,1,0,1,1,0,0,0,0
17,1765223589077,1,0,1,1,0,0,0,0
18,1765223590625,1,0,1,1,0,0,0,0
19,1765223592361,1,0,1,1,0,0,0,0
20,1765223593943,1,0,1,1,0,0,0,0
21,1765223595743,1,0,1,1,0,0,0,0
22,1765223597559,1,0,1,1,0,0,0,0
23,1765223597744,1,0,1,1,0,0,0,0
24,1765223599327,1,0,1,1,0,0,0,0
25,1765223601210,1,0,1,1,0,0,0,0
26,1765223604460,1,0,1,1,0,0,0,0
27,1765223604593,1,0,1,1,0,0,0,0
28,1765223606127,1,0,1,1,0,0,0,0
29,1765223607893,1,0,1,1,0,0,0,0
30,1765223609409,1,0,1,1,0,0,0,0
31,1765223611177,1,0,1,1,0,0,0,0
32,1765223612927,1,0,1,1,0,0,0,0
33,1765223614627,1,0,1,1,0,0,0,0
34,1765223616227,1,0,1,1,0,0,0,0
35,1765223617943,1,0,1,1,0,0,0,0
36,1765223619526,1,0,1,1,0,0,0,0
37,1765223621243,1,0,1,1,0,0,0,0
38,1765223623027,1,0,1,1,0,0,0,0
39,1765223626543,1,0,1,1,0,0,0,0
40,1765223628126,1,0,1,1,0,0,0,0
41,1765223628310,1,0,1,1,0,0,0,0
42,1765223629976,1,0,0,0,0,0,0,0
43,1765224048154,1,0,0,0,0,0,0,0
44,1765224049671,1,0,0,1,0,0,0,0
45,1765224051504,1,0,0,1,0,0,0,0
46,1765224053237,1,0,1,1,0,0,0,0
47,1765224055121,1,0,1,1,0,0,0,0
48,1765224058822,1,0,1,1,0,0,0,0
49,1765224059003,1,0,1,1,0,0,0,0
50,1765224060704,1,0,1,1,0,0,0,0
51,1765224062470,1,0,1,1,0,0,0,0
52,1765224062621,1,0,1,1,0,0,0,0
53,1765224064304,1,0,1,1,0,0,0,0
54,1765224064454,1,0,1,1,0,0,0,0
55,1765224065986,1,0,1,1,0,0,0,0
56,1765224067804,1,0,1,1,0,0,0,0
57,1765224069337,1,0,1,1,0,0,0,0
58,1765224069521,1,0,1,1,0,0,0,0
59,1765224071104,1,0,1,1,0,0,0,0
