index,date,INVERSOR_STATE,FAILURE,ALARM,1,2,3,4,5
0,1765218499743,1,0,0,0,0,0,0,0
1,1765218499844,1,0,0,0,0,0,0,0
2,1765218500160,1,0,0,0,0,0,0,0
3,1765218500578,1,0,0,0,0,0,0,0
4,1765218500877,1,0,0,0,0,0,0,0
5,1765218501277,1,0,0,0,0,0,0,0
6,1765218501609,1,0,0,0,0,0,0,0
7,1765218501726,1,0,0,0,0,0,0,0
8,1765218501993,1,0,0,0,0,0,0,0
9,1765218502410,1,0,0,0,0,0,0,0
10,1765218502710,1,0,0,0,0,0,0,0
11,1765218503110,1,0,0,0,0,0,0,0
12,1765218503460,1,0,0,0,0,0,0,0
13,1765218503593,1,0,0,0,0,0,0,0
14,1765218503860,1,0,0,0,0,0,0,0
15,1765218504160,1,0,0,0,0,0,0,0
16,1765218504277,1,0,0,0,0,0,0,0
17,1765218504560,1,0,0,0,0,0,0,0
18,1765218505010,1,0,0,0,0,0,0,0
19,1765218505277,1,0,0,0,0,0,0,0
20,1765218505693,1,0,0,0,0,0,0,0
21,1765218505977,1,0,0,0,0,0,0,0
22,1765218506110,1,0,0,0,0,0,0,0
23,1765218506393,1,0,0,0,0,0,0,0
24,1765218506844,1,0,0,0,0,0,0,0
25,1765218507126,1,0,0,0,0,0,0,0
26,1765218507577,1,0,0,0,0,0,0,0
27,1765218507843,1,0,0,0,0,0,0,0
28,1765218507977,1,0,0,0,0,0,0,0
29,1765218508326,1,0,0,0,0,0,0,0
30,1765218508710,0,0,0,0,0,0,0,0
31,1765218508976,0,0,0,0,0,0,0,0
32,1765218509427,0,0,0,0,0,0,0,0
33,1765218509711,0,0,0,0,0,0,0,0
34,1765218509828,0,0,0,0,0,0,0,0
35,1765218510161,0,0,0,0,0,0,0,0
36,1765218510427,0,0,0,0,0,0,0,0
37,1765218510560,0,0,0,0,0,0,0,0
38,1765218510860,0,0,0,0,0,0,0,0
39,1765218511261,0,0,0,0,0,0,0,0
40,1765218511610,0,0,0,0,0,0,0,0
41,1765218511709,0,0,0,0,0,0,0,0
42,1765218511994,0,0,0,0,0,0,0,0
43,1765218512277,0,0,0,0,0,0,0,0
44,1765218512411,0,0,0,0,0,0,0,0
