index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
0,1765220698815,0,0,0,0,0,0,0,0
1,1765220699148,0,0,0,0,0,0,0,0
2,1765220699448,0,0,0,0,0,0,0,0
3,1765220699783,0,0,0,0,0,0,0,0
4,1765220700081,0,0,0,0,0,0,0,0
5,1765220700365,0,0,0,0,0,0,0,0
6,1765220700431,0,0,0,0,0,0,0,0
7,1765220700715,0,0,0,0,0,0,0,0
8,1765220701014,0,0,0,0,0,0,0,0
9,1765220701067,0,0,0,0,0,0,0,0
10,1765220701351,0,0,0,0,0,0,0,0
11,1765220701631,0,0,0,0,0,0,0,0
12,1765220701948,0,0,0,0,0,0,0,0
13,1765220702232,0,0,0,0,0,0,0,0
14,1765220702549,0,0,0,0,0,0,0,0
15,1765220702832,0,0,0,0,0,0,0,0
16,1765220703115,0,0,0,0,0,0,0,0
17,1765220703149,0,0,0,0,0,0,0,0
18,1765220703432,0,0,0,0,0,0,0,0
19,1765220703716,0,0,0,0,0,0,0,0
20,1765220704015,0,0,0,0,0,0,0,0
21,1765220704298,0,0,0,0,0,0,0,0
22,1765220704615,0,0,0,0,0,0,0,0
23,1765220704915,0,0,0,0,0,0,0,0
24,1765220705183,0,0,0,0,0,0,0,0
25,1765220705499,0,0,0,0,0,0,0,0
26,1765220705781,0,0,0,0,0,0,0,0
27,1765220706099,0,0,0,0,0,0,0,0
28,1765220706382,0,0,0,0,0,0,0,0
29,1765220706699,0,0,0,0,0,0,0,0
30,1765220706965,0,0,0,0,0,0,0,0
31,1765220707248,0,0,0,0,0,0,0,0
32,1765220707565,0,0,0,0,0,0,0,0
33,1765220707848,0,0,0,0,0,0,0,0
34,1765220708165,0,0,0,0,0,0,0,0
35,1765220708448,0,0,0,0,0,0,0,0
36,1765220708715,0,0,0,0,0,0,0,0
37,1765220708748,0,0,0,0,0,0,0,0
38,1765220709048,0,0,0,0,0,0,0,0
39,1765220709332,0,0,0,0,0,0,0,0
40,1765220709631,0,0,0,0,0,0,0,0
41,1765220709915,0,0,0,0,0,0,0,0
42,1765220710231,0,0,0,0,0,0,0,0
43,1765220710515,0,0,0,0,0,0,0,0
44,1765220710798,0,0,0,0,0,0,0,0
45,1765220711116,0,0,0,0,0,0,0,0
46,1765220711399,0,0,0,0,0,0,0,0
47,1765220711698,0,0,0,0,0,0,0,0
48,1765220711998,0,0,0,0,0,0,0,0
49,1765220712316,0,0,0,0,0,0,0,0
50,1765220712581,0,0,0,0,0,0,0,0
51,1765220712864,0,0,0,0,0,0,0,0
52,1765220713182,0,0,0,0,0,0,0,0
53,1765220713465,0,0,0,0,0,0,0,0
54,1765220713781,0,0,0,0,0,0,0,0
55,1765220714065,0,0,0,0,0,0,0,0
56,1765220714331,0,0,0,0,0,0,0,0
57,1765220714365,0,0,0,0,0,0,0,0
58,1765220714648,0,0,0,0,0,0,0,0
59,1765220714932,0,0,0,0,0,0,0,0
60,1765220715232,0,0,0,0,0,0,0,0
61,1765220715531,0,0,0,0,0,0,0,0
62,1765220715832,0,0,0,0,0,0,0,0
63,1765220716132,0,0,0,0,0,0,0,0
64,1765220716398,0,0,0,0,0,0,0,0
65,1765220716699,0,0,0,0,0,0,0,0
66,1765220716982,0,0,0,0,0,0,0,0
67,1765220717298,0,0,0,0,0,0,0,0
68,1765220717597,0,0,0,0,0,0,0,0
69,1765220717865,0,0,0,0,0,0,0,0
70,1765220717915,0,0,0,0,0,0,0,0
71,1765220718165,0,0,0,0,0,0,0,0
72,1765220718465,0,0,0,0,0,0,0,0
73,1765220718781,0,0,0,0,0,0,0,0
74,1765220719064,0,0,0,0,0,0,0,0
75,1765220719465,0,0,0,0,0,0,0,0
76,1765220719751,0,0,0,0,0,0,0,0
77,1765220719881,0,0,0,0,0,0,0,0
78,1765220720163,0,0,0,0,0,0,0,0
79,1765220720631,0,0,0,0,0,0,0,0
80,1765220720915,0,0,0,0,0,0,0,0
