index,date,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_VOLTAGE,1,2,3,4
0,1765220719449,3.33,0.21,79.7,0,0,0,0,0
1,1765220721013,3.33,0.21,79.7,0,0,0,0,0
2,1765220721165,3.33,0.21,79.7,0,0,0,0,0
3,1765220722832,3.33,0.21,79.7,0,0,0,0,0
4,1765220723031,3.33,0.21,79.7,0,0,0,0,0
5,1765220724598,3.33,0.21,79.7,0,0,0,0,0
6,1765220724799,3.33,0.21,79.7,0,0,0,0,0
7,1765220728515,3.33,0.21,79.7,0,0,0,0,0
8,1765220728697,3.33,0.21,79.7,0,0,0,0,0
9,1765220730631,3.33,0.21,79.7,0,0,0,0,0
10,1765220732532,3.33,0.21,79.7,0,0,0,0,0
11,1765220732699,3.33,0.21,79.7,0,0,0,0,0
12,1765220734448,3.33,0.21,79.7,0,0,0,0,0
13,1765220734650,3.33,0.21,79.7,0,0,0,0,0
14,1765220736483,3.33,0.21,79.7,0,0,0,0,0
15,1765220738299,3.33,0.21,79.7,0,0,0,0,0
16,1765220740132,3.33,0.21,79.7,0,0,0,0,0
17,1765220741900,3.33,0.21,79.7,0,0,0,0,0
18,1765220743781,3.33,0.21,79.7,0,0,0,0,0
19,1765220745364,3.33,0.21,79.7,0,0,0,0,0
20,1765220745549,3.33,0.21,79.7,0,0,0,0,0
21,1765220747398,3.33,0.21,79.7,0,0,0,0,0
22,1765220749248,3.33,0.21,79.7,0,0,0,0,0
23,1765220750849,3.33,0.21,79.7,0,0,0,0,0
24,1765220751015,3.33,0.21,79.7,0,0,0,0,0
25,1765220752632,3.33,0.21,79.7,0,0,0,0,0
26,1765220752833,3.33,0.21,79.7,0,0,0,0,0
27,1765220754449,3.33,0.21,79.7,0,0,0,0,0
28,1765220754598,3.33,0.21,79.7,0,0,0,0,0
29,1765220756299,3.33,0.21,79.7,0,0,0,0,0
30,1765220756498,3.33,0.21,79.7,0,0,0,0,0
31,1765220758065,3.33,0.21,79.7,0,0,0,0,0
32,1765220758264,3.33,0.21,79.7,0,0,0,0,0
33,1765220759931,3.33,0.21,79.7,0,0,0,0,0
34,1765220760097,3.33,0.21,79.7,0,0,0,0,0
35,1765220761764,3.33,0.21,79.7,0,0,0,0,0
36,1765220761964,3.33,0.21,79.7,0,0,0,0,0
37,1765220763848,3.33,0.21,79.7,0,0,0,0,0
38,1765220765781,3.33,0.21,79.7,0,0,0,0,0
39,1765220765982,3.33,0.21,79.7,0,0,0,0,0
40,1765220767648,3.33,0.21,79.7,0,0,0,0,0
41,1765220767848,3.33,0.21,79.7,0,0,0,0,0
42,1765220769781,3.33,0.21,79.7,0,0,0,0,0
43,1765220771631,3.33,0.21,79.7,0,0,0,0,0
44,1765220773398,3.33,0.21,79.7,0,0,0,0,0
45,1765220775265,3.33,0.21,79.7,0,0,0,0,0
46,1765220777031,3.33,0.21,79.7,0,0,0,0,0
47,1765220778848,3.33,0.21,79.7,0,0,0,0,0
48,1765220780449,3.33,0.21,79.7,0,0,0,0,0
49,1765220780648,3.33,0.21,79.7,0,0,0,0,0
50,1765220782265,3.33,0.21,79.7,0,0,0,0,0
51,1765220782431,3.33,0.21,79.7,0,0,0,0,0
52,1765220784113,3.33,0.21,79.7,0,0,0,0,0
53,1765220784314,3.33,0.21,79.7,0,0,0,0,0
54,1765220785880,3.33,0.21,79.7,0,0,0,0,0
55,1765220786113,3.33,0.21,79.7,0,0,0,0,0
56,1765220787748,3.33,0.21,79.7,0,0,0,0,0
57,1765220787914,3.33,0.21,79.7,0,0,0,0,0
58,1765220789498,3.33,0.21,79.7,0,0,0,0,0
59,1765220789697,3.33,0.21,79.7,0,0,0,0,0
60,1765220791329,3.33,0.21,79.7,0,0,0,0,0
61,1765220793146,3.33,0.21,79.7,0,0,0,0,0
62,1765220793382,3.33,0.21,79.7,0,0,0,0,0
63,1765220794964,3.33,0.21,79.7,0,0,0,0,0
64,1765220807431,3.33,3.3,79.7,0,0,0,0,0
65,1765220809097,3.33,3.3,79.7,0,0,0,0,0
66,1765220809213,3.33,3.3,79.7,0,0,0,0,0
67,1765220810730,3.33,3.3,79.7,0,0,0,0,0
68,1765220812330,3.33,3.3,79.7,0,0,0,0,0
69,1765220812481,3.33,3.3,79.7,0,0,0,0,0
70,1765220813481,3.33,3.3,79.7,0,0,0,0,0
71,1765220814682,3.33,3.3,79.7,0,0,0,0,0
