index,date,SLAVE_5,SLAVE_6,OVERVOLTAGE,UNDERVOLTAGE,1,2,3,4
0,1765223565627,0,0,0,0,0,0,0,0
1,1765223565829,0,0,0,0,0,0,0,0
2,1765223567478,0,0,0,0,0,0,0,0
3,1765223570694,0,0,0,0,0,0,0,0
4,1765223570828,0,0,0,0,0,0,0,0
5,1765223572394,0,0,0,0,0,0,0,0
6,1765223574061,0,0,0,0,0,0,0,0
7,1765223575660,0,0,0,0,0,0,0,0
8,1765223575844,0,0,0,0,0,0,0,0
9,1765223577344,0,0,0,0,0,0,0,0
10,1765223578911,0,0,0,0,0,0,0,0
11,1765223579093,0,0,0,0,0,0,0,0
12,1765223580593,0,0,0,0,0,0,0,0
13,1765223582393,0,0,0,0,0,0,0,0
14,1765223584043,0,0,0,0,0,0,0,0
15,1765223585658,0,0,0,0,0,0,0,0
16,1765223587344,0,0,0,0,0,0,0,0
17,1765223588944,0,0,0,0,0,0,0,0
18,1765223589060,0,0,0,0,0,0,0,0
19,1765223590625,0,0,0,0,0,0,0,0
20,1765223592344,0,0,0,0,0,0,0,0
21,1765223593927,0,0,0,0,0,0,0,0
22,1765223594111,0,0,0,0,0,0,0,0
23,1765223595743,0,0,0,0,0,0,0,0
24,1765223597543,0,0,0,0,0,0,0,0
25,1765223597726,0,0,0,0,0,0,0,0
26,1765223599343,0,0,0,0,0,0,0,0
27,1765223601194,0,0,0,0,0,0,0,0
28,1765223602860,0,0,0,0,0,0,0,0
29,1765223604576,0,0,0,0,0,0,0,0
30,1765223607876,0,0,0,0,0,0,0,0
31,1765223609428,0,0,0,0,0,0,0,0
32,1765223611159,0,0,0,0,0,0,0,0
33,1765223612910,0,0,0,0,0,0,0,0
34,1765223614510,0,0,0,0,0,0,0,0
35,1765223614643,0,0,0,0,0,0,0,0
36,1765223616227,0,0,0,0,0,0,0,0
37,1765223619510,0,0,0,0,0,0,0,0
38,1765223619694,0,0,0,0,0,0,0,0
39,1765223621243,0,0,0,0,0,0,0,0
40,1765223623009,0,0,0,0,0,0,0,0
41,1765223626360,0,0,0,0,0,0,0,0
42,1765223626526,0,0,0,0,0,0,0,0
43,1765223628310,0,0,0,0,0,0,0,0
44,1765224048121,0,0,0,0,0,0,0,0
45,1765224049671,0,0,0,0,0,0,0,0
46,1765224053220,0,0,0,0,0,0,0,0
47,1765224055137,0,0,0,0,0,0,0,0
48,1765224056953,0,0,0,0,0,0,0,0
49,1765224058804,0,0,0,0,0,0,0,0
50,1765224058987,0,0,0,0,0,0,0,0
