index,date,SPEED_AVERAGE,STEERING_WHEEL,THROTTLE,BRAKE,1,2,3,4
0,1765223565577,0,0,534,0,0,0,0,0
1,1765223566027,0,0,0,0,0,0,0,0
2,1765223566310,0,0,0,0,0,0,0,0
3,1765223566461,0,0,0,0,0,0,0,0
4,1765223566810,0,0,280,0,0,0,0,0
5,1765223567228,0,0,1000,0,0,0,0,0
6,1765223567560,0,0,1000,0,0,0,0,0
7,1765223567660,0,0,1000,0,0,0,0,0
8,1765223567943,0,0,1000,0,0,0,0,0
9,1765223568360,0,0,1000,0,0,0,0,0
10,1765223568661,0,0,1000,0,0,0,0,0
11,1765223569043,0,0,1000,0,0,0,0,0
12,1765223569360,0,0,1000,0,0,0,0,0
13,1765223569726,0,0,1000,0,0,0,0,0
14,1765223570060,0,0,1000,0,0,0,0,0
15,1765223570175,0,0,1000,0,0,0,0,0
16,1765223570444,0,0,1000,0,0,0,0,0
17,1765223570759,0,0,1000,0,0,0,0,0
18,1765223570863,0,0,1000,0,0,0,0,0
19,1765223571143,0,0,1000,0,0,0,0,0
20,1765223571560,0,0,1000,0,0,0,0,0
21,1765223571861,0,0,1000,0,0,0,0,0
22,1765223572260,0,0,1000,0,0,0,0,0
23,1765223572560,0,0,1000,0,0,0,0,0
24,1765223572976,0,0,1000,0,0,0,0,0
25,1765223573426,0,0,1000,0,0,0,0,0
26,1765223573710,0,0,847,0,0,0,0,0
27,1765223574112,0,0,1000,0,0,0,0,0
28,1765223574394,0,0,1000,0,0,0,0,0
29,1765223574827,0,0,1000,0,0,0,0,0
30,1765223575127,0,0,1000,0,0,0,0,0
31,1765223575242,0,0,613,0,0,0,0,0
32,1765223575528,0,0,591,0,0,0,0,0
33,1765223575961,0,0,502,0,0,0,0,0
34,1765223576243,0,0,377,0,0,0,0,0
35,1765223576660,0,0,367,0,0,0,0,0
36,1765223576945,0,0,366,0,0,0,0,0
37,1765223577378,0,0,359,0,0,0,0,0
38,1765223577677,0,0,350,0,0,0,0,0
39,1765223577793,0,0,175,0,0,0,0,0
40,1765223578080,0,0,184,0,0,0,0,0
41,1765223578492,0,0,186,0,0,0,0,0
42,1765223578776,0,0,186,0,0,0,0,0
43,1765223579193,0,0,103,0,0,0,0,0
44,1765223579476,0,0,114,0,0,0,0,0
45,1765223579928,0,0,289,0,0,0,0,0
46,1765223580210,0,0,361,0,0,0,0,0
47,1765223580326,0,0,522,0,0,0,0,0
48,1765223580643,0,0,498,0,0,0,0,0
49,1765223581042,0,0,511,0,0,0,0,0
50,1765223581327,0,0,481,0,0,0,0,0
51,1765223581776,0,0,435,0,0,0,0,0
52,1765223582044,0,0,437,0,0,0,0,0
53,1765223582177,0,0,475,0,0,0,0,0
54,1765223582494,0,0,534,0,0,0,0,0
55,1765223582877,0,0,85,0,0,0,0,0
56,1765223583195,0,0,0,0,0,0,0,0
57,1765223583611,0,0,0,0,0,0,0,0
58,1765223583910,0,0,0,0,0,0,0,0
59,1765223584311,0,0,847,0,0,0,0,0
60,1765223584593,0,0,1000,0,0,0,0,0
61,1765223584710,0,0,1000,0,0,0,0,0
62,1765223585028,0,0,1000,0,0,0,0,0
63,1765223585445,0,0,1000,0,0,0,0,0
64,1765223585758,0,0,1000,0,0,0,0,0
65,1765223586144,0,0,1000,0,0,0,0,0
66,1765223586477,0,0,1000,0,0,0,0,0
67,1765223586593,0,0,622,0,0,0,0,0
68,1765223586876,0,0,625,0,0,0,0,0
69,1765223587277,0,0,625,0,0,0,0,0
70,1765223587594,0,0,600,0,0,0,0,0
71,1765223587977,0,0,495,0,0,0,0,0
72,1765223588327,0,0,508,0,0,0,0,0
73,1765223588443,0,0,586,0,0,0,0,0
74,1765223588728,0,0,584,0,0,0,0,0
75,1765223589026,0,0,585,0,0,0,0,0
76,1765223589143,0,0,500,0,0,0,0,0
77,1765223589427,0,0,505,0,0,0,0,0
78,1765223589893,0,0,635,0,0,0,0,0
79,1765223590160,0,0,634,0,0,0,0,0
80,1765223590559,0,0,1000,0,0,0,0,0
81,1765223590876,0,0,1000,0,0,0,0,0
82,1765223590977,0,0,681,0,0,0,0,0
83,1765223591260,0,0,614,0,0,0,0,0
84,1765223591710,0,0,561,0,0,0,0,0
85,1765223591992,0,0,565,0,0,0,0,0
86,1765223592427,0,0,513,0,0,0,0,0
87,1765223592710,0,0,472,0,0,0,0,0
88,1765223593160,0,0,336,0,0,0,0,0
89,1765223593577,0,0,201,0,0,0,0,0
90,1765223593861,0,0,0,0,0,0,0,0
91,1765223594311,0,0,407,0,0,0,0,0
92,1765223594593,0,0,361,0,0,0,0,0
93,1765223594743,0,0,431,0,0,0,0,0
94,1765223595077,0,0,574,0,0,0,0,0
95,1765223595477,0,0,1000,0,0,0,0,0
96,1765223595794,0,0,1000,0,0,0,0,0
97,1765223595927,0,0,839,0,0,0,0,0
98,1765223596212,0,0,461,0,0,0,0,0
99,1765223596644,0,0,0,0,0,0,0,0
100,1765223596976,0,0,18,0,0,0,0,0
101,1765223597393,0,0,0,0,0,0,0,0
102,1765223597709,0,0,0,0,0,0,0,0
103,1765223597844,0,0,0,0,0,0,0,0
104,1765223598144,0,0,0,0,0,0,0,0
105,1765223598627,0,0,65,0,0,0,0,0
106,1765223599043,0,0,459,0,0,0,0,0
107,1765223599393,0,0,513,0,0,0,0,0
108,1765223599810,0,0,1000,0,0,0,0,0
109,1765223600110,0,0,1000,0,0,0,0,0
110,1765223600210,0,0,1000,0,0,0,0,0
111,1765223600576,0,0,1000,0,0,0,0,0
112,1765223600977,0,0,1000,0,0,0,0,0
113,1765223601293,0,0,1000,0,0,0,0,0
114,1765223601427,0,0,1000,0,0,0,0,0
115,1765223601711,0,0,1000,0,0,0,0,0
116,1765223602160,0,0,1000,0,0,0,0,0
117,1765223602427,0,0,1000,0,0,0,0,0
118,1765223602810,0,0,1000,0,0,0,0,0
119,1765223603126,0,0,1000,0,0,0,0,0
120,1765223603511,0,0,1000,0,0,0,0,0
121,1765223603843,0,0,1000,0,0,0,0,0
122,1765223603958,0,0,1000,0,0,0,0,0
123,1765223604210,0,0,1000,0,0,0,0,0
124,1765223604543,0,0,1000,0,0,0,0,0
125,1765223604660,0,0,1000,0,0,0,0,0
126,1765223604943,0,0,1000,0,0,0,0,0
127,1765223605393,0,0,1000,0,0,0,0,0
128,1765223605675,0,0,1000,0,0,0,0,0
129,1765223606060,0,0,1000,0,0,0,0,0
130,1765223606377,0,0,1000,0,0,0,0,0
131,1765223606509,0,0,1000,0,0,0,0,0
132,1765223606777,0,0,1000,0,0,0,0,0
133,1765223607227,0,0,1000,0,0,0,0,0
134,1765223607525,0,0,1000,0,0,0,0,0
135,1765223607960,0,0,1000,0,0,0,0,0
136,1765223608243,0,0,1000,0,0,0,0,0
137,1765223608360,0,0,1000,0,0,0,0,0
138,1765223608692,0,0,1000,0,0,0,0,0
139,1765223609077,0,0,1000,0,0,0,0,0
140,1765223609368,0,0,1000,0,0,0,0,0
141,1765223609794,0,0,1000,0,0,0,0,0
142,1765223610076,0,0,1000,0,0,0,0,0
143,1765223610528,0,0,645,0,0,0,0,0
144,1765223610927,0,0,327,0,0,0,0,0
145,1765223611244,0,0,228,0,0,0,0,0
146,1765223611628,0,0,0,0,0,0,0,0
147,1765223611976,0,0,0,0,0,0,0,0
148,1765223612360,0,0,0,0,0,0,0,0
