index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1765223565694,0,0,2,0,0,0,0,0
1,1765223565846,0,0,2,0,0,0,0,0
2,1765223566126,0,0,2,0,0,0,0,0
3,1765223566577,0,0,2,0,0,0,0,0
4,1765223566912,0,0,2,0,0,0,0,0
5,1765223567045,0,0,2,0,0,0,0,0
6,1765223567343,0,0,2,0,0,0,0,0
7,1765223567777,0,0,2,0,0,0,0,0
8,1765223568043,0,0,2,0,0,0,0,0
9,1765223568476,0,0,2,0,0,0,0,0
10,1765223568760,0,0,2,0,0,0,0,0
11,1765223569160,0,0,2,0,0,0,0,0
12,1765223569460,0,0,2,0,0,0,0,0
13,1765223569560,0,0,2,0,0,0,0,0
14,1765223569827,0,0,2,0,0,0,0,0
15,1765223570261,0,0,2,0,0,0,0,0
16,1765223570543,0,0,2,0,0,0,0,0
17,1765223570977,0,0,2,0,0,0,0,0
18,1765223571261,0,0,2,0,0,0,0,0
19,1765223571676,0,0,2,0,0,0,0,0
20,1765223571960,0,0,2,0,0,0,0,0
21,1765223572360,0,0,2,0,0,0,0,0
22,1765223572677,0,0,2,0,0,0,0,0
23,1765223572795,0,0,2,0,0,0,0,0
24,1765223573077,0,0,2,0,0,0,0,0
25,1765223573526,0,0,2,0,0,0,0,0
26,1765223573794,0,0,2,0,0,0,0,0
27,1765223574210,0,0,2,0,0,0,0,0
28,1765223574494,0,0,2,0,0,0,0,0
29,1765223574610,0,0,2,0,0,0,0,0
30,1765223574944,0,0,2,0,0,0,0,0
31,1765223575226,0,0,2,0,0,0,0,0
32,1765223575344,0,0,2,0,0,0,0,0
33,1765223575610,0,0,2,0,0,0,0,0
34,1765223576060,0,0,2,0,0,0,0,0
35,1765223576343,0,0,2,0,0,0,0,0
36,1765223576776,0,0,2,0,0,0,0,0
37,1765223577043,0,0,2,0,0,0,0,0
38,1765223577161,0,0,2,0,0,0,0,0
39,1765223577494,0,0,2,0,0,0,0,0
40,1765223577876,0,0,2,0,0,0,0,0
41,1765223578210,0,0,2,0,0,0,0,0
42,1765223578592,0,0,2,0,0,0,0,0
43,1765223578860,0,0,2,0,0,0,0,0
44,1765223579293,0,0,2,0,0,0,0,0
45,1765223579577,0,0,2,0,0,0,0,0
46,1765223579695,0,0,2,0,0,0,0,0
47,1765223580043,0,0,2,0,0,0,0,0
48,1765223580426,0,0,2,0,0,0,0,0
49,1765223580743,0,0,2,0,0,0,0,0
50,1765223580860,0,0,2,0,0,0,0,0
51,1765223581145,0,0,2,0,0,0,0,0
52,1765223581478,0,0,2,0,0,0,0,0
53,1765223581594,0,0,2,0,0,0,0,0
54,1765223581859,0,0,2,0,0,0,0,0
55,1765223582276,0,0,2,0,0,0,0,0
56,1765223582577,0,0,2,0,0,0,0,0
57,1765223582965,0,0,2,0,0,0,0,0
58,1765223583310,0,0,2,0,0,0,0,0
59,1765223583427,0,0,2,0,0,0,0,0
60,1765223583727,0,0,2,0,0,0,0,0
61,1765223584009,0,0,2,0,0,0,0,0
62,1765223584127,0,0,2,0,0,0,0,0
63,1765223584429,0,0,2,0,0,0,0,0
64,1765223584844,0,0,2,0,0,0,0,0
65,1765223585143,0,0,2,0,0,0,0,0
66,1765223585543,0,0,2,0,0,0,0,0
67,1765223585860,0,0,2,0,0,0,0,0
68,1765223585976,0,0,2,0,0,0,0,0
69,1765223586244,0,0,2,0,0,0,0,0
70,1765223586710,0,0,2,0,0,0,0,0
71,1765223586977,0,0,2,0,0,0,0,0
72,1765223587409,0,0,2,0,0,0,0,0
73,1765223587692,0,0,2,0,0,0,0,0
74,1765223587826,0,0,2,0,0,0,0,0
75,1765223588127,0,0,2,0,0,0,0,0
76,1765223588543,0,0,2,0,0,0,0,0
77,1765223588828,0,0,2,0,0,0,0,0
78,1765223589227,0,0,2,0,0,0,0,0
79,1765223589510,0,0,2,0,0,0,0,0
80,1765223589978,0,0,2,0,0,0,0,0
81,1765223590260,0,0,2,0,0,0,0,0
82,1765223590378,0,0,2,0,0,0,0,0
83,1765223590693,0,0,2,0,0,0,0,0
84,1765223591077,0,0,2,0,0,0,0,0
85,1765223591393,0,0,2,0,0,0,0,0
86,1765223591809,0,0,2,0,0,0,0,0
87,1765223592094,0,0,2,0,0,0,0,0
88,1765223592211,0,0,2,0,0,0,0,0
89,1765223592526,0,0,2,0,0,0,0,0
90,1765223592810,0,0,2,0,0,0,0,0
91,1765223592927,0,0,2,0,0,0,0,0
92,1765223593260,0,0,2,0,0,0,0,0
93,1765223593660,0,0,2,0,0,0,0,0
94,1765223593993,0,0,2,0,0,0,0,0
95,1765223594077,0,0,2,0,0,0,0,0
96,1765223594410,0,0,2,0,0,0,0,0
97,1765223594843,0,0,2,0,0,0,0,0
98,1765223595161,0,0,2,0,0,0,0,0
99,1765223595293,0,0,194,0,0,0,0,0
100,1765223595577,0,0,2,0,0,0,0,0
101,1765223596026,0,0,2,0,0,0,0,0
102,1765223596309,0,0,2,0,0,0,0,0
103,1765223596776,0,0,2,0,0,0,0,0
104,1765223597060,0,0,2,0,0,0,0,0
105,1765223597227,0,0,2,0,0,0,0,0
