index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2,TORQUE_REF_RIGHT_MOTOR,TORQUE_REF_LEFT_MOTOR,1,2,3,4
0,1765223565612,0,5,701,701,0,0,0,0
1,1765223566060,0,5,0,0,0,0,0,0
2,1765223566343,0,5,0,0,0,0,0,0
3,1765223566492,0,5,0,0,0,0,0,0
4,1765223566826,0,5,0,0,0,0,0,0
5,1765223567261,0,5,1000,1000,0,0,0,0
6,1765223567578,0,5,1000,1000,0,0,0,0
7,1765223567693,0,5,1000,1000,0,0,0,0
8,1765223567960,0,5,1000,1000,0,0,0,0
9,1765223568409,0,5,1000,1000,0,0,0,0
10,1765223568694,0,5,1000,1000,0,0,0,0
11,1765223569076,0,5,1000,1000,0,0,0,0
12,1765223569394,0,5,1000,1000,0,0,0,0
13,1765223569760,0,5,1000,1000,0,0,0,0
14,1765223570093,0,5,1000,1000,0,0,0,0
15,1765223570193,0,5,1000,1000,0,0,0,0
16,1765223570461,0,5,1000,1000,0,0,0,0
17,1765223570793,0,5,1000,1000,0,0,0,0
18,1765223570893,0,5,1000,1000,0,0,0,0
19,1765223571176,0,5,1000,1000,0,0,0,0
20,1765223571609,0,5,1000,1000,0,0,0,0
21,1765223571894,0,5,1000,1000,0,0,0,0
22,1765223572294,0,5,1000,1000,0,0,0,0
23,1765223572593,0,5,1000,1000,0,0,0,0
24,1765223572727,0,5,1000,1000,0,0,0,0
25,1765223573010,0,5,1000,1000,0,0,0,0
26,1765223573444,0,5,1000,1000,0,0,0,0
27,1765223573727,0,5,1000,1000,0,0,0,0
28,1765223574146,0,5,1000,1000,0,0,0,0
29,1765223574426,0,5,1000,1000,0,0,0,0
30,1765223574844,0,5,1000,1000,0,0,0,0
31,1765223575159,0,5,1000,1000,0,0,0,0
32,1765223575260,0,5,613,613,0,0,0,0
33,1765223575543,0,5,613,613,0,0,0,0
34,1765223575977,0,5,515,515,0,0,0,0
35,1765223576277,0,5,476,476,0,0,0,0
36,1765223576694,0,5,375,375,0,0,0,0
37,1765223576977,0,5,375,375,0,0,0,0
38,1765223577412,0,5,359,359,0,0,0,0
39,1765223577693,0,5,361,361,0,0,0,0
40,1765223577810,0,5,176,176,0,0,0,0
41,1765223578127,0,5,181,181,0,0,0,0
42,1765223578510,0,5,195,195,0,0,0,0
43,1765223578795,0,5,184,184,0,0,0,0
44,1765223579226,0,5,0,0,0,0,0,0
45,1765223579509,0,5,114,114,0,0,0,0
46,1765223579961,0,5,189,189,0,0,0,0
47,1765223580362,0,5,526,526,0,0,0,0
48,1765223580677,0,5,501,501,0,0,0,0
49,1765223581060,0,5,554,554,0,0,0,0
50,1765223581377,0,5,502,502,0,0,0,0
51,1765223581794,0,5,434,434,0,0,0,0
52,1765223582078,0,5,436,436,0,0,0,0
53,1765223582194,0,5,458,458,0,0,0,0
54,1765223582511,0,5,483,483,0,0,0,0
55,1765223582894,0,5,264,264,0,0,0,0
56,1765223583243,0,5,0,0,0,0,0,0
57,1765223583644,0,5,0,0,0,0,0,0
58,1765223583927,0,5,0,0,0,0,0,0
59,1765223584343,0,5,488,488,0,0,0,0
60,1765223584643,0,5,688,688,0,0,0,0
61,1765223584744,0,5,1000,1000,0,0,0,0
62,1765223585061,0,5,847,847,0,0,0,0
63,1765223585477,0,5,1000,1000,0,0,0,0
64,1765223585776,0,5,1000,1000,0,0,0,0
65,1765223585911,0,5,1000,1000,0,0,0,0
