index,date,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,1765227022496,-531,8456,23,0,0,0,0,0
1,1765227022897,-581,7992,-122,0,0,0,0,0
2,1765227022984,-132,8152,441,0,0,0,0,0
3,1765227023213,-698,8233,-167,0,0,0,0,0
4,1765227023281,-330,7815,-162,0,0,0,0,0
5,1765227023330,609,8036,1191,0,0,0,0,0
6,1765227023422,-1034,7482,1255,0,0,0,0,0
7,1765227023697,-1910,8397,-268,0,0,0,0,0
8,1765227023797,-23,8630,2622,0,0,0,0,0
9,1765227024122,-1108,8058,-614,0,0,0,0,0
10,1765227024272,341,8246,418,0,0,0,0,0
11,1765227024498,-647,8284,2939,0,0,0,0,0
12,1765227024622,-1480,8137,1348,0,0,0,0,0
13,1765227024862,282,8630,1613,0,0,0,0,0
14,1765227024964,-895,7872,2380,0,0,0,0,0
15,1765227025146,-1415,7985,778,0,0,0,0,0
16,1765227025298,-977,8456,1812,0,0,0,0,0
17,1765227025506,-1062,7454,252,0,0,0,0,0
18,1765227025629,-842,8398,666,0,0,0,0,0
19,1765227025939,-1812,7681,490,0,0,0,0,0
20,1765227026048,-1783,7891,489,0,0,0,0,0
21,1765227026363,-1133,8975,1066,0,0,0,0,0
22,1765227026489,-760,8279,744,0,0,0,0,0
23,1765227026588,-533,8472,602,0,0,0,0,0
24,1765227026788,1111,7618,-693,0,0,0,0,0
25,1765227026897,1259,7623,-2176,0,0,0,0,0
26,1765227027238,411,8603,-620,0,0,0,0,0
27,1765227027331,36,6994,-446,0,0,0,0,0
28,1765227027530,-388,8523,-747,0,0,0,0,0
29,1765227027631,-934,7738,-584,0,0,0,0,0
30,1765227027713,-29,7904,-383,0,0,0,0,0
31,1765227027922,169,8691,-526,0,0,0,0,0
32,1765227028130,-32,8657,-584,0,0,0,0,0
33,1765227028381,-324,8402,-647,0,0,0,0,0
34,1765227028497,-338,7903,-638,0,0,0,0,0
35,1765227028654,113,8294,-604,0,0,0,0,0
36,1765227028788,-112,8227,-806,0,0,0,0,0
37,1765227028897,-32,8070,-656,0,0,0,0,0
38,1765227029021,-16,8092,-650,0,0,0,0,0
39,1765227029213,-130,8219,-656,0,0,0,0,0
40,1765227029313,-86,8121,-636,0,0,0,0,0
41,1765227029565,-101,8101,-528,0,0,0,0,0
42,1765227029689,-99,8115,-516,0,0,0,0,0
