index,date,SLACE_1,SLAVE_2,SLAVE_3,SLAVE_4,1,2,3,4
0,1765227026971,0,0,0,0,0,0,0,0
1,1765227035946,0,0,0,0,0,0,0,0
2,1765227037688,0,0,0,0,0,0,0,0
3,1765227041030,0,0,0,0,0,0,0,0
4,1765227044545,0,0,0,0,0,0,0,0
5,1765227067634,0,0,0,0,0,0,0,0
6,1765227071106,0,0,0,0,0,0,0,0
7,1765227151511,0,0,0,0,0,0,0,0
8,1765227153327,0,0,0,0,0,0,0,0
9,1765227154911,0,0,0,0,0,0,0,0
10,1765227157891,0,0,0,0,0,0,0,0
11,1765227167795,0,0,0,0,0,0,0,0
12,1765227179826,0,0,0,0,0,0,0,0
13,1765227191868,0,0,0,0,0,0,0,0
14,1765227196632,0,0,0,0,0,0,0,0
15,1765227206829,0,0,0,0,0,0,0,0
16,1765227210147,0,0,0,0,0,0,0,0
17,1765227213485,0,0,0,0,0,0,0,0
18,1765227230845,0,0,0,0,0,0,0,0
19,1765227232772,0,0,0,0,0,0,0,0
20,1765227236095,0,0,0,0,0,0,0,0
21,1765227237722,0,0,0,0,0,0,0,0
22,1765227241252,0,0,0,0,0,0,0,0
23,1765227248091,0,0,0,0,0,0,0,0
24,1765227257306,0,0,0,0,0,0,0,0
25,1765227289530,0,0,0,0,0,0,0,0
26,1765227289713,0,0,0,0,0,0,0,0
27,1765227293387,0,0,0,0,0,0,0,0
28,1765227299923,0,0,0,0,0,0,0,0
29,1765227303368,0,0,0,0,0,0,0,0
30,1765227304927,0,0,0,0,0,0,0,0
31,1765227306701,0,0,0,0,0,0,0,0
32,1765227308245,0,0,0,0,0,0,0,0
33,1765227308412,0,0,0,0,0,0,0,0
34,1765227310038,0,0,0,0,0,0,0,0
35,1765227310182,0,0,0,0,0,0,0,0
36,1765227316830,0,0,0,0,0,0,0,0
37,1765227318607,0,0,0,0,0,0,0,0
38,1765227321981,0,0,0,0,0,0,0,0
39,1765227322163,0,0,0,0,0,0,0,0
40,1765227330953,0,0,0,0,0,0,0,0
41,1765227332677,0,0,0,0,0,0,0,0
42,1765227717040,0,0,0,0,0,0,0,0
43,1765227722105,0,0,0,0,0,0,0,0
44,1765227730479,0,0,0,0,0,0,0,0
45,1765227735518,0,0,0,0,0,0,0,0
46,1765227735711,0,0,0,0,0,0,0,0
47,1765227740921,0,0,0,0,0,0,0,0
48,1765227744543,0,0,0,0,0,0,0,0
49,1765227748026,0,0,0,0,0,0,0,0
50,1765227759726,0,0,0,0,0,0,0,0
51,1765227763205,0,0,0,0,0,0,0,0
52,1765227766512,0,0,0,0,0,0,0,0
53,1765227770080,0,0,0,0,0,0,0,0
54,1765227778862,0,0,0,0,0,0,0,0
55,1765227784095,0,0,0,0,0,0,0,0
56,1765227793926,0,0,0,0,0,0,0,0
57,1765227794068,0,0,0,0,0,0,0,0
58,1765227795696,0,0,0,0,0,0,0,0
59,1765227796322,0,0,0,0,0,0,0,0
60,1765227798971,0,0,0,0,0,0,0,0
61,1765227799134,0,0,0,0,0,0,0,0
62,1765227805949,0,0,0,0,0,0,0,0
63,1765227807780,0,0,0,0,0,0,0,0
64,1765227811449,0,0,0,0,0,0,0,0
65,1765227816198,0,0,0,0,0,0,0,0
66,1765227819617,0,0,0,0,0,0,0,0
67,1765227829787,0,0,0,0,0,0,0,0
68,1765227832950,0,0,0,0,0,0,0,0
69,1765227855277,0,0,0,0,0,0,0,0
70,1765227856827,0,0,0,0,0,0,0,0
71,1765227866524,0,0,0,0,0,0,0,0
72,1765227880898,0,0,0,0,0,0,0,0
73,1765227886122,0,0,0,0,0,0,0,0
74,1765227889475,0,0,0,0,0,0,0,0
75,1765227894464,0,0,0,0,0,0,0,0
76,1765227910464,0,0,0,0,0,0,0,0
77,1765227912479,0,0,0,0,0,0,0,0
78,1765227914121,0,0,0,0,0,0,0,0
79,1765227915829,0,0,0,0,0,0,0,0
80,1765227940745,0,0,0,0,0,0,0,0
81,1765227940904,0,0,0,0,0,0,0,0
82,1765227961943,0,0,0,0,0,0,0,0
83,1765227964370,0,0,0,0,0,0,0,0
84,1765227965597,0,0,0,0,0,0,0,0
85,1765227984323,0,0,0,0,0,0,0,0
86,1765227989238,0,0,0,0,0,0,0,0
87,1765227991464,0,0,0,0,0,0,0,0
88,1765227995122,0,0,0,0,0,0,0,0
89,1765227998795,0,0,0,0,0,0,0,0
90,1765228034643,0,0,0,0,0,0,0,0
91,1765228037034,0,0,0,0,0,0,0,0
92,1765228038309,0,0,0,0,0,0,0,0
93,1765228042992,0,0,0,0,0,0,0,0
94,1765228046781,0,0,0,0,0,0,0,0
95,1765228046985,0,0,0,0,0,0,0,0
96,1765228050633,0,0,0,0,0,0,0,0
97,1765228050834,0,0,0,0,0,0,0,0
98,1765228053382,0,0,0,0,0,0,0,0
99,1765228054588,0,0,0,0,0,0,0,0
100,1765228055791,0,0,0,0,0,0,0,0
101,1765228074906,0,0,0,0,0,0,0,0
102,1765228078498,0,0,0,0,0,0,0,0
103,1765228082172,0,0,0,0,0,0,0,0
104,1765228086085,0,0,0,0,0,0,0,0
105,1765228097633,0,0,0,0,0,0,0,0
106,1765228100934,0,0,0,0,0,0,0,0
107,1765228108053,0,0,0,0,0,0,0,0
108,1765228116382,0,0,0,0,0,0,0,0
109,1765228122898,0,0,0,0,0,0,0,0
110,1765228123047,0,0,0,0,0,0,0,0
111,1765228126322,0,0,0,0,0,0,0,0
112,1765228127952,0,0,0,0,0,0,0,0
113,1765228141815,0,0,0,0,0,0,0,0
114,1765228160132,0,0,0,0,0,0,0,0
115,1765228161898,0,0,0,0,0,0,0,0
116,1765228163438,0,0,0,0,0,0,0,0
