index,date,FRONT_LEFT_SPEED,FRONT_RIGHT_SPEED,REAR_LEFT_SPEED,REAR_RIGHT_SPEED,1,2,3,4
0,1765227022655,0,0,239,616,0,0,0,0
1,1765227022788,0,0,1636,1569,0,0,0,0
2,1765227023085,0,0,1109,879,0,0,0,0
3,1765227023497,0,0,838,786,0,0,0,0
4,1765227023814,0,0,671,627,0,0,0,0
5,1765227024230,0,0,131,127,0,0,0,0
6,1765227024697,0,0,129,122,0,0,0,0
7,1765227025001,0,0,177,158,0,0,0,0
8,1765227025432,0,0,441,335,0,0,0,0
9,1765227025713,0,0,504,358,0,0,0,0
10,1765227025847,0,0,662,470,0,0,0,0
11,1765227026188,0,0,722,491,0,0,0,0
12,1765227026597,0,0,867,0,0,0,0,0
13,1765227026888,0,0,0,0,0,0,0,0
14,1765227027046,0,0,0,0,0,0,0,0
15,1765227027355,0,0,0,0,0,0,0,0
16,1765227027815,0,0,0,0,0,0,0,0
17,1765227028138,0,0,0,0,0,0,0,0
18,1765227028304,0,0,0,0,0,0,0,0
19,1765227028589,0,0,0,0,0,0,0,0
20,1765227029046,0,0,0,0,0,0,0,0
21,1765227029330,0,0,0,0,0,0,0,0
22,1765227029489,0,0,0,0,0,0,0,0
23,1765227029788,0,0,0,0,0,0,0,0
24,1765227030264,0,0,0,0,0,0,0,0
25,1765227030547,0,0,0,0,0,0,0,0
26,1765227030697,0,0,0,0,0,0,0,0
27,1765227030987,0,0,0,0,0,0,0,0
28,1765227031397,0,0,0,0,0,0,0,0
29,1765227031722,0,0,0,0,0,0,0,0
30,1765227032138,0,0,0,0,0,0,0,0
31,1765227032455,0,0,0,0,0,0,0,0
32,1765227032855,0,0,0,0,0,0,0,0
33,1765227033263,0,0,0,0,0,0,0,0
34,1765227033604,0,0,0,0,0,0,0,0
35,1765227033988,0,0,0,0,0,0,0,0
36,1765227034329,0,0,0,0,0,0,0,0
37,1765227034463,0,0,0,0,0,0,0,0
38,1765227034720,0,0,0,0,0,0,0,0
39,1765227035179,0,0,0,0,0,0,0,0
40,1765227035462,0,0,0,0,0,0,0,0
41,1765227035879,0,0,0,0,0,0,0,0
42,1765227036188,0,0,0,0,0,0,0,0
43,1765227036304,0,0,0,0,0,0,0,0
44,1765227036604,0,0,0,0,0,0,0,0
45,1765227037060,0,0,0,0,0,0,0,0
46,1765227037344,0,0,0,0,0,0,0,0
47,1765227037795,0,0,0,0,0,0,0,0
48,1765227038078,0,0,0,0,0,0,0,0
49,1765227038196,0,0,0,0,0,0,0,0
50,1765227038546,0,0,0,0,0,0,0,0
51,1765227038954,0,0,0,0,0,0,0,0
52,1765227039231,0,0,0,0,0,0,0,0
53,1765227039370,0,0,0,0,0,0,0,0
54,1765227039687,0,0,0,0,0,0,0,0
55,1765227039955,0,0,0,0,0,0,0,0
56,1765227040071,0,0,0,0,0,0,0,0
57,1765227040395,0,0,0,0,0,0,0,0
58,1765227040812,0,0,0,0,0,0,0,0
59,1765227041128,0,0,0,0,0,0,0,0
60,1765227041259,0,0,0,0,0,0,0,0
61,1765227041529,0,0,0,0,0,0,0,0
62,1765227041961,0,0,0,0,0,0,0,0
63,1765227042279,0,0,0,0,0,0,0,0
64,1765227042687,0,0,0,0,0,0,0,0
65,1765227043009,0,0,0,0,0,0,0,0
66,1765227043127,0,0,0,0,0,0,0,0
67,1765227043413,0,0,0,0,0,0,0,0
68,1765227043869,0,0,0,0,0,0,0,0
69,1765227044153,0,0,0,0,0,0,0,0
70,1765227044579,0,0,0,0,0,0,0,0
71,1765227044879,0,0,0,0,0,0,0,0
72,1765227044971,0,0,0,0,0,0,0,0
73,1765227045249,0,0,0,0,0,0,0,0
74,1765227045685,0,0,0,0,0,0,0,0
75,1765227045977,0,0,0,0,0,0,0,0
76,1765227046411,0,0,0,0,0,0,0,0
77,1765227046677,0,0,0,0,0,0,0,0
78,1765227047153,0,0,0,0,0,0,0,0
79,1765227047569,0,0,0,0,0,0,0,0
80,1765227048268,0,0,0,0,0,0,0,0
81,1765227048552,0,0,0,0,0,0,0,0
82,1765227049013,0,0,0,0,0,0,0,0
83,1765227049295,0,0,0,0,0,0,0,0
84,1765227049428,0,0,0,0,0,0,0,0
85,1765227049728,0,0,0,0,0,0,0,0
86,1765227050161,0,0,0,0,0,0,0,0
87,1765227050470,0,0,0,0,0,0,0,0
88,1765227050603,0,0,0,0,0,0,0,0
89,1765227050888,0,0,0,0,0,0,0,0
90,1765227051161,0,0,0,0,0,0,0,0
91,1765227051294,0,0,0,0,0,0,0,0
92,1765227051612,0,0,0,0,0,0,0,0
93,1765227052011,0,0,0,0,0,0,0,0
94,1765227052353,0,0,0,0,0,0,0,0
95,1765227052485,0,0,0,0,0,0,0,0
96,1765227052767,0,0,0,0,0,0,0,0
97,1765227053195,0,0,0,0,0,0,0,0
98,1765227053485,0,0,0,0,0,0,0,0
99,1765227053927,0,0,0,0,0,0,0,0
100,1765227054235,0,0,0,0,0,0,0,0
101,1765227054360,0,0,0,0,0,0,0,0
102,1765227054651,0,0,0,0,0,0,0,0
103,1765227055094,0,0,0,0,0,0,0,0
104,1765227055385,0,0,0,0,0,0,0,0
105,1765227055529,0,0,0,0,0,0,0,0
106,1765227055861,0,0,0,0,0,0,0,0
107,1765227056285,0,0,0,0,0,0,0,0
108,1765227056611,0,0,0,0,0,0,0,0
109,1765227056736,0,0,0,0,0,0,0,0
110,1765227057036,0,0,0,0,0,0,0,0
111,1765227057460,0,0,0,0,0,0,0,0
112,1765227057809,0,0,0,0,0,0,0,0
113,1765227057952,0,0,0,0,0,0,0,0
114,1765227058236,0,0,0,0,0,0,0,0
115,1765227058703,0,0,0,0,0,0,0,0
116,1765227058993,0,0,0,0,0,0,0,0
117,1765227059159,0,0,0,0,0,0,0,0
118,1765227059485,0,0,0,0,0,0,0,0
119,1765227059935,0,0,0,0,0,0,0,0
120,1765227060251,0,0,0,0,0,0,0,0
121,1765227060677,0,0,0,0,0,0,0,0
122,1765227061118,0,0,0,0,0,0,0,0
123,1765227061459,0,0,0,0,0,0,0,0
124,1765227061618,0,0,0,0,0,0,0,0
125,1765227061902,0,0,0,0,0,0,0,0
126,1765227062384,0,0,0,0,0,0,0,0
127,1765227062676,0,0,0,0,0,0,0,0
128,1765227062809,0,0,0,0,0,0,0,0
129,1765227063160,0,0,0,0,0,0,0,0
130,1765227063610,0,0,0,0,0,0,0,0
131,1765227063899,0,0,0,0,0,0,0,0
132,1765227064042,0,0,0,0,0,0,0,0
133,1765227064375,0,0,0,0,0,0,0,0
134,1765227066021,0,0,0,0,0,0,0,0
135,1765227066021,0,0,0,0,0,0,0,0
136,1765227066021,0,0,0,0,0,0,0,0
137,1765227066032,0,0,0,0,0,0,0,0
138,1765227066331,0,0,0,0,0,0,0,0
139,1765227066449,0,0,0,0,0,0,0,0
140,1765227066750,0,0,0,0,0,0,0,0
141,1765227067191,0,0,0,0,0,0,0,0
142,1765227067466,0,0,0,0,0,0,0,0
143,1765227067899,0,0,0,0,0,0,0,0
144,1765227068190,0,0,0,0,0,0,0,0
145,1765227068307,0,0,0,0,0,0,0,0
146,1765227068634,0,0,0,0,0,0,0,0
147,1765227069041,0,0,0,0,0,0,0,0
148,1765227069357,0,0,0,0,0,0,0,0
149,1765227069749,0,0,0,0,0,0,0,0
150,1765227070048,0,0,0,0,0,0,0,0
151,1765227070165,0,0,0,0,0,0,0,0
152,1765227070507,0,0,0,0,0,0,0,0
153,1765227070907,0,0,0,0,0,0,0,0
154,1765227071240,0,0,0,0,0,0,0,0
155,1765227071656,0,0,0,0,0,0,0,0
156,1765227071982,0,0,0,0,0,0,0,0
157,1765227072115,0,0,0,0,0,0,0,0
158,1765227072407,0,0,0,0,0,0,0,0
159,1765227072815,0,0,0,0,0,0,0,0
160,1765227073115,0,0,0,0,0,0,0,0
161,1765227073240,0,0,0,0,0,0,0,0
162,1765227073533,0,0,0,0,0,0,0,0
163,1765227073999,0,0,0,0,0,0,0,0
164,1765227074281,0,0,0,0,0,0,0,0
165,1765227074724,0,0,0,0,0,0,0,0
166,1765227074996,0,0,0,0,0,0,0,0
167,1765227075130,0,0,0,0,0,0,0,0
168,1765227076448,0,0,0,0,0,0,0,0
169,1765227076732,0,0,0,0,0,0,0,0
170,1765227077030,0,0,0,0,0,0,0,0
171,1765227077097,0,0,0,0,0,0,0,0
172,1765227145106,0,0,0,0,0,0,0,0
173,1765227145391,0,0,0,0,0,0,0,0
174,1765227145674,0,0,0,0,0,0,0,0
175,1765227146308,0,0,0,0,0,0,0,0
176,1765227146367,0,0,0,0,0,0,0,0
177,1765227146668,0,0,0,0,0,0,0,0
178,1765227146953,0,0,0,0,0,0,0,0
179,1765227147077,0,0,0,0,0,0,0,0
180,1765227147411,0,0,0,0,0,0,0,0
181,1765227147817,0,0,0,0,0,0,0,0
182,1765227148128,0,0,0,0,0,0,0,0
183,1765227148253,0,0,0,0,0,0,0,0
184,1765227148537,0,0,0,0,0,0,0,0
185,1765227148870,0,0,0,0,0,0,0,0
186,1765227148954,0,0,0,0,0,0,0,0
187,1765227149293,0,0,0,0,0,0,0,0
188,1765227149677,0,0,0,0,0,0,0,0
189,1765227149986,0,0,0,0,0,0,0,0
190,1765227150127,0,0,0,0,0,0,0,0
191,1765227150393,0,0,0,0,0,0,0,0
192,1765227150859,0,0,0,0,0,0,0,0
193,1765227151144,0,0,0,0,0,0,0,0
194,1765227151578,0,0,0,0,0,0,0,0
195,1765227151867,0,0,0,0,0,0,0,0
196,1765227151986,0,0,0,0,0,0,0,0
197,1765227152286,0,0,0,0,0,0,0,0
198,1765227152736,0,0,0,0,0,0,0,0
199,1765227153010,0,0,0,0,0,0,0,0
200,1765227153461,0,0,0,0,0,0,0,0
201,1765227153753,0,0,0,0,0,0,0,0
202,1765227153895,0,0,0,0,0,0,0,0
203,1765227154211,0,0,0,0,0,0,0,0
204,1765227154645,0,0,0,0,0,0,0,0
205,1765227154972,0,0,0,0,0,0,0,0
206,1765227155092,0,0,0,0,0,0,0,0
207,1765227155385,0,0,0,0,0,0,0,0
208,1765227156202,0,0,0,0,0,0,0,0
209,1765227156486,0,0,0,0,0,0,0,0
210,1765227156769,0,0,0,0,0,0,0,0
211,1765227156836,0,0,0,0,0,0,0,0
212,1765227157126,0,0,0,0,0,0,0,0
213,1765227157870,0,0,0,0,0,0,0,0
214,1765227157916,0,0,0,0,0,0,0,0
215,1765227158235,0,0,0,0,0,0,0,0
216,1765227158580,0,0,0,0,0,0,0,0
217,1765227158680,0,0,0,0,0,0,0,0
218,1765227158978,0,0,0,0,0,0,0,0
219,1765227159278,0,0,0,0,0,0,0,0
220,1765227159405,0,0,0,0,0,0,0,0
221,1765227159704,0,0,0,0,0,0,0,0
222,1765227160130,0,0,0,0,0,0,0,0
223,1765227160446,0,0,0,0,0,0,0,0
224,1765227160571,0,0,0,0,0,0,0,0
225,1765227160855,0,0,0,0,0,0,0,0
226,1765227161321,0,0,0,0,0,0,0,0
227,1765227161587,0,0,0,0,0,0,0,0
228,1765227162062,0,0,0,0,0,0,0,0
229,1765227162337,0,0,0,0,0,0,0,0
230,1765227162454,0,0,0,0,0,0,0,0
231,1765227162788,0,0,0,0,0,0,0,0
232,1765227163162,0,0,0,0,0,0,0,0
233,1765227163462,0,0,0,0,0,0,0,0
234,1765227163906,0,0,0,0,0,0,0,0
235,1765227164192,0,0,0,0,0,0,0,0
236,1765227164310,0,0,0,0,0,0,0,0
237,1765227164612,0,0,0,0,0,0,0,0
238,1765227165029,0,0,0,0,0,0,0,0
239,1765227165361,0,0,0,0,0,0,0,0
240,1765227165503,0,0,0,0,0,0,0,0
241,1765227165778,0,0,0,0,0,0,0,0
242,1765227166087,0,0,0,0,0,0,0,0
243,1765227166169,0,0,0,0,0,0,0,0
244,1765227166486,0,0,0,0,0,0,0,0
245,1765227166862,0,0,0,0,0,0,0,0
246,1765227167203,0,0,0,0,0,0,0,0
247,1765227167604,0,0,0,0,0,0,0,0
248,1765227167936,0,0,0,0,0,0,0,0
249,1765227168045,0,0,0,0,0,0,0,0
250,1765227168802,0,0,0,0,0,0,0,0
251,1765227168898,0,0,0,0,0,0,0,0
252,1765227169084,0,0,0,0,0,0,0,0
253,1765227169476,0,0,0,0,0,0,0,0
254,1765227169785,0,0,0,0,0,0,0,0
255,1765227169920,0,0,0,0,0,0,0,0
256,1765227170193,0,0,0,0,0,0,0,0
257,1765227170661,0,0,0,0,0,0,0,0
258,1765227170928,0,0,0,0,0,0,0,0
259,1765227171377,0,0,0,0,0,0,0,0
