index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,CURRENT_R_MOTOR,1,2,3,4
0,1762969984726,0,0,0,0,0,0,0,0
1,1762969984893,0,0,0,0,0,0,0,0
2,1762969984992,0,0,0,0,0,0,0,0
3,1762969985125,0,0,0,0,0,0,0,0
4,1762969985242,0,0,0,0,0,0,0,0
5,1762969985341,0,0,0,0,0,0,0,0
6,1762969985675,0,0,0,0,0,0,0,0
7,1762969985841,0,0,0,0,0,0,0,0
8,1762969985941,0,0,0,0,0,0,0,0
9,1762969986025,0,0,0,0,0,0,0,0
10,1762969986109,0,0,0,0,0,0,0,0
11,1762969986224,0,0,0,0,0,0,0,0
12,1762969986340,0,0,0,0,0,0,0,0
13,1762969986457,0,0,0,0,0,0,0,0
14,1762969986673,0,0,0,0,0,0,0,0
15,1762969986775,0,0,0,0,0,0,0,0
16,1762969986957,0,0,0,0,0,0,0,0
17,1762969987141,0,0,0,0,0,0,0,0
18,1762969987325,0,0,0,0,0,0,0,0
19,1762969987473,0,0,0,0,0,0,0,0
20,1762969987674,0,0,0,0,0,0,0,0
21,1762969987823,0,0,0,0,0,0,0,0
22,1762969987991,0,0,0,0,0,0,0,0
23,1762969988223,0,0,0,0,0,0,0,0
24,1762969988240,0,0,0,0,0,0,0,0
25,1762969988306,0,0,0,0,0,0,0,0
26,1762969988422,0,0,0,0,0,0,0,0
27,1762969988542,0,0,0,0,0,0,0,0
28,1762969988806,0,0,0,0,0,0,0,0
29,1762969989006,0,0,0,0,0,0,0,0
30,1762969989205,0,0,0,0,0,0,0,0
31,1762969989307,0,0,0,0,0,0,0,0
32,1762969989405,0,0,0,0,0,0,0,0
33,1762969989522,0,0,0,0,0,0,0,0
34,1762969989639,0,0,0,0,0,0,0,0
35,1762969989872,0,0,0,0,0,0,0,0
36,1762969989973,0,0,0,0,0,0,0,0
37,1762969990138,0,0,0,0,0,0,0,0
38,1762969990188,0,0,0,0,0,0,0,0
39,1762969990287,0,0,0,0,0,0,0,0
40,1762969990405,0,0,0,0,0,0,0,0
41,1762969990554,0,0,0,0,0,0,0,0
42,1762969990671,0,0,0,0,0,0,0,0
43,1762969990854,0,0,0,0,0,0,0,0
44,1762969991187,0,0,0,0,0,0,0,0
45,1762969991255,0,0,0,0,0,0,0,0
46,1762969991407,0,0,0,0,0,0,0,0
47,1762969991505,0,0,0,0,0,0,0,0
48,1762969991755,0,0,0,0,0,0,0,0
49,1762969991888,0,0,0,0,0,0,0,0
50,1762969992171,0,0,0,0,0,0,0,0
51,1762969992288,0,0,0,0,0,0,0,0
52,1762969992387,0,0,0,0,0,0,0,0
53,1762969992504,0,0,0,0,0,0,0,0
54,1762969992619,0,0,0,0,0,0,0,0
55,1762969992837,0,0,0,0,0,0,0,0
56,1762969992986,0,0,0,0,0,0,0,0
57,1762969993103,0,0,0,0,0,0,0,0
58,1762969993187,0,0,0,0,0,0,0,0
59,1762969993302,0,0,0,0,0,0,0,0
60,1762969993518,0,0,0,0,0,0,0,0
61,1762969993602,0,0,0,0,0,0,0,0
62,1762969993702,0,0,0,0,0,0,0,0
63,1762969993836,0,0,0,0,0,0,0,0
64,1762969993953,0,0,0,0,0,0,0,0
65,1762969994052,0,0,0,0,0,0,0,0
66,1762969994251,0,0,0,0,0,0,0,0
67,1762969994370,0,0,0,0,0,0,0,0
68,1762969994469,0,0,0,0,0,0,0,0
69,1762969994687,0,0,0,0,0,0,0,0
70,1762969994885,0,0,0,0,0,0,0,0
71,1762969994985,0,0,0,0,0,0,0,0
72,1762969995153,0,0,0,0,0,0,0,0
73,1762969995220,0,0,0,0,0,0,0,0
74,1762969995253,0,0,0,0,0,0,0,0
75,1762969995352,0,0,0,0,0,0,0,0
76,1762969995469,0,0,0,0,0,0,0,0
77,1762969995585,0,0,0,0,0,0,0,0
78,1762969995685,0,0,0,0,0,0,0,0
79,1762969995850,0,0,0,0,0,0,0,0
80,1762969995967,0,0,0,0,0,0,0,0
81,1762969996101,0,0,0,0,0,0,0,0
82,1762969996252,0,0,0,0,0,0,0,0
83,1762969996334,0,0,0,0,0,0,0,0
84,1762969996449,0,0,0,0,0,0,0,0
85,1762969996567,0,0,0,0,0,0,0,0
86,1762969996684,0,0,0,0,0,0,0,0
87,1762969996817,0,0,0,0,0,0,0,0
88,1762969997000,0,0,0,0,0,0,0,0
89,1762969997050,0,0,0,0,0,0,0,0
90,1762969997332,0,0,0,0,0,0,0,0
91,1762969997450,0,0,0,0,0,0,0,0
