index,date,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,1762968053620,65238,8145,187,0,0,0,0,0
1,1762968053687,65173,8127,201,0,0,0,0,0
2,1762968053786,65270,8162,201,0,0,0,0,0
3,1762968053837,65220,8138,205,0,0,0,0,0
4,1762968053886,65203,8130,235,0,0,0,0,0
5,1762968053936,65220,8143,190,0,0,0,0,0
6,1762968054004,65247,8151,219,0,0,0,0,0
7,1762968054053,65246,8146,194,0,0,0,0,0
8,1762968054102,65196,8132,215,0,0,0,0,0
9,1762968054153,65204,8114,218,0,0,0,0,0
10,1762968054219,65246,8151,208,0,0,0,0,0
11,1762968054286,65245,8136,221,0,0,0,0,0
12,1762968054385,65213,8131,229,0,0,0,0,0
13,1762968054419,65220,8127,234,0,0,0,0,0
14,1762968054452,65250,8141,211,3.31,0,0,0,0
15,1762968054502,65250,8142,226,0,0,0,0,0
16,1762968054619,65209,8130,214,0,0,0,0,0
17,1762968054768,65247,8142,235,0,0,0,0,0
18,1762968054818,65218,8132,211,0,0,0,0,0
19,1762968054852,65232,8136,215,0,0,0,0,0
20,1762968054935,65242,8142,205,3.31,0,0,0,0
21,1762968054986,65230,8140,219,0,0,0,0,0
22,1762968055035,65218,8134,231,0,0,0,0,0
23,1762968055102,65232,8126,221,0,0,0,0,0
24,1762968055153,65238,8149,208,0,0,0,0,0
25,1762968055201,65231,8135,218,0,0,0,0,0
26,1762968055268,65226,8132,207,0,0,0,0,0
27,1762968055336,65229,8129,224,0,0,0,0,0
28,1762968055401,65234,8148,210,32570,0,0,0,0
29,1762968055452,65238,8142,220,0,0,0,0,0
30,1762968055502,65226,8128,213,0,0,0,0,0
31,1762968055585,65241,8148,224,0,0,0,0,0
32,1762968055636,65227,8146,216,0,0,0,0,0
33,1762968055685,65232,8130,220,0,0,0,0,0
34,1762968055785,65242,8137,210,0,0,0,0,0
35,1762968055851,65236,8138,217,3.32,0,0,0,0
36,1762968055918,65223,8135,216,0,0,0,0,0
37,1762968055952,65233,8137,220,0,0,0,0,0
38,1762968056068,65243,8142,217,0,0,0,0,0
39,1762968056135,65221,8140,216,0,0,0,0,0
40,1762968056168,65230,8132,220,0,0,0,0,0
41,1762968056251,65232,8135,219,0,0,0,0,0
42,1762968056368,65229,8132,212,0,0,0,0,0
43,1762968056401,65237,8148,216,0,0,0,0,0
44,1762968056434,65240,8140,208,0,0,0,0,0
45,1762968056484,65234,8120,223,0,0,0,0,0
46,1762968056700,65236,8125,221,0,0,0,0,0
47,1762968056801,65221,8145,208,0,0,0,0,0
48,1762968056834,65234,8152,199,0,0,0,0,0
49,1762968056900,65222,8110,237,0,0,0,0,0
50,1762968056950,65221,8138,220,0,0,0,0,0
51,1762968057018,65235,8148,217,0,0,0,0,0
52,1762968057067,65242,8127,226,0,0,0,0,0
53,1762968057134,65226,8147,213,0,0,0,0,0
54,1762968057184,65226,8147,211,0,0,0,0,0
55,1762968057367,65217,8142,210,0,0,0,0,0
56,1762968057417,65232,8138,213,0,0,0,0,0
57,1762968057467,65236,8133,218,0,0,0,0,0
58,1762968057584,65226,8130,219,0,0,0,0,0
59,1762968057700,65231,8150,218,0,0,0,0,0
60,1762968057717,65237,8133,218,0,0,0,0,0
61,1762968057800,65221,8140,219,0,0,0,0,0
62,1762968057833,65233,8146,214,0,0,0,0,0
63,1762968057899,65239,8148,200,0,0,0,0,0
64,1762968057966,65240,8127,175,0,0,0,0,0
65,1762968058016,65208,8120,225,0,0,0,0,0
66,1762968058067,65224,8138,233,0,0,0,0,0
67,1762968058133,65272,8048,235,0,0,0,0,0
68,1762968058266,65207,8201,152,0,0,0,0,0
69,1762968058333,65248,8088,274,0,0,0,0,0
70,1762968058382,65243,8100,250,0,0,0,0,0
71,1762968058467,65249,8166,204,0,0,0,0,0
72,1762968058483,65258,8123,263,0,0,0,0,0
73,1762968058733,65237,8125,234,0,0,0,0,0
74,1762968058799,65240,8113,230,0,0,0,0,0
75,1762968058899,65232,8156,208,0,0,0,0,0
