index,date,SPEED_FL,SPEED_FR,SPEED_RL,SPEED_RR,5,6,7,8
0,1762968053571,0,0,0,0,0,0,0,0
1,1762968053703,0,0,0,0,0,0,0,0
2,1762968053786,0,0,0,0,0,0,0,0
3,1762968053886,0,0,0,0,0,0,0,0
4,1762968053986,0,0,0,0,0,0,0,0
5,1762968054102,0,0,0,0,0,0,0,0
6,1762968054219,0,0,0,0,0,0,0,0
7,1762968054369,0,0,0,0,0,0,0,0
8,1762968054436,0,0,0,0,0,0,0,0
9,1762968054553,0,0,0,0,0,0,0,0
10,1762968054719,0,0,0,0,0,0,0,0
11,1762968054886,0,0,0,0,0,0,0,0
12,1762968054986,0,0,0,0,0,0,0,0
13,1762968055086,0,0,0,0,0,0,0,0
14,1762968055201,0,0,0,0,0,0,0,0
15,1762968055318,0,0,0,0,0,0,0,0
16,1762968055435,0,0,0,0,0,0,0,0
17,1762968055569,0,0,0,0,0,0,0,0
18,1762968055751,0,0,0,0,0,0,0,0
19,1762968055868,0,0,0,0,0,0,0,0
20,1762968056085,0,0,0,0,0,0,0,0
21,1762968056201,0,0,0,0,0,0,0,0
22,1762968056351,0,0,0,0,0,0,0,0
23,1762968056535,0,0,0,0,0,0,0,0
24,1762968056651,0,0,0,0,0,0,0,0
25,1762968056767,0,0,0,0,0,0,0,0
26,1762968056867,0,0,0,0,0,0,0,0
27,1762968056984,0,0,0,0,0,0,0,0
28,1762968057084,0,0,0,0,0,0,0,0
29,1762968057200,0,0,0,0,0,0,0,0
30,1762968057283,0,0,0,0,0,0,0,0
31,1762968057400,0,0,0,0,0,0,0,0
32,1762968057533,0,0,0,0,0,0,0,0
33,1762968057850,0,0,0,0,0,0,0,0
34,1762968057966,0,0,0,0,0,0,0,0
35,1762968058067,0,0,0,0,0,0,0,0
36,1762968058283,0,0,0,0,0,0,0,0
37,1762968058432,0,0,0,0,0,0,0,0
38,1762968058832,0,0,0,0,0,0,0,0
39,1762968058932,0,0,0,0,0,0,0,0
40,1762968059049,0,0,0,0,0,0,0,0
41,1762968059166,0,0,0,0,0,0,0,0
42,1762968059282,0,0,0,0,0,0,0,0
43,1762968059398,0,0,0,0,0,0,0,0
44,1762968059615,0,0,0,0,0,0,0,0
45,1762968059748,0,0,0,0,0,0,0,0
46,1762968060514,0,0,0,0,0,0,0,0
47,1762968060697,0,0,0,0,0,0,0,0
48,1762968060831,0,0,0,0,0,0,0,0
49,1762968060931,0,0,0,0,0,0,0,0
50,1762968061030,0,0,0,0,0,0,0,0
51,1762968061131,0,0,0,0,0,0,0,0
52,1762968061264,0,0,0,0,0,0,0,0
53,1762968061364,0,0,0,0,0,0,0,0
54,1762968061497,0,0,0,0,0,0,0,0
55,1762968061596,0,0,0,0,0,0,0,0
56,1762968061747,0,0,0,0,0,0,0,0
57,1762968061797,0,0,0,0,0,0,0,0
58,1762968061913,0,0,0,0,0,0,0,0
59,1762968062246,0,0,0,0,0,0,0,0
60,1762968062346,0,0,0,0,0,0,0,0
61,1762968062463,0,0,0,0,0,0,0,0
62,1762968062579,0,0,0,0,0,0,0,0
63,1762968062679,0,0,0,0,0,0,0,0
64,1762968062779,0,0,0,0,0,0,0,0
65,1762968062912,0,0,0,0,0,0,0,0
66,1762968063012,0,0,0,0,0,0,0,0
67,1762968063129,0,0,0,0,0,0,0,0
68,1762968063229,0,0,0,0,0,0,0,0
69,1762968063362,0,0,0,0,0,0,0,0
70,1762968063461,0,0,0,0,0,0,0,0
71,1762968063578,0,0,0,0,0,0,0,0
72,1762968063694,0,0,0,0,0,0,0,0
73,1762968063795,0,0,0,0,0,0,0,0
74,1762968063894,0,0,0,0,0,0,0,0
75,1762968064012,0,0,0,0,0,0,0,0
76,1762968064111,0,0,0,0,0,0,0,0
77,1762968064244,0,0,0,0,0,0,0,0
78,1762968064344,0,0,0,0,0,0,0,0
79,1762968064462,0,0,0,0,0,0,0,0
80,1762968064562,0,0,0,0,0,0,0,0
81,1762968064660,0,0,0,0,0,0,0,0
82,1762968064777,0,0,0,0,0,0,0,0
83,1762968064877,0,0,0,0,0,0,0,0
84,1762968064993,0,0,0,0,0,0,0,0
85,1762968065111,0,0,0,0,0,0,0,0
86,1762968065227,0,0,0,0,0,0,0,0
87,1762968065343,0,0,0,0,0,0,0,0
88,1762968065544,0,0,0,0,0,0,0,0
89,1762968065661,0,0,0,0,0,0,0,0
90,1762968065777,0,0,0,0,0,0,0,0
91,1762968065993,0,0,0,0,0,0,0,0
92,1762968066095,0,0,0,0,0,0,0,0
93,1762968066209,0,0,0,0,0,0,0,0
94,1762968066426,0,0,0,0,0,0,0,0
95,1762968066543,0,0,0,0,0,0,0,0
96,1762968066643,0,0,0,0,0,0,0,0
97,1762968066775,0,0,0,0,0,0,0,0
98,1762968066876,0,0,0,0,0,0,0,0
99,1762968066976,0,0,0,0,0,0,0,0
100,1762968067075,0,0,0,0,0,0,0,0
101,1762968067192,0,0,0,0,0,0,0,0
102,1762968067308,0,0,0,0,0,0,0,0
103,1762968067424,0,0,0,0,0,0,0,0
104,1762968067524,0,0,0,0,0,0,0,0
105,1762968067641,0,0,0,0,0,0,0,0
106,1762968067758,0,0,0,0,0,0,0,0
107,1762968067858,0,0,0,0,0,0,0,0
108,1762968067991,0,0,0,0,0,0,0,0
109,1762968068075,0,0,0,0,0,0,0,0
110,1762968068191,0,0,0,0,0,0,0,0
111,1762968068309,0,0,0,0,0,0,0,0
112,1762968068408,0,0,0,0,0,0,0,0
113,1762968068525,0,0,0,0,0,0,0,0
114,1762968068641,0,0,0,0,0,0,0,0
115,1762968068740,0,0,0,0,0,0,0,0
116,1762968068841,0,0,0,0,0,0,0,0
117,1762968068957,0,0,0,0,0,0,0,0
118,1762968069175,0,0,0,0,0,0,0,0
119,1762968069290,0,0,0,0,0,0,0,0
120,1762968069390,0,0,0,0,0,0,0,0
121,1762968069508,0,0,0,0,0,0,0,0
122,1762968069624,0,0,0,0,0,0,0,0
123,1762968069841,0,0,0,0,0,0,0,0
124,1762968070057,0,0,0,0,0,0,0,0
125,1762968070156,0,0,0,0,0,0,0,0
126,1762968070273,0,0,0,0,0,0,0,0
127,1762968070391,0,0,0,0,0,0,0,0
128,1762968070489,0,0,0,0,0,0,0,0
129,1762968070607,0,0,0,0,0,0,0,0
130,1762968070723,0,0,0,0,0,0,0,0
131,1762968070823,0,0,0,0,0,0,0,0
132,1762968070939,0,0,0,0,0,0,0,0
133,1762968071039,0,0,0,0,0,0,0,0
134,1762968071155,0,0,0,0,0,0,0,0
135,1762968071272,0,0,0,0,0,0,0,0
136,1762968071389,0,0,0,0,0,0,0,0
137,1762968071489,0,0,0,0,0,0,0,0
138,1762968071589,0,0,0,0,0,0,0,0
139,1762968071705,0,0,0,0,0,0,0,0
140,1762968071805,0,0,0,0,0,0,0,0
141,1762968071921,0,0,0,0,0,0,0,0
142,1762968072038,0,0,0,0,0,0,0,0
143,1762968072138,0,0,0,0,0,0,0,0
