index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1768830687939,3.3,3.33,3.33,3.26,0,0,0,0
1,1768830688173,3.3,3.33,3.33,3.26,0,0,0,0
2,1768830688456,3.3,3.33,3.33,3.26,0,0,0,0
3,1768830688789,3.3,3.33,3.33,3.26,0,0,0,0
4,1768830689007,3.3,3.33,3.33,3.26,0,0,0,0
5,1768830689489,3.3,3.33,3.33,3.26,0,0,0,0
6,1768830689723,3.3,3.33,3.33,3.26,0,0,0,0
7,1768830690005,3.3,3.33,3.33,3.26,0,0,0,0
8,1768830690556,3.3,3.33,3.33,3.26,0,0,0,0
9,1768830690706,3.3,3.33,3.33,3.26,0,0,0,0
10,1768830691372,3.3,3.33,3.33,3.26,0,0,0,0
11,1768830691740,3.3,3.33,3.33,3.26,0,0,0,0
12,1768830692139,3.3,3.33,3.33,3.26,0,0,0,0
13,1768830692639,3.3,3.33,3.33,3.26,0,0,0,0
14,1768830692955,3.3,3.33,3.33,3.26,0,0,0,0
15,1768830693222,3.3,3.33,3.33,3.26,0,0,0,0
16,1768830693489,3.3,3.33,3.33,3.26,0,0,0,0
17,1768830694155,3.3,3.33,3.33,3.26,0,0,0,0
18,1768830694505,3.3,3.33,3.33,3.26,0,0,0,0
19,1768830694806,3.3,3.33,3.33,3.26,0,0,0,0
20,1768830695004,3.3,3.33,3.33,3.26,0,0,0,0
21,1768830695489,3.3,3.33,3.33,3.26,0,0,0,0
22,1768830696039,3.3,3.33,3.33,3.26,0,0,0,0
23,1768830696156,3.3,3.33,3.33,3.26,0,0,0,0
24,1768830696705,3.3,3.33,3.33,3.26,0,0,0,0
25,1768830697388,3.3,3.33,3.33,3.26,0,0,0,0
26,1768830697721,3.3,3.33,3.33,3.26,0,0,0,0
27,1768830698023,3.3,3.33,3.33,3.26,0,0,0,0
28,1768830698257,3.3,3.33,3.33,3.26,0,0,0,0
29,1768830698722,3.3,3.33,3.33,3.26,0,0,0,0
30,1768830698890,3.3,3.33,3.33,3.26,0,0,0,0
31,1768830699424,3.3,3.33,3.33,3.26,0,0,0,0
32,1768830699739,3.3,3.33,3.33,3.26,0,0,0,0
33,1768830699972,3.3,3.33,3.33,3.26,0,0,0,0
34,1768830700257,3.3,3.33,3.33,3.26,0,0,0,0
35,1768830700556,3.3,3.33,3.33,3.26,0,0,0,0
36,1768830700773,3.3,3.33,3.33,3.26,0,0,0,0
37,1768830701073,3.3,3.33,3.33,3.26,0,0,0,0
38,1768830701089,3.3,3.33,3.33,3.26,0,0,0,0
39,1768830701406,3.3,3.33,3.33,3.26,0,0,0,0
40,1768830701656,3.3,3.33,3.33,3.26,0,0,0,0
41,1768830702239,3.3,3.33,3.33,3.26,0,0,0,0
42,1768830702640,3.3,3.33,3.33,3.26,0,0,0,0
43,1768830703206,3.3,3.33,3.33,3.26,0,0,0,0
44,1768830703322,3.3,3.33,3.33,3.26,0,0,0,0
45,1768830703805,3.3,3.33,3.33,3.26,0,0,0,0
46,1768830704408,3.3,3.33,3.33,3.26,0,0,0,0
47,1768830704723,3.3,3.33,3.33,3.26,0,0,0,0
48,1768830705056,3.3,3.33,3.33,3.26,0,0,0,0
49,1768830705371,3.3,3.33,3.33,3.26,0,0,0,0
50,1768830705623,3.3,3.33,3.33,3.26,0,0,0,0
51,1768830705972,3.3,3.33,3.33,3.26,0,0,0,0
52,1768830706707,3.3,3.33,3.33,3.26,0,0,0,0
53,1768830706822,3.3,3.33,3.33,3.26,0,0,0,0
54,1768830707389,3.3,3.33,3.33,3.26,0,0,0,0
55,1768830708440,3.3,3.33,3.33,3.26,0,0,0,0
56,1768830708773,3.3,3.33,3.33,3.26,0,0,0,0
57,1768830708988,3.3,3.33,3.33,3.26,0,0,0,0
58,1768830709054,3.3,3.33,3.33,3.26,0,0,0,0
59,1768830709321,3.3,3.33,3.33,3.26,0,0,0,0
60,1768830709673,3.3,3.33,3.33,3.26,0,0,0,0
61,1768830709924,3.3,3.33,3.33,3.26,0,0,0,0
62,1768830710190,3.3,3.33,3.33,3.26,0,0,0,0
63,1768830710556,3.3,3.33,3.33,3.26,0,0,0,0
64,1768830710756,3.3,3.33,3.33,3.26,0,0,0,0
65,1768830711023,3.3,3.33,3.33,3.26,0,0,0,0
66,1768830711390,3.3,3.33,3.33,3.26,0,0,0,0
67,1768830712107,3.3,3.33,3.33,3.26,0,0,0,0
68,1768830712373,3.3,3.33,3.33,3.26,0,0,0,0
69,1768830712623,3.3,3.33,3.33,3.26,0,0,0,0
70,1768830712639,3.3,3.33,3.33,3.26,0,0,0,0
71,1768830712954,3.3,3.33,3.33,3.26,0,0,0,0
72,1768830713206,3.3,3.33,3.33,3.26,0,0,0,0
73,1768830713472,3.3,3.33,3.33,3.26,0,0,0,0
74,1768830713756,3.3,3.33,3.33,3.26,0,0,0,0
75,1768830713972,3.3,3.33,3.33,3.26,0,0,0,0
76,1768830714256,3.3,3.33,3.33,3.26,0,0,0,0
77,1768830714688,3.3,3.33,3.33,3.26,0,0,0,0
78,1768830715222,3.3,3.33,3.33,3.26,0,0,0,0
79,1768830715323,3.3,3.33,3.33,3.26,0,0,0,0
80,1768830715623,3.3,3.33,3.33,3.26,0,0,0,0
81,1768830715923,3.3,3.33,3.33,3.26,0,0,0,0
82,1768830716857,3.3,3.33,3.33,3.26,0,0,0,0
83,1768830717189,3.3,3.33,3.33,3.26,0,0,0,0
84,1768830717473,3.3,3.33,3.33,3.26,0,0,0,0
85,1768830717723,3.3,3.33,3.33,3.26,0,0,0,0
86,1768830718206,3.3,3.33,3.33,3.26,0,0,0,0
87,1768830718440,3.3,3.33,3.33,3.26,0,0,0,0
88,1768830718756,3.3,3.33,3.33,3.26,0,0,0,0
89,1768830719273,3.3,3.33,3.33,3.26,0,0,0,0
90,1768830719423,3.3,3.33,3.33,3.26,0,0,0,0
91,1768830720072,3.3,3.33,3.33,3.26,0,0,0,0
92,1768830720372,3.3,3.33,3.33,3.26,0,0,0,0
93,1768830720654,3.3,3.33,3.33,3.26,0,0,0,0
94,1768830720888,3.3,3.33,3.33,3.26,0,0,0,0
95,1768830721388,3.3,3.33,3.33,3.26,0,0,0,0
96,1768830721588,3.3,3.33,3.33,3.26,0,0,0,0
97,1768830721907,3.3,3.33,3.33,3.26,0,0,0,0
98,1768830722388,3.3,3.33,3.33,3.26,0,0,0,0
99,1768830722971,3.3,3.33,3.33,3.26,0,0,0,0
100,1768830723205,3.3,3.33,3.33,3.26,0,0,0,0
101,1768830723622,3.3,3.33,3.33,3.26,0,0,0,0
102,1768830724038,3.3,3.33,3.33,3.26,0,0,0,0
103,1768830724505,3.3,3.33,3.33,3.26,0,0,0,0
104,1768830724822,3.3,3.33,3.33,3.26,0,0,0,0
105,1768830725054,3.3,3.33,3.33,3.26,0,0,0,0
106,1768830725305,3.3,3.33,3.33,3.26,0,0,0,0
107,1768830726039,3.3,3.33,3.33,3.26,0,0,0,0
108,1768830726373,3.3,3.33,3.33,3.26,0,0,0,0
109,1768830726622,3.3,3.33,3.33,3.26,0,0,0,0
110,1768830726871,3.3,3.33,3.33,3.26,0,0,0,0
111,1768830727221,3.3,3.33,3.33,3.26,0,0,0,0
112,1768830727455,3.3,3.33,3.33,3.26,0,0,0,0
113,1768830727722,3.3,3.33,3.33,3.26,0,0,0,0
114,1768830728055,3.3,3.33,3.33,3.26,0,0,0,0
115,1768830728321,3.3,3.33,3.33,3.26,0,0,0,0
116,1768830728573,3.3,3.33,3.33,3.26,0,0,0,0
117,1768830728905,3.3,3.33,3.33,3.26,0,0,0,0
118,1768830729322,3.3,3.33,3.33,3.26,0,0,0,0
119,1768830729621,3.3,3.33,3.33,3.26,0,0,0,0
120,1768830729871,3.3,3.33,3.33,3.26,0,0,0,0
121,1768830730104,3.3,3.33,3.33,3.26,0,0,0,0
122,1768830730572,3.3,3.33,3.33,3.26,0,0,0,0
123,1768830731157,3.3,3.33,3.33,3.26,0,0,0,0
124,1768830731289,3.3,3.33,3.33,3.26,0,0,0,0
125,1768830731788,3.3,3.33,3.33,3.26,0,0,0,0
126,1768830732122,3.3,3.33,3.33,3.26,0,0,0,0
127,1768830732638,3.3,3.33,3.33,3.26,0,0,0,0
128,1768830733055,3.3,3.33,3.33,3.26,0,0,0,0
129,1768830733340,3.3,3.33,3.33,3.26,0,0,0,0
130,1768830733572,3.3,3.33,3.33,3.26,0,0,0,0
131,1768830734138,3.3,3.33,3.33,3.26,0,0,0,0
132,1768830734390,3.3,3.33,3.33,3.26,0,0,0,0
133,1768830734655,3.3,3.33,3.33,3.26,0,0,0,0
134,1768830734988,3.3,3.33,3.33,3.26,0,0,0,0
135,1768830735490,3.3,3.33,3.33,3.26,0,0,0,0
136,1768830735873,3.3,3.33,3.33,3.26,0,0,0,0
137,1768830736372,3.3,3.33,3.33,3.26,0,0,0,0
138,1768830736889,3.3,3.33,3.33,3.26,0,0,0,0
139,1768830737172,3.3,3.33,3.33,3.26,0,0,0,0
140,1768830737521,3.3,3.33,3.33,3.26,0,0,0,0
141,1768830737755,3.3,3.33,3.33,3.26,0,0,0,0
142,1768830738023,3.3,3.33,3.33,3.26,0,0,0,0
143,1768830738472,3.3,3.33,3.33,3.26,0,0,0,0
144,1768830738922,3.3,3.33,3.33,3.26,0,0,0,0
145,1768830739189,3.3,3.33,3.33,3.26,0,0,0,0
146,1768830739455,3.3,3.33,3.33,3.26,0,0,0,0
147,1768830739905,3.3,3.33,3.33,3.26,0,0,0,0
148,1768830740088,3.3,3.33,3.33,3.26,0,0,0,0
149,1768830740805,3.3,3.33,3.33,3.26,0,0,0,0
150,1768830741104,3.3,3.33,3.33,3.26,0,0,0,0
151,1768830741455,3.3,3.33,3.33,3.26,0,0,0,0
152,1768830741689,3.3,3.33,3.33,3.26,0,0,0,0
153,1768830741989,3.3,3.33,3.33,3.26,0,0,0,0
154,1768830742355,3.3,3.33,3.33,3.26,0,0,0,0
155,1768830742588,3.3,3.33,3.33,3.26,0,0,0,0
156,1768830742889,3.3,3.33,3.33,3.26,0,0,0,0
157,1768830743237,3.3,3.33,3.33,3.26,0,0,0,0
158,1768830743488,3.3,3.33,3.33,3.26,0,0,0,0
159,1768830743789,3.3,3.33,3.33,3.26,0,0,0,0
160,1768830744138,3.3,3.33,3.33,3.26,0,0,0,0
161,1768830744922,3.3,3.33,3.33,3.26,0,0,0,0
162,1768830745188,3.3,3.33,3.33,3.26,0,0,0,0
163,1768830745489,3.3,3.33,3.33,3.26,0,0,0,0
164,1768830746088,3.3,3.33,3.33,3.26,0,0,0,0
165,1768830746656,3.3,3.33,3.33,3.26,0,0,0,0
166,1768830746923,3.3,3.33,3.33,3.26,0,0,0,0
167,1768830747171,3.3,3.33,3.33,3.26,0,0,0,0
168,1768830747205,3.3,3.33,3.33,3.26,0,0,0,0
169,1768830747506,3.3,3.33,3.33,3.26,0,0,0,0
170,1768830747788,3.3,3.33,3.33,3.26,0,0,0,0
171,1768830748272,3.3,3.33,3.33,3.26,0,0,0,0
172,1768830748772,3.3,3.33,3.33,3.26,0,0,0,0
173,1768830749354,3.3,3.33,3.33,3.26,0,0,0,0
174,1768830749472,3.3,3.33,3.33,3.26,0,0,0,0
175,1768830749988,3.3,3.33,3.33,3.26,0,0,0,0
176,1768830750272,3.3,3.33,3.33,3.26,0,0,0,0
177,1768830750504,3.3,3.33,3.33,3.26,0,0,0,0
178,1768830750838,3.3,3.33,3.33,3.26,0,0,0,0
179,1768830751555,3.3,3.33,3.33,3.26,0,0,0,0
180,1768830751971,3.3,3.33,3.33,3.26,0,0,0,0
181,1768830752321,3.3,3.33,3.33,3.26,0,0,0,0
182,1768830752571,3.3,3.33,3.33,3.26,0,0,0,0
183,1768830752888,3.3,3.33,3.33,3.26,0,0,0,0
184,1768830753121,3.3,3.33,3.33,3.26,0,0,0,0
185,1768830753388,3.3,3.33,3.33,3.26,0,0,0,0
186,1768830753721,3.3,3.33,3.33,3.26,0,0,0,0
187,1768830754005,3.3,3.33,3.33,3.26,0,0,0,0
188,1768830754471,3.3,3.33,3.33,3.26,0,0,0,0
189,1768830754721,3.3,3.33,3.33,3.26,0,0,0,0
190,1768830754972,3.3,3.33,3.33,3.26,0,0,0,0
191,1768830755538,3.3,3.33,3.33,3.26,0,0,0,0
192,1768830755823,3.3,3.33,3.33,3.26,0,0,0,0
193,1768830756138,3.3,3.33,3.33,3.26,0,0,0,0
194,1768830756371,3.3,3.33,3.33,3.26,0,0,0,0
195,1768830756655,3.3,3.33,3.33,3.26,0,0,0,0
196,1768830756988,3.3,3.33,3.33,3.26,0,0,0,0
197,1768830757238,3.3,3.33,3.33,3.26,0,0,0,0
198,1768830757721,3.3,3.33,3.33,3.26,0,0,0,0
199,1768830757954,3.3,3.33,3.33,3.26,0,0,0,0
200,1768830758205,3.3,3.33,3.33,3.26,0,0,0,0
201,1768830758555,3.3,3.33,3.33,3.26,0,0,0,0
202,1768830759038,3.3,3.33,3.33,3.26,0,0,0,0
203,1768830759388,3.3,3.33,3.33,3.26,0,0,0,0
204,1768830759672,3.3,3.33,3.33,3.26,0,0,0,0
205,1768830759872,3.3,3.33,3.33,3.26,0,0,0,0
206,1768830760190,3.3,3.33,3.33,3.26,0,0,0,0
207,1768830760457,3.3,3.33,3.33,3.26,0,0,0,0
208,1768830760905,3.3,3.33,3.33,3.26,0,0,0,0
209,1768830761156,3.3,3.33,3.33,3.26,0,0,0,0
210,1768830761406,3.3,3.33,3.33,3.26,0,0,0,0
211,1768830761740,3.3,3.33,3.33,3.26,0,0,0,0
212,1768830762240,3.3,3.33,3.33,3.26,0,0,0,0
213,1768830762557,3.3,3.33,3.33,3.26,0,0,0,0
214,1768830762822,3.3,3.33,3.33,3.26,0,0,0,0
215,1768830763056,3.3,3.33,3.33,3.26,0,0,0,0
216,1768830763389,3.3,3.33,3.33,3.26,0,0,0,0
217,1768830763657,3.3,3.33,3.33,3.26,0,0,0,0
218,1768830763906,3.3,3.33,3.33,3.26,0,0,0,0
219,1768830764241,3.3,3.33,3.33,3.26,0,0,0,0
220,1768830764321,3.3,3.33,3.33,3.26,0,0,0,0
221,1768830764612,3.3,3.33,3.33,3.26,0,0,0,0
222,1768830765057,3.3,3.33,3.33,3.26,0,0,0,0
223,1768830765116,3.3,3.33,3.33,3.26,0,0,0,0
224,1768830765224,3.3,3.33,3.33,3.26,0,0,0,0
225,1768830765658,3.3,3.33,3.33,3.26,0,0,0,0
226,1768830765706,3.3,3.33,3.33,3.26,0,0,0,0
227,1768830765974,3.3,3.33,3.33,3.26,0,0,0,0
228,1768830766305,3.3,3.33,3.33,3.26,0,0,0,0
229,1768830766546,3.3,3.33,3.33,3.26,0,0,0,0
230,1768830766617,3.3,3.33,3.33,3.26,0,0,0,0
231,1768830767173,3.3,3.33,3.33,3.26,0,0,0,0
232,1768830767693,3.3,3.33,3.33,3.26,0,0,0,0
233,1768830768023,3.3,3.33,3.33,3.26,0,0,0,0
234,1768830768690,3.3,3.33,3.33,3.26,0,0,0,0
235,1768830768956,3.3,3.33,3.33,3.26,0,0,0,0
236,1768830769543,3.3,3.33,3.33,3.26,0,0,0,0
237,1768830769790,3.3,3.33,3.33,3.26,0,0,0,0
238,1768830770393,3.3,3.33,3.33,3.26,0,0,0,0
239,1768830770658,3.3,3.33,3.33,3.26,0,0,0,0
240,1768830771388,3.3,3.33,3.33,3.26,0,0,0,0
241,1768830771673,3.3,3.33,3.33,3.26,0,0,0,0
242,1768830772221,3.3,3.33,3.33,3.26,0,0,0,0
243,1768830772820,3.3,3.33,3.33,3.26,0,0,0,0
244,1768830773105,3.3,3.33,3.33,3.26,0,0,0,0
245,1768830773372,3.3,3.33,3.33,3.26,0,0,0,0
246,1768830773687,3.3,3.33,3.33,3.26,0,0,0,0
247,1768830773921,3.3,3.33,3.33,3.26,0,0,0,0
248,1768830774655,3.3,3.33,3.33,3.26,0,0,0,0
249,1768830774956,3.3,3.33,3.33,3.26,0,0,0,0
250,1768830775506,3.3,3.33,3.33,3.26,0,0,0,0
251,1768830775654,3.3,3.33,3.33,3.26,0,0,0,0
252,1768830776238,3.3,3.33,3.33,3.26,0,0,0,0
253,1768830776754,3.3,3.33,3.33,3.26,0,0,0,0
254,1768830777171,3.3,3.33,3.33,3.26,0,0,0,0
255,1768830777705,3.3,3.33,3.33,3.26,0,0,0,0
256,1768830778055,3.3,3.33,3.33,3.26,0,0,0,0
257,1768830778388,3.3,3.33,3.33,3.26,0,0,0,0
258,1768830778604,3.3,3.33,3.33,3.26,0,0,0,0
259,1768830778788,3.3,3.33,3.33,3.26,0,0,0,0
260,1768830779837,3.3,3.33,3.33,3.26,0,0,0,0
261,1768830780255,3.3,3.33,3.33,3.26,0,0,0,0
262,1768830780539,3.3,3.33,3.33,3.26,0,0,0,0
263,1768830781571,3.3,3.33,3.33,3.26,0,0,0,0
264,1768830782022,3.3,3.33,3.33,3.26,0,0,0,0
265,1768830782155,3.3,3.33,3.33,3.26,0,0,0,0
266,1768830782490,3.3,3.33,3.33,3.26,0,0,0,0
267,1768830835238,3.3,3.33,3.33,3.27,0,0,0,0
268,1768830835487,3.3,3.33,3.33,3.27,0,0,0,0
269,1768830835720,3.3,3.33,3.33,3.27,0,0,0,0
270,1768830835987,3.3,3.33,3.33,3.27,0,0,0,0
271,1768830836220,3.3,3.33,3.33,3.27,0,0,0,0
272,1768830836504,3.3,3.33,3.33,3.27,0,0,0,0
273,1768830836753,3.3,3.33,3.33,3.27,0,0,0,0
274,1768830836987,3.3,3.33,3.33,3.27,0,0,0,0
275,1768830837287,3.3,3.33,3.33,3.27,0,0,0,0
276,1768830837488,3.3,3.33,3.33,3.27,0,0,0,0
277,1768830838606,3.3,3.33,3.33,3.27,0,0,0,0
278,1768830838855,3.3,3.33,3.33,3.27,0,0,0,0
279,1768830839139,3.3,3.33,3.33,3.27,0,0,0,0
280,1768830839355,3.3,3.33,3.33,3.27,0,0,0,0
281,1768830839939,3.3,3.33,3.33,3.27,0,0,0,0
282,1768830840204,3.3,3.33,3.33,3.27,0,0,0,0
283,1768830840887,3.3,3.33,3.33,3.27,0,0,0,0
284,1768830841453,3.3,3.33,3.33,3.27,0,0,0,0
285,1768830841688,3.3,3.33,3.33,3.27,0,0,0,0
286,1768830842004,3.3,3.33,3.33,3.27,0,0,0,0
287,1768830842689,3.3,3.33,3.33,3.27,0,0,0,0
288,1768830843072,3.3,3.33,3.33,3.27,0,0,0,0
289,1768830843739,3.3,3.33,3.33,3.27,0,0,0,0
290,1768830843773,3.3,3.33,3.33,3.27,0,0,0,0
291,1768830844039,3.3,3.33,3.33,3.27,0,0,0,0
292,1768830844356,3.3,3.33,3.33,3.27,0,0,0,0
293,1768830844588,3.3,3.33,3.33,3.27,0,0,0,0
294,1768830844890,3.3,3.33,3.33,3.27,0,0,0,0
295,1768830845403,3.3,3.33,3.33,3.27,0,0,0,0
296,1768830845738,3.3,3.33,3.33,3.27,0,0,0,0
297,1768830846270,3.3,3.33,3.33,3.27,0,0,0,0
298,1768830846838,3.3,3.33,3.33,3.27,0,0,0,0
299,1768830847138,3.3,3.33,3.33,3.27,0,0,0,0
300,1768830847453,3.3,3.33,3.33,3.27,0,0,0,0
301,1768830847954,3.3,3.33,3.33,3.27,0,0,0,0
302,1768830848288,3.3,3.33,3.33,3.27,0,0,0,0
303,1768830848555,3.3,3.33,3.33,3.27,0,0,0,0
304,1768830849054,3.3,3.33,3.33,3.27,0,0,0,0
305,1768830849171,3.3,3.33,3.33,3.27,0,0,0,0
306,1768830849670,3.3,3.33,3.33,3.27,0,0,0,0
307,1768830850003,3.3,3.33,3.33,3.27,0,0,0,0
308,1768830850271,3.3,3.33,3.33,3.27,0,0,0,0
309,1768830850520,3.3,3.33,3.33,3.27,0,0,0,0
310,1768830850870,3.3,3.33,3.33,3.27,0,0,0,0
311,1768830851137,3.3,3.33,3.33,3.27,0,0,0,0
312,1768830851387,3.3,3.33,3.33,3.27,0,0,0,0
313,1768830851705,3.3,3.33,3.33,3.27,0,0,0,0
314,1768830851739,3.3,3.33,3.33,3.27,0,0,0,0
315,1768830851970,3.3,3.33,3.33,3.27,0,0,0,0
