index,date,SPEED_AVERAGE,STEERING_WHEEL,THROTTLE,BRAKE,1,2,3,4
0,1768830687722,0,0,0,0,0,0,0,0
1,1768830688106,0,0,0,0,0,0,0,0
2,1768830688555,0,0,0,0,0,0,0,0
3,1768830688939,0,0,0,0,0,0,0,0
4,1768830689306,0,0,0,0,0,0,0,0
5,1768830689656,0,0,0,0,0,0,0,0
6,1768830690123,0,0,0,0,0,0,0,0
7,1768830690489,0,0,0,0,0,0,0,0
8,1768830690972,0,0,0,0,0,0,0,0
9,1768830691306,0,0,0,0,0,0,0,0
10,1768830692271,0,0,0,0,0,0,0,0
11,1768830692639,0,0,0,0,0,0,0,0
12,1768830693088,0,0,0,0,0,0,0,0
13,1768830693456,0,0,0,0,0,0,0,0
14,1768830693804,0,0,0,0,0,0,0,0
15,1768830693906,0,0,0,0,0,0,0,0
16,1768830694222,0,0,0,0,0,0,0,0
17,1768830694640,0,0,0,0,0,0,0,0
18,1768830695004,0,0,0,0,0,0,0,0
19,1768830695340,0,0,0,0,0,0,0,0
20,1768830695805,0,0,0,0,0,0,0,0
21,1768830696289,0,0,0,0,0,0,0,0
22,1768830696673,0,0,0,0,0,0,0,0
23,1768830697121,0,0,0,0,0,0,0,0
24,1768830697455,0,0,0,0,0,0,0,0
25,1768830697872,0,0,0,0,0,0,0,0
26,1768830698239,0,0,0,0,0,0,0,0
27,1768830698624,0,0,0,0,0,0,0,0
28,1768830699090,0,0,0,0,0,0,0,0
29,1768830699539,0,0,0,0,0,0,0,0
30,1768830699923,0,0,0,0,0,0,0,0
31,1768830700389,0,0,0,0,0,0,0,0
32,1768830700739,0,0,0,0,0,0,0,0
33,1768830701206,0,0,0,0,0,0,0,0
34,1768830701591,0,0,0,0,0,0,0,0
35,1768830701955,0,0,0,0,0,0,0,0
36,1768830702057,0,0,0,0,0,0,0,0
37,1768830702523,0,0,0,0,0,0,0,0
38,1768830702972,0,0,0,0,0,0,0,0
39,1768830703471,0,0,0,0,0,0,0,0
40,1768830703788,0,0,0,0,0,0,0,0
41,1768830704272,0,0,0,0,0,0,0,0
42,1768830704672,0,0,0,0,0,0,0,0
43,1768830705189,0,0,0,0,0,0,0,0
44,1768830705590,0,0,0,0,0,0,0,0
45,1768830706073,0,0,0,0,0,0,0,0
46,1768830706490,0,0,0,0,0,0,0,0
47,1768830706939,0,0,0,0,0,0,0,0
48,1768830707339,0,0,0,0,0,0,0,0
49,1768830707806,0,0,0,0,0,0,0,0
50,1768830708206,0,0,0,0,0,0,0,0
51,1768830708573,0,0,0,0,0,0,0,0
52,1768830708954,0,0,0,0,0,0,0,0
53,1768830709423,0,0,0,0,0,0,0,0
54,1768830709472,0,0,0,0,0,0,0,0
