timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_RPM,LEFT_MOTOR_TORQUE,LEFT_MOTOR_CURRENT,RIGHT_MOTOR_RPM,RIGHT_MOTOR_TORQUE,RIGHT_MOTOR_CURRENT,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,FRONT_LEFT_WHEEL_SPEED,FRONT_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,ELETROBUILD_TEMPERATURE,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,BMS_ERROR_FLAG_STACK,BMS_ERROR_FLAG_CELL,BMS_ERROR_FLAG_VOLTAGE,LTC_ERROR_SLAVE_1,LTC_ERROR_SLAVE_2,LTC_ERROR_SLAVE_3,LTC_ERROR_SLAVE_4,LTC_ERROR_SLAVE_5,LTC_ERROR_SLAVE_6,LTC_ERROR_OVERVOLTAGE,LTC_ERROR_UNDERVOLTAGE,GLV,t,VEHICLE_SPEED,VEHICLE_WHEEL_SPEED,TOTAL_VOLTAGE,HODOMETRO
1768831190000,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058072,-0.102968,1.023336,1.33,-0.6300000000000001,0.21000000000000002,22.5859375,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.3,3.3,3.3,3.3,3.31,3.3,3.31,3.31,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,169997,0.0,0.0,79.23,122.09365972222233
1768831190017,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058072,-0.102968,1.023336,1.33,-0.6300000000000001,0.21000000000000002,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.3,3.3,3.3,3.3,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170014,0.0,0.0,79.28,122.09365972222233
1768831190099,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04026,-0.10467599999999999,1.01748,1.33,-0.6300000000000001,0.21000000000000002,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.3,3.3,3.3,3.3,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170096,0.0,0.0,79.28,122.09365972222233
1768831190116,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04026,-0.10467599999999999,1.01748,1.2600000000000002,-0.7000000000000001,0.14,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.3,3.3,3.3,3.3,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170113,0.0,0.0,79.28,122.09365972222233
1768831190133,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04026,-0.10467599999999999,1.01748,1.2600000000000002,-0.7000000000000001,0.14,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.31,3.32,3.32,3.31,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170130,0.0,0.0,79.34000000000002,122.09365972222233
1768831190151,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04026,-0.10467599999999999,1.01748,1.1900000000000002,-0.7000000000000001,0.14,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.31,3.32,3.32,3.31,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170148,0.0,0.0,79.34000000000002,122.09365972222233
1768831190185,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04026,-0.10467599999999999,1.01748,1.1900000000000002,-0.7000000000000001,0.14,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.31,3.32,3.32,3.31,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170182,0.0,0.0,79.34000000000002,122.09365972222233
1768831190201,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040992,-0.10577399999999999,1.017968,1.1900000000000002,-0.7000000000000001,0.14,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.31,3.32,3.32,3.31,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170198,0.0,0.0,79.34000000000002,122.09365972222233
1768831190233,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040992,-0.10577399999999999,1.017968,1.1900000000000002,-0.7000000000000001,0.14,22.640625,3.27,3.3,3.29,3.25,3.3,3.29,3.3,3.32,3.31,3.31,3.31,3.31,3.31,3.32,3.32,3.31,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170230,0.0,0.0,79.34000000000002,122.09365972222233
1768831190250,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040992,-0.10577399999999999,1.017968,1.1900000000000002,-0.7000000000000001,0.14,22.640625,3.29,3.31,3.31,3.27,3.31,3.31,3.32,3.32,3.31,3.31,3.31,3.31,3.31,3.32,3.32,3.31,3.32,3.32,3.32,3.32,3.31,3.31,3.31,3.31,3.32,3.25,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,170247,0.0,0.0,79.46000000000001,122.09365972222233
