index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
0,1768830687689,-12,17,1,0,0,0,0,0
1,1768830687838,-11,19,4,0,0,0,0,0
2,1768830688039,-8,16,1,0,0,0,0,0
3,1768830688106,-10,17,1,0,0,0,0,0
4,1768830688422,-10,18,1,0,0,0,0,0
5,1768830688656,-9,18,1,0,0,0,0,0
6,1768830688873,-11,20,3,0,0,0,0,0
7,1768830689222,-10,18,2,0,0,0,0,0
8,1768830689289,-10,18,1,0,0,0,0,0
9,1768830689407,-10,18,2,0,0,0,0,0
10,1768830689639,-9,17,0,0,0,0,0,0
11,1768830689957,-10,16,3,0,0,0,0,0
12,1768830690206,-9,17,1,0,0,0,0,0
13,1768830690423,-9,18,1,0,0,0,0,0
14,1768830690906,-10,16,1,0,0,0,0,0
15,1768830691256,-11,17,2,0,0,0,0,0
16,1768830691540,-10,16,2,0,0,0,0,0
17,1768830691706,-10,19,1,0,0,0,0,0
18,1768830692073,-10,18,0,0,0,0,0,0
19,1768830692324,-10,18,2,0,0,0,0,0
20,1768830692588,-10,17,1,0,0,0,0,0
21,1768830692838,-11,18,2,0,0,0,0,0
22,1768830692938,-10,18,2,0,0,0,0,0
23,1768830693421,-11,18,2,0,0,0,0,0
24,1768830693738,-8,17,3,0,0,0,0,0
25,1768830694105,-11,18,1,0,0,0,0,0
26,1768830694472,-10,17,1,0,0,0,0,0
27,1768830694722,-9,17,1,0,0,0,0,0
28,1768830694939,-10,17,1,0,0,0,0,0
29,1768830695289,-9,18,2,0,0,0,0,0
30,1768830695422,-10,17,2,0,0,0,0,0
31,1768830695739,-10,19,0,0,0,0,0,0
32,1768830695906,-8,18,2,0,0,0,0,0
33,1768830696123,-10,17,0,0,0,0,0,0
34,1768830696438,-8,18,0,0,0,0,0,0
35,1768830696538,-11,19,2,0,0,0,0,0
36,1768830696621,-10,19,1,0,0,0,0,0
37,1768830696955,-11,17,2,0,0,0,0,0
38,1768830697256,-11,17,2,0,0,0,0,0
39,1768830697356,-10,19,1,0,0,0,0,0
40,1768830697673,-9,18,2,0,0,0,0,0
41,1768830697907,-10,17,2,0,0,0,0,0
42,1768830697989,-9,18,1,0,0,0,0,0
43,1768830698206,-11,17,1,0,0,0,0,0
44,1768830698573,-10,18,1,0,0,0,0,0
45,1768830698840,-10,18,0,0,0,0,0,0
46,1768830699056,-11,19,1,0,0,0,0,0
47,1768830699289,-11,19,1,0,0,0,0,0
48,1768830699523,-10,16,1,0,0,0,0,0
49,1768830699873,-7,15,0,0,0,0,0,0
50,1768830700239,-10,17,2,0,0,0,0,0
51,1768830700539,-10,15,1,0,0,0,0,0
52,1768830700657,-9,18,0,0,0,0,0,0
53,1768830700757,-8,17,1,0,0,0,0,0
54,1768830701056,-10,18,2,0,0,0,0,0
55,1768830701539,-8,17,2,0,0,0,0,0
56,1768830701872,-9,18,2,0,0,0,0,0
57,1768830701955,-9,18,0,0,0,0,0,0
58,1768830702273,-9,19,1,0,0,0,0,0
59,1768830702406,-11,18,1,0,0,0,0,0
60,1768830702756,-11,18,0,0,0,0,0,0
61,1768830702906,-10,17,3,0,0,0,0,0
62,1768830702990,-9,18,1,0,0,0,0,0
63,1768830703190,-11,17,1,0,0,0,0,0
64,1768830703305,-8,18,1,0,0,0,0,0
65,1768830703588,-9,18,0,0,0,0,0,0
66,1768830703739,-9,18,2,0,0,0,0,0
67,1768830704073,-10,18,1,0,0,0,0,0
68,1768830704206,-11,17,1,0,0,0,0,0
69,1768830704306,-10,17,2,0,0,0,0,0
70,1768830704621,-12,17,3,0,0,0,0,0
71,1768830704921,-9,17,2,0,0,0,0,0
72,1768830705171,-11,16,1,0,0,0,0,0
73,1768830705607,-12,18,1,0,0,0,0,0
74,1768830705923,-7,17,1,0,0,0,0,0
75,1768830706190,-9,16,1,0,0,0,0,0
76,1768830706323,-11,17,1,0,0,0,0,0
77,1768830706456,-7,16,2,0,0,0,0,0
78,1768830706656,-10,17,2,0,0,0,0,0
79,1768830706789,-12,17,2,0,0,0,0,0
80,1768830707056,-9,18,-1,0,0,0,0,0
81,1768830707190,-10,17,1,0,0,0,0,0
82,1768830707290,-10,19,1,0,0,0,0,0
83,1768830707573,-10,19,2,0,0,0,0,0
84,1768830707672,-10,18,2,0,0,0,0,0
85,1768830707990,-11,17,2,0,0,0,0,0
86,1768830708056,-9,15,1,0,0,0,0,0
87,1768830708173,-10,18,1,0,0,0,0,0
88,1768830708373,-10,22,0,0,0,0,0,0
89,1768830708639,-9,20,2,0,0,0,0,0
90,1768830708905,-9,17,4,0,0,0,0,0
91,1768830709255,-8,17,2,0,0,0,0,0
92,1768830709439,-11,18,0,0,0,0,0,0
93,1768830709773,-9,17,2,0,0,0,0,0
94,1768830709906,-8,19,2,0,0,0,0,0
95,1768830710173,-8,16,0,0,0,0,0,0
96,1768830710456,-11,18,-1,0,0,0,0,0
97,1768830710656,-9,17,0,0,0,0,0,0
98,1768830710990,-11,17,0,0,0,0,0,0
99,1768830711240,-10,18,2,0,0,0,0,0
100,1768830711506,-10,16,1,0,0,0,0,0
101,1768830711890,-10,18,0,0,0,0,0,0
102,1768830712073,-10,18,1,0,0,0,0,0
103,1768830712240,-12,17,1,0,0,0,0,0
104,1768830712590,-10,18,1,0,0,0,0,0
105,1768830713106,-11,18,1,0,0,0,0,0
106,1768830713439,-10,17,3,0,0,0,0,0
107,1768830713490,-9,17,1,0,0,0,0,0
108,1768830713541,-10,20,1,0,0,0,0,0
109,1768830713872,-11,17,0,0,0,0,0,0
110,1768830714206,-11,19,1,0,0,0,0,0
111,1768830714522,-9,17,2,0,0,0,0,0
112,1768830714822,-10,17,1,0,0,0,0,0
113,1768830715055,-10,17,0,0,0,0,0,0
114,1768830715189,-11,18,1,0,0,0,0,0
