index,date,GLV,2,3,4,5,6,7,8
0,1768830687590,16.5,0,0,0,0,0,0,0
1,1768830688272,16.5,0,0,0,0,0,0,0
2,1768830688540,16.5,0,0,0,0,0,0,0
3,1768830688856,16.5,0,0,0,0,0,0,0
4,1768830689106,16.5,0,0,0,0,0,0,0
5,1768830689588,16.5,0,0,0,0,0,0,0
6,1768830690072,16.5,0,0,0,0,0,0,0
7,1768830690656,16.5,0,0,0,0,0,0,0
8,1768830690806,16.5,0,0,0,0,0,0,0
9,1768830691473,16.5,0,0,0,0,0,0,0
10,1768830691622,16.5,0,0,0,0,0,0,0
11,1768830691840,16.5,0,0,0,0,0,0,0
12,1768830692221,16.5,0,0,0,0,0,0,0
13,1768830692522,16.5,0,0,0,0,0,0,0
14,1768830692755,16.5,0,0,0,0,0,0,0
15,1768830693039,16.5,0,0,0,0,0,0,0
16,1768830693322,16.5,0,0,0,0,0,0,0
17,1768830693355,16.5,0,0,0,0,0,0,0
18,1768830693605,16.5,0,0,0,0,0,0,0
19,1768830693855,16.5,0,0,0,0,0,0,0
20,1768830694256,16.5,0,0,0,0,0,0,0
21,1768830694588,16.5,0,0,0,0,0,0,0
22,1768830694904,16.5,0,0,0,0,0,0,0
23,1768830695105,16.5,0,0,0,0,0,0,0
24,1768830695606,16.5,0,0,0,0,0,0,0
25,1768830695706,16.5,0,0,0,0,0,0,0
26,1768830696239,16.5,0,0,0,0,0,0,0
27,1768830696571,16.5,0,0,0,0,0,0,0
28,1768830697072,16.5,0,0,0,0,0,0,0
29,1768830697522,16.5,0,0,0,0,0,0,0
30,1768830697807,16.5,0,0,0,0,0,0,0
31,1768830698139,16.5,0,0,0,0,0,0,0
32,1768830698390,16.5,0,0,0,0,0,0,0
33,1768830699006,16.5,0,0,0,0,0,0,0
34,1768830699489,16.5,0,0,0,0,0,0,0
35,1768830699839,16.5,0,0,0,0,0,0,0
36,1768830700073,16.5,0,0,0,0,0,0,0
37,1768830700339,16.5,0,0,0,0,0,0,0
38,1768830700873,16.5,0,0,0,0,0,0,0
39,1768830701173,16.5,0,0,0,0,0,0,0
40,1768830701489,16.5,0,0,0,0,0,0,0
41,1768830701755,16.5,0,0,0,0,0,0,0
42,1768830702005,16.5,0,0,0,0,0,0,0
43,1768830702339,16.5,0,0,0,0,0,0,0
44,1768830702473,16.5,0,0,0,0,0,0,0
45,1768830702723,16.5,0,0,0,0,0,0,0
46,1768830702873,16.5,0,0,0,0,0,0,0
47,1768830703405,16.5,0,0,0,0,0,0,0
48,1768830703905,16.5,0,0,0,0,0,0,0
49,1768830704523,16.5,0,0,0,0,0,0,0
50,1768830704823,16.5,0,0,0,0,0,0,0
51,1768830705138,16.5,0,0,0,0,0,0,0
52,1768830705504,16.5,0,0,0,0,0,0,0
53,1768830705742,16.5,0,0,0,0,0,0,0
54,1768830706039,16.5,0,0,0,0,0,0,0
55,1768830706390,16.5,0,0,0,0,0,0,0
56,1768830706905,16.5,0,0,0,0,0,0,0
57,1768830707257,16.5,0,0,0,0,0,0,0
58,1768830707507,16.5,0,0,0,0,0,0,0
59,1768830707773,16.5,0,0,0,0,0,0,0
60,1768830708123,16.5,0,0,0,0,0,0,0
61,1768830708523,16.5,0,0,0,0,0,0,0
62,1768830708872,16.5,0,0,0,0,0,0,0
63,1768830709155,16.5,0,0,0,0,0,0,0
64,1768830709388,16.5,0,0,0,0,0,0,0
65,1768830709757,16.5,0,0,0,0,0,0,0
66,1768830710023,16.5,0,0,0,0,0,0,0
67,1768830710273,16.5,0,0,0,0,0,0,0
68,1768830710606,16.5,0,0,0,0,0,0,0
69,1768830710857,16.5,0,0,0,0,0,0,0
70,1768830711107,16.5,0,0,0,0,0,0,0
71,1768830711472,16.5,0,0,0,0,0,0,0
72,1768830711757,16.5,0,0,0,0,0,0,0
73,1768830712223,16.5,0,0,0,0,0,0,0
74,1768830712723,16.5,0,0,0,0,0,0,0
75,1768830713306,16.5,0,0,0,0,0,0,0
76,1768830713840,16.5,0,0,0,0,0,0,0
77,1768830714090,16.5,0,0,0,0,0,0,0
78,1768830714340,16.5,0,0,0,0,0,0,0
79,1768830714474,16.5,0,0,0,0,0,0,0
80,1768830714772,16.5,0,0,0,0,0,0,0
81,1768830714906,16.5,0,0,0,0,0,0,0
82,1768830715706,16.5,0,0,0,0,0,0,0
83,1768830715990,16.5,0,0,0,0,0,0,0
