index,date,FRONT_LEFT_SPEED,FRONT_RIGHT_SPEED,REAR_LEFT_SPEED,REAR_RIGHT_SPEED,1,2,3,4
0,1768830687789,0,0,0,0,0,0,0,0
1,1768830688156,0,0,0,0,0,0,0,0
2,1768830688623,0,0,0,0,0,0,0,0
3,1768830688973,0,0,0,0,0,0,0,0
4,1768830689339,0,0,0,0,0,0,0,0
5,1768830689723,0,0,0,0,0,0,0,0
6,1768830689806,0,0,0,0,0,0,0,0
7,1768830690173,0,0,0,0,0,0,0,0
8,1768830690256,0,0,0,0,0,0,0,0
9,1768830690522,0,0,0,0,0,0,0,0
10,1768830691006,0,0,0,0,0,0,0,0
11,1768830691355,0,0,0,0,0,0,0,0
12,1768830691889,0,0,0,0,0,0,0,0
13,1768830692324,0,0,0,0,0,0,0,0
14,1768830693121,0,0,0,0,0,0,0,0
15,1768830693505,0,0,0,0,0,0,0,0
16,1768830693939,0,0,0,0,0,0,0,0
17,1768830694673,0,0,0,0,0,0,0,0
18,1768830695388,0,0,0,0,0,0,0,0
19,1768830695857,0,0,0,0,0,0,0,0
20,1768830696321,0,0,0,0,0,0,0,0
21,1768830696722,0,0,0,0,0,0,0,0
22,1768830697155,0,0,0,0,0,0,0,0
23,1768830697489,0,0,0,0,0,0,0,0
24,1768830697922,0,0,0,0,0,0,0,0
25,1768830698356,0,0,0,0,0,0,0,0
26,1768830698655,0,0,0,0,0,0,0,0
27,1768830699140,0,0,0,0,0,0,0,0
28,1768830699589,0,0,0,0,0,0,0,0
29,1768830699989,0,0,0,0,0,0,0,0
30,1768830700423,0,0,0,0,0,0,0,0
31,1768830700823,0,0,0,0,0,0,0,0
32,1768830701240,0,0,0,0,0,0,0,0
33,1768830701624,0,0,0,0,0,0,0,0
34,1768830702090,0,0,0,0,0,0,0,0
35,1768830702557,0,0,0,0,0,0,0,0
36,1768830703022,0,0,0,0,0,0,0,0
37,1768830703505,0,0,0,0,0,0,0,0
38,1768830703921,0,0,0,0,0,0,0,0
39,1768830704322,0,0,0,0,0,0,0,0
40,1768830704757,0,0,0,0,0,0,0,0
41,1768830705238,0,0,0,0,0,0,0,0
42,1768830705672,0,0,0,0,0,0,0,0
43,1768830706106,0,0,0,0,0,0,0,0
44,1768830706523,0,164,0,0,0,0,0,0
45,1768830706989,0,0,0,0,0,0,0,0
46,1768830707389,0,0,0,0,0,0,0,0
47,1768830707856,0,0,0,0,0,0,0,0
48,1768830708256,0,0,0,0,0,0,0,0
49,1768830708623,0,0,0,0,0,0,0,0
50,1768830709022,0,0,0,0,0,0,0,0
51,1768830709506,0,0,0,0,0,0,0,0
52,1768830709889,0,0,0,0,0,0,0,0
53,1768830710373,0,0,0,0,0,0,0,0
54,1768830710739,0,0,0,0,0,0,0,0
55,1768830711206,0,0,0,0,0,0,0,0
56,1768830711590,0,0,0,0,0,0,0,0
57,1768830711973,0,0,0,0,0,0,0,0
58,1768830712339,0,0,0,0,0,0,0,0
59,1768830712806,0,0,0,0,0,0,0,0
60,1768830713173,0,3,0,0,0,0,0,0
61,1768830713623,0,0,0,0,0,0,0,0
62,1768830713989,0,0,0,0,0,0,0,0
63,1768830714406,0,0,0,0,0,0,0,0
64,1768830714539,0,0,0,0,0,0,0,0
65,1768830715006,0,0,0,0,0,0,0,0
66,1768830715406,0,402,0,0,0,0,0,0
67,1768830715790,0,0,0,0,0,0,0,0
68,1768830716156,0,0,0,0,0,0,0,0
69,1768830716539,0,0,0,0,0,0,0,0
70,1768830716639,0,0,0,0,0,0,0,0
71,1768830716990,0,0,0,0,0,0,0,0
72,1768830717372,0,0,0,0,0,0,0,0
73,1768830717856,0,0,0,0,0,0,0,0
74,1768830718107,0,0,0,0,0,0,0,0
75,1768830718556,0,276,0,0,0,0,0,0
76,1768830719022,0,15,0,0,0,0,0,0
77,1768830719406,0,0,0,0,0,0,0,0
78,1768830719772,0,0,0,0,0,0,0,0
79,1768830719840,0,0,0,0,0,0,0,0
80,1768830720204,0,0,0,0,0,0,0,0
81,1768830720555,0,0,0,0,0,0,0,0
82,1768830720954,0,0,0,0,0,0,0,0
83,1768830721255,0,0,0,0,0,0,0,0
84,1768830721721,0,1,0,0,0,0,0,0
85,1768830722088,0,49,0,0,0,0,0,0
86,1768830722155,0,0,0,0,0,0,0,0
87,1768830722521,0,0,0,0,0,0,0,0
88,1768830722890,0,0,0,0,0,0,0,0
89,1768830723338,0,190,0,0,0,0,0,0
90,1768830723790,0,0,0,0,0,0,0,0
91,1768830724239,0,15,0,0,0,0,0,0
92,1768830724655,0,0,0,0,0,0,0,0
93,1768830725021,0,0,0,0,0,0,0,0
94,1768830725472,0,23,0,0,0,0,0,0
95,1768830725839,0,0,0,0,0,0,0,0
96,1768830726588,0,0,0,0,0,0,0,0
97,1768830727038,0,0,0,0,0,0,0,0
98,1768830727439,0,0,0,0,0,0,0,0
99,1768830727872,0,0,0,0,0,0,0,0
100,1768830728255,0,0,0,0,0,0,0,0
101,1768830728722,0,0,0,0,0,0,0,0
102,1768830729088,0,0,0,0,0,0,0,0
103,1768830729454,0,0,0,0,0,0,0,0
104,1768830729821,0,0,0,0,0,0,0,0
105,1768830730539,0,0,0,0,0,0,0,0
106,1768830730989,0,0,0,0,0,0,0,0
107,1768830731455,0,0,0,0,0,0,0,0
108,1768830731922,0,0,0,0,0,0,0,0
109,1768830732321,0,0,0,0,0,0,0,0
110,1768830732772,0,0,0,0,0,0,0,0
111,1768830733239,0,0,0,0,0,0,0,0
112,1768830734039,0,0,0,0,0,0,0,0
113,1768830734390,0,0,0,0,0,0,0,0
