index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1768830687838,0,0,0,0,0,0,0,0
1,1768830688288,0,0,0,0,0,0,0,0
2,1768830688672,0,0,0,0,0,0,0,0
3,1768830689073,0,0,0,0,0,0,0,0
4,1768830689389,0,0,0,0,0,0,0,0
5,1768830689856,0,0,0,0,0,0,0,0
6,1768830690322,0,0,0,0,0,0,0,0
7,1768830690673,0,0,0,0,0,0,0,0
8,1768830690706,0,0,0,0,0,0,0,0
9,1768830691056,0,0,0,0,0,0,0,0
10,1768830691140,0,0,0,0,0,0,0,0
11,1768830691507,0,0,0,0,0,0,0,0
12,1768830691939,0,0,0,0,0,0,0,0
13,1768830692006,0,0,0,0,0,0,0,0
14,1768830692372,0,0,0,0,0,0,0,0
15,1768830692805,0,0,0,0,0,0,0,0
16,1768830693172,0,0,0,0,0,0,0,0
17,1768830693638,0,0,0,0,0,0,0,0
18,1768830693990,0,0,0,0,0,0,0,0
19,1768830694372,0,0,0,0,0,0,0,0
20,1768830694740,0,0,0,0,0,0,0,0
21,1768830695189,0,0,0,0,0,0,0,0
22,1768830695456,0,0,0,0,0,0,0,0
23,1768830695923,0,0,0,0,0,0,0,0
24,1768830696388,0,0,0,0,0,0,0,0
25,1768830696839,0,0,0,0,0,0,0,0
26,1768830697222,0,0,0,0,0,0,0,0
27,1768830697589,0,0,0,0,0,0,0,0
28,1768830697972,0,0,0,0,0,0,0,0
29,1768830698439,0,0,0,0,0,0,0,0
30,1768830698707,0,0,0,0,0,0,0,0
31,1768830699190,0,0,0,0,0,0,0,0
32,1768830699273,0,0,0,0,0,0,0,0
33,1768830699640,0,0,0,0,0,0,0,0
34,1768830700123,0,0,0,0,0,0,0,0
35,1768830700490,0,0,0,0,0,0,0,0
36,1768830700940,0,0,0,0,0,0,0,0
37,1768830701290,0,0,0,0,0,0,0,0
38,1768830701755,0,0,0,0,0,0,0,0
39,1768830702139,0,0,0,0,0,0,0,0
40,1768830702623,0,0,0,0,0,0,0,0
41,1768830703073,0,0,0,0,0,0,0,0
42,1768830703555,0,0,0,0,0,0,0,0
43,1768830703972,0,0,0,0,0,0,0,0
44,1768830704389,0,0,0,0,0,0,0,0
45,1768830704871,0,0,0,0,0,0,0,0
46,1768830705288,0,0,0,0,0,0,0,0
47,1768830705789,0,0,0,0,0,0,0,0
48,1768830706173,0,0,0,0,0,0,0,0
49,1768830706573,0,0,0,0,0,0,0,0
50,1768830707056,0,0,0,0,0,0,0,0
51,1768830707523,0,0,0,0,0,0,0,0
52,1768830707906,0,0,0,0,0,0,0,0
53,1768830708306,0,0,0,0,0,0,0,0
54,1768830708689,0,0,0,0,0,0,0,0
55,1768830709138,0,0,0,0,0,0,0,0
56,1768830709556,0,0,0,0,0,0,0,0
57,1768830710040,0,0,0,0,0,0,0,0
58,1768830710423,0,0,0,0,0,0,0,0
59,1768830710889,0,0,0,0,0,0,0,0
60,1768830711273,0,0,0,0,0,0,0,0
61,1768830711656,0,0,0,0,0,0,0,0
62,1768830711706,0,0,0,0,0,0,0,0
