index,date,AcelX,AcelY,AcelZ,1,2,3,4,5
0,1762630630270,-178,-234,4026,15,19968,0,0,0
1,1762630630286,-673,-770,8276,32,24320,0,0,0
2,1762630630303,-386,-484,8029,31,32256,0,0,0
3,1762630630319,-669,-759,8354,32,25344,0,0,0
4,1762630630336,-438,-458,8120,31,18944,0,0,0
5,1762630630370,-548,-770,8304,32,-9216,0,0,0
6,1762630630386,-384,-542,8224,32,-32768,0,0,0
7,1762630630403,-450,-726,8280,32,15872,0,0,0
8,1762630630420,-666,-738,8255,32,26112,0,0,0
9,1762630630436,-456,-612,8171,31,14336,0,0,0
10,1762630630469,-534,-822,8406,32,-5632,0,0,0
11,1762630630487,-435,-686,8188,31,19712,0,0,0
12,1762630630503,-673,-781,8277,32,24320,0,0,0
13,1762630630520,-458,-586,8172,31,13824,0,0,0
14,1762630630536,-496,-772,8340,32,4096,0,0,0
15,1762630630569,-379,-522,8198,32,-31488,0,0,0
16,1762630630586,-441,-635,8150,31,18176,0,0,0
17,1762630630603,-340,-548,8197,32,-21504,0,0,0
18,1762630630621,-376,-720,8141,31,-30720,0,0,0
19,1762630630636,-619,-550,8232,32,-27392,0,0,0
20,1762630630669,-518,-537,8048,31,-1536,0,0,0
21,1762630630686,-426,-814,8324,32,22016,0,0,0
22,1762630630703,-453,-518,8107,31,15104,0,0,0
23,1762630630720,-582,-794,8117,31,-17920,0,0,0
24,1762630630737,-530,-404,8297,32,-4608,0,0,0
25,1762630630769,-312,-840,8202,32,-14336,0,0,0
26,1762630630786,-781,-618,8267,32,-3328,0,0,0
27,1762630630803,-608,-333,7950,31,-24576,0,0,0
28,1762630630820,-465,-794,8284,32,12032,0,0,0
29,1762630630837,-1034,-484,8352,32,-2560,0,0,0
30,1762630630870,-824,-351,8140,31,-14336,0,0,0
31,1762630630886,-498,-750,8174,31,3584,0,0,0
32,1762630630902,-1161,-595,8338,32,30464,0,0,0
33,1762630630919,-954,-316,7994,31,17920,0,0,0
34,1762630630936,-616,-798,8164,31,-26624,0,0,0
35,1762630630969,-1290,-564,8362,32,-2560,0,0,0
36,1762630630985,-1062,-436,8146,31,-9728,0,0,0
37,1762630631002,-1000,-658,8458,33,6144,0,0,0
38,1762630631020,-791,-584,8226,32,-5888,0,0,0
39,1762630631036,-819,-369,8396,32,-13056,0,0,0
40,1762630631069,-925,-442,8355,32,25344,0,0,0
41,1762630631086,-936,-584,8303,32,22528,0,0,0
42,1762630631102,-913,-361,8449,33,28416,0,0,0
43,1762630631119,-712,-500,8023,31,14336,0,0,0
44,1762630631137,-745,-738,8107,31,5888,0,0,0
45,1762630631169,-716,-718,7975,31,13312,0,0,0
46,1762630631185,-628,-826,8025,31,-29696,0,0,0
47,1762630631202,-786,-784,7818,30,-4608,0,0,0
48,1762630631219,-611,-850,8429,32,-25344,0,0,0
49,1762630631238,-672,-646,7993,31,24576,0,0,0
50,1762630631268,-483,-425,8106,31,7424,0,0,0
51,1762630631286,-913,-386,7936,31,28416,0,0,0
52,1762630631302,-743,-288,7558,29,6400,0,0,0
53,1762630631318,-591,-434,7735,30,-20224,0,0,0
54,1762630631336,-1173,-328,8256,32,27392,0,0,0
55,1762630631369,-1198,-450,8430,32,20992,0,0,0
56,1762630631386,-615,-692,8532,33,-26368,0,0,0
57,1762630631403,-644,-661,8351,32,31744,0,0,0
58,1762630631419,-705,-415,8429,32,16128,0,0,0
59,1762630631437,-724,-416,8381,32,11264,0,0,0
60,1762630631469,-484,-603,8627,33,7168,0,0,0
61,1762630631485,-722,-704,8284,32,11776,0,0,0
62,1762630631502,-879,-848,8320,32,-28416,0,0,0
63,1762630631519,-806,-657,8225,32,-9728,0,0,0
64,1762630631535,-958,-360,8085,31,16896,0,0,0
65,1762630631568,-826,-292,8069,31,-14848,0,0,0
66,1762630631585,-1176,-227,7940,31,26624,0,0,0
67,1762630631602,-1353,-6,7869,30,-18688,0,0,0
68,1762630631619,-1096,-150,8037,31,-18432,0,0,0
69,1762630631636,-1426,-182,8174,31,28160,0,0,0
70,1762630631668,-1172,-82,7857,30,27648,0,0,0
71,1762630631685,-1406,-174,7834,30,-32256,0,0,0
72,1762630631702,-1497,-299,7874,30,9984,0,0,0
73,1762630631719,-910,-40,8222,32,29184,0,0,0
74,1762630631751,-1410,-344,8559,33,32256,0,0,0
75,1762630631768,-1123,-134,8292,32,-25344,0,0,0
76,1762630631785,-1359,-292,8415,32,-20224,0,0,0
77,1762630631803,-1393,-267,8322,32,-28928,0,0,0
78,1762630631818,-1298,-260,8544,33,-4608,0,0,0
79,1762630631851,-1430,-125,8376,32,27136,0,0,0
80,1762630631868,-1118,-236,8185,31,-24064,0,0,0
81,1762630631885,-1543,-280,8359,32,-1792,0,0,0
82,1762630631902,-1304,-556,8237,32,-6144,0,0,0
83,1762630631919,-1106,-216,8282,32,-20992,0,0,0
84,1762630631951,-1580,-248,8301,32,-11264,0,0,0
85,1762630631968,-1138,-323,8243,32,-29184,0,0,0
86,1762630631985,-1487,-117,8218,32,12544,0,0,0
87,1762630632001,-1617,42,8168,31,-20736,0,0,0
88,1762630632018,-1384,272,7872,30,-26624,0,0,0
89,1762630632052,-1566,-197,7971,31,-7680,0,0,0
90,1762630632068,-1612,-66,8212,32,-19456,0,0,0
91,1762630632085,-1455,-116,7709,30,20736,0,0,0
92,1762630632101,-1058,-667,8493,33,-8704,0,0,0
93,1762630632119,-1252,-582,8422,32,7168,0,0,0
94,1762630632136,-1343,-308,8273,32,-16128,0,0,0
95,1762630632168,-1570,-346,7934,30,-8704,0,0,0
96,1762630632184,-1897,-76,8422,32,-26880,0,0,0
97,1762630632202,-1077,-275,8531,33,-13568,0,0,0
98,1762630632219,-978,10,7704,30,11776,0,0,0
99,1762630632251,-1045,-13,8626,33,-5376,0,0,0
100,1762630632268,-1214,-140,8288,32,16896,0,0,0
101,1762630632284,-1738,-149,7982,31,13824,0,0,0
102,1762630632302,-1268,-176,8347,32,3072,0,0,0
103,1762630632318,-1471,26,8007,31,16640,0,0,0
104,1762630632351,-1222,-321,8306,32,14848,0,0,0
105,1762630632368,-962,63,8563,33,15872,0,0,0
106,1762630632385,-1536,-90,8017,31,0,0,0,0
107,1762630632401,-708,14,8799,34,15360,0,0,0
108,1762630632417,-1602,-193,8305,32,-16896,0,0,0
109,1762630632451,-1246,-32,8055,31,8704,0,0,0
110,1762630632468,-1562,62,8775,34,-6656,0,0,0
111,1762630632484,-1396,245,8252,32,-29696,0,0,0
112,1762630632501,-939,331,7754,30,21760,0,0,0
113,1762630632517,-1447,-206,7496,29,22784,0,0,0
114,1762630632551,-1583,386,8459,33,-12032,0,0,0
115,1762630632567,-1891,-59,8532,33,-25344,0,0,0
116,1762630632584,-1434,193,8250,32,26112,0,0,0
117,1762630632601,-1337,93,7341,28,-14592,0,0,0
118,1762630632619,-698,-406,7886,30,17920,0,0,0
119,1762630632651,-1208,682,7730,30,18432,0,0,0
120,1762630632667,-1821,-324,8020,31,-7424,0,0,0
121,1762630632684,-984,-1,8850,34,10240,0,0,0
122,1762630632701,-1516,-424,8306,32,5120,0,0,0
123,1762630632717,-950,436,8832,34,18944,0,0,0
124,1762630632735,-1594,-488,8635,33,-14848,0,0,0
125,1762630632767,-1023,488,8823,34,256,0,0,0
126,1762630632784,-778,-149,8749,34,-2560,0,0,0
127,1762630632800,-1760,518,8391,32,8192,0,0,0
128,1762630632817,-542,-442,8880,34,-7680,0,0,0
129,1762630632850,-1655,-324,8766,34,-30464,0,0,0
130,1762630632868,-929,-276,8678,33,24320,0,0,0
131,1762630632884,-5,-666,8667,33,-1280,0,0,0
132,1762630632901,-430,-260,8817,34,20992,0,0,0
133,1762630632917,167,-486,9090,35,-22784,0,0,0
134,1762630632951,-482,81,8680,33,7680,0,0,0
135,1762630632967,907,-458,8593,33,-29952,0,0,0
136,1762630632984,-70,276,8662,33,-17920,0,0,0
137,1762630633000,-109,-705,7976,31,-27904,0,0,0
138,1762630633019,270,-932,8834,34,3584,0,0,0
139,1762630633035,-282,-694,7596,29,-6656,0,0,0
140,1762630633067,90,-238,8666,33,23040,0,0,0
141,1762630633084,351,-532,7953,31,24320,0,0,0
142,1762630633101,-30,-263,8812,34,-7680,0,0,0
143,1762630633117,-494,24,9252,36,4608,0,0,0
144,1762630633135,13,-587,8725,34,3328,0,0,0
145,1762630633167,-254,-686,9110,35,512,0,0,0
146,1762630633183,-1168,-262,8318,32,28672,0,0,0
147,1762630633200,-792,-205,7705,30,-6144,0,0,0
148,1762630633217,-719,-330,8936,34,12544,0,0,0
