index,date,AcelX,AcelY,AcelZ,1,2,3,4,5
0,1762631670193,-202,-1411,4076,15,13824,0,0,0
1,1762631670210,-244,-2920,8203,32,3072,0,0,0
2,1762631670226,-228,-2731,8108,31,7168,0,0,0
3,1762631670244,-222,-2730,8074,31,8704,0,0,0
4,1762631670276,14,-2718,8222,32,3584,0,0,0
5,1762631670293,-125,-2554,8385,32,-32000,0,0,0
6,1762631670309,-248,-2867,8044,31,2048,0,0,0
7,1762631670327,-254,-3150,7833,30,512,0,0,0
8,1762631670344,-293,-2952,7964,31,-9472,0,0,0
9,1762631670376,-204,-2994,8028,31,13312,0,0,0
10,1762631670393,-91,-3086,8098,31,-23296,0,0,0
11,1762631670409,-115,-2846,7886,30,-29440,0,0,0
12,1762631670427,-250,-2910,8114,31,1536,0,0,0
13,1762631670444,-426,-2975,7816,30,22016,0,0,0
14,1762631670460,-326,-2897,7727,30,-17920,0,0,0
15,1762631670492,-224,-2910,7665,29,8192,0,0,0
16,1762631670509,-71,-2630,7608,29,-18176,0,0,0
17,1762631670526,-146,-2651,7773,30,28160,0,0,0
18,1762631670542,-208,-2643,7874,30,12288,0,0,0
19,1762631670560,-6,-2608,8203,32,-1536,0,0,0
20,1762631670592,107,-2864,8036,31,27392,0,0,0
21,1762631670609,-280,-2835,8406,32,-6144,0,0,0
22,1762631670626,-328,-2822,8332,32,-18432,0,0,0
23,1762631670644,-144,-2998,8466,33,28672,0,0,0
24,1762631670661,-339,-3049,8466,33,-21248,0,0,0
25,1762631670692,-115,-3060,8355,32,-29440,0,0,0
26,1762631670709,-66,-2958,8506,33,-16896,0,0,0
27,1762631670726,-64,-2846,8382,32,-16384,0,0,0
28,1762631670744,-372,-2959,8164,31,-29696,0,0,0
29,1762631670760,-86,-2896,7987,31,-22016,0,0,0
30,1762631670792,-72,-2896,8283,32,-18432,0,0,0
31,1762631670809,-117,-3003,8286,32,-29952,0,0,0
32,1762631670826,-40,-2974,8182,31,-10240,0,0,0
33,1762631670844,-272,-3014,7963,31,-4096,0,0,0
34,1762631670859,-70,-2970,7782,30,-17920,0,0,0
35,1762631670892,-526,-2973,7686,30,-3584,0,0,0
36,1762631670909,-162,-2749,7701,30,24064,0,0,0
37,1762631670925,-126,-2944,8007,31,-32256,0,0,0
38,1762631670942,-120,-2780,7794,30,-30720,0,0,0
39,1762631670959,44,-2870,8281,32,11264,0,0,0
40,1762631670992,-11,-3031,8050,31,-2816,0,0,0
41,1762631671009,-121,-2985,8110,31,-30976,0,0,0
